C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
113 |HD 82546                                                              |Star                              |09 32 26.8576518240 -07 43 46.276075020|241.4926744519579 +30.5651649236081| 24.599 -19.693   |8.37     |K0III          |    ~     ~    
114 |HD 82689                                                              |Star                              |09 33 18.7197926232 -08 06 54.364163328|241.9983098858180 +30.4959432793526| -36.547 -1.301   |9.44     |F6/7V          |    ~     ~    
115 |BD-07 2839                                                            |Star                              |09 33 26.7866929992 -07 43 10.783638120|241.6606703991021 +30.7662666480556|   -2.513 1.077   |9.94     |~              |    ~     ~    
116 |HD 82230                                                              |Double or Multiple Star           |09 30 41.1255 -08 20 41.789            |241.7437259 +29.8426992            |      -10.4 0.8   |8.36     |K0III+(G)      |    ~     ~    
117 |HD 82270                                                              |Star                              |09 30 52.5405413808 -08 24 34.623459936|241.8358799758489 +29.8399429681399|  -5.089 -2.635   |8.46     |K0III          |    ~     ~    
118 |HD 82335                                                              |Star                              |09 31 07.4934964824 -08 35 53.631189420|242.0507563237345 +29.7720616782959| -18.212 -8.481   |8.47     |F3/5III        |    ~     ~    
119 |HD 82638                                                              |High Proper Motion Star           |09 33 01.9727910720 -08 30 19.346260320|242.3037481144623 +30.1999642337786|-44.127 -34.506   |6.113    |K0III          |    ~     ~    
120 |BD-08 2694                                                            |Star                              |09 31 28.5452349888 -08 53 21.479979516|242.3757674050684 +29.6599845597343|-14.002 -29.654   |10.275   |~              |    ~     ~    
121 |HD 82427                                                              |Star                              |09 31 41.2260416304 -08 43 17.822593488|242.2615058270216 +29.8048959983169|   -8.828 1.073   |9.761    |F0III/IV       |    ~     ~    
122 |BD-08 2697                                                            |Star                              |09 31 51.1276509000 -08 56 19.873127472|242.4868966725082 +29.7021144158043| -26.383 -6.191   |9.963    |~              |    ~     ~    
123 |HD 82506                                                              |Star                              |09 32 12.2084030544 -08 45 29.601858780|242.3858291077715 +29.8823010356113|-23.501 -16.983   |9.20     |F3V            |    ~     ~    
124 |BD-08 2704                                                            |Star                              |09 33 41.2298104848 -08 50 24.154159560|242.7231380255870 +30.1183655277796|  -11.671 8.504   |10.58    |~              |    ~     ~    
125 |BD-06 2934                                                            |High Proper Motion Star           |09 31 49.8588377832 -07 32 49.473628980|241.2164958387229 +30.5564262184236|-64.381 -62.575   |10.658   |~              |    ~     ~    
126 |BD-07 2832                                                            |Star                              |09 32 02.0520065448 -08 34 27.635120076|242.1894300972831 +29.9634648612414| -11.695 -8.976   |9.698    |~              |    ~     ~    
127 |BD-08 2701                                                            |Star                              |09 33 02.0270238360 -08 43 35.878127124|242.5043908050924 +30.0626963640135| -12.405 -0.218   |10.18    |~              |    ~     ~    
128 |TYC 5460-60-1                                                         |Horizontal Branch Star            |09 30 42.7978666152 -07 57 01.439790516|241.3892401992752 +30.0904942296780| -32.189 -3.447   |9.784    |~              |    ~     ~    
129 |TYC 5460-5-1                                                          |Star                              |09 32 51.0652431720 -07 32 45.070780344|241.3955948667361 +30.7568794571349| -39.228 28.382   |10.765   |~              |    ~     ~    
130 |TYC 4900-779-1                                                        |High Proper Motion Star           |09 33 21.1949206176 -07 10 30.301756428|241.1432407642799 +31.0826142130119|-60.868 -22.815   |10.8     |~              |    ~     ~    
131 |TYC 4900-1841-1                                                       |Red Giant Branch star             |09 30 55.8435818832 -06 45 06.095647692|240.3245462279181 +30.8637147301032|  -8.933 -9.371   |10.591   |~              |    ~     ~    
132 |TYC 4900-1847-1                                                       |Star                              |09 30 34.5116101320 -06 45 50.432811084|240.2737330811610 +30.7860070384561|   -2.487 5.666   |10.75    |~              |    ~     ~    
133 |TYC 5460-24-1                                                         |Star                              |09 30 35.0109778320 -07 35 14.018616348|241.0341320052563 +30.2872487222283| -31.865 -0.913   |10.69    |~              |    ~     ~    
134 |TYC 5460-135-1                                                        |Star                              |09 30 30.9560366760 -07 50 34.974017232|241.2565508788049 +30.1176203129572| -9.564 -26.069   |10.72    |~              |    ~     ~    
135 |TYC 5460-169-1                                                        |Star                              |09 33 23.7098666904 -07 43 14.731536180|241.6525659870016 +30.7555852685614| -15.610 15.557   |10.616   |~              |    ~     ~    
136 |TYC 5460-235-1                                                        |Horizontal Branch Star            |09 30 33.2664488280 -07 48 59.610502260|241.2390763662188 +30.1413741813641|  -6.977 11.807   |10.666   |~              |    ~     ~    
137 |TYC 5460-236-1                                                        |Star                              |09 31 57.9355066608 -07 57 34.891313688|241.6180719926036 +30.3294873578229| -23.559 -3.905   |10.71    |~              |    ~     ~    
138 |TYC 5460-249-1                                                        |Star                              |09 32 10.6160916240 -07 55 05.955655368|241.6175897727968 +30.3961938132765|    2.104 0.289   |10.487   |~              |    ~     ~    
139 |TYC 5460-790-1                                                        |Star                              |09 32 57.6310645608 -08 29 25.127537748|242.2772386678025 +30.1952751649638|  -4.661 -6.526   |10.6     |~              |    ~     ~    
140 |TYC 5460-1110-1                                                       |Star                              |09 30 31.2265329960 -08 26 38.251588740|241.8046941223978 +29.7495857027779|  -16.640 0.474   |10.961   |~              |    ~     ~    
141 |TYC 5460-1114-1                                                       |Star                              |09 32 44.6650728000 -08 37 43.038349464|242.3643145330260 +30.0675577866036|  -3.423 -9.668   |10.93    |~              |    ~     ~    
142 |HD 82463                                                              |Star                              |09 31 57.3013203384 -09 09 49.396161996|242.7076802239496 +29.5821601798053|  -11.101 0.592   |9.531    |G8IV           |    ~     ~    
143 |HD 82655                                                              |Star                              |09 33 07.9249237800 -09 18 59.395698540|243.0536223069979 +29.7137232918253|-14.125 -20.116   |9.24     |K2III          |    ~     ~    
144 |BD-08 2705                                                            |Star                              |09 33 39.6182734224 -09 34 54.642500292|243.3855672645429 +29.6488564611945|   -3.644 6.232   |10.183   |~              |    ~     ~    
145 |HD 82199                                                              |Star                              |09 30 24.7621173432 -10 08 36.279091824|243.3121868608836 +28.6736195583709| 24.603 -11.260   |9.95     |F5V            |    ~     ~    
