C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
6782|TYC 8945-238-1                                                        |Star                              |09 41 49.9755797712 -63 22 27.915248388|283.4769821200417 -07.9124264779040|   3.329 -6.459   |10.696   |~              |    ~     ~    
6783|TYC 8945-356-1                                                        |Spectroscopic Binary              |09 38 43.2783291576 -62 55 55.222492908|282.9150685365308 -07.8159777292940| -19.722 15.444   |10.773   |~              |    ~     ~    
6784|TYC 8945-558-1                                                        |Star                              |09 33 57.1124990664 -63 14 27.583737432|282.7244444973347 -08.4085443427366|   -4.704 3.244   |10.97    |~              |    ~     ~    
6785|TYC 8945-570-1                                                        |Star                              |09 41 30.5392253520 -63 11 59.541893448|283.3328246005368 -07.8056581475450|   -9.663 6.550   |10.668   |~              |    ~     ~    
6786|TYC 8945-588-1                                                        |Star                              |09 41 39.0294251400 -62 53 54.363580836|283.1436701114960 -07.5690507964130|  -15.199 5.667   |10.98    |~              |    ~     ~    
6787|TYC 8945-602-1                                                        |Spectroscopic Binary              |09 32 39.1517061936 -63 16 59.302316316|282.6459035437871 -08.5393127969484| -38.338 24.991   |10.83    |~              |    ~     ~    
6788|TYC 8945-650-1                                                        |Star                              |09 33 28.1101907544 -63 22 18.934909752|282.7748663499483 -08.5412190631500|   -8.549 6.681   |10.95    |~              |    ~     ~    
6789|TYC 8945-793-1                                                        |Star                              |09 34 20.7160432080 -62 34 52.750458372|282.3031459463664 -07.8954601674235|   -3.723 1.902   |10.74    |~              |    ~     ~    
6790|HD 83269                                                              |Star                              |09 34 35.7111512496 -62 16 48.710429904|282.1177498657459 -07.6551099953721|   -5.938 4.864   |10.17    |A1/2III/IV     |    ~     ~    
6791|TYC 8945-835-1                                                        |Star                              |09 31 57.8138560512 -62 25 40.776904380|281.9947924736405 -07.9716447136136|  -11.106 5.485   |10.78    |~              |    ~     ~    
6792|TYC 8945-843-1                                                        |Spectroscopic Binary              |09 41 54.0766849632 -62 35 48.364289340|282.9643469673987 -07.3236730618948|  -15.011 6.866   |10.96    |~              |    ~     ~    
6793|TYC 8945-852-1                                                        |Star                              |09 41 41.5163505144 -62 04 35.457147696|282.5997304744775 -06.9490271546984|   -1.017 4.125   |10.68    |~              |    ~     ~    
6794|TYC 8945-890-1                                                        |Star                              |09 41 42.3829217352 -62 39 58.264239492|282.9936330384845 -07.3905817811891|   -8.986 4.207   |10.34    |~              |    ~     ~    
6795|TYC 8945-914-1                                                        |Star                              |09 39 21.8775583944 -62 18 30.654185400|282.5502898126182 -07.3027025193207|  -12.746 3.861   |10.65    |~              |    ~     ~    
6796|TYC 8945-1054-1                                                       |Star                              |09 41 49.5966230280 -62 46 29.384201496|283.0764647586739 -07.4630175166355| -15.662 14.561   |10.912   |~              |    ~     ~    
6797|TYC 8945-1152-1                                                       |Star                              |09 33 00.6294269352 -62 41 13.035198660|282.2628070906658 -08.0773696690600|   -2.881 1.404   |10.99    |~              |    ~     ~    
6798|TYC 8945-1183-1                                                       |Star                              |09 42 03.7532340432 -62 49 20.060782392|283.1284644323852 -07.4808085625545| -12.113 11.622   |10.91    |~              |    ~     ~    
6799|TYC 8945-1406-1                                                       |Star                              |09 32 39.9035639568 -63 33 37.063946052|282.8393868992538 -08.7398780282380|   -6.062 5.954   |10.65    |~              |    ~     ~    
6800|TYC 8945-1660-1                                                       |Star                              |09 34 03.8200672392 -63 31 32.621933928|282.9302813342511 -08.6080142795377|   -3.383 1.210   |10.67    |~              |    ~     ~    
6801|TYC 8945-1738-1                                                       |Star                              |09 35 16.0299436440 -63 32 05.401050468|283.0358354312904 -08.5233200139002|   -6.425 5.319   |10.946   |~              |    ~     ~    
6802|TYC 8945-1794-1                                                       |Star                              |09 32 32.6459536296 -63 41 57.165506916|282.9260708198328 -08.8500594087255|   -2.851 3.277   |10.87    |~              |    ~     ~    
6803|TYC 8945-2531-1                                                       |Star                              |09 35 39.7171555680 -63 20 52.722648564|282.9403303550527 -08.3561751381024|  -18.882 8.997   |10.72    |~              |    ~     ~    
6804|TYC 8946-249-1                                                        |Star                              |09 42 57.7645982928 -62 24 58.901923296|282.9374538888200 -07.1072429020393|   -5.399 1.279   |10.94    |~              |    ~     ~    
6805|TYC 8946-894-1                                                        |Star                              |09 44 16.8164411208 -62 24 25.225331112|283.0473713341096 -07.0002059039155| -11.211 13.820   |10.87    |~              |    ~     ~    
6806|TYC 8946-1398-1                                                       |Star                              |09 43 16.3876523088 -63 20 37.632831612|283.5791101911916 -07.7829377033524| -10.895 10.967   |10.80    |~              |    ~     ~    
6807|TYC 8946-2725-1                                                       |Star                              |09 43 40.8589840992 -63 27 07.163274276|283.6856005679994 -07.8345294268528|   3.755 -3.610   |10.62    |~              |    ~     ~    
6808|TYC 8949-417-1                                                        |Star                              |09 42 42.6955982256 -64 06 31.853962224|284.0408464336534 -08.3995455818279|   -7.558 3.225   |10.91    |~              |    ~     ~    
6809|TYC 8949-482-1                                                        |Star                              |09 36 15.1014301032 -65 06 18.886232520|284.1954583507629 -09.6032495212554|   -8.709 5.404   |10.84    |~              |    ~     ~    
6810|TYC 8949-814-1                                                        |Star                              |09 33 31.5782328960 -65 19 14.490116364|284.1330570079750 -09.9557125394993|   -0.496 3.117   |10.93    |~              |    ~     ~    
6811|TYC 8949-893-1                                                        |Spectroscopic Binary              |09 33 41.5620785808 -64 33 02.564850420|283.6101876866832 -09.3834348533817|   -0.371 2.474   |10.96    |~              |    ~     ~    
6812|TYC 8949-903-1                                                        |Star                              |09 30 31.8683198976 -64 20 34.557260712|283.2146411433870 -09.4679587669046|   -6.436 4.803   |10.526   |~              |    ~     ~    
6813|TYC 8949-940-1                                                        |Star                              |09 37 48.0183213840 -65 21 37.467768384|284.4917773195392 -09.6811663161423|  -11.128 8.630   |10.697   |~              |    ~     ~    
6814|TYC 8949-1302-1                                                       |Star                              |09 34 07.4556362448 -64 42 52.116814620|283.7580151996368 -09.4711194759323|   -9.258 9.869   |10.41    |~              |    ~     ~    
6815|TYC 8949-1306-1                                                       |Star                              |09 38 39.2670063528 -63 52 12.805966956|283.5446360853569 -08.5173737248973|   3.785 -3.598   |10.893   |~              |    ~     ~    
6816|TYC 8949-1412-1                                                       |Star                              |09 36 19.3242444408 -64 04 59.601649260|283.4987559391850 -08.8471559945639|  -12.675 9.044   |10.86    |~              |    ~     ~    
6817|TYC 8949-1648-1                                                       |Star                              |09 38 36.0581019288 -64 56 04.711419924|284.2639212227344 -09.3098875762795|   -1.159 0.374   |10.984   |~              |    ~     ~    
6818|TYC 8950-636-1                                                        |Star                              |09 44 19.3090237488 -65 36 30.957123816|285.1709615184976 -09.4154069764853|   -5.578 3.018   |10.99    |~              |    ~     ~    
6819|TYC 8950-712-1                                                        |Star                              |09 43 59.0286260592 -65 33 17.542029672|285.1084679668732 -09.3979229853236|  -5.016 20.448   |10.45    |~              |    ~     ~    
6820|TYC 8950-768-1                                                        |Star                              |09 44 23.4961561704 -65 25 36.135485004|285.0553392652383 -09.2735550261876|  -10.449 8.160   |10.499   |~              |    ~     ~    
6821|TYC 8950-1984-1                                                       |Star                              |09 44 27.2720760216 -65 10 56.031375252|284.8977347666494 -09.0848664610598| -11.242 -3.094   |10.93    |~              |    ~     ~    
6822|TYC 8950-2084-1                                                       |Star                              |09 43 41.8334900112 -65 21 16.884538992|284.9521722736484 -09.2668774187314|  -15.700 0.772   |10.71    |~              |    ~     ~    
6823|TYC 8950-2131-1                                                       |Star                              |09 43 23.1718947792 -65 18 47.043002124|284.8996481912150 -09.2569707421643|   -3.428 6.206   |10.95    |~              |    ~     ~    
6824|TYC 8953-651-1                                                        |Star                              |09 31 04.5085689408 -65 38 44.408665644|284.1741333130311 -10.3663614756469|  -10.434 4.173   |10.979   |~              |    ~     ~    
6825|TYC 8953-774-1                                                        |Spectroscopic Binary              |09 35 48.0859782576 -66 14 46.634268012|284.9496389305276 -10.4707884912854|   -8.486 3.901   |10.42    |~              |    ~     ~    
6826|TYC 8953-968-1                                                        |Star                              |09 38 08.9536365144 -66 34 50.899847988|285.3560316306708 -10.5568195206143|   -5.814 9.226   |10.19    |~              |    ~     ~    
6827|TYC 8953-1141-1                                                       |Star                              |09 39 06.9897240048 -66 14 09.562996284|285.1921887715070 -10.2369860762258| -19.744 15.089   |10.91    |~              |    ~     ~    
6828|TYC 8953-1171-1                                                       |Star                              |09 41 16.7428557480 -66 24 52.672945932|285.4775720429497 -10.2241278449678|   -7.326 6.446   |10.72    |~              |    ~     ~    
6829|TYC 8953-1205-1                                                       |Star                              |09 39 13.0263085440 -66 45 29.882389896|285.5572609863275 -10.6164559388081| -16.261 10.068   |10.95    |~              |    ~     ~    
6830|TYC 8953-1343-1                                                       |Star                              |09 32 32.6741056416 -66 06 15.518570580|284.6072515017100 -10.5933198522445|   -7.435 0.571   |10.886   |~              |    ~     ~    
6831|TYC 8953-1370-1                                                       |Star                              |09 31 45.1433509560 -66 51 46.024017984|285.0840645806864 -11.1952317514420|   -8.958 7.610   |10.99    |~              |    ~     ~    
6832|HD 83900B                                                             |Star                              |09 38 27.347 -66 41 55.12              |285.459838 -10.623134              |       -2.3 5.9   |10.18    |~              |    ~     ~    
6833|TYC 8953-1473-1                                                       |Star                              |09 30 30.5702738520 -66 17 50.535377556|284.5930507742438 -10.8747912288127|   -9.697 3.865   |10.878   |~              |    ~     ~    
6834|TYC 8954-304-1                                                        |Star                              |09 43 34.5059239608 -67 27 28.306817208|286.3538554135706 -10.8539690389254|  -0.023 -0.524   |10.88    |~              |    ~     ~    
6835|TYC 8954-1430-1                                                       |Star                              |09 43 49.8442406976 -66 27 42.777854208|285.7032212725767 -10.0902486302753|  -10.607 8.490   |10.95    |~              |    ~     ~    
6836|TYC 8954-1680-1                                                       |Star                              |09 44 46.8220907976 -66 27 11.385214344|285.7698483629764 -10.0212236197862|  -13.821 6.258   |10.98    |~              |    ~     ~    
6837|TYC 8954-1867-1                                                       |Star                              |09 43 48.1433447880 -66 24 13.300659828|285.6620508912602 -10.0484072707088|  -3.378 -2.097   |10.95    |~              |    ~     ~    
6838|TYC 8954-2068-1                                                       |Star                              |09 44 15.6965272104 -66 28 28.658585208|285.7445946482043 -10.0714676040851| -36.720 15.090   |10.97    |~              |    ~     ~    
6839|HD 83529                                                              |High Proper Motion Star           |09 37 28.6578195336 -49 59 27.362455944|274.1385370386103 +01.7165801992296|-32.926 223.916   |7.04     |G3V            |    ~     ~    
6840|UCAC2 31330409                                                        |Star                              |09 30 50.3783768616 -01 11 52.807424388|234.9717253506191 +34.0996170384870|  10.359 10.191   |10.994   |~              |    ~     ~    
6841|UCAC3 116-120353                                                      |High Proper Motion Star           |09 30 31.6014104496 -32 05 02.416985772|260.7994705437235 +13.8982780749805|  -11.251 4.128   |10.607   |~              |    ~     ~    
6842|UCAC3 160-105708                                                      |High Proper Motion Star           |09 37 13.7523675552 -10 17 29.920573896|244.6595891493198 +29.8791973862866|-33.549 -18.730   |10.556   |~              |    ~     ~    
6843|UCAC2 26670751                                                        |Star                              |09 40 42.9830763288 -14 21 14.995669500|248.8071480625145 +27.8687253856200|  -18.843 4.217   |10.99    |~              |    ~     ~    
6844|UCAC3 38-39125                                                        |Spectroscopic Binary              |09 30 10.1533454448 -71 07 08.333411232|288.0372514213150 -14.3324309196562|  -12.554 9.755   |10.829   |~              |    ~     ~    
6845|UCAC2 18398685                                                        |Star                              |09 30 29.8215419712 -31 54 46.751326884|260.6706582231839 +14.0151515644513|   -2.246 1.124   |10.945   |~              |    ~     ~    
6846|UCAC2 3248778                                                         |Star                              |09 35 06.0052274328 -64 37 08.751031896|283.7692756827016 -09.3301588074388|   -8.754 6.587   |10.816   |~              |    ~     ~    
6847|UCAC2 30534022                                                        |High Proper Motion Star           |09 38 23.7380105664 -03 51 07.721699508|238.9045417108148 +34.0925782008727| 35.402 -66.424   |10.68    |~              |    ~     ~    
6848|UCAC2 19637830                                                        |Star                              |09 34 57.9397550280 -29 14 16.678364136|259.4280995380689 +16.5928257693367|  -2.230 -0.579   |10.751   |~              |    ~     ~    
6849|UCAC2 19639051                                                        |Star                              |09 44 45.1568141544 -29 25 35.746022928|261.1784059232009 +17.9313648985910|  -11.236 0.608   |10.809   |~              |    ~     ~    
6850|UCAC4 243-039804                                                      |Star                              |09 38 50.643048 -41 32 58.46532        |268.657672447 +08.160801946        |      1.5 -21.8   |10.862   |~              |    ~     ~    
6851|WRAY 18-145                                                           |Carbon Star                       |09 35 18.2355261216 -39 30 00.605669364|266.7557655774925 +09.2181114883747|   -6.234 3.982   |10.09    |C              |    ~     ~    
6852|UCAC2 23124419                                                        |High Proper Motion Star           |09 44 18.9815512632 -21 35 54.545265312|255.2965038947295 +23.5044704112208|-43.403 -74.636   |10.92    |~              |    ~     ~    
6853|UCAC2 807569                                                          |Star                              |09 43 33.9459983304 -74 38 35.973753756|291.3026760790518 -16.1924786605205|   2.512 -7.627   |10.91    |~              |    ~     ~    
6854|HD 83368B                                                             |Star                              |09 36 25.3660442496 -48 45 07.504506720|273.1822382371069 +02.5234188980650| -9.406 -14.005   |10.30    |F9V            |    ~     ~    
6855|HD 83368A                                                             |Star                              |09 36 25.410 -48 45 04.25              |273.181722 +02.524171              |      -3.9 -9.0   |6.230    |A8VSrCrEu      |    ~     ~    
6856|HD 83306A                                                             |Star                              |09 37 05.6550461760 -13 49 43.800046428|247.7051698099203 +27.5594586569047|   1.718 -5.586   |10.05    |~              |    ~     ~    
6857|HD 83520A                                                             |Star                              |09 37 12.651 -53 40 06.60              |276.560595 -01.051300              |     -25.1 -7.1   |6.10     |~              |    ~     ~    
6858|HD 83520B                                                             |Star                              |09 37 12.661 -53 40 05.96              |276.560494 -01.051151              |     -25.1 -7.1   |6.26     |~              |    ~     ~    
6859|HD 83900A                                                             |Star                              |09 38 27.208 -66 41 55.96              |285.459826 -10.623461              |       -2.3 5.9   |9.39     |~              |    ~     ~    
6860|UCAC4 386-054589                                                      |Star                              |09 42 49.7243854776 -12 57 36.921865572|248.0128948963940 +29.1799678303965|  -12.344 3.512   |10.727   |~              |    ~     ~    
6861|UCAC4 343-059008                                                      |Star                              |09 36 32.8932577872 -21 27 25.470283320|253.8159154114302 +22.3112712209131|  -10.724 5.946   |10.761   |~              |    ~     ~    
6862|BD-05 2821                                                            |Star                              |09 31 10.6326950705 -06 02 42.561227170|239.7097728429812 +31.3389505499633|  -0.554 -1.515   |10.493   |~              |    ~     ~    
6863|HD 83742                                                              |Star                              |09 38 26.3309 -57 31 50.827            |279.2657771 -03.8160531            |  -14.326 9.371   |7.17     |A1/2V          |    ~     ~    
6864|CD-51 4072                                                            |Star                              |09 41 25.1702 -52 03 46.839            |275.9743873 +00.5726641            |   -7.062 5.740   |9.0      |M1             |    ~     ~    
6865|CD-43 5422                                                            |High Proper Motion Star           |09 35 07.4706694008 -43 58 55.971617556|269.7980163010138 +05.9018670034457|151.869 -38.913   |10.90    |~              |    ~     ~    
6866|HD 83797A                                                             |Spectroscopic Binary              |09 39 40.9849582056 -41 39 27.198652716|268.8484408730896 +08.1853817189267|   13.591 3.744   |8.885    |(F)            |    ~     ~    
6867|HD 83775B                                                             |High Proper Motion Star           |09 39 51.4081904136 -32 55 10.257641688|262.8595216817968 +14.6612390307590| -60.620 37.210   |10.34    |~              |    ~     ~    
6868|HD 82508A                                                             |Star                              |09 32 11.7836780638 -10 50 37.055026323|244.2464637429904 +28.5736229339422| -10.251 10.919   |7.83     |K0III          |    ~     ~    
6869|HD 82988A                                                             |Star                              |09 33 17.3493774429 -57 57 48.379577950|279.0475709373025 -04.5982462266538|  -11.185 6.427   |7.50     |~              |    ~     ~    
6870|HD 82988B                                                             |Pulsating Variable                |09 33 17.4810034285 -57 57 46.841627956|279.0474939803385 -04.5977350888231|  -14.064 8.364   |7.61     |~              |    ~     ~    
6871|HD 82693B                                                             |Star                              |09 32 31.0439487024 -38 19 04.083129300|265.5343793448656 +09.7083811045548| -28.276 16.513   |10.82    |~              |    ~     ~    
6872|HD 82661B                                                             |Star                              |09 32 54.5159132232 -13 59 58.627160196|247.1030832880223 +26.6798796507920| -1.548 -13.612   |10.09    |~              |    ~     ~    
6873|HD 82774B                                                             |Star                              |09 33 10.0836470040 -36 24 11.582368164|264.2867883134060 +11.1838877528663|  -0.040 -3.034   |9.74     |~              |    ~     ~    
6874|HD 83530B                                                             |High Proper Motion Star           |09 35 54.5368986672 -67 16 54.573839400|285.6774790025273 -11.2200985576778|-54.762 -24.216   |10.16    |~              |    ~     ~    
6875|TYC 6609-2530-1                                                       |Star                              |09 36 02.8218428832 -27 31 22.551728232|258.3419200184031 +17.9793187247348|  -39.625 5.385   |9.62     |~              |    ~     ~    
6876|TYC 8597-995-1                                                        |Star                              |09 39 50.296 -59 16 12.07              |280.561761 -04.994574              |            ~ ~   |9.81     |~              |    ~     ~    
6877|TYC 6055-1929-1                                                       |High Proper Motion Star           |09 42 26.8965496872 -21 07 56.606673864|254.6015986660754 +23.5238948503737|  -2.122 -2.458   |10.92    |~              |    ~     ~    
6878|HD 83219B                                                             |Star                              |09 35 18.3564766872 -48 04 57.789434593|272.5948654217791 +02.8951078603357|   -9.520 2.462   |10.80    |~              |    ~     ~    
6879|HD 83531B                                                             |Star                              |09 35 41.5782185447 -68 12 38.360762805|286.3113867911578 -11.9110842757747| -18.635 22.601   |10.39    |~              |    ~     ~    
6880|TYC 8597-995-2                                                        |Star                              |09 39 50.440 -59 16 10.25              |280.561655 -04.993992              |            ~ ~   |9.86     |~              |    ~     ~    
6881|HD 83713B                                                             |Star                              |09 40 02.1962758296 -17 09 52.732124964|251.0111094165383 +25.8536414622026|  2.913 -19.300   |9.64     |~              |    ~     ~    
6882|CD-24 8154B                                                           |Star                              |09 30 04.036876 -24 41 07.28220        |255.213495330 +19.004694339        |     -19.5 15.6   |10.79    |~              |    ~     ~    
6883|TYC 6609-373-2                                                        |Star                              |09 30 10.546 -27 40 51.87              |257.499828 +16.944080              |       -2.0 1.0   |9.66     |~              |    ~     ~    
6884|HD 311518B                                                            |Star                              |09 30 16.949486 -71 15 56.73169        |288.151036243 -14.429789064        |     -16.1 10.9   |10.54    |~              |    ~     ~    
6885|TYC 5460-154-2                                                        |Star                              |09 30 41.115 -08 20 41.83              |241.743706 +29.842658              |      -10.4 0.8   |9.25     |~              |    ~     ~    
6886|TYC 7692-3118-2                                                       |Star                              |09 30 41.440 -38 58 03.07              |265.727601 +08.992132              |       -7.8 5.1   |10.69    |~              |    ~     ~    
6887|TYC 7696-1187-2                                                       |Star                              |09 30 45.914 -39 44 40.00              |266.281681 +08.440889              |      -17.0 5.4   |10.33    |~              |    ~     ~    
6888|HD 302269B                                                            |Star                              |09 31 25.061769 -57 24 05.40648        |278.479814850 -04.357518238        |      -9.7 13.3   |10.49    |~              |    ~     ~    
6889|TYC 5468-684-2                                                        |Star                              |09 31 26.742427 -12 13 23.81400        |245.320231652 +27.554055416        |      6.9 -16.0   |10.96    |~              |    ~     ~    
6890|BD-17 2884B                                                           |Star                              |09 31 24.964310 -17 47 01.69914        |249.990641152 +23.916569007        |     -7.7 -30.0   |10.99    |~              |    ~     ~    
6891|HD 82448A                                                             |Star                              |09 31 42.750328 -11 24 35.22543        |244.658344103 +28.122813414        |       22.1 2.6   |10.15    |~              |    ~     ~    
6892|CD-29 7546B                                                           |Star                              |09 32 05.516448 -29 34 11.15972        |259.209085776 +15.916357728        |       6.8 -8.3   |10.94    |~              |    ~     ~    
6893|HD 82612B                                                             |Star                              |09 32 01.912822 -37 54 24.85977        |265.176555327 +09.939995517        |       -3.0 3.5   |9.88     |~              |    ~     ~    
6894|HD 297504B                                                            |Spectroscopic Binary              |09 32 12.3635494296 -49 54 55.985854464|273.4607018412762 +01.2012930463101| -26.199 54.492   |10.80    |~              |    ~     ~    
6895|TYC 4900-1106-2                                                       |Star                              |09 32 16.122 -05 46 11.01              |239.643054 +31.721440              |       -2.2 3.6   |9.98     |~              |    ~     ~    
6896|TYC 6605-279-2                                                        |Star                              |09 32 38.230 -25 35 05.23              |256.324915 +18.800603              |     -15.7 -0.3   |10.69    |~              |    ~     ~    
6897|TYC 7158-2383-2                                                       |Star                              |09 32 41.527 -31 59 33.07              |261.069947 +14.285760              |     -32.4 12.7   |10.41    |~              |    ~     ~    
6898|CD-27 6693B                                                           |Star                              |09 32 42.086292 -28 26 19.95292        |258.472615532 +16.809298923        |       -2.6 0.6   |10.27    |~              |    ~     ~    
6899|CD-31 7395B                                                           |Star                              |09 33 13.461598 -32 19 39.44919        |261.394750046 +14.125009516        |    -18.1 -26.5   |10.84    |~              |    ~     ~    
6900|HD 83032B                                                             |Star                              |09 33 30.625932 -58 23 10.62540        |279.357229433 -04.888792754        |      -14.0 8.0   |10.01    |~              |    ~     ~    
6901|TYC 8945-1698-2                                                       |Star                              |09 33 41.918 -63 28 26.28              |282.864441 -08.598047              |     -17.1 -0.7   |9.78     |~              |    ~     ~    
6902|HD 82757B                                                             |High Proper Motion Star           |09 33 47.271 -10 19 44.04              |244.074027 +29.202193              |     -90.8 -0.8   |9.61     |~              |    ~     ~    
6903|TYC 7704-1651-2                                                       |High Proper Motion Star           |09 33 50.7112567224 -44 18 31.089505932|269.8506013545516 +05.5062864420790| -57.613 51.979   |10.22    |~              |    ~     ~    
6904|TYC 6038-118-2                                                        |Star                              |09 33 59.314 -18 59 33.94              |251.417146 +23.557616              |     -34.5 16.3   |10.46    |~              |    ~     ~    
6905|TYC 4900-477-2                                                        |Star                              |09 34 14.199 -07 03 21.46              |241.190221 +31.328789              |      -6.0 -2.9   |10.09    |~              |    ~     ~    
6906|HD 83282B                                                             |Star                              |09 35 10.060537 -56 58 44.09409        |278.566203984 -03.702394719        |     -14.6 27.0   |10.31    |~              |    ~     ~    
6907|TYC 7700-5-2                                                          |Star                              |09 35 26.794 -41 27 06.08              |268.116446 +07.804473              |       -4.5 3.2   |10.70    |~              |    ~     ~    
6908|TYC 8176-449-2                                                        |Star                              |09 35 22.266 -49 00 11.15              |273.222531 +02.221285              |     -22.4 10.7   |9.99     |~              |    ~     ~    
6909|BD-00 2218B                                                           |Star                              |09 35 27.490836 -01 33 37.19761        |236.130748255 +34.841720225        |      -8.8 -3.7   |10.08    |~              |    ~     ~    
6910|TYC 7692-1866-2                                                       |Star                              |09 35 48.827 -38 32 17.92              |266.165057 +09.989965              |      -4.6 11.6   |10.89    |~              |    ~     ~    
6911|TYC 8593-2112-2                                                       |Star                              |09 35 54.424413 -57 05 56.42742        |278.721734548 -03.723569423        |     -14.9 17.1   |10.80    |~              |    ~     ~    
6912|HD 304710B                                                            |High Proper Motion Star           |09 36 14.383654 -60 50 06.86158        |281.277442342 -06.458953106        |     -42.8 35.6   |10.71    |~              |    ~     ~    
6913|TYC 8168-579-2                                                        |Star                              |09 36 26.439 -46 46 32.58              |271.857638 +03.992172              |        3.2 2.7   |10.70    |~              |    ~     ~    
6914|BD-16 2839B                                                           |High Proper Motion Star           |09 36 29.6922691248 -17 28 13.484016552|250.6262942523390 +25.0246306502549| -63.029 21.694   |10.80    |~              |    ~     ~    
6915|TYC 7167-20-2                                                         |Star                              |09 36 50.977 -31 15 39.45              |261.199532 +15.427122              |       5.4 -2.1   |10.28    |~              |    ~     ~    
6916|BD-13 2902B                                                           |Star                              |09 37 06.325207 -13 46 02.80318        |247.655031103 +27.601895034        |     -8.2 -11.3   |9.70     |~              |    ~     ~    
6917|TYC 7167-65-2                                                         |Star                              |09 37 18.594 -30 25 55.19              |260.676088 +16.092824              |       8.3 -6.1   |10.61    |~              |    ~     ~    
6918|CD-25 7358B                                                           |Star                              |09 37 20.008775 -25 54 11.89783        |257.350639510 +19.329750885        |     -25.5 19.2   |10.82    |~              |    ~     ~    
6919|TYC 7692-2544-2                                                       |Star                              |09 37 35.298 -39 11 32.32              |266.873009 +09.743896              |        0.8 0.3   |10.26    |~              |    ~     ~    
6920|TYC 7167-673-2                                                        |High Proper Motion Star           |09 37 42.562 -30 12 26.71              |260.578436 +16.314349              |     25.7 -44.5   |10.33    |~              |    ~     ~    
6921|TYC 4894-80-2                                                         |Star                              |09 38 19.086 -02 10 57.70              |237.254819 +35.063450              |     -15.0 -5.5   |10.52    |~              |    ~     ~    
6922|TYC 6051-972-2                                                        |Star                              |09 38 20.321 -20 32 20.01              |253.409111 +23.247761              |       -1.5 1.4   |9.86     |~              |    ~     ~    
6923|CD-26 7297B                                                           |Star                              |09 38 38.1000400872 -26 44 28.619660220|258.1943498288785 +18.9400013364563| -39.036 30.949   |10.13    |~              |    ~     ~    
6924|HD 83610B                                                             |High Proper Motion Star           |09 38 40.719 -39 36 50.56              |267.319256 +09.574508              |    -46.0 -63.6   |8.29     |~              |    ~     ~    
6925|TYC 6055-147-2                                                        |Star                              |09 38 52.049347 -20 40 37.17157        |253.610809732 +23.241598538        |       2.7 -8.6   |10.98    |~              |    ~     ~    
6926|BD-09 2895B                                                           |High Proper Motion Star           |09 39 18.092486 -10 12 40.21165        |244.965561061 +30.322271878        |     27.9 -41.9   |10.67    |~              |    ~     ~    
6927|TYC 8168-2102-2                                                       |Star                              |09 39 23.499 -45 46 34.86              |271.569460 +05.076699              |     -23.5 18.5   |9.91     |~              |    ~     ~    
6928|HD 298592B                                                            |Star                              |09 39 41.311488 -53 01 12.07115        |276.406499362 -00.320872957        |      -14.9 1.8   |10.60    |~              |    ~     ~    
6929|TYC 8176-2370-2                                                       |Star                              |09 39 45.924 -50 08 16.56              |274.510880 +01.850363              |     -27.5 11.8   |9.26     |~              |    ~     ~    
6930|TYC 7175-205-2                                                        |Star                              |09 40 30.871 -35 27 38.19              |264.738941 +12.888103              |       -9.9 9.7   |10.99    |~              |    ~     ~    
6931|TYC 8953-1552-2                                                       |Star                              |09 40 41.830400 -66 39 16.10431        |285.596665987 -10.441273824        |       -5.8 4.4   |10.98    |~              |    ~     ~    
6932|CD-36 5876B                                                           |Star                              |09 41 06.428820 -37 14 19.48775        |266.054315713 +11.653586595        |      -21.3 8.2   |10.72    |~              |    ~     ~    
6933|HD 84120B                                                             |High Proper Motion Star           |09 41 15.0292255272 -51 09 28.487881296|275.3602964984366 +01.2381571195395| -87.638 34.907   |9.06     |~              |    ~     ~    
6934|HD 84216B                                                             |Star                              |09 41 31.733685 -57 02 14.67020        |279.252762783 -03.169859477        |      -13.1 8.0   |9.89     |~              |    ~     ~    
6935|BD-02 2954B                                                           |Star                              |09 41 37.537358 -03 37 56.38086        |239.276870302 +34.869365884        |     -19.5 -3.4   |10.74    |~              |    ~     ~    
6936|TYC 7705-474-2                                                        |Star                              |09 42 25.180398 -44 40 07.59319        |271.236141151 +06.260325965        |     -13.4 -1.0   |10.68    |~              |    ~     ~    
6937|BD-09 2908B                                                           |Star                              |09 42 50.359217 -10 11 29.85824        |245.601217220 +30.999851867        |     -18.6 -8.0   |10.83    |~              |    ~     ~    
6938|TYC 6610-204-2                                                        |Star                              |09 42 55.154 -26 32 51.50              |258.778543 +19.746300              |      -7.4 -6.5   |10.80    |~              |    ~     ~    
6939|TYC 8593-2561-2                                                       |Star                              |09 42 54.845 -56 36 25.30              |279.113892 -02.720521              |      -2.8 -0.5   |10.60    |~              |    ~     ~    
6940|TYC 9213-866-2                                                        |Star                              |09 43 39.363 -69 42 50.23              |287.889918 -12.535528              |        2.2 2.4   |10.90    |~              |    ~     ~    
