C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
146 |TYC 2876-1454-1                                                                                          |Star                          |03 50 02.4083607816 +43 26 00.662740872|153.9888475391480 -08.4112103309041|   1.062 -5.598   |10.90    |~                |    ~     ~    
147 |TYC 2876-1455-1                                                                                          |Star                          |03 55 39.3947902080 +43 31 51.152259828|154.7170334977032 -07.6848739567416|   3.288 -9.423   |10.65    |~                |    ~     ~    
148 |TYC 2876-1586-1                                                                                          |Star                          |03 55 25.9290927168 +43 25 17.420112624|154.7570264406415 -07.7946421807494|  1.542 -24.166   |10.80    |~                |    ~     ~    
149 |TYC 2876-1655-1                                                                                          |Star                          |03 54 28.5659666136 +43 22 57.324178740|154.6483943824668 -07.9363831985983|  -9.876 -6.373   |10.04    |~                |    ~     ~    
150 |TYC 2876-1782-1                                                                                          |Star                          |03 54 09.0740418720 +43 17 49.241734584|154.6583342907206 -08.0399005645727|   1.025 -3.522   |10.69    |~                |    ~     ~    
151 |TYC 3326-163-1                                                                                           |Spectroscopic Binary          |03 45 45.7537055568 +45 25 34.045026924|152.1292181422944 -07.3340867478401|   8.556 -4.857   |10.691   |~                |    ~     ~    
152 |TYC 3326-201-1                                                                                           |Star                          |03 45 04.4196006792 +45 17 48.434432604|152.1138260901711 -07.5105479692872| -5.446 -33.807   |10.335   |~                |    ~     ~    
153 |TYC 3326-453-1                                                                                           |Star                          |03 47 40.1997905880 +45 19 55.896404160|152.4526487169933 -07.1996203047398| 16.894 -21.709   |10.69    |~                |    ~     ~    
154 |TYC 3326-641-1                                                                                           |Star                          |03 45 56.3777419512 +45 14 43.922203044|152.2665755462234 -07.4566691777576| -31.172 -1.287   |9.437    |~                |    ~     ~    
155 |TYC 3326-730-1                                                                                           |Star                          |03 49 30.9601429224 +45 08 10.643681868|152.8316650260921 -07.1487702823194|  -2.113 -8.293   |10.83    |~                |    ~     ~    
156 |HD 23898                                                                                                 |Star                          |03 50 27.7562157480 +42 35 18.597453648|154.5907658281990 -09.0162169162421| 12.137 -11.137   |7.92     |M5               |    ~     ~    
157 |BD+41 754                                                                                                |Star                          |03 48 34.7559735024 +42 24 34.241198364|154.4329050009322 -09.3743499660841|  -5.079 -1.989   |9.77     |M0               |    ~     ~    
158 |HD 23839                                                                                                 |Star                          |03 49 56.8307047464 +42 24 34.049183364|154.6313013213283 -09.2149118252114| 45.040 -15.859   |9.28     |G                |    ~     ~    
159 |HD 23861                                                                                                 |Star                          |03 50 11.9320499424 +42 21 03.232940328|154.7053247229665 -09.2307535393027| -0.590 -11.003   |8.87     |A0               |    ~     ~    
