C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:08:27

dec >=0&rah >=6.75&rah< 7.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8283

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |TYC 4530-1710-1                                                                                          |Star                              |06 49 00.0973143216 +77 52 18.282202536|136.4907537905947 +26.3477678910558|   0.079 -0.881   |10.61    |~                    |    ~     ~    |    1| 1416.230   pc  | -25.2719    +25.2719  |paral   |2020yCat.1350....0G
82  |HD 49221                                                                                                 |Star                              |06 58 37.0646471208 +78 58 00.281580348|135.3210071483608 +26.9292924736923| -0.741 -23.699   |9.07     |A2                   |    ~     ~    |    1|  279.806   pc  |  -1.1587     +1.1587  |paral   |2020yCat.1350....0G
83  |TYC 4530-165-1                                                                                           |Spectroscopic Binary              |06 57 50.0337510648 +78 33 13.640276484|135.7798646267271 +26.8620081027945|  16.527 -7.879   |10.18    |~                    |    ~     ~    |    1|  754.091   pc  | -16.7753    +16.7753  |paral   |2020yCat.1350....0G
84  |TYC 4530-267-1                                                                                           |Star                              |06 59 45.9184151328 +78 23 06.050297040|135.9763109842227 +26.9463336587188| -0.418 -30.727   |10.47    |~                    |    ~     ~    |    1|  354.849   pc  |  -1.5740     +1.5740  |paral   |2020yCat.1350....0G
85  |HD 48506                                                                                                 |High Proper Motion Star           |06 54 11.1174335568 +78 00 28.146326976|136.3715823293148 +26.6314047016772|  9.372 -75.035   |7.71     |F8                   |    ~     ~    |    1|  113.220   pc  |  -0.2448     +0.2448  |paral   |2020yCat.1350....0G
86  |HD 48268                                                                                                 |Star                              |06 52 13.7844620304 +77 13 30.465036912|137.2299796645484 +26.4474304292692| -4.724 -21.534   |7.78     |A0                   |    ~     ~    |    1|  182.176   pc  |  -0.7069     +0.7069  |paral   |2020yCat.1350....0G
87  |TYC 4530-1556-1                                                                                          |Star                              |06 54 00.7808621784 +77 26 19.252100832|137.0040824937864 +26.5670038058106|  -4.790 -3.196   |10.94    |F8                   |    ~     ~    |    1|  471.187   pc  |  -2.3978     +2.3978  |paral   |2020yCat.1350....0G
88  |BD+77 260                                                                                                |Star                              |06 54 56.0962781976 +77 26 22.665670296|137.0085220266254 +26.6169794356107|  2.693 -20.420   |10.25    |K0                   |    ~     ~    |    1|  347.415   pc  |  -1.5329     +1.5329  |paral   |2020yCat.1350....0G
89  |BD+77 261                                                                                                |Star                              |06 55 46.9167805368 +77 30 15.327982116|136.9413689184232 +26.6687859019726| -9.354 -11.841   |9.62     |K2                   |    ~     ~    |    1|  605.400   pc  |  -3.9950     +3.9950  |paral   |2020yCat.1350....0G
90  |BD+77 262                                                                                                |Star                              |06 56 11.4878091360 +77 50 15.962585676|136.5717683659478 +26.7204623169786|    1.535 2.999   |9.52     |G5                   |    ~     ~    |    1|  337.724   pc  | -11.9076    +11.9076  |paral   |2020yCat.1350....0G
91  |BD+77 264                                                                                                |Star                              |06 58 00.7452516792 +77 19 57.453412440|137.1447467276372 +26.7746690874522|    4.230 9.901   |9.77     |K0                   |    ~     ~    |    1|  421.585   pc  |  -2.7727     +2.7727  |paral   |2020yCat.1350....0G
92  |TYC 4526-1514-1                                                                                          |Star                              |06 47 32.4290533584 +76 11 50.858149632|138.3299411995253 +26.0532339386661| -8.543 -22.270   |10.70    |F8                   |    ~     ~    |    1|  259.963   pc  |  -0.6961     +0.6961  |paral   |2020yCat.1350....0G
93  |BD+76 250                                                                                                |Star                              |06 48 55.5124895400 +76 34 55.100041392|137.9175663672116 +26.1851024201685|   21.595 3.807   |8.92     |K2                   |    ~     ~    |    1|  728.757   pc  |  -7.9663     +7.9663  |paral   |2020yCat.1350....0G
94  |BD+76 251                                                                                                |Star                              |06 51 13.4195075208 +76 35 45.644234208|137.9204081362014 +26.3190877934143|  10.933 -5.493   |9.17     |K0                   |    ~     ~    |    1|  558.005   pc  |  -3.7053     +3.7053  |paral   |2020yCat.1350....0G
