C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
62  |TYC 7914-695-1                                                                                           |Star                                  |18 33 02.3312704224 -43 17 07.570473576|351.6601319962940 -15.1105542841344|  7.802 -10.326   |10.90    |~                  |    ~     ~          |    1|  604.449   pc  |  -5.7727     +5.7727    |paral   |2020yCat.1350....0G
63  |TYC 7914-1391-1                                                                                          |High Proper Motion Star               |18 33 19.6583298936 -43 23 01.537534176|351.5879367618322 -15.1975556346001| 28.154 -86.756   |10.93    |~                  |    ~     ~          |    1|  202.844   pc  |  -0.8065     +0.8065    |paral   |2020yCat.1350....0G
64  |TYC 7914-1960-1                                                                                          |Star                                  |18 33 39.2886 -43 46 37.680            |351.2368772 -15.4063465            |  4.670 -16.256   |10.74    |~                  |    ~     ~          |    0|                |                         |        |                   
65  |TYC 7914-2764-1                                                                                          |Star                                  |18 33 38.6634791304 -44 38 46.197094020|350.4051115741920 -15.7428929434650|  3.935 -42.475   |10.77    |~                  |    ~     ~          |    1|  275.588   pc  |  -1.5266     +1.5266    |paral   |2020yCat.1350....0G
66  |HD 170961                                                                                                |Double or Multiple Star               |18 34 07.8109807646 -42 17 41.116416159|352.6842308317699 -14.9030090438615|   8.883 -1.425   |9.30     |A2/3IV             |    ~     ~          |    0|                |                         |        |                   
67  |HD 171000                                                                                                |Variable Star                         |18 34 18.1141165752 -42 35 26.542241052|352.4157397311757 -15.0490139311136|    2.668 3.917   |7.63     |G8III              |    ~     ~          |    1|  234.384   pc  |  -1.3404     +1.3404    |paral   |2020yCat.1350....0G
68  |HD 171102                                                                                                |Star                                  |18 34 48.7000840968 -42 19 30.667617624|352.7067950476910 -15.0307776414905| 14.370 -21.400   |9.48     |K1III              |    ~     ~          |    1|  558.410   pc  |  -7.4837     +7.4837    |paral   |2020yCat.1350....0G
69  |HD 171139                                                                                                |Star                                  |18 34 57.2588475336 -42 06 15.299905176|352.9277734156742 -14.9679329125977|  -4.939 -6.168   |9.38     |G8/K0(III)         |    ~     ~          |    1|  439.792   pc  |  -2.9206     +2.9206    |paral   |2020yCat.1350....0G
70  |HD 171272                                                                                                |Star                                  |18 35 50.6147919696 -42 37 59.839601664|352.4904487464340 -15.3266341278709|   2.439 -3.926   |9.06     |K5(V)              |    ~     ~          |    1|  744.380   pc  | -10.9712    +10.9712    |paral   |2020yCat.1350....0G
71  |HD 171477                                                                                                |Star                                  |18 36 57.4116136224 -42 06 34.233488568|353.0736650246265 -15.3116589359489|   1.382 -8.380   |8.46     |B8IV               |    ~     ~          |    1|  512.978   pc  |  -9.3680     +9.3680    |paral   |2020yCat.1350....0G
