C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
97  |BD+74 413                                                                                                                                                                      |Star                           |09 58 30.7427433408 +73 52 45.093722880|136.9326980419575 +38.1776519058418|-24.399 -14.917   |9.20     |K0             |    ~     ~    
98  |BD+77 381                                                                                                                                                                      |Star                           |09 47 23.7747036816 +76 20 50.774788068|135.0622462164849 +36.0858907735615|   -1.011 7.883   |9.82     |K0             |    ~     ~    
99  |BD+77 382                                                                                                                                                                      |Star                           |09 48 03.6302221176 +76 26 57.668626068|134.9329473933796 +36.0544410590111|  10.586 -0.499   |9.62     |K5             |    ~     ~    
100 |HD 85582                                                                                                                                                                       |Spectroscopic Binary           |09 57 52.0974877656 +76 36 46.738125648|134.3283653238830 +36.3935537180824|   -8.982 8.648   |7.81     |G5             |    ~     ~    
101 |HD 83961                                                                                                                                                                       |High Proper Motion Star        |09 47 10.4517110232 +76 17 39.147679212|135.1243763140056 +36.1079239167379| -63.502 -4.563   |8.60     |G0             |    ~     ~    
102 |BD+77 387                                                                                                                                                                      |Star                           |09 55 07.9671748128 +76 24 57.075689232|134.6433049286043 +36.3987533241844|-13.513 -15.222   |10.19    |F5             |    ~     ~    
103 |BD+77 388                                                                                                                                                                      |Star                           |09 56 24.1035146664 +76 29 06.943590816|134.5179081307382 +36.4112247924401|   -5.574 3.643   |9.86     |F2             |    ~     ~    
104 |BD+76 3952                                                                                                                                                                     |High Proper Motion Star        |09 46 48.4860560984 +76 02 38.100552672|135.3872105310832 +36.2425000728480|87.367 -1000.440  |10.764   |M1.5V          |    ~     ~    
105 |BD+76 364                                                                                                                                                                      |Star                           |09 47 21.9751760928 +76 01 26.099531148|135.3816062993319 +36.2814068931561| -7.521 -13.943   |9.71     |F2             |    ~     ~    
106 |HD 84647                                                                                                                                                                       |Star                           |09 51 44.1050126688 +76 08 14.625505284|135.0696830562219 +36.4184850300691|  -32.491 1.838   |9.32     |G              |    ~     ~    
107 |TYC 4542-1003-1                                                                                                                                                                |Star                           |09 54 01.4995958232 +75 46 23.454415884|135.3144034406072 +36.7551421473136|-12.488 -16.320   |10.61    |F0             |    ~     ~    
108 |HD 85414                                                                                                                                                                       |High Proper Motion Star        |09 56 29.2342571040 +76 08 37.960709856|134.8391852671614 +36.6346298897716|-47.032 -61.609   |9.03     |G              |    ~     ~    
109 |BD+76 369                                                                                                                                                                      |Star                           |09 56 47.2426155432 +76 12 41.672192004|134.7602120233954 +36.6048525400994|   0.956 -5.965   |10.17    |K0             |    ~     ~    
110 |BD+76 365                                                                                                                                                                      |Star                           |09 48 45.2696339520 +75 24 09.995641776|135.9307209993161 +36.7267469106384|   -4.092 6.380   |9.74     |G5             |    ~     ~    
111 |HD 84387                                                                                                                                                                       |High Proper Motion Star        |09 49 53.1479002416 +75 42 31.624550280|135.5749770521921 +36.5956704410788|-49.404 -15.297   |9.27     |G0             |    ~     ~    
112 |BD+76 370                                                                                                                                                                      |High Proper Motion Star        |09 59 28.2676819392 +75 45 36.923630148|135.0589606743101 +37.0206345265101|  -66.327 4.466   |10.24    |F5             |    ~     ~    
113 |HD 84310                                                                                                                                                                       |Star                           |09 49 05.5061220648 +75 07 51.826217232|136.1841870118714 +36.9087230378866|  -35.476 0.758   |9.62     |F8             |    ~     ~    
114 |BD+75 393                                                                                                                                                                      |Star                           |09 49 11.5258685496 +75 06 48.226186224|136.1968669083889 +36.9245601088689|-15.029 -18.655   |9.69     |K              |    ~     ~    
115 |V* MW Dra                                                                                                                                                                      |Eclipsing Binary               |09 50 17.1271951032 +74 58 15.981322404|136.2845543826967 +37.0671048424826|   10.009 2.498   |9.09     |G              |    ~     ~    
116 |HD 85160                                                                                                                                                                       |Star                           |09 54 22.6307770896 +74 24 44.336322540|136.6298140470496 +37.6237197273242|  -3.571 -2.135   |9.10     |G0             |    ~     ~    
117 |BD+75 398                                                                                                                                                                      |High Proper Motion Star        |09 57 43.9370759568 +75 05 03.991389648|135.7964435321206 +37.3721901774592|-46.577 -32.908   |10.42    |G5             |    ~     ~    
118 |TYC 4389-94-1                                                                                                                                                                  |Star                           |09 58 51.9384525120 +74 14 04.335830628|136.5639093516128 +37.9713108662242|-14.329 -15.996   |10.25    |F8             |    ~     ~    
119 |TYC 4389-1285-1                                                                                                                                                                |Star                           |09 59 48.2088279720 +74 01 24.444559560|136.7188567079780 +38.1551135315647|  -1.113 -4.899   |10.42    |~              |    ~     ~    
120 |TYC 4541-2323-1                                                                                                                                                                |Spectroscopic Binary           |09 45 02.9490583560 +76 27 36.838040868|135.0547091469643 +35.9078128642892|  2.715 -19.960   |10.93    |~              |    ~     ~    
121 |TYC 4542-950-1                                                                                                                                                                 |Star                           |09 56 56.1821615952 +76 39 43.582782636|134.3253447111104 +36.3207087490180| -15.032 -9.182   |10.95    |~              |    ~     ~    
122 |TYC 4542-1016-1                                                                                                                                                                |Star                           |09 50 11.7887499192 +76 38 56.052616884|134.6439984125139 +36.0287428251549|  13.260 -1.827   |9.71     |~              |    ~     ~    
123 |TYC 4542-2666-1                                                                                                                                                                |Star                           |09 52 01.1047373256 +75 09 14.881494636|136.0176049821158 +37.0429551023099| 12.140 -10.785   |10.77    |~              |    ~     ~    
124 |BD+75 391                                                                                                                                                                      |Star                           |09 46 13.2411647112 +74 54 53.658139968|136.5396047606032 +36.8900979076084| -13.544 -4.915   |10.05    |K0             |    ~     ~    
125 |BD+74 408                                                                                                                                                                      |Star                           |09 46 14.4633338664 +73 20 36.183829128|138.1389872893382 +37.8138893727413|    5.222 3.371   |9.21     |G5             |    ~     ~    
126 |HD 84229                                                                                                                                                                       |High Proper Motion Star        |09 47 58.7998840920 +73 38 42.427618440|137.7379606909294 +37.7375774237201| -85.008 32.137   |8.51     |G0             |    ~     ~    
127 |TYC 4389-254-1                                                                                                                                                                 |Star                           |09 47 00.1486790040 +74 48 33.921041184|136.6076969100444 +36.9938755435067|   -3.705 1.665   |10.67    |~              |    ~     ~    
128 |TYC 4389-260-1                                                                                                                                                                 |High Proper Motion Star        |09 51 07.6619328552 +74 12 31.007813796|137.0029468104751 +37.5751854271811|-54.697 -83.868   |10.84    |~              |    ~     ~    
