C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
97  |TYC 7980-878-1                                                                                           |Star                                  |21 36 54.5486673624 -38 48 24.863744412|004.0259839638279 -48.0830634121515|  15.067 -1.259   |10.83    |~              |    ~     ~    |    1|  464.296   pc  | -12.3091    +12.3091  |paral   |2020yCat.1350....0G
98  |TYC 7980-976-1                                                                                           |Star                                  |21 37 43.2204226080 -38 48 26.664663060|004.0202519080423 -48.2410509839436|  4.272 -10.201   |10.48    |~              |    ~     ~    |    1|  796.178   pc  | -11.4102    +11.4102  |paral   |2020yCat.1350....0G
99  |TYC 7981-161-1                                                                                           |Star                                  |21 44 33.6113870928 -37 38 30.870384036|005.7526429496763 -49.6075719983882| 22.660 -11.453   |10.51    |~              |    ~     ~    |    1|  258.408   pc  |  -4.8560     +4.8560  |ST-L    |2020AJ....160...83S
100 |TYC 7981-238-1                                                                                           |Star                                  |21 42 44.7139941648 -37 39 30.560285808|005.7357382991130 -49.2481079137937|  22.250 -8.264   |10.79    |~              |    ~     ~    |    1| 1002.506   pc  | -15.6783    +15.6783  |paral   |2020yCat.1350....0G
101 |TYC 7981-353-1                                                                                           |Spectroscopic Binary                  |21 43 16.8259354872 -39 09 12.922183548|003.4401770346307 -49.3093576332550|  0.347 -11.475   |10.91    |~              |    ~     ~    |    1| 3987.241   pc  |-257.5490   +257.5490  |paral   |2020yCat.1350....0G
102 |GSC 07981-00480                                                                                          |Double or Multiple Star               |21 44 51.0283111176 -37 41 32.821047888|005.6729526695573 -49.6640583785571|  11.652 -0.251   |10.774   |~              |    ~     ~    |    1|  860.882   pc  | -23.4934    +23.4934  |paral   |2020yCat.1350....0G
103 |TYC 7981-642-1                                                                                           |Star                                  |21 41 08.4937007448 -38 57 27.194089140|003.7647257146074 -48.9022951547510| -14.929 -4.731   |10.69    |~              |    ~     ~    |    1|  990.001   pc  | -16.0737    +16.0737  |paral   |2020yCat.1350....0G
104 |TYC 7981-949-1                                                                                           |Star                                  |21 44 45.8913530376 -37 45 20.382203556|005.5758606631863 -49.6458542734993|  14.050 -8.503   |10.93    |~              |    ~     ~    |    1|  933.620   pc  | -13.2490    +13.2490  |paral   |2020yCat.1350....0G
105 |CD-38 14664                                                                                              |Asymptotic Giant Branch Star          |21 39 54.2011316847 -37 59 12.232234800|005.2466262762863 -48.6827859072489|   8.810 -6.044   |10.13    |M8             |    ~     ~    |    1|  433.896   pc  | -16.5486    +16.5486  |paral   |2020yCat.1350....0G
106 |HD 204766                                                                                                |Double or Multiple Star               |21 31 48.3506 -35 34 07.823            |008.7963801 -47.0090113            |      22.7 56.9   |8.65     |F5/6V          |    ~     ~    |    0|                |                       |        |                   
107 |CD-36 14849                                                                                              |Pulsating Variable                    |21 32 46.3247344920 -35 45 03.315132216|008.5442464026496 -47.2145073829251|   6.408 -0.695   |10.64    |A0             |    ~     ~    |    1|  770.654   pc  | -16.9263    +16.9263  |paral   |2020yCat.1350....0G
108 |CD-36 14845                                                                                              |Star                                  |21 31 50.6186310528 -35 37 30.818485020|008.7144138937293 -47.0197533220798|  -42.226 1.797   |10.69    |~              |    ~     ~    |    1|  220.405   pc  |  -0.9764     +0.9764  |paral   |2020yCat.1350....0G
109 |HD 204530                                                                                                |Star                                  |21 30 10.6698149136 -33 26 22.129354104|011.8583497064745 -46.5116602777926|    4.862 8.684   |9.49     |K1III(CNII)    |    ~     ~    |    1|  403.323   pc  |  -3.5299     +3.5299  |paral   |2020yCat.1350....0G
110 |HD 204648                                                                                                |Star                                  |21 30 59.0816730912 -33 24 10.048291740|011.9353405407981 -46.6756499172081| -8.848 -13.608   |9.38     |K0III          |    ~     ~    |    1|  254.001   pc  |  -1.2581     +1.2581  |paral   |2020yCat.1350....0G
111 |CD-34 15111                                                                                              |Star                                  |21 32 17.1333052704 -33 34 17.177001456|011.7272420751994 -46.9615345774233|  12.973 -2.498   |9.76     |~              |    ~     ~    |    1|  541.419   pc  |  -5.7454     +5.7454  |paral   |2020yCat.1350....0G
112 |HD 204619                                                                                                |Star                                  |21 30 46.1170709304 -33 58 25.073167440|011.1008034615328 -46.6833304311929| 27.580 -26.353   |10.053   |F5V            |    ~     ~    |    1|  205.215   pc  |  -3.0950     +3.0950  |ST-L    |2020AJ....160...83S
113 |HD 204705                                                                                                |Star                                  |21 31 22.5740962560 -33 53 25.009410012|011.2379697693419 -46.8016385023777|   5.316 -4.948   |9.34     |K0III          |    ~     ~    |    1|  548.998   pc  |  -6.2992     +6.2992  |paral   |2020yCat.1350....0G
114 |* 6 PsA                                                                                                  |Variable Star                         |21 32 14.5697630040 -33 56 40.653538260|011.1812808132757 -46.9854185239806|  -5.215 -3.775   |5.958    |A2V            |    ~     ~    |    1|  158.295   pc  |  -5.1117     +5.1117  |paral   |2020yCat.1350....0G
115 |CD-35 14815                                                                                              |High Proper Motion Star               |21 30 26.1922164384 -34 48 28.082345940|009.8807860456855 -46.6813819749908|-50.422 -55.921   |10.86    |~              |    ~     ~    |    1|  192.828   pc  |  -2.7550     +2.7550  |ST-L    |2020AJ....160...83S
116 |CD-35 14818                                                                                              |High Proper Motion Star               |21 31 10.0740343680 -35 12 55.920920724|009.3016441202497 -46.8583696149285| 32.717 -72.491   |9.915    |G5             |    ~     ~    |    1|  138.219   pc  |  -2.4530     +2.4530  |ST-L    |2020AJ....160...83S
117 |CD-35 14822                                                                                              |Star                                  |21 31 29.6539793448 -35 06 32.386288716|009.4634285896988 -46.9181481823358| 36.493 -16.888   |9.51     |G5             |    ~     ~    |    1|  184.274   pc  |  -0.9236     +0.9236  |paral   |2020yCat.1350....0G
118 |HD 204728                                                                                                |Star                                  |21 31 39.1770176232 -35 04 39.076174344|009.5124882973300 -46.9485202872519|  3.724 -16.522   |8.14     |F3II/III       |    ~     ~    |    1|  194.447   pc  |  -1.2742     +1.2742  |paral   |2020yCat.1350....0G
119 |CD-35 14825                                                                                              |Star                                  |21 31 44.0373689112 -34 38 57.879503844|010.1397368286489 -46.9358159819978|   12.753 3.914   |10.442   |~              |    ~     ~    |    1|  766.878   pc  | -36.5600    +36.5600  |ST-L    |2020AJ....160...83S
120 |CD-35 14833                                                                                              |Eclipsing Binary                      |21 32 09.3549487080 -34 42 51.375446712|010.0539640537013 -47.0269619020724|-24.289 -59.346   |10.14    |F2             |    ~     ~    |    1|  257.215   pc  |  -1.4489     +1.4489  |paral   |2020yCat.1350....0G
121 |HD 204914                                                                                                |Star                                  |21 32 42.8473316592 -34 36 16.320465648|010.2266044988016 -47.1337206207295|  -1.062 -2.954   |9.32     |F7V            |    ~     ~    |    1|  180.920   pc  |  -0.6481     +0.6481  |paral   |2020yCat.1350....0G
122 |CD-35 14846                                                                                              |Star                                  |21 33 42.9494179680 -35 24 17.031640140|009.0686372534360 -47.3883223246290| -10.574 -1.096   |10.013   |K2             |    ~     ~    |    1|  471.171   pc  | -18.3600    +18.3600  |ST-L    |2020AJ....160...83S
123 |CD-34 15092                                                                                              |High Proper Motion Star               |21 30 01.0971026400 -33 43 24.102738624|011.4431527671118 -46.5056674497714|-26.473 -48.117   |10.86    |~              |    ~     ~    |    1|  235.966   pc  |  -1.2027     +1.2027  |paral   |2020yCat.1350....0G
