C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
68  |TYC 3146-21-1                                                                                                                               |Star                           |19 22 10.7709955608 +43 10 34.581489600|075.0506562032612 +13.0151174831183|  -4.549 -6.759    |10.23    |~                  |    ~     ~          
69  |TYC 3146-99-1                                                                                                                               |Spectroscopic Binary           |19 27 17.4263461488 +43 31 21.610479360|075.7810982532530 +12.3256266314342|-20.303 -14.840    |10.04    |G0.5V              |    ~     ~          
70  |TYC 3146-126-1                                                                                                                              |Star                           |19 28 22.1267923440 +43 18 07.279992972|075.6658651753899 +12.0529559722559|    3.708 4.129    |10.11    |K1IV               |    ~     ~          
71  |TYC 3146-145-1                                                                                                                              |Eruptive Variable              |19 28 08.5051597416 +44 55 12.008922024|077.1381124821780 +12.7961811111135|   -1.166 0.399    |10.29    |G9III              |    ~     ~          
72  |TYC 3146-202-1                                                                                                                              |Star                           |19 26 38.8851633696 +44 55 48.244547568|077.0302478873140 +13.0389779705691|-32.530 -11.761    |10.91    |~                  |    ~     ~          
73  |TYC 3146-225-1                                                                                                                              |Star                           |19 25 33.8350527048 +43 08 42.591187428|075.2933048982264 +12.4442817066103|    6.478 1.232    |10.89    |F2V                |    ~     ~          
74  |TYC 3146-242-1                                                                                                                              |Red Giant Branch star          |19 25 16.5842007264 +44 31 17.871847392|076.5442073763770 +13.0838073357268| -18.969 -1.276    |10.88    |G9IIIb             |    ~     ~          
75  |TYC 3146-332-1                                                                                                                              |Star                           |19 21 23.5719931800 +43 46 16.932701100|075.5425608224766 +13.3961253504342|    0.993 1.070    |10.63    |~                  |    ~     ~          
76  |TYC 3146-333-1                                                                                                                              |Star                           |19 26 40.0908070416 +43 24 16.974916380|075.6220582321601 +12.3758808274335|  -0.158 -6.856    |10.85    |A8III              |    ~     ~          
77  |TYC 3146-341-1                                                                                                                              |Horizontal Branch Star         |19 26 27.8090118096 +44 20 03.580346004|076.4641416956998 +12.8119450962289|    1.743 5.544    |10.03    |~                  |    ~     ~          
78  |TYC 3146-398-1                                                                                                                              |Rotating Variable              |19 26 33.5537992056 +43 45 49.453048476|075.9444755555161 +12.5495882527855|   1.726 12.753    |9.85     |A7III              |    ~     ~          
79  |TYC 3146-445-1                                                                                                                              |Rotating Variable              |19 23 35.6829970152 +44 52 51.573169596|076.7478007362838 +13.5071040241226|  -6.610 -6.938    |10.70    |A3V                |    ~     ~          
