C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |HD 326701                                                                                                |Star                                  |17 01 56.2123907352 -43 35 42.634480848|342.9651048145846 -01.0342533789141|  8.364 -17.469    |10.84    |G0             |    ~     ~    |    1|  186.850   pc  |  -1.0963     +1.0963  |paral   |2020yCat.1350....0G
71  |HD 326721                                                                                                |Star                                  |17 01 22.9813325256 -44 02 20.488670124|342.5531359967263 -01.2274652507865|  -2.826 -1.297    |10.66    |A2             |    ~     ~    |    1|  756.945   pc  | -10.2561    +10.2561  |paral   |2020yCat.1350....0G
72  |HD 326644                                                                                                |Star                                  |17 03 12.6542624208 -42 10 56.767791144|344.2260281264528 -00.3555711201322|   0.654 -2.456    |10.82    |A0             |    ~     ~    |    1| 1040.042   pc  | -15.7926    +15.7926  |paral   |2020yCat.1350....0G
73  |HD 326646                                                                                                |Star                                  |17 03 21.2906770896 -42 18 06.255590472|344.1476906815046 -00.4494127515934| -11.550 -1.439    |10.72    |K5             |    ~     ~    |    1|  787.960   pc  |  -9.1269     +9.1269  |paral   |2020yCat.1350....0G
74  |HD 326661                                                                                                |Star                                  |17 02 46.1756134200 -42 29 10.840365456|343.9354894968624 -00.4764182134587|   0.300 -8.209    |10.95    |K0             |    ~     ~    |    0|                |                       |        |                   
75  |HD 326723                                                                                                |Star                                  |17 01 36.0890220192 -44 01 24.912031620|342.5894250347678 -01.2490033914143|  -0.508 -4.595    |10.53    |G0             |    ~     ~    |    1|  849.257   pc  | -24.4499    +24.4499  |paral   |2020yCat.1350....0G
76  |HD 326790                                                                                                |Star                                  |17 05 10.3625230008 -41 41 07.422579420|344.8424950626877 -00.3434338504789|  -0.696 -2.151    |10.64    |B3             |    ~     ~    |    1| 1619.695   pc  | -96.0169    +96.0169  |paral   |2020yCat.1350....0G
77  |HD 326775                                                                                                |Star                                  |17 05 31.3097849352 -41 31 20.111206584|345.0118888900013 -00.2967288781606|   2.365 -4.854    |10.55    |O6.5V(n)((f))z |    ~     ~    |    1| 1646.091   pc  | -48.5021    +48.5021  |paral   |2020yCat.1350....0G
78  |HD 326763                                                                                                |Star                                  |17 06 32.3090620584 -41 26 38.640409044|345.1891184318689 -00.4014125765587|     -0.0 -18.3    |9.89     |A5             |    ~     ~    |    0|                |                       |        |                   
79  |HD 326777                                                                                                |High Proper Motion Star               |17 06 44.0564633184 -41 39 05.792950152|345.0454241823536 -00.5555851452400|-51.719 -30.726    |10.35    |G5             |    ~     ~    |    1|  104.653   pc  |  -0.4304     +0.4304  |paral   |2020yCat.1350....0G
80  |HD 154370                                                                                                |Star                                  |17 06 54.5392952256 -41 39 38.141785260|345.0578741927967 -00.5870613603880|-11.547 -16.249    |8.88     |A1/2V          |    ~     ~    |    1|  203.388   pc  |  -3.4620     +3.4620  |ST-L    |2020AJ....160...83S
81  |HD 326782                                                                                                |Star                                  |17 07 01.0002018408 -41 54 19.930315500|344.8741810585141 -00.7503421879854|  -0.443 -1.938    |10.86    |B0             |    ~     ~    |    1| 2316.423   pc  | -85.3165    +85.3165  |paral   |2020yCat.1350....0G
82  |HD 326793                                                                                                |Pulsating Variable                    |17 04 47.7158434176 -41 42 48.195956592|344.7775471284863 -00.3043276305327|    9.850 0.285    |9.52     |M0             |    ~     ~    |    1|  969.650   pc  | -26.5142    +26.5142  |paral   |2020yCat.1350....0G
83  |HD 326774                                                                                                |Star                                  |17 04 53.2406637552 -41 35 54.689089848|344.8793396384276 -00.2484003538867|    1.449 1.590    |10.25    |K2             |    ~     ~    |    1|  812.810   pc  | -11.9579    +11.9579  |paral   |2020yCat.1350....0G
84  |HD 326784                                                                                                |Star                                  |17 05 57.4715800104 -41 52 06.491502120|344.7850960982214 -00.5706982042763|  -2.716 -0.043    |10.84    |F0             |    ~     ~    |    1|  675.037   pc  |  -6.7896     +6.7896  |paral   |2020yCat.1350....0G
85  |HD 326788                                                                                                |Star                                  |17 05 19.5124165896 -41 44 11.430522888|344.8190203136792 -00.3970204598005| -4.371 -40.411    |10.23    |G0             |    ~     ~    |    1|  228.264   pc  |  -0.9170     +0.9170  |paral   |2020yCat.1350....0G
