C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
72  |HD 109940                                                                                                                                                                                                                                                                               |Double or Multiple Star             |12 37 11.506248 +75 52 59.02824        |124.085995547 +41.213250287        |    -84.2 -18.6   |9.89     |K0             |    ~     ~    |    0|                |                       |        |                   
73  |HD 110023                                                                                                                                                                                                                                                                               |Star                                |12 37 46.1349483744 +76 04 01.121261988|124.0221410019566 +41.0323262783811| -10.825 -4.941   |9.62     |G5             |    ~     ~    |    1|   56.348   pc  |  -0.0365     +0.0365  |paral   |2020yCat.1350....0G
74  |HD 110063                                                                                                                                                                                                                                                                               |Star                                |12 38 00.3530983704 +75 52 09.037319304|124.0214529616573 +41.2306475330078|   1.880 18.410   |9.77     |G0             |    ~     ~    |    1|  217.481   pc  |  -0.5439     +0.5439  |paral   |2020yCat.1350....0G
75  |HD 110422                                                                                                                                                                                                                                                                               |Star                                |12 40 33.4220396112 +75 54 21.032667720|123.8120686668175 +41.2038099121566|   7.170 -9.162   |7.27     |K0             |    ~     ~    |    1|  341.880   pc  |  -1.8701     +1.8701  |paral   |2020yCat.1350....0G
76  |HD 110512                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 41 06.4925991888 +76 10 48.510266556|123.7481842164298 +40.9317349708018|  -70.578 8.859   |8.14     |K0             |    ~     ~    |    1|  271.385   pc  |  -1.1268     +1.1268  |paral   |2020yCat.1350....0G
77  |TYC 4551-79-1                                                                                                                                                                                                                                                                           |Star                                |12 38 47.6520088512 +76 48 12.997749600|123.8776687061653 +40.3014153845606| -10.738 -4.890   |10.74    |~              |    ~     ~    |    1|  943.218   pc  | -10.1421    +10.1421  |paral   |2020yCat.1350....0G
78  |TYC 4551-212-1                                                                                                                                                                                                                                                                          |High Proper Motion Star             |12 40 32.7879109800 +76 26 13.676190972|123.7735587444869 +40.6733166865659| -122.266 1.113   |10.97    |~              |    ~     ~    |    1|  183.756   pc  |  -0.3883     +0.3883  |paral   |2020yCat.1350....0G
79  |TYC 4551-264-1                                                                                                                                                                                                                                                                          |Star                                |12 40 44.5465568784 +76 58 50.525851620|123.7195138166895 +40.1311906040671|   13.114 2.040   |10.21    |~              |    ~     ~    |    1|  226.070   pc  |  -0.8228     +0.8228  |paral   |2020yCat.1350....0G
80  |TYC 4551-359-1                                                                                                                                                                                                                                                                          |Star                                |12 42 51.9077725224 +76 37 10.395652080|123.5840093116712 +40.4978419798656|  -13.808 0.986   |10.17    |~              |    ~     ~    |    1|  416.667   pc  |  -2.7951     +2.7951  |paral   |2020yCat.1350....0G
81  |TYC 4551-395-1                                                                                                                                                                                                                                                                          |Star                                |12 30 07.1344117944 +77 29 33.100579428|124.4273938058072 +39.5737555427681|-25.082 -19.679   |10.07    |~              |    ~     ~    |    1| 2531.005   pc  | -73.6688    +73.6688  |paral   |2020yCat.1350....0G
82  |TYC 4551-766-1                                                                                                                                                                                                                                                                          |Star                                |12 32 43.0208655144 +77 09 02.385198000|124.2878202279405 +39.9282631826314|    1.865 6.301   |10.88    |~              |    ~     ~    |    1|  406.884   pc  |  -1.7880     +1.7880  |paral   |2020yCat.1350....0G
83  |TYC 4551-793-1                                                                                                                                                                                                                                                                          |Star                                |12 36 31.2221390352 +76 24 48.836845440|124.0864324112374 +40.6812287389591|    5.468 0.410   |10.28    |~              |    ~     ~    |    1| 1152.339   pc  | -13.0133    +13.0133  |paral   |2020yCat.1350....0G
