C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2537|* o Per                                                                                                  |Star                                  |03 42 22.6455526 +33 57 54.089323      |158.9198823094 -16.7030124073      |     2.71 -5.91    |4.972    |B0.5V             |    ~     ~    |    1|  329.9241  pc  | -24.7525    +24.7525  |paral   |2018yCat.1345....0G
2538|HD 22976                                                                                                 |High Proper Motion Star               |03 42 36.7688070552 +33 33 21.032901288|159.2294576952163 -16.9894316667155| 31.953 -66.943    |8.35     |K2                |    ~     ~    |    1|  169.678   pc  |  -1.0250     +1.0250  |paral   |2020yCat.1350....0G
2539|HD 278881                                                                                                |Star                                  |03 39 21.1115160288 +32 43 59.313742752|159.2158695276949 -18.0583479787285| 14.555 -32.587    |10.06    |K0                |    ~     ~    |    1|   97.519   pc  |  -0.4641     +0.4641  |paral   |2020yCat.1350....0G
2540|HD 278884                                                                                                |Star                                  |03 39 22.9324904688 +32 33 24.383512404|159.3373549670773 -18.1918269818151|  4.534 -17.054    |9.52     |A5                |    ~     ~    |    1|  202.823   pc  |  -0.9132     +0.9132  |paral   |2020yCat.1350....0G
2541|HD 278874                                                                                                |Spectroscopic Binary                  |03 39 48.9632264856 +33 28 24.328943076|158.8091732486266 -17.4200515158103| -36.116 -2.591    |9.05     |K2                |    ~     ~    |    1|   39.317   pc  |  -0.0493     +0.0493  |paral   |2020yCat.1350....0G
2542|HD 278875                                                                                                |High Proper Motion Star               |03 39 54.7454562312 +33 27 09.224505396|158.8392855164838 -17.4237590916111| 33.585 -42.378    |9.79     |G0                |    ~     ~    |    1|  134.486   pc  |  -0.2984     +0.2984  |paral   |2020yCat.1350....0G
2543|HD 278880                                                                                                |Star                                  |03 40 05.9814029304 +32 48 29.531067660|159.2951487893809 -17.9013119596778| 14.467 -17.123    |9.14     |K2                |    ~     ~    |    1|  314.634   pc  |  -2.5046     +2.5046  |paral   |2020yCat.1350....0G
2544|AG+32 343                                                                                                |Long-Period Variable Candidate        |03 41 02.3174612520 +33 08 51.595989864|159.2319350284774 -17.5135193799723|   0.292 -2.824    |10.55    |M2                |    ~     ~    |    1| 1797.91    pc  |-110.875    +110.875   |paral   |2020yCat.1350....0G
2545|HD 22963                                                                                                 |High Proper Motion Star               |03 42 27.6480316344 +32 56 21.183894636|159.6122679596016 -17.4869888055573| 10.076 -98.904    |6.76     |F8                |    ~     ~    |    1|   70.664   pc  |  -1.1225     +1.1225  |paral   |2020yCat.1350....0G
2546|BD+32 659B                                                                                               |Star                                  |03 42 25.5715620024 +32 56 56.690763072|159.5998273158955 -17.4839556335630|   7.378 -6.694    |10.1     |~                 |    ~     ~    |    1|  251.566   pc  |  -1.5442     +1.5442  |paral   |2020yCat.1350....0G
2547|HD 23027                                                                                                 |Star                                  |03 43 01.4356350984 +33 19 28.576403436|159.4520158015546 -17.1141456319269| -13.161 -4.033    |9.28     |A5V               |    ~     ~    |    1|  169.825   pc  |  -0.5970     +0.5970  |paral   |2020yCat.1350....0G
2548|HD 281153                                                                                                |Spectroscopic Binary                  |03 43 41.0070962760 +32 37 32.081877984|160.0293553077468 -17.5658749854932| -0.051 -34.574    |9.10     |G0                |    ~     ~    |    1|  119.890   pc  |  -0.2602     +0.2602  |paral   |2020yCat.1350....0G
2549|HD 281154                                                                                                |Variable Star                         |03 43 55.2272544360 +32 37 47.656012836|160.0667764585134 -17.5307221030608| 14.630 -14.209    |9.27     |A7                |    ~     ~    |    1|  150.204   pc  |  -0.8618     +0.8618  |paral   |2020yCat.1350....0G
2550|HD 278885                                                                                                |Star                                  |03 38 54.7856784672 +32 14 53.664880812|159.4596955764691 -18.4943371432018| 18.794 -23.212    |10.49    |G0                |    ~     ~    |    1|  134.677   pc  |  -0.4462     +0.4462  |paral   |2020yCat.1350....0G
2551|HD 278938                                                                                                |Star                                  |03 42 23.0191542288 +32 24 36.726562224|159.9511958338888 -17.9063507115724|  35.648 -6.684    |9.70     |F5                |    ~     ~    |    1|  133.996   pc  |  -1.4149     +1.4149  |paral   |2020yCat.1350....0G
2552|* omi Per A                                                                                              |Spectroscopic Binary                  |03 44 19.1337687984 +32 17 17.687367960|160.3636817513582 -17.7398455302583|   6.091 -9.732    |3.91     |~                 |    ~     ~    |    0|                |                       |        |                   
2553|* omi Per B                                                                                              |Star                                  |03 44 19.183 +32 17 18.73              |160.363627 -17.739512              |      9.3 -13.7    |6.68     |~                 |    ~     ~    |    0|                |                       |        |                   
2554|MSX6C G160.4913-17.7976                                                                                  |Composite Object, Blend               |03 44 35.11 +32 09 57.6                |160.49131 -17.79767                |            ~ ~    |8.51     |~                 |    ~     ~    |    0|                |                       |        |                   
