C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |HD 25341                                                                                                 |Star                               |04 01 28.7633165472 -02 38 37.697416908|193.0342302622958 -38.4288006545852| 39.246 -10.039   |9.77     |F6IV           |    ~     ~    |    1|  289.042   pc  | -25.0804    +25.0804  |paral   |2020yCat.1350....0G
71  |HD 25369                                                                                                 |delta Sct Variable                 |04 01 37.5824 -02 54 33.582            |193.3442528 -38.5426389            |  21.596 -4.938   |9.68     |A3/8V(m)       |    ~     ~    |    0|                |                       |        |                   
72  |HD 25646                                                                                                 |Star                               |04 04 07.0347476232 -02 36 53.483488344|193.4593294351180 -37.8604274042561|   -0.742 0.562   |10.000   |F3V            |    ~     ~    |    1|  537.579   pc  | -16.2700    +16.2700  |ST-L    |2020AJ....160...83S
73  |HD 25671                                                                                                 |Star                               |04 04 16.2481710432 -02 44 01.324223088|193.6121916569947 -37.8926118450750|  3.732 -17.008   |10.096   |G8/K0III       |    ~     ~    |    1|  616.414   pc  | -25.1600    +25.1600  |ST-L    |2020AJ....160...83S
74  |HD 25697                                                                                                 |Star                               |04 04 32.1673731552 -03 20 22.489724688|194.3057161023025 -38.1628682684349|  5.852 -16.696   |8.68     |F0V            |    ~     ~    |    1|  241.698   pc  |  -1.3611     +1.3611  |paral   |2020yCat.1350....0G
75  |HD 25753                                                                                                 |Star                               |04 04 49.8577860312 -03 10 13.825919640|194.1744152199363 -38.0101548322061|    3.927 4.296   |9.57     |K2/3(III)      |    ~     ~    |    1|  968.523   pc  | -14.6334    +14.6334  |paral   |2020yCat.1350....0G
76  |HD 25851                                                                                                 |Star                               |04 05 42.9708024960 -02 46 09.432206184|193.8966326894974 -37.6080878734947|-14.728 -45.786   |9.990    |F3/5V          |    ~     ~    |    1|  147.530   pc  |  -1.4860     +1.4860  |ST-L    |2020AJ....160...83S
77  |HD 25909                                                                                                 |Star                               |04 06 06.7870045320 -02 56 15.889446852|194.1432037697908 -37.6151581809122|   1.919 -1.263   |10.57    |A9V            |    ~     ~    |    1|  824.810   pc  | -20.2053    +20.2053  |paral   |2020yCat.1350....0G
78  |HD 26001                                                                                                 |High Proper Motion Star            |04 06 55.4925816888 -02 41 10.806031032|194.0133749459067 -37.3090965506077| 79.938 -23.351   |10.298   |G0/2(V)        |    ~     ~    |    1|  179.157   pc  |  -2.3050     +2.3050  |ST-L    |2020AJ....160...83S
79  |HD 25738                                                                                                 |Star                               |04 04 48.6983486832 -03 37 19.141986972|194.6563785707160 -38.2553808239298|   -3.998 7.083   |10.06    |A3/5II         |    ~     ~    |    1|  334.840   pc  |  -7.2316     +7.2316  |paral   |2020yCat.1350....0G
