C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
68  |TYC 2825-1313-1                                                                                                                             |Star                                  |01 21 03.0922458168 +44 14 08.808241920|128.5126006639420 -18.3148432260879|   1.120 -3.637   |9.91     |~                   |    ~     ~    |    1| 1855.288   pc  | -69.5303    +69.5303  |paral   |2020yCat.1350....0G
69  |TYC 2825-1360-1                                                                                                                             |Chemically Peculiar Star              |01 21 14.6213781192 +44 33 52.542183708|128.5065587781924 -17.9842917136172|  -7.592 -4.748   |10.64    |C-H                 |    ~     ~    |    1| 1716.444   pc  | -57.1559    +57.1559  |paral   |2020yCat.1350....0G
70  |TYC 2825-1453-1                                                                                                                             |Star                                  |01 21 25.4255541024 +44 11 34.439571816|128.5878330188636 -18.3492974429693|  -1.082 -8.467   |10.36    |~                   |    ~     ~    |    1|  887.784   pc  | -14.2657    +14.2657  |paral   |2020yCat.1350....0G
71  |TYC 2825-2132-1                                                                                                                             |Star                                  |01 20 11.6041533618 +44 04 37.113854061|128.3714806979486 -18.4908504267954|      2.5 -13.2   |10.91    |~                   |    ~     ~    |    0|                |                       |        |                   
72  |TYC 2825-2169-1                                                                                                                             |Star                                  |01 20 29.2466084304 +43 58 07.474895616|128.4403216414276 -18.5920854889570|    1.248 1.319   |9.92     |~                   |    ~     ~    |    1| 1420.455   pc  | -41.7662    +41.7662  |paral   |2020yCat.1350....0G
73  |TYC 3264-56-1                                                                                                                               |Star                                  |01 17 09.1782720264 +45 24 33.542942796|127.6525560670253 -17.2265984515580| 22.576 -21.075   |10.48    |~                   |    ~     ~    |    1|  466.810   pc  |  -5.0338     +5.0338  |paral   |2020yCat.1350....0G
74  |TYC 3264-334-1                                                                                                                              |Star                                  |01 18 29.4557925072 +45 45 32.629506300|127.8568843402080 -16.8538277036822|  -8.409 -5.170   |10.75    |~                   |    ~     ~    |    1|  729.288   pc  | -21.7531    +21.7531  |paral   |2020yCat.1350....0G
75  |TYC 3264-860-1                                                                                                                              |Star                                  |01 15 08.7510012888 +45 42 27.541028772|127.2555513507274 -16.9649749963614|   6.195 -3.512   |10.38    |~                   |    ~     ~    |    1| 1917.178   pc  | -63.2198    +63.2198  |paral   |2020yCat.1350....0G
76  |TYC 3264-1106-1                                                                                                                             |Star                                  |01 17 28.6543980576 +45 49 57.090364608|127.6651723115628 -16.7997724603676|  -1.220 -3.471   |10.50    |~                   |    ~     ~    |    1| 1896.094   pc  | -56.0847    +56.0847  |paral   |2020yCat.1350....0G
77  |TYC 3264-1198-1                                                                                                                             |Star                                  |01 17 27.5114511480 +45 22 14.404124352|127.7126635114842 -17.2594041652174|   0.120 -1.844   |10.44    |~                   |    ~     ~    |    1| 2248.201   pc  |-140.5126   +140.5126  |paral   |2020yCat.1350....0G
78  |TYC 3264-1288-1                                                                                                                             |Star                                  |01 15 07.2691545504 +45 46 54.220772352|127.2436335640185 -16.8916532333343|    0.366 4.751   |10.42    |~                   |    ~     ~    |    1|  731.208   pc  |  -9.6774     +9.6774  |paral   |2020yCat.1350....0G
79  |TYC 3264-1823-1                                                                                                                             |Star                                  |01 16 28.5846903624 +45 58 32.169925812|127.4688321608060 -16.6754613841350|  9.289 -12.631   |10.00    |~                   |    ~     ~    |    1|  369.932   pc  |  -2.9286     +2.9286  |paral   |2020yCat.1350....0G
80  |TYC 3265-159-1                                                                                                                              |Star                                  |01 23 34.1172467808 +45 07 50.565158724|128.8608644930448 -17.3708252987814|   5.363 -4.964   |10.76    |~                   |    ~     ~    |    1|  399.792   pc  |  -3.5323     +3.5323  |paral   |2020yCat.1350....0G
81  |TYC 3265-203-1                                                                                                                              |Star                                  |01 24 58.2836816064 +45 27 22.882363272|129.0714766020871 -17.0152632632195|   2.119 -2.891   |10.04    |~                   |    ~     ~    |    1| 1159.017   pc  | -18.6722    +18.6722  |paral   |2020yCat.1350....0G
