C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
75  |HD 109004                                                                                                                                                                      |Star                                  |12 31 32.7231771864 -08 40 04.272129840|294.5724880695338 +53.8807075077710| 31.092 -13.748   |9.86     |K1III          |    ~     ~    |    1|  348.651   pc  |  -2.2245     +2.2245    |paral   |2020yCat.1350....0G
76  |HD 108931                                                                                                                                                                      |Star                                  |12 31 03.8282659584 -09 47 14.954665704|294.6202598167171 +52.7551463153676|   8.521 -4.333   |8.01     |A0/1V          |    ~     ~    |    1|  208.260   pc  |  -1.5484     +1.5484    |paral   |2020yCat.1350....0G
77  |HD 108948                                                                                                                                                                      |Star                                  |12 31 10.3194547992 -09 29 13.257727944|294.5989973928566 +53.0565258277323| -2.659 -10.423   |8.72     |K0III          |    ~     ~    |    1|  180.812   pc  |  -7.5259     +7.5259    |paral   |2020yCat.1350....0G
78  |HD 108979                                                                                                                                                                      |Star                                  |12 31 25.3481932536 -09 10 53.821997112|294.6347794550295 +53.3673752057005| 10.660 -20.236   |7.20     |K0/1III        |    ~     ~    |    1|  199.390   pc  |  -3.0851     +3.0851    |paral   |2020yCat.1350....0G
79  |HD 109130                                                                                                                                                                      |High Proper Motion Star               |12 32 30.3817799856 -09 23 12.469034328|295.1218482634390 +53.1976251955088| -84.145 -6.718   |9.97     |G3V            |    ~     ~    |    1|  185.041   pc  |  -0.5855     +0.5855    |paral   |2020yCat.1350....0G
80  |BD-09 3506                                                                                                                                                                     |Double or Multiple Star               |12 30 04.9173 -10 10 42.718            |294.3118212 +52.3354142            |  -64.680 2.701   |10.43    |~              |    ~     ~    |    1|  231.586   pc  |  -4.5790     +4.5790    |ST-L    |2020AJ....160...83S
81  |HD 108879                                                                                                                                                                      |Star                                  |12 30 38.5447329648 -09 49 28.041053052|294.4583803635860 +52.7048158999140|  -3.772 -2.744   |7.83     |G8/K0III       |    ~     ~    |    1|  283.591   pc  |  -1.8015     +1.8015    |paral   |2020yCat.1350....0G
82  |BD-09 3510                                                                                                                                                                     |Star                                  |12 31 41.8936787520 -10 11 36.433332636|294.9605775772936 +52.3725074482440|   17.283 5.264   |10.852   |~              |    ~     ~    |    1|  281.700   pc  |  -4.6820     +4.6820    |ST-L    |2020AJ....160...83S
83  |HD 109105                                                                                                                                                                      |Star                                  |12 32 17.5074316392 -10 10 36.715076544|295.1947022088730 +52.4070161350708| -27.559 10.310   |10.63    |A1IV           |    ~     ~    |    1|  725.531   pc  | -22.0033    +22.0033    |paral   |2020yCat.1350....0G
84  |HD 109249                                                                                                                                                                      |High Proper Motion Star               |12 33 24.9208910304 -10 10 10.326444312|295.6435067219721 +52.4469805932535|-170.590 53.414   |9.20     |G6V            |    ~     ~    |    1|   61.006   pc  |  -0.0744     +0.0744    |paral   |2020yCat.1350....0G
85  |BD-09 3514                                                                                                                                                                     |Star                                  |12 33 37.4243229720 -10 16 27.693947424|295.7465569773054 +52.3486795439537|  -27.352 8.977   |10.469   |~              |    ~     ~    |    1|  270.590   pc  |  -5.3270     +5.3270    |ST-L    |2020AJ....160...83S
86  |BD-09 3515                                                                                                                                                                     |Spectroscopic Binary                  |12 33 43.1809643400 -09 52 16.754177532|295.7100151838527 +52.7517977818910|  -34.429 3.854   |10.55    |~              |    ~     ~    |    1|  288.334   pc  |  -1.7542     +1.7542    |paral   |2020yCat.1350....0G
87  |HD 91168                                                                                                                                                                       |High Proper Motion Star               |12 31 36.2078357304 -11 04 35.228352972|295.1013710892140 +51.4934776162644| -49.883 -5.952   |8.35     |A8/F0          |    ~     ~    |    1|  131.961   pc  |  -0.4197     +0.4197    |paral   |2020yCat.1350....0G
88  |HD 91169                                                                                                                                                                       |High Proper Motion Star               |12 31 36.4623036144 -11 04 20.155929780|295.1021987665693 +51.4977608812546| -50.741 -3.771   |7.90     |A2/4V          |    ~     ~    |    1|  131.361   pc  |  -0.4400     +0.4400    |paral   |2020yCat.1350....0G
89  |HD 109221                                                                                                                                                                      |Star                                  |12 33 10.8080212104 -11 08 03.298084080|295.7291600571665 +51.4819787487698|  9.663 -29.879   |8.26     |F5V            |    ~     ~    |    1|  105.863   pc  |  -0.2813     +0.2813    |paral   |2020yCat.1350....0G
90  |BD-08 3359                                                                                                                                                                     |High Proper Motion Star               |12 30 02.0769776664 -08 54 10.892814768|294.0010403049175 +53.5971699038884| -68.526 -1.686   |10.265   |~              |    ~     ~    |    1|  138.246   pc  |  -1.1920     +1.1920    |ST-L    |2020AJ....160...83S
