C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
101 |HD 144530                                                             |Double or Multiple Star           |16 08 01.5198 -40 37 57.347            |338.3925684 +08.3293611            |     -5.6 -10.9    |8.95     |A3V              |    ~     ~    |    0|                |                       |        |                   
102 |HD 144572                                                             |Star                              |16 08 10.0949549352 -40 56 56.817354984|338.1950376652540 +08.0789761868205| 12.109 -12.316    |9.71     |F5V              |    ~     ~    |    1|  161.441   pc  |  -0.5317     +0.5317  |paral   |2020yCat.1350....0G
103 |HD 144883                                                             |Star                              |16 09 41.8312805016 -40 49 40.969590240|338.4918231533045 +07.9703845093598|  14.959 -7.641    |9.61     |K0               |    ~     ~    |    1|  632.431   pc  |  -7.9194     +7.9194  |paral   |2020yCat.1350....0G
104 |HD 144897                                                             |Star                              |16 09 51.1821697368 -41 09 27.768423492|338.2858601329231 +07.7097825531499|-11.768 -11.600    |8.59     |ApEuCr           |    ~     ~    |    1|  306.101   pc  |  -3.5324     +3.5324  |paral   |2020yCat.1350....0G
105 |HD 145036                                                             |Star                              |16 10 32.1098480136 -41 06 31.187202984|338.4142012691564 +07.6575694367979|  -8.386 15.918    |10.49    |F3/5             |    ~     ~    |    1|  289.603   pc  |  -1.5348     +1.5348  |paral   |2020yCat.1350....0G
106 |HD 145088                                                             |Star                              |16 10 47.7990987552 -41 00 25.719661512|338.5206628692729 +07.6976209418662|  -3.299 -1.042    |9.82     |G5/6             |    ~     ~    |    1|  678.979   pc  |  -8.0216     +8.0216  |paral   |2020yCat.1350....0G
107 |HD 325401                                                             |Star                              |16 08 16.2043614672 -41 12 07.920396216|338.0353953457126 +07.8804180075367|  -8.899 -2.708    |10.10    |G5               |    ~     ~    |    1|  524.246   pc  |  -4.8371     +4.8371  |paral   |2020yCat.1350....0G
108 |RX J1608.9-3905                                                       |T Tauri Star                      |16 08 54.2744987760 -39 06 05.799061764|339.5746575621972 +09.3333605585964| -8.699 -23.134    |10.88    |~                |    ~     ~    |    1|  156.742   pc  |  -0.4864     +0.4864  |paral   |2020yCat.1350....0G
109 |CD-39 10327                                                           |Star                              |16 08 22.5022098384 -39 38 25.339757280|339.1259852657551 +09.0100258985009|-13.561 -18.902    |10.90    |~                |    ~     ~    |    1|  499.850   pc  |  -4.4973     +4.4973  |paral   |2020yCat.1350....0G
110 |CD-39 10330                                                           |Star                              |16 08 54.6254502552 -39 52 05.439652320|339.0445924726032 +08.7733460420446| -32.556 14.822    |10.52    |~                |    ~     ~    |    1|  554.354   pc  |  -5.7774     +5.7774  |paral   |2020yCat.1350....0G
111 |CD-40 10206                                                           |Star                              |16 07 36.6425054880 -40 42 59.177913408|338.2766955144215 +08.3213161792898|  -7.540 -9.925    |10.50    |~                |    ~     ~    |    1|  680.504   pc  | -18.4308    +18.4308  |paral   |2020yCat.1350....0G
112 |CD-40 10210                                                           |Star                              |16 07 50.3929390056 -41 04 28.382111256|338.0630334308413 +08.0290975284128|  11.181 -8.394    |10.82    |~                |    ~     ~    |    1|  708.767   pc  | -14.7189    +14.7189  |paral   |2020yCat.1350....0G
113 |HD 325400                                                             |Star                              |16 07 50.6474910600 -41 11 01.958030628|337.9886317125854 +07.9483246466312|  -6.301 -4.709    |10.22    |K2               |    ~     ~    |    1|  897.424   pc  | -13.7718    +13.7718  |paral   |2020yCat.1350....0G
114 |CD-40 10212                                                           |Star                              |16 07 57.9820032072 -40 24 56.030880168|338.5335480040385 +08.4960306229280|   6.167 -7.932    |10.75    |~                |    ~     ~    |    1|  305.390   pc  |  -1.8932     +1.8932  |paral   |2020yCat.1350....0G
115 |CD-40 10217                                                           |Star                              |16 08 17.9774446008 -41 17 37.101737220|337.9767207532873 +07.8096124637684|-12.643 -22.443    |10.39    |~                |    ~     ~    |    1| 1309.415   pc  | -37.5490    +37.5490  |paral   |2020yCat.1350....0G
116 |CD-40 10226                                                           |Star                              |16 08 47.0552890440 -40 41 43.485358560|338.4557961412206 +08.1853355218322|  -3.072 -1.675    |10.60    |~                |    ~     ~    |    1| 1149.293   pc  | -23.9078    +23.9078  |paral   |2020yCat.1350....0G
117 |CD-40 10230                                                           |Star                              |16 09 04.4435372088 -40 22 16.780366524|338.7200125821995 +08.3845898467723| -13.350 -9.656    |10.98    |~                |    ~     ~    |    1|  845.380   pc  | -14.0789    +14.0789  |paral   |2020yCat.1350....0G
118 |HD 325395                                                             |High Proper Motion Star           |16 09 50.1089241000 -40 12 10.932692076|338.9434006361594 +08.4080392718116|-65.646 -39.596    |10.58    |G5               |    ~     ~    |    1|  188.847   pc  |  -0.6027     +0.6027  |paral   |2020yCat.1350....0G
119 |TYC 7856-664-1                                                        |Star                              |16 10 45.3632984136 -40 02 28.785361452|339.1850192615493 +08.4048357998121|   0.092 -6.920    |10.38    |~                |    ~     ~    |    1|  750.751   pc  | -12.0052    +12.0052  |paral   |2020yCat.1350....0G
120 |HD 145575                                                             |Star                              |16 13 19.8307838952 -39 18 42.534299160|340.0567190911558 +08.5900319623036|  33.412 26.386    |10.02    |G3/5V            |    ~     ~    |    1|  103.303   pc  |  -0.2113     +0.2113  |paral   |2020yCat.1350....0G
121 |HD 145720                                                             |Spectroscopic Binary              |16 13 57.6909183360 -39 11 15.259198776|340.2328806589401 +08.5944493427900|-17.233 -25.121    |9.39     |F3/5V            |    ~     ~    |    1|  143.625   pc  |  -0.6168     +0.6168  |paral   |2020yCat.1350....0G
122 |HD 145840                                                             |Double or Multiple Star           |16 14 43.239 -39 07 52.16              |340.379381 +08.532390              |    -16.9 -32.5    |8.34     |A9V              |    ~     ~    |    0|                |                       |        |                   
123 |HD 145173                                                             |High Proper Motion Star           |16 11 09.5269009056 -40 07 41.135058372|339.1812106011655 +08.2888724063714|-71.824 -99.600    |7.89     |F5V              |    ~     ~    |    1|   91.966   pc  |  -0.2207     +0.2207  |paral   |2020yCat.1350....0G
124 |HD 145445                                                             |Star                              |16 12 39.3217224120 -39 44 31.674810840|339.6602501767910 +08.3701396300751|-23.361 -15.290    |7.72     |F3V              |    ~     ~    |    1|   89.775   pc  |  -0.1999     +0.1999  |paral   |2020yCat.1350....0G
125 |HD 145826                                                             |Star                              |16 14 38.1492410952 -39 35 12.386783040|340.0464067630420 +08.2172121341800|-11.911 -26.144    |8.22     |A3V              |    ~     ~    |    1|  180.492   pc  |  -0.8731     +0.8731  |paral   |2020yCat.1350....0G
126 |HD 145860                                                             |Star                              |16 14 48.7185088464 -39 48 37.090155060|339.9135972594821 +08.0332903881229|-11.363 -23.365    |9.98     |A2               |    ~     ~    |    1|  209.991   pc  |  -3.3028     +3.3028  |paral   |2020yCat.1350....0G
127 |HD 145880                                                             |Star                              |16 14 57.7665420240 -39 37 40.120708404|340.0631122240956 +08.1438883724989|-18.322 -31.431    |7.16     |B9.5V            |    ~     ~    |    1|  123.443   pc  |  -0.5806     +0.5806  |paral   |2020yCat.1350....0G
128 |HD 145134                                                             |Star                              |16 10 55.6718726033 -40 26 12.330009734|338.9344230645783 +08.0951037990409|  -3.962 -7.706    |9.755    |B8V              |    ~     ~    |    1|  416.337   pc  |  -5.2347     +5.2347  |paral   |2020yCat.1350....0G
129 |HD 145191                                                             |High Proper Motion Star           |16 11 17.7041502024 -41 07 11.287512984|338.5114824798581 +07.5512123778898|-81.868 -124.979   |5.857    |F2III(+A)        |    ~     ~    |    1|   64.723   pc  |  -0.1759     +0.1759  |paral   |2020yCat.1350....0G
130 |HD 145338                                                             |Star                              |16 12 05.9210843040 -41 04 33.865439196|338.6526185569890 +07.4787209322724|  3.016 -15.541    |10.14    |F0V              |    ~     ~    |    1|  316.877   pc  |  -1.7773     +1.7773  |paral   |2020yCat.1350....0G
131 |HD 145339                                                             |Star                              |16 12 09.6156181920 -41 11 39.026500728|338.5789951896775 +07.3851667139268|  -8.617 -7.019    |10.57    |A0V              |    ~     ~    |    1|  380.894   pc  |  -3.0322     +3.0322  |paral   |2020yCat.1350....0G
132 |HD 145356                                                             |Star                              |16 12 17.1713858808 -41 09 01.816597008|338.6266646091925 +07.4004589548274|  -3.524 -0.681    |10.63    |B9/A0IV/V        |    ~     ~    |    1|  471.409   pc  | -12.8225    +12.8225  |paral   |2020yCat.1350....0G
133 |HD 145392                                                             |Star                              |16 12 30.3982251480 -41 00 29.690449920|338.7559756316923 +07.4747679255645| -13.132 -9.258    |9.68     |K5               |    ~     ~    |    1|  657.203   pc  |  -8.3360     +8.3360  |paral   |2020yCat.1350....0G
134 |HD 145393                                                             |Star                              |16 12 27.3010952928 -41 19 46.183226376|338.5253647440235 +07.2489660180558|-13.336 -23.704    |9.86     |A9V(pEuCrSr)     |    ~     ~    |    1|  251.004   pc  |  -1.4491     +1.4491  |paral   |2020yCat.1350....0G
135 |HD 145509                                                             |Star                              |16 13 03.9904832088 -41 37 28.956653940|338.4034874800685 +06.9563176439016|-16.867 -26.809    |10.46    |F3/5             |    ~     ~    |    1|  174.338   pc  |  -0.5106     +0.5106  |paral   |2020yCat.1350....0G
136 |V* V1284 Sco                                                          |Eclipsing Binary                  |16 13 38.8189408104 -41 20 50.866931940|338.6758127788177 +07.0813386053373|  -3.286 -3.526    |9.59     |B9III            |    ~     ~    |    0|                |                       |        |                   
137 |CD-39 10348                                                           |Star                              |16 11 23.6208023136 -39 48 33.683751360|339.4360932241045 +08.4889627565107| -9.234 -15.059    |10.67    |~                |    ~     ~    |    1|  278.017   pc  |  -1.5459     +1.5459  |paral   |2020yCat.1350....0G
