C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |TYC 2700-519-1                                                        |Star                              |20 55 25.0276193976 +36 07 42.164821956|078.8287941061790 -05.8156722031073|  -4.527 -8.656   |10.71    |~                 |    ~     ~    |    1|  879.198   pc  | -10.2808    +10.2808  |paral   |2020yCat.1350....0G
82  |TYC 2700-535-1                                                        |Star                              |20 57 14.2649772480 +36 00 58.895702172|078.9807167512918 -06.1693139210325|   0.559 -5.058   |10.49    |~                 |    ~     ~    |    1|  777.303   pc  |  -6.5254     +6.5254  |paral   |2020yCat.1350....0G
83  |TYC 2700-586-1                                                        |Star                              |20 58 08.5835857848 +36 50 35.102191416|079.7329713254233 -05.7732443955381|   -7.627 2.214   |9.90     |~                 |    ~     ~    |    1|  705.617   pc  |  -5.9249     +5.9249  |paral   |2020yCat.1350....0G
84  |BD+36 4322                                                            |Star                              |20 55 26.2658314608 +37 15 22.964830488|079.6998629345384 -05.0942101854456|  47.977 -0.995   |10.00    |~                 |    ~     ~    |    1|  158.223   pc  |  -0.2704     +0.2704  |paral   |2020yCat.1350....0G
85  |TYC 2700-674-1                                                        |Star                              |20 54 24.5331143040 +36 54 59.402869704|079.3059455961017 -05.1549341831248|   0.347 -4.282   |10.90    |~                 |    ~     ~    |    1|  542.711   pc  |  -4.2708     +4.2708  |paral   |2020yCat.1350....0G
86  |TYC 2700-722-1                                                        |Spectroscopic Binary              |20 59 42.8099617776 +37 07 28.473630708|080.1529094962501 -05.8284469395748|   15.916 8.671   |10.67    |~                 |    ~     ~    |    1|  414.628   pc  |  -2.0114     +2.0114  |paral   |2020yCat.1350....0G
87  |TYC 2700-734-1                                                        |Star                              |20 56 06.4608258912 +37 09 04.159743336|079.7052143093042 -05.2640275818727|  15.152 -2.159   |10.47    |~                 |    ~     ~    |    1|  315.537   pc  |  -1.2445     +1.2445  |paral   |2020yCat.1350....0G
88  |BD+36 4337                                                            |Star                              |20 57 33.6465356856 +37 05 22.432725132|079.8459029123060 -05.5249488612644|   7.679 -9.348   |10.58    |~                 |    ~     ~    |    1|  416.198   pc  |  -1.9747     +1.9747  |paral   |2020yCat.1350....0G
89  |TYC 2700-977-1                                                        |Star                              |20 56 08.9401582680 +36 03 31.741639920|078.8707184161541 -05.9736566906578| -6.568 -15.962   |9.21     |~                 |    ~     ~    |    1|  490.388   pc  |  -3.2946     +3.2946  |paral   |2020yCat.1350....0G
90  |TYC 2700-1017-1                                                       |Star                              |20 57 44.6258696880 +36 22 59.359827576|079.3285408179964 -06.0101282991362|  16.124 12.302   |10.67    |~                 |    ~     ~    |    1|  450.532   pc  | -15.3249    +15.3249  |paral   |2020yCat.1350....0G
