C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
71  |BD+42 3438                                                                                               |Star                                  |19 44 36.4204079760 +43 21 24.054656652|077.0949884996754 +09.4547611186044|   6.692 11.139   |9.46     |F6IV             |    ~     ~          |    1|  484.543   pc  |  -3.0991     +3.0991  |paral   |2020yCat.1350....0G
72  |IRAS 19428+4316                                                                                          |Long-Period Variable                  |19 44 29.6544474264 +43 24 02.644133364|077.1242724212977 +09.4938274607277| -5.261 -10.147   |10.91    |M1.5II-III       |    ~     ~          |    1| 1770.22    pc  | -65.4942    +65.4942  |paral   |2020yCat.1350....0G
73  |BD+43 3305                                                                                               |Star                                  |19 36 39.2911666464 +43 27 35.410206600|076.4997536882280 +10.7787987038096|   5.253 12.949   |10.11    |~                |    ~     ~          |    1|  366.005   pc  |  -1.6075     +1.6075  |paral   |2020yCat.1350....0G
74  |TYC 3147-1317-1                                                                                          |Star                                  |19 36 35.3790689016 +43 26 47.873413140|076.4822823586996 +10.7832503917946|   4.614 -4.689   |10.11    |~                |    ~     ~          |    1|  644.330   pc  |  -4.3592     +4.3592  |paral   |2020yCat.1350....0G
75  |BD+44 3186                                                                                               |Eclipsing Binary                      |19 36 51.2713069080 +44 34 57.551622564|077.5334843648650 +11.2609394118616|  -1.616 -8.356   |10.61    |A2               |    ~     ~          |    1|  789.640   pc  | -12.5953    +12.5953  |paral   |2020yCat.1350....0G
76  |BD+44 3190                                                                                               |Red Giant Branch star                 |19 37 23.8191177648 +44 42 50.856003540|077.6976725294259 +11.2352127262192| -4.813 -48.961   |8.74     |K2               |    ~     ~          |    1|  217.680   pc  |  -0.6207     +0.6207  |paral   |2020yCat.1350....0G
77  |BD+44 3191                                                                                               |Horizontal Branch Star                |19 37 27.6566285376 +44 46 57.720641808|077.7651391010724 +11.2564885086113|   2.518 -1.914   |9.86     |K0               |    ~     ~          |    1|  549.209   pc  |  -3.1973     +3.1973  |paral   |2020yCat.1350....0G
78  |BD+44 3193a                                                                                              |Red Giant Branch star                 |19 37 41.8366866960 +44 46 49.091327652|077.7825404710055 +11.2181064283766|   3.324 -9.854   |10.82    |G                |    ~     ~          |    1|  733.568   pc  |  -5.4350     +5.4350  |paral   |2020yCat.1350....0G
79  |BD+44 3195                                                                                               |Star                                  |19 37 53.7155515920 +44 42 24.758688132|077.7324499625361 +11.1532022465152| 37.250 -23.365   |9.56     |F8               |    ~     ~          |    1|  126.234   pc  |  -0.1657     +0.1657  |paral   |2020yCat.1350....0G
80  |BD+43 3292                                                                                               |Star                                  |19 35 09.6627319368 +44 07 52.910978124|076.9832252239378 +11.3251113809397|  -1.458 12.272   |9.26     |K0               |    ~     ~          |    1|  435.806   pc  |  -2.1842     +2.1842  |paral   |2020yCat.1350....0G
