C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
96  |BD-03 3534                                                                                               |Spectroscopic Binary                |13 47 49.5637375608 -04 04 01.738253568|328.6565647092459 +55.9624576353473| -31.363 -2.133    |10.494   |~               |    ~     ~          |    1|  288.470   pc  |  -6.3780     +6.3780  |ST-L    |2020AJ....160...83S
97  |BD-02 3743                                                                                               |High Proper Motion Star             |13 49 40.3430599392 -03 32 37.806399924|329.7861778713592 +56.2612707104666|-39.667 -39.197    |10.51    |~               |    ~     ~          |    1|  217.056   pc  |  -1.5123     +1.5123  |paral   |2020yCat.1350....0G
98  |BD-04 3569                                                                                               |Star                                |13 50 43.0588924584 -04 44 38.320277352|329.3583594061472 +55.0570940833506| -16.911 -0.431    |10.77    |~               |    ~     ~          |    1|  915.164   pc  | -17.0018    +17.0018  |paral   |2020yCat.1350....0G
99  |BD-03 3540                                                                                               |Star                                |13 51 09.9505518312 -04 10 24.933768096|329.9401568112697 +55.5346960848669|  -3.767 -1.497    |10.73    |~               |    ~     ~          |    1|  159.213   pc  |  -0.4284     +0.4284  |paral   |2020yCat.1350....0G
100 |BD-03 3542                                                                                               |Star                                |13 51 34.7232568728 -04 41 49.174217412|329.7342655370640 +55.0143278356333|-20.807 -32.182    |10.67    |~               |    ~     ~          |    1|  166.542   pc  |  -1.2232     +1.2232  |paral   |2020yCat.1350....0G
101 |BD-03 3543                                                                                               |Star                                |13 51 59.8132434024 -04 31 27.549643080|330.0227309543863 +55.1300734342669|-31.248 -34.510    |10.86    |~               |    ~     ~          |    1|   90.078   pc  |  -0.1258     +0.1258  |paral   |2020yCat.1350....0G
102 |TYC 4970-498-1                                                                                           |Star                                |13 47 45.8165219568 -02 48 06.883626744|329.5328982471517 +57.1319749120169|  -3.454 -4.157    |10.63    |~               |    ~     ~          |    1| 2704.896   pc  |-135.3545   +135.3545  |paral   |2020yCat.1350....0G
103 |BD-02 3734                                                                                               |Star                                |13 48 13.7354605056 -03 33 16.341077880|329.1826983326736 +56.3950216849778| -18.638 -0.247    |10.696   |~               |    ~     ~          |    1|  731.540   pc  | -35.3100    +35.3100  |ST-L    |2020AJ....160...83S
104 |TYC 4971-307-1                                                                                           |High Proper Motion Star             |13 50 00.1849954104 -02 56 00.127689324|330.3730341395273 +56.7853905525445|  -67.187 8.447    |10.413   |~               |    ~     ~          |    1|  131.855   pc  |  -1.1840     +1.1840  |ST-L    |2020AJ....160...83S
105 |TYC 4971-343-1                                                                                           |Star                                |13 50 02.7080862960 -03 14 09.972454056|330.1650927703573 +56.5048782928889|   -0.318 0.663    |10.536   |~               |    ~     ~          |    1|  957.212   pc  | -51.3800    +51.3800  |ST-L    |2020AJ....160...83S
106 |TYC 4971-544-1                                                                                           |High Proper Motion Star             |13 51 45.0904598208 -03 56 46.681987848|330.3403879365591 +55.6826346999626| -90.584 27.422    |10.72    |~               |    ~     ~          |    1|  223.254   pc  |  -3.6235     +3.6235  |paral   |2020yCat.1350....0G
107 |TYC 4971-955-1                                                                                           |Star                                |13 51 01.0863124944 -03 35 54.210062976|330.2974162012107 +56.0749756008167| -16.063 -2.287    |10.8     |~               |    ~     ~          |    1|  122.321   pc  |  -1.7910     +1.7910  |paral   |2020yCat.1350....0G
108 |TYC 4971-1113-1                                                                                          |Star                                |13 51 39.1392511752 -04 45 00.197014104|329.7262862994600 +54.9583736866360| 11.258 -36.069    |10.66    |~               |    ~     ~          |    1|  185.622   pc  |  -1.1405     +1.1405  |paral   |2020yCat.1350....0G
109 |HD 119735                                                                                                |Star                                |13 45 09.7656001848 -05 17 52.932823224|326.7560859900044 +55.0692148473293|  4.575 -11.066    |9.80     |K0IV            |    ~     ~          |    1|  497.092   pc  |  -4.0030     +4.0030  |paral   |2020yCat.1350....0G
110 |HD 119828                                                                                                |Star                                |13 45 39.4007976192 -05 08 32.791794756|327.0552359606513 +55.1695364913694|  -0.138 -9.347    |9.66     |F0V             |    ~     ~          |    1|  229.685   pc  |  -4.0890     +4.0890  |ST-L    |2020AJ....160...83S
111 |HD 120899                                                                                                |High Proper Motion Star             |13 52 22.7672759448 -05 13 16.497535728|329.6850206572383 +54.4541402345647|-113.755 -112.227  |10.330   |G8IV/V          |    ~     ~          |    1|   95.939   pc  |  -0.7360     +0.7360  |ST-L    |2020AJ....160...83S
112 |BD-04 3552                                                                                               |Star                                |13 45 28.3238524032 -05 14 00.268232064|326.9223818295805 +55.1015659837345|   -6.804 7.931    |10.802   |~               |    ~     ~          |    1|  823.981   pc  | -39.9600    +39.9600  |ST-L    |2020AJ....160...83S
113 |BD-04 3561                                                                                               |Star                                |13 48 27.2462499456 -05 11 04.816563684|328.1550221394163 +54.8705225737026|  -44.667 6.882    |10.93    |~               |    ~     ~          |    1|  249.726   pc  |  -4.1510     +4.1510  |ST-L    |2020AJ....160...83S
114 |HD 119995                                                                                                |Star                                |13 46 53.3172908064 -05 26 42.166830516|327.3584291218332 +54.7754130809291|    5.127 1.380    |8.68     |K4III           |    ~     ~          |    1|  747.105   pc  | -16.0194    +16.0194  |paral   |2020yCat.1350....0G
115 |HD 120169                                                                                                |High Proper Motion Star             |13 47 56.4182390664 -05 35 52.680773688|327.6799998585655 +54.5361075562893|-59.533 -12.462    |9.30     |G8IV            |    ~     ~          |    1|  239.315   pc  |  -1.2542     +1.2542  |paral   |2020yCat.1350....0G
116 |HD 120267                                                                                                |Double or Multiple Star             |13 48 31.63661 -05 25 57.1034          |328.02103553 +54.63433200          |   -10.57 -6.71    |9.614    |F2V             |    ~     ~          |    1|  343.194   pc  | -25.8300    +25.8300  |ST-L    |2020AJ....160...83S
117 |HD 120385                                                                                                |Star                                |13 49 16.8858862464 -05 37 49.505321316|328.1903286183698 +54.3799394829225|  -27.872 4.653    |8.58     |K0III           |    ~     ~          |    1|  310.164   pc  |  -2.3281     +2.3281  |paral   |2020yCat.1350....0G
118 |HD 120570                                                                                                |Star                                |13 50 25.8355495728 -05 29 17.653851528|328.7375898394050 +54.4009323726877|   5.976 -3.220    |10.12    |F0V             |    ~     ~          |    1|  359.428   pc  |  -2.1833     +2.1833  |paral   |2020yCat.1350....0G
119 |HD 120774                                                                                                |Star                                |13 51 41.1599889864 -05 16 05.890218420|329.3803912335235 +54.4801061947509|   -9.368 0.439    |9.96     |G8IV            |    ~     ~          |    1|  303.545   pc  |  -2.0363     +2.0363  |paral   |2020yCat.1350....0G
120 |HD 120791                                                                                                |Star                                |13 51 47.9324409768 -05 40 07.787991432|329.1524066404826 +54.1012865884603|  6.077 -15.395    |9.56     |K0V             |    ~     ~          |    1|  219.096   pc  |  -1.9441     +1.9441  |paral   |2020yCat.1350....0G
121 |BD-05 3763                                                                                               |High Proper Motion Star             |13 47 23.4438244137 -06 08 12.729406281|327.1200907963240 +54.0862131318630|-342.862 -573.112  |10.28    |K3.5V           |    ~     ~          |    1|   44.533   pc  |  -0.1311     +0.1311  |ST-L    |2020AJ....160...83S
