C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:43:58

Vmag< 11&dec >=0&rah >=0.75&rah< 1.0
------------------------------------

Number of objects : 4837

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
118 |TYC 3262-318-1                                                        |Star                           |00 49 32.1153997368 +45 16 53.258208024|122.5808238464839 -17.5889898952165|   7.019 -6.214   |9.95     |~                   |    ~     ~    
119 |TYC 3262-335-1                                                        |Star                           |00 51 35.9788621080 +45 27 54.971919072|122.9616442519699 -17.4064682744473|  5.029 -10.297   |10.44    |~                   |    ~     ~    
120 |TYC 3262-341-1                                                        |Star                           |00 52 12.5819737320 +45 00 58.642339932|123.0752224999159 -17.8552433085412| -3.374 -13.501   |9.09     |~                   |    ~     ~    
121 |TYC 3262-354-1                                                        |Star                           |00 54 08.3728401984 +45 22 02.588921796|123.4294666542761 -17.5017518346756|   3.275 -8.425   |9.96     |~                   |    ~     ~    
122 |TYC 3262-430-1                                                        |Star                           |00 54 17.7339040488 +45 27 21.310358256|123.4571181838196 -17.4129139504940| -8.606 -13.869   |10.45    |~                   |    ~     ~    
123 |TYC 3262-442-1                                                        |Star                           |00 54 41.2897201584 +45 33 51.586501356|123.5277646398315 -17.3036577098096|   7.942 -5.392   |10.08    |~                   |    ~     ~    
124 |TYC 3262-515-1                                                        |Star                           |00 53 19.0012718544 +45 05 02.305581468|123.2802077462630 -17.7865032977929|   4.237 -0.300   |10.48    |~                   |    ~     ~    
125 |TYC 3262-524-1                                                        |High Proper Motion Star        |00 51 23.6083133232 +45 18 42.103597032|122.9237303337568 -17.5600514340534| 32.084 -86.712   |9.39     |~                   |    ~     ~    
126 |TYC 3262-623-1                                                        |Star                           |00 51 27.2165063376 +45 13 10.768313100|122.9348260172257 -17.6520896316251|  -2.074 -0.577   |10.18    |~                   |    ~     ~    
127 |IRAS 00514+4445                                                       |Long-Period Variable           |00 54 16.8065002608 +45 01 57.951818940|123.4594193120231 -17.8360721634823|   1.521 -2.705   |10.80    |~                   |    ~     ~    
128 |TYC 3262-644-1                                                        |Star                           |00 54 21.0509316768 +45 23 20.968620252|123.4681076743355 -17.4795570119149| -10.484 -8.574   |10.40    |~                   |    ~     ~    
129 |TYC 3262-689-1                                                        |Star                           |00 54 51.6367961904 +45 25 19.186412952|123.5614530762070 -17.4455676654782|  -6.670 -1.491   |10.80    |~                   |    ~     ~    
130 |TYC 3262-702-1                                                        |Star                           |00 48 08.3065286904 +45 27 56.041332948|122.3256747103048 -17.4022966139746| 23.680 -40.001   |10.75    |~                   |    ~     ~    
131 |TYC 3262-794-1                                                        |Star                           |00 50 55.9796014464 +45 41 32.321106276|122.8396349751293 -17.1793456871915|   6.815 -6.913   |10.61    |~                   |    ~     ~    
132 |TYC 3262-812-1                                                        |Star                           |00 55 34.3285063176 +45 28 18.841408392|123.6914285364140 -17.3937503904449|   0.362 -4.833   |10.42    |~                   |    ~     ~    
133 |TYC 3262-873-1                                                        |Star                           |00 49 27.5342852568 +45 28 17.155145280|122.5683397784589 -17.3989185021237|  -1.818 -2.362   |10.07    |~                   |    ~     ~    
134 |TYC 3262-911-1                                                        |Spectroscopic Binary           |00 49 41.9635732992 +45 37 42.833281224|122.6136855680600 -17.2421085319232|  7.703 -12.669   |10.72    |~                   |    ~     ~    
135 |TYC 3262-943-1                                                        |Star                           |00 52 05.4356337408 +45 49 19.438239360|123.0508641236391 -17.0495306779928|    4.560 2.142   |9.77     |~                   |    ~     ~    
136 |TYC 3262-952-1                                                        |Star                           |00 48 27.7118020752 +45 44 57.294837600|122.3886918523459 -17.1193599469472|   4.356 -4.757   |10.56    |~                   |    ~     ~    
137 |TYC 3262-1096-1                                                       |Star                           |00 53 03.3211957176 +45 24 23.943403944|123.2295318768073 -17.4641620005663|  -6.865 -7.173   |10.42    |~                   |    ~     ~    
138 |TYC 3262-1101-1                                                       |Star                           |00 48 28.3236037488 +45 48 56.219270364|122.3913895715077 -17.0530183397236|  -5.167 -2.737   |10.16    |~                   |    ~     ~    
139 |TYC 3262-1177-1                                                       |Star                           |00 53 30.8965860312 +45 43 56.410625208|123.3112117121749 -17.1378816799245|  -3.883 -1.220   |9.65     |~                   |    ~     ~    
140 |TYC 3262-1240-1                                                       |Star                           |00 54 33.7459161888 +46 47 22.871086800|123.4885123636698 -16.0786844782096|   7.889 -2.735   |10.97    |~                   |    ~     ~    
141 |TYC 3262-1372-1                                                       |Star                           |00 53 41.5282578168 +46 48 34.096826772|123.3333009426256 -16.0605194454923|   5.397 -7.364   |10.93    |~                   |    ~     ~    
142 |TYC 3262-1414-1                                                       |Star                           |00 52 55.1864356704 +46 47 45.710610756|123.1958641796335 -16.0749574366953|   8.785 -2.153   |10.12    |~                   |    ~     ~    
