C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
73  |TYC 4547-376-1                                                                                                                              |Star                              |09 37 34.8012568704 +80 00 08.319495960|131.8944625304223 +33.4708309370055|  -11.684 4.585   |10.93    |~               |    ~     ~    |    1|  395.101   pc  |  -2.4821     +2.4821  |paral   |2020yCat.1350....0G
74  |BD+76 355                                                                                                                                   |Star                              |09 31 27.3565250472 +76 14 51.618956028|135.8363707854655 +35.3746830213464| 13.273 -20.960   |9.95     |F8              |    ~     ~    |    1|  212.157   pc  |  -0.5986     +0.5986  |paral   |2020yCat.1350....0G
75  |BD+80 291                                                                                                                                   |Spectroscopic Binary              |09 38 56.3228653200 +79 34 06.729593664|132.2665524990885 +33.7803365138214|   -6.783 2.228   |9.17     |G5              |    ~     ~    |    1|  586.545   pc  | -22.8439    +22.8439  |paral   |2020yCat.1350....0G
76  |BD+79 309                                                                                                                                   |Star                              |09 33 59.7843952440 +79 18 48.401331408|132.6751429886288 +33.7495083056790|  -25.591 2.286   |9.69     |K0              |    ~     ~    |    1|  497.018   pc  |  -2.9643     +2.9643  |paral   |2020yCat.1350....0G
77  |NGC 2908                           NGC 2908                                                                                                 |Galaxy                            |09 43 31.5466361568 +79 42 04.612910400|131.9881417462869 +33.8621294698008|            ~ ~   |     ~   |~               |0.467 0.448    |    0|                |                       |        |                   
78  |BD+79 308                                                                                                                                   |Star                              |09 31 42.2195704776 +78 53 56.612945760|133.1576821178091 +33.9003487213827|  -3.195 -3.767   |9.92     |G5              |    ~     ~    |    1|  993.049   pc  | -12.3268    +12.3268  |paral   |2020yCat.1350....0G
79  |TYC 4544-1114-1                                                                                                                             |Star                              |09 35 38.9453306160 +79 01 45.213856320|132.8979407286880 +33.9788090289300|    7.748 7.814   |10.36    |F2              |    ~     ~    |    1|  434.745   pc  |  -2.3814     +2.3814  |paral   |2020yCat.1350....0G
80  |BD+79 311                                                                                                                                   |Star                              |09 37 54.8270082312 +78 32 51.586717848|133.2895187082542 +34.3516904584577| -1.094 -31.806   |9.23     |K0              |    ~     ~    |    1|  856.971   pc  |  -8.3722     +8.3722  |paral   |2020yCat.1350....0G
81  |BD+79 312                                                                                                                                   |Star                              |09 40 30.7152289368 +79 06 38.127872376|132.6531459852724 +34.1152373338183|    3.745 2.395   |9.38     |K5              |    ~     ~    |    1| 1499.250   pc  | -34.3906    +34.3906  |paral   |2020yCat.1350....0G
82  |BD+79 313                                                                                                                                   |Star                              |09 40 08.7957625680 +78 29 39.424426512|133.2612169652169 +34.4727044219386|   -5.566 1.631   |9.14     |K2              |    ~     ~    |    1|  848.464   pc  | -11.0143    +11.0143  |paral   |2020yCat.1350....0G
83  |BD+79 314                                                                                                                                   |Star                              |09 40 34.8221401248 +78 39 49.159874700|133.0815009043901 +34.3880002224475| -26.074 -6.213   |9.81     |K0              |    ~     ~    |    1|  689.275   pc  |  -5.3686     +5.3686  |paral   |2020yCat.1350....0G
84  |BD+79 315                                                                                                                                   |Star                              |09 41 05.8986187392 +78 41 35.636666172|133.0343308232314 +34.3903988902387|    1.459 1.014   |9.93     |G               |    ~     ~    |    1|  396.511   pc  |  -1.8395     +1.8395  |paral   |2020yCat.1350....0G
85  |HD 83003                                                                                                                                    |Star                              |09 42 20.4648766800 +78 49 41.698006176|132.8598384281487 +34.3564249029156|-14.643 -22.143   |8.19     |A5              |    ~     ~    |    1|  298.891   pc  |  -1.7421     +1.7421  |paral   |2020yCat.1350....0G
86  |BD+79 317                                                                                                                                   |Star                              |09 42 26.4532760712 +78 27 51.640511796|133.2061812233523 +34.5820811446102|  -0.519 -3.702   |9.47     |K0              |    ~     ~    |    1|  587.579   pc  |  -4.2811     +4.2811  |paral   |2020yCat.1350....0G
87  |BD+79 318                                                                                                                                   |Star                              |09 44 40.7879417184 +78 52 56.187153048|132.7239966975652 +34.4123034494209|   0.005 -4.016   |10.07    |G5              |    ~     ~    |    1|  664.011   pc  |  -5.5996     +5.5996  |paral   |2020yCat.1350....0G
88  |BD+78 309                                                                                                                                   |Star                              |09 33 23.5621219488 +78 12 39.111168924|133.7817669698196 +34.3626995220596|   6.760 10.986   |9.73     |G5              |    ~     ~    |    1|  621.852   pc  |  -8.5847     +8.5847  |paral   |2020yCat.1350....0G
89  |BD+78 311                                                                                                                                   |High Proper Motion Star           |09 34 39.8779116528 +77 47 39.981509844|134.1499009282319 +34.6555360954668| -91.789 11.133   |9.95     |G5              |    ~     ~    |    1|   83.493   pc  |  -0.0857     +0.0857  |paral   |2020yCat.1350....0G
90  |AG+78 237                                                                                                                                   |Long-Period Variable Candidate    |09 35 38.6725503504 +77 53 06.188230356|134.0237284956920 +34.6455138360130|  3.893 -13.493   |9.84     |~               |    ~     ~    |    1| 1023.86    pc  | -21.0704    +21.0704  |paral   |2020yCat.1350....0G
