C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
66  |CD-33 15323                                                                                              |Star                              |20 59 24.5427362860 -32 50 57.092308228|011.4920099685971 -40.0510097073963| -39.318 12.367   |10.84    |~               |    ~     ~    |    1|  110.4740  pc  |  -0.6114     +0.6114  |paral   |2018yCat.1345....0G
67  |HD 199574                                                                                                |Star                              |20 59 10.0473857136 -33 23 37.909033440|010.7789824279183 -40.0896848162835| 23.860 -35.927   |10.24    |F3V             |    ~     ~    |    1|  245.252   pc  |  -3.5300     +3.5300  |ST-L    |2020AJ....160...83S
68  |HD 199186                                                                                                |Double or Multiple Star           |20 56 32.6819 -33 39 42.039            |010.3210712 -39.5928229            |      -10.6 3.6   |9.48     |G3V             |    ~     ~    |    1|  633.056   pc  |-221.8000   +221.8000  |ST-L    |2020AJ....160...83S
69  |HD 199240                                                                                                |Spectroscopic Binary              |20 56 53.2729286088 -33 36 56.078466192|010.3950020288095 -39.6559471426795|  -11.034 5.769   |9.27     |K3(III)         |    ~     ~    |    1| 1010.830   pc  | -65.7600    +65.7600  |ST-L    |2020AJ....160...83S
70  |HD 199410                                                                                                |High Proper Motion Star           |20 57 56.6854530984 -33 38 56.873842728|010.3973813895423 -39.8784746851467| 58.198 -78.649   |8.97     |G1V             |    ~     ~    |    1|   96.142   pc  |  -0.6635     +0.6635  |ST-L    |2020AJ....160...83S
71  |CD-34 14768                                                                                              |Star                              |20 58 29.5264585104 -33 41 31.547060376|010.3653313305398 -39.9976849017616|  16.218 -4.738   |9.96     |K2              |    ~     ~    |    1|  595.203   pc  |  -6.6956     +6.6956  |paral   |2020yCat.1350....0G
72  |HD 199620                                                                                                |High Proper Motion Star           |20 59 29.1457090176 -33 36 59.754828852|010.5048740429337 -40.1901997227958|99.990 -145.296   |7.35     |K0V             |    ~     ~    |    1|   66.947   pc  |  -0.3216     +0.3216  |ST-L    |2020AJ....160...83S
73  |HD 198543                                                                                                |Star                              |20 52 05.1389050608 -33 52 54.685506900|009.8462691512094 -38.7144124334817|  6.022 -14.741   |7.86     |M2III           |    ~     ~    |    1|  509.580   pc  |  -6.5957     +6.5957  |paral   |2020yCat.1350....0G
74  |HD 198544                                                                                                |Double or Multiple Star           |20 52 08.3535 -34 27 40.309            |009.1153108 -38.8190055            |   -10.80 15.20   |9.68     |F3/5+G8/K0      |    ~     ~    |    0|                |                       |        |                   
75  |HD 198616                                                                                                |Star                              |20 52 34.9582981656 -34 06 12.816419328|009.5873239269618 -38.8523243618084| 11.521 -17.275   |9.80     |F2V             |    ~     ~    |    1|  292.534   pc  |  -9.2490     +9.2490  |ST-L    |2020AJ....160...83S
