C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
99  |TYC 7837-1549-1                                                       |Star                                  |15 49 11.1410988600 -38 29 40.105753836|337.0501481385498 +12.3299093861469| -11.348 -0.302   |10.98    |~                |    ~     ~            
100 |TYC 7837-1596-1                                                       |Star                                  |15 45 17.2738704912 -38 38 52.218509640|336.3464258241444 +12.6931688872504|  13.534 -1.368   |10.55    |~                |    ~     ~            
101 |TYC 7837-1628-1                                                       |Star                                  |15 45 57.6976042608 -39 02 36.641840640|336.1964579151039 +12.3028759375289|      -9.1 -8.4   |10.97    |~                |    ~     ~            
102 |TYC 7837-1755-1                                                       |Star                                  |15 49 25.3770423336 -38 43 42.493133712|336.9339422798761 +12.1201372613292|  -0.106 -1.308   |10.50    |~                |    ~     ~            
103 |TYC 7838-32-1                                                         |Star                                  |15 51 46.0337543160 -37 58 53.968010016|337.7850313896827 +12.3980661282003|  -2.086 -3.292   |10.82    |~                |    ~     ~            
104 |TYC 7838-213-1                                                        |Star                                  |15 55 50.7893621280 -38 54 51.602408388|337.7866278088554 +11.1701641412079|    7.554 4.256   |10.31    |~                |    ~     ~            
105 |TYC 7838-657-1                                                        |Star                                  |15 55 55.2210395856 -39 00 11.987891028|337.7384095183240 +11.0934301070603|  -2.838 -7.715   |10.57    |~                |    ~     ~            
106 |TYC 7838-762-1                                                        |Star                                  |15 52 09.7458997488 -38 10 00.052008672|337.7235688109761 +12.2065543624790|   10.740 0.356   |10.45    |~                |    ~     ~            
107 |TYC 7838-895-1                                                        |Star                                  |15 55 28.9462088616 -39 17 16.856946888|337.4835243493856 +10.9332443747966|  -10.084 1.979   |10.46    |~                |    ~     ~            
108 |TYC 7838-970-1                                                        |Star                                  |15 55 48.5196127872 -37 56 46.176485136|338.4276428962932 +11.9070237399768|-31.387 -29.013   |10.93    |~                |    ~     ~            
109 |TYC 7841-386-1                                                        |Star                                  |15 48 41.7593830776 -39 32 44.315624184|336.2915255084961 +11.5794449420405|   11.440 1.314   |10.79    |~                |    ~     ~            
110 |TYC 7841-387-1                                                        |High Proper Motion Star               |15 49 05.6769939888 -39 28 42.930182100|336.3956171081217 +11.5823914859696| 69.530 -10.279   |10.54    |~                |    ~     ~            
111 |TYC 7842-854-1                                                        |Star                                  |15 51 45.0604038216 -40 08 58.101832824|336.3590494266345 +10.7403717629084|-14.009 -13.045   |10.59    |~                |    ~     ~            
112 |TYC 7842-1223-1                                                       |Star                                  |15 52 05.5530757704 -39 45 22.194328068|336.6673254326872 +10.9998346849010|   7.795 -9.663   |10.52    |~                |    ~     ~            
113 |TYC 7842-1238-1                                                       |Star                                  |15 51 56.2301841264 -39 36 41.739937164|336.7386901364908 +11.1297924919419|-31.344 -21.724   |10.42    |~                |    ~     ~            
114 |TYC 7842-1249-1                                                       |Star                                  |15 50 48.6867031200 -40 09 48.080444904|336.2096080702962 +10.8446397464237| 14.600 -13.889   |10.39    |~                |    ~     ~            
115 |HD 142834                                                             |Star                                  |15 58 13.2153812352 -38 19 21.494974584|338.5393823575841 +11.3115107343468|   -1.745 3.018   |9.03     |K1III/IV         |    ~     ~            
