C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
140 |CD-40 10079                                                           |Star                                  |15 56 41.7176873760 -40 30 00.494996040|336.8583666838256 +09.8630698693894|  12.997 -6.102   |10.09    |~                |    ~     ~            
141 |CD-40 10104                                                           |Star                                  |15 58 30.5374496376 -40 36 34.435186704|337.0495796888387 +09.5546376943916|-12.050 -28.354   |10.82    |~                |    ~     ~            
142 |CD-39 10260                                                           |Star                                  |15 58 40.1657053176 -40 01 40.536085728|337.4613960540559 +09.9723988265551|   1.057 -7.577   |10.45    |~                |    ~     ~            
143 |HD 143052                                                             |Star                                  |15 59 42.1724228928 -38 33 49.861777572|338.5983559224322 +10.9385333179964|-14.373 -32.385   |9.37     |F5V              |    ~     ~            
144 |HD 143084                                                             |Star                                  |15 59 57.8419983192 -40 39 11.205906120|337.2308982983086 +09.3398816749309|  -2.821 -8.966   |6.488    |K1II/III         |    ~     ~            
145 |CD-38 10792                                                           |Star                                  |15 59 49.4966136696 -39 05 49.317213300|338.2564732003361 +10.5237834100536|   0.254 -1.158   |10.82    |~                |    ~     ~            
146 |HD 142461                                                             |Star                                  |15 56 18.3796589784 -40 31 50.842015824|336.7812103948431 +09.8881026917238| -1.137 -13.854   |8.95     |K0III            |    ~     ~            
147 |CD-37 10601                                                           |Star                                  |15 56 29.2762958424 -38 07 54.582980556|338.4063542115311 +11.6791485688266|  -5.424 -7.944   |10.64    |~                |    ~     ~            
148 |IRAS 15556-3759                                                       |Star                                  |15 58 59.1910087272 -38 08 18.303706752|338.7787647983718 +11.3500992542192|   3.325 -6.561   |10.4     |~                |    ~     ~            
149 |TYC 7838-183-1                                                        |Star                                  |15 58 01.9882890048 -38 42 34.978773924|338.2509645261381 +11.0448437590553| -24.212 -8.607   |10.77    |~                |    ~     ~            
150 |TYC 7838-475-1                                                        |Star                                  |15 59 43.6201237056 -38 57 24.772737456|338.3365260353231 +10.6413073519674| -7.471 -11.441   |10.93    |~                |    ~     ~            
151 |TYC 7838-1176-1                                                       |Star                                  |15 56 21.2698847616 -38 21 00.163933416|338.2399743319775 +11.5316928553524|  -7.803 -8.655   |10.69    |~                |    ~     ~            
152 |TYC 7842-160-1                                                        |Star                                  |15 57 08.2168506000 -40 29 10.365459936|336.9320910310370 +09.8187086935929|  -6.084 -1.531   |10.82    |~                |    ~     ~            
153 |TYC 7842-829-1                                                        |Star                                  |15 58 49.6970694312 -40 40 57.242646408|337.0471363834286 +09.4598090004624|-13.288 -22.232   |10.85    |~                |    ~     ~            
154 |TYC 7842-840-1                                                        |Star                                  |15 56 50.3686715088 -39 58 18.724152180|337.2302933098416 +10.2447935317715|  -8.672 -6.288   |10.69    |~                |    ~     ~            
155 |TYC 7842-1080-1                                                       |Star                                  |15 56 44.9709535176 -40 00 19.820958012|337.1946865305102 +10.2306284660132| -5.608 -18.219   |10.95    |~                |    ~     ~            
156 |TYC 7842-1159-1                                                       |Spectroscopic Binary                  |15 56 25.3174287816 -40 23 50.900235324|336.8864399558934 +09.9747819014752| -7.117 -26.748   |10.26    |~                |    ~     ~            
157 |CD-34 10522                                                           |Star                                  |15 46 24.8740127376 -35 04 51.379491288|338.8523327389300 +15.3128816898883| -26.115 -3.123   |9.60     |G2               |    ~     ~            
158 |HD 140784                                                             |Variable Star                         |15 46 44.2174303104 -34 40 56.830010556|339.1692328969823 +15.5771911419110|-19.673 -26.350   |5.600    |B8V              |    ~     ~            
159 |CD-34 10525                                                           |Double or Multiple Star               |15 47 19.353 -34 32 54.70              |339.354354 +15.602832              |     11.7 -24.8   |10.19    |F8               |    ~     ~            
160 |CD-35 10483                                                           |Star                                  |15 45 41.4902127048 -35 34 23.383137828|338.4098501457244 +15.0271352939087| -18.788 -2.892   |9.67     |G5               |    ~     ~            
161 |HD 140703                                                             |High Proper Motion Star               |15 46 26.5741465464 -35 52 51.987615096|338.3291265424286 +14.6924739009709|-66.183 -12.878   |8.21     |F3V              |    ~     ~            
162 |HD 140817                                                             |Double or Multiple Star               |15 47 04.4561718672 -35 30 37.241353908|338.6757332181924 +14.8964209885879|-20.238 -24.660   |6.92     |A0V              |0.0117  0.0            
163 |HD 140840                                                             |Star                                  |15 47 06.1673323416 -35 31 04.939301388|338.6752689087763 +14.8867942143921|-19.111 -24.962   |7.26     |B9/A0V           |    ~     ~            
164 |HD 140994                                                             |Double or Multiple Star               |15 47 55.37425 -35 43 09.5099          |338.67465790 +14.62547454          |   18.41 -40.38   |8.81     |F5V              |    ~     ~            
165 |CD-35 10514                                                           |Star                                  |15 48 07.8252801528 -36 01 45.060619944|338.5030911032890 +14.3605249618033|-24.026 -26.075   |9.70     |F5               |    ~     ~            
166 |HD 140563                                                             |Star                                  |15 45 38.9882652000 -36 18 52.976506212|337.9168223953799 +14.4591198947721|    3.035 0.678   |9.48     |F(m_dD)          |    ~     ~            
167 |HD 140545                                                             |Star                                  |15 45 37.4897498592 -36 40 29.318083068|337.6776136617781 +14.1834861199398|  -4.836 -1.833   |9.48     |K0/1(III)        |    ~     ~            
168 |HD 140757                                                             |Star                                  |15 46 51.6416863248 -36 56 12.640685424|337.7036944898417 +13.8240168905217|-15.817 -23.745   |7.97     |A2IV/V           |    ~     ~            
169 |HD 140799                                                             |Spectroscopic Binary                  |15 46 59.3568686472 -36 34 58.341183996|337.9559910883431 +14.0809346158169|   -4.966 4.023   |8.79     |M0III            |0.0017  0.0            
170 |HD 140859                                                             |Star                                  |15 47 19.3522450008 -36 36 01.281950172|337.9977045301100 +14.0248724814438|  21.680 -9.923   |10.45    |G5/6(IV)         |    ~     ~            
171 |HD 140921                                                             |Star                                  |15 47 37.5059308200 -37 06 11.169690336|337.7161073436261 +13.5986795633568| -14.182 -9.007   |10.16    |A2/5(m)F0-F3     |    ~     ~            
