C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
75  |BD+46 2633                                                                                               |delta Sct Variable                    |19 08 42.5153546280 +46 24 14.794993692|077.1125890910020 +16.5008465397772|   2.240 -3.429   |10.15    |G8III                |    ~     ~    |    1| 1114.21    pc  | -13.4077    +13.4077  |paral   |2020yCat.1350....0G
76  |HD 178660                                                                                                |Star                                  |19 07 21.3700615584 +46 05 07.177290432|076.7125544454433 +16.5970349269260|   2.134 13.300   |7.68     |K2                   |    ~     ~    |    1|  671.411   pc  |  -6.9873     +6.9873  |paral   |2020yCat.1350....0G
77  |TYC 3542-1842-1                                                                                          |Star                                  |19 07 37.9141484760 +46 07 04.633674312|076.7628765191746 +16.5650505129483| -9.733 -25.883   |9.75     |F8                   |    ~     ~    |    1|  207.909   pc  |  -0.5533     +0.5533  |paral   |2020yCat.1350....0G
78  |TYC 3542-1414-1                                                                                          |Star                                  |19 07 36.9216113040 +46 07 57.470178432|076.7759322649954 +16.5732379154065|   -1.630 3.576   |10.07    |G6V                  |    ~     ~    |    1|  703.482   pc  | -60.3762    +60.3762  |paral   |2020yCat.1350....0G
79  |HD 179240                                                                                                |Star                                  |19 09 34.2820551672 +46 24 53.723882052|077.1818862379533 +16.3673654683030|  3.813 -20.358   |8.77     |G5                   |    ~     ~    |    1|  827.404   pc  | -10.2005    +10.2005  |paral   |2020yCat.1350....0G
80  |BD+45 2854                                                                                               |Horizontal Branch Star                |19 13 08.3263677336 +46 07 52.034993328|077.1570792493890 +15.6891319344450|    2.774 2.419   |9.47     |G0                   |    ~     ~    |    1|    0.544   kpc |                       |        |2021A&A...645A..85M
81  |V* FL Lyr                                                                                                |Eclipsing Binary                      |19 12 04.8624983832 +46 19 26.867864388|077.2677909549954 +15.9327911624012|  -0.172 46.008   |9.36     |F8V                  |    ~     ~    |    1|  134.090   pc  |  -0.2194     +0.2194  |paral   |2020yCat.1350....0G
82  |HD 177197                                                                                                |Star                                  |19 01 33.0267571872 +45 38 47.662394244|075.8954262473437 +17.3737212934193|  14.521 12.540   |9.53     |A1V                  |    ~     ~    |    1|  416.823   pc  |  -3.2490     +3.2490  |paral   |2020yCat.1350....0G
83  |HD 177223                                                                                                |Eruptive Variable                     |19 01 41.4701123808 +45 36 16.570092816|075.8638409092638 +17.3355382597595|  16.334 24.063   |8.58     |K                    |    ~     ~    |    1|  564.589   pc  |  -4.4308     +4.4308  |paral   |2020yCat.1350....0G
84  |HD 177277                                                                                                |Star                                  |19 01 54.3826742952 +45 30 39.178476936|075.7868136346067 +17.2662986454651| -1.892 -13.926   |9.48     |B7V                  |    ~     ~    |    1|  544.395   pc  |  -6.3422     +6.3422  |paral   |2020yCat.1350....0G
85  |HD 177327                                                                                                |Horizontal Branch Star                |19 02 00.7296803304 +45 51 19.285666056|076.1299040321929 +17.3745859755735|    9.742 5.913   |9.09     |K0                   |    ~     ~    |    1|  630.636   pc  |  -4.0963     +4.0963  |paral   |2020yCat.1350....0G
86  |HD 177723                                                                                                |Star                                  |19 03 45.1355799960 +45 36 30.189464856|076.0058505485139 +17.0015515046461|  25.078 -6.230   |9.10     |F8IV                 |    ~     ~    |    1|  147.564   pc  |  -0.2265     +0.2265  |paral   |2020yCat.1350....0G
