C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:30:38

dec< 0&rah >=20.5&rah< 20.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4644

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
72  |HD 196288                                                                                                |High Proper Motion Star            |20 37 38.5015898952 -36 32 20.228488620|005.9379207129764 -36.2356107825687| 146.053 15.168   |9.664    |G8V                |    ~     ~    |    1|   80.864   pc  |  -0.3961     +0.3961    |ST-L    |2020AJ....160...83S
73  |HD 196314                                                                                                |Star                               |20 37 47.8202694960 -36 03 58.824444852|006.5221523161888 -36.1892844388973|  3.394 -17.143   |8.56     |F7V                |    ~     ~    |    1|   64.985   pc  |  -0.1077     +0.1077    |paral   |2020yCat.1350....0G
74  |HD 196475                                                                                                |Star                               |20 38 52.6664647392 -36 27 00.205111188|006.0961641244664 -36.4666398035218| -17.797 20.544   |9.01     |F5V                |    ~     ~    |    1|  102.037   pc  |  -0.1780     +0.1780    |paral   |2020yCat.1350....0G
75  |HD 196497                                                                                                |Star                               |20 39 04.4230910952 -36 21 21.538750032|006.2194800846679 -36.4905675005648|  7.153 -14.557   |8.12     |A0V                |    ~     ~    |    1|  292.723   pc  |  -2.8619     +2.8619    |paral   |2020yCat.1350....0G
76  |V* BU Mic                                                                                                |delta Sct Variable                 |20 39 52.4532501048 -36 02 00.790732176|006.6479375645838 -36.5980689597598| 33.078 -50.766   |7.20     |F3IV               |    ~     ~    |    1|  180.760   pc  |  -0.7450     +0.7450    |paral   |2020yCat.1350....0G
77  |HD 196456                                                                                                |Star                               |20 38 50.9466786936 -36 53 27.641077296|005.5532491904743 -36.5298716015951| 34.071 -20.040   |9.813    |F7V                |    ~     ~    |    1|  147.530   pc  |  -1.3620     +1.3620    |ST-L    |2020AJ....160...83S
78  |HD 196457                                                                                                |Star                               |20 38 53.2855997304 -37 18 56.172359160|005.0321102113299 -36.6015821481010| 12.220 -13.804   |9.51     |F0V                |    ~     ~    |    1|  249.588   pc  |  -1.3518     +1.3518    |paral   |2020yCat.1350....0G
79  |HD 196512                                                                                                |Star                               |20 39 14.0301946392 -37 24 39.953903472|004.9269812773781 -36.6835790980013|   8.799 -8.449   |9.24     |K3III              |    ~     ~    |    1|  425.026   pc  |  -3.3239     +3.3239    |paral   |2020yCat.1350....0G
80  |HD 196533                                                                                                |Star                               |20 39 18.0521677368 -36 45 37.958332104|005.7310695009768 -36.5991262809782|    0.756 6.215   |8.51     |K0III              |    ~     ~    |    1|  385.297   pc  |  -3.4887     +3.4887    |paral   |2020yCat.1350....0G
81  |HD 196663                                                                                                |Spectroscopic Binary               |20 40 05.5390073736 -37 02 35.038041468|005.4126734921387 -36.7983305271367|-76.896 -18.150   |9.98     |G5V                |    ~     ~    |    1|  172.022   pc  |  -4.0610     +4.0610    |ST-L    |2020AJ....160...83S
82  |HD 196683                                                                                                |Star                               |20 40 14.9840598888 -36 55 36.376902192|005.5621549399000 -36.8120370268846|   4.605 -5.369   |10.400   |F2/3V              |    ~     ~    |    1|  285.447   pc  |  -5.0390     +5.0390    |ST-L    |2020AJ....160...83S
83  |HD 196289                                                                                                |High Proper Motion Star            |20 37 46.0180462416 -37 36 18.969420960|004.6348188516387 -36.4242590438042| 86.245 -86.681   |9.71     |G8/K0(IV)+(F)      |    ~     ~    |    1|  137.172   pc  |  -1.1720     +1.1720    |ST-L    |2020AJ....160...83S
84  |IRAS 20354-3639                                                                                          |Long-Period Variable Candidate     |20 38 36.1179452808 -36 28 50.350530396|006.0476474707201 -36.4167623231045|   3.970 -3.554   |10.99    |~                  |    ~     ~    |    1| 2120.89    pc  |-160.585    +160.585     |paral   |2020yCat.1350....0G
85  |CD-37 13850                                                                                              |Star                               |20 38 51.9525038808 -37 22 30.065570544|004.9580981071460 -36.6059911044127|  -3.941 -2.440   |10.40    |~                  |    ~     ~    |    1|  303.104   pc  |  -1.7180     +1.7180    |paral   |2020yCat.1350....0G
86  |CD-35 14249                                                                                              |Star                               |20 38 59.7413407296 -35 14 08.599793820|007.5883194138721 -36.2880185881528|  -9.920 -6.686   |10.307   |~                  |    ~     ~    |    1|  283.192   pc  |  -6.4440     +6.4440    |ST-L    |2020AJ....160...83S
87  |CD-37 13858                                                                                              |Star                               |20 39 55.0128611496 -36 33 54.667514160|005.9954461904101 -36.6909419424619|  -2.909 -4.540   |9.797    |~                  |    ~     ~    |    1| 1097.920   pc  | -80.6100    +80.6100    |ST-L    |2020AJ....160...83S
88  |CD-36 14330                                                                                              |High Proper Motion Star            |20 40 39.8069293968 -35 43 52.842605304|007.0520986661123 -36.7064620626990|   52.815 3.461   |9.923    |~                  |    ~     ~    |    1|  130.405   pc  |  -1.0240     +1.0240    |ST-L    |2020AJ....160...83S
89  |CD-37 13839                                                                                              |Star                               |20 37 43.4660753544 -37 29 40.813411560|004.7691943790914 -36.3995888792822|  18.988 -1.902   |10.256   |~                  |    ~     ~    |    1|  770.510   pc  | -25.2400    +25.2400    |ST-L    |2020AJ....160...83S
90  |TYC 7468-742-1                                                                                           |Star                               |20 38 06.6621121152 -35 56 19.426905528|006.6912120572408 -36.2306522236020|   6.003 -9.257   |10.388   |~                  |    ~     ~    |    1|  806.762   pc  | -45.4500    +45.4500    |ST-L    |2020AJ....160...83S
91  |CD-37 13845                                                                                              |Star                               |20 38 25.1706596616 -37 00 34.361078112|005.3911797681431 -36.4632209065622|   -3.994 1.383   |10.835   |~                  |    ~     ~    |    1|  735.500   pc  | -36.0600    +36.0600    |ST-L    |2020AJ....160...83S
92  |CD-37 13846                                                                                              |Star                               |20 38 30.8117232264 -37 05 34.865126592|005.2921329529085 -36.4944774523449|  -3.417 -1.698   |10.814   |~                  |    ~     ~    |    1|  992.178   pc  | -42.2700    +42.2700    |ST-L    |2020AJ....160...83S
93  |CD-36 14301                                                                                              |Star                               |20 38 37.3358628720 -35 49 57.375063408|006.8424652703234 -36.3150028676167|  3.619 -16.328   |10.57    |~                  |    ~     ~    |    1|  470.699   pc  |  -4.2096     +4.2096    |paral   |2020yCat.1350....0G
94  |CD-36 14300                                                                                              |Star                               |20 38 37.3971501144 -36 06 01.187066052|006.5147432331649 -36.3595468235492| 17.728 -12.826   |10.31    |~                  |    ~     ~    |    1| 1188.495   pc  | -28.5329    +28.5329    |paral   |2020yCat.1350....0G
