C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1037|TYC 5836-214-1                                                        |Star                               |23 46 43.6923810504 -13 32 02.358223836|071.6934815553780 -69.6725694974391|  -0.859 -0.316   |10.95    |~              |    ~     ~    |    1|  413.104   pc  |  -3.7544     +3.7544    |paral   |2020yCat.1350....0G
1038|HD 223675                                                             |Star                               |23 51 38.1085997256 -13 59 06.519490368|073.2454362658545 -70.8338508159879|   8.520 -3.421   |8.55     |A2IV           |    ~     ~    |    1|  207.979   pc  |  -4.0320     +4.0320    |ST-L    |2020AJ....160...83S
1039|HD 223722                                                             |Star                               |23 52 04.4820873552 -13 51 26.619874596|073.7493621890236 -70.8164845257856|  40.566 10.427   |9.948    |G1V            |    ~     ~    |    1|  174.448   pc  |  -2.3820     +2.3820    |ST-L    |2020AJ....160...83S
1040|HD 224173                                                             |High Proper Motion Star            |23 55 48.8161730904 -13 57 59.636544840|075.5675957944743 -71.5170191914506| 164.854 24.841   |7.32     |F5/6V          |    ~     ~    |    1|   50.296   pc  |  -0.0759     +0.0759    |paral   |2020yCat.1350....0G
1041|BD-14 6590                                                            |High Proper Motion Star            |23 59 06.8137727208 -13 56 42.404069940|077.5275990398845 -72.0325986697648| 39.535 -33.185   |9.29     |K7             |    ~     ~    |    1|  250.853   pc  |  -1.3907     +1.3907    |paral   |2020yCat.1350....0G
1042|BD-14 6575                                                            |High Proper Motion Star            |23 55 00.8817867902 -13 54 26.405792874|075.2450395098951 -71.3422824840591|-48.307 -296.972  |10.541   |~              |    ~     ~    |    1|   91.827   pc  |  -0.5742     +0.5742    |ST-L    |2020AJ....160...83S
1043|BD-14 6572                                                            |Star                               |23 54 03.0364261032 -14 00 17.318400984|074.5042347604641 -71.2540062601415| -8.878 -13.223   |10.13    |~              |    ~     ~    |    1|  999.001   pc  | -18.4631    +18.4631    |paral   |2020yCat.1350....0G
1044|BD-14 6582                                                            |High Proper Motion Star            |23 56 16.9230557880 -13 57 45.268360992|075.8416914959760 -71.5905771292276| 72.406 -26.014   |10.860   |~              |    ~     ~    |    1|  143.691   pc  |  -2.4520     +2.4520    |ST-L    |2020AJ....160...83S
1045|BD-14 6585                                                            |Star                               |23 57 16.8391478112 -13 59 43.221130368|076.3449122169900 -71.7770002142641|  5.881 -23.253   |9.74     |~              |    ~     ~    |    1|  409.886   pc  |  -3.3097     +3.3097    |paral   |2020yCat.1350....0G
1046|BD-12 6567                                                            |Star                               |23 48 50.9144505912 -11 27 30.213074628|076.7363641485289 -68.5142110405244| 30.447 -16.214   |9.19     |K0             |    ~     ~    |    1|  412.014   pc  |  -3.3951     +3.3951    |paral   |2020yCat.1350....0G
1047|HD 223572                                                             |High Proper Motion Star            |23 50 42.0531471792 -11 36 33.676107012|077.4133334468402 -68.9244502986865| 45.562 -42.768   |8.81     |F7V            |    ~     ~    |    1|  128.754   pc  |  -1.1180     +1.1180    |ST-L    |2020AJ....160...83S
1048|BD-13 6465                                                            |Star                               |23 49 21.3474139680 -12 37 35.709457764|074.8197726839247 -69.4671907345345|-16.397 -12.884   |10.58    |F1VkA2mA3      |    ~     ~    |    1|  428.510   pc  | -14.9600    +14.9600    |ST-L    |2020AJ....160...83S
1049|HD 223541                                                             |Star                               |23 50 30.7436029440 -13 06 38.224683072|074.4628400103842 -70.0135184445213|  10.807 -8.520   |7.10     |K0+III-IVFe-1  |    ~     ~    |    1|   95.862   pc  |  -0.2757     +0.2757    |paral   |2020yCat.1350....0G
1050|HD 223604                                                             |Star                               |23 50 55.2722842464 -12 49 14.651182740|075.2501815560276 -69.8685123504751|  12.806 10.430   |8.89     |F0V            |    ~     ~    |    1|  232.412   pc  |  -3.4192     +3.4192    |paral   |2020yCat.1350....0G
1051|HD 223406                                                             |High Proper Motion Star            |23 49 16.1940105048 -13 32 55.656869208|072.9330688588708 -70.1201605248587|-49.197 -31.303   |9.21     |G1V            |    ~     ~    |    1|  138.539   pc  |  -0.4088     +0.4088    |paral   |2020yCat.1350....0G
1052|HD 223405                                                             |Star                               |23 49 15.7554680112 -13 18 15.116655276|073.4295449023400 -69.9438508519354|  -3.645 -3.742   |9.18     |F0V            |    ~     ~    |    1|  203.103   pc  |  -2.0873     +2.0873    |paral   |2020yCat.1350....0G
1053|BD-14 6562                                                            |Star                               |23 51 14.5492632960 -13 22 30.399852324|074.3099967104116 -70.3278990079414|   29.568 5.746   |10.82    |AV             |    ~     ~    |    1|  820.992   pc  | -82.3200    +82.3200    |ST-L    |2020AJ....160...83S
1054|BD-13 6467                                                            |High Proper Motion Star            |23 49 51.5987863560 -12 45 13.006527552|074.8312366903774 -69.6439420462587|  72.244 15.056   |10.78    |K4             |    ~     ~    |    1|   64.981   pc  |  -0.1094     +0.1094    |paral   |2020yCat.1350....0G
1055|BD-14 6559                                                            |Star                               |23 49 30.9028411952 -13 19 26.088674340|073.5184793235851 -70.0007113691654|   12.734 5.203   |10.67    |~              |    ~     ~    |    0|                |                         |        |                   
1056|BD-13 6466                                                            |High Proper Motion Star            |23 49 37.9580304000 -12 20 49.394977368|075.4973403639273 -69.3065562555614|-20.112 -50.906   |10.19    |~              |    ~     ~    |    1|  184.301   pc  |  -0.6216     +0.6216    |paral   |2020yCat.1350....0G
1057|BD-13 6468                                                            |Star                               |23 50 16.7852099352 -12 56 34.881575532|074.6756446016682 -69.8523742686821|    4.220 5.079   |10.61    |~              |    ~     ~    |    1|  239.166   pc  |  -1.2698     +1.2698    |paral   |2020yCat.1350....0G
1058|BD-13 6469                                                            |Star                               |23 50 17.1480479880 -12 17 07.968009444|075.9501031027378 -69.3674571151155|-31.431 -34.563   |10.490   |~              |    ~     ~    |    1|   60.140   pc  |  -3.1150     +3.1150    |ST-L    |2020AJ....160...83S
1059|BD-13 6470                                                            |Star                               |23 50 24.8696132472 -12 32 17.584192356|075.5350370156969 -69.5763730839806|-12.925 -19.430   |9.953    |~              |    ~     ~    |    1|  557.686   pc  | -24.8400    +24.8400    |ST-L    |2020AJ....160...83S
1060|BD-12 6572                                                            |Star                               |23 50 48.4447595064 -11 47 59.986687380|077.1227292646142 -69.0862650430885|  18.117 -0.614   |10.702   |~              |    ~     ~    |    1|  276.298   pc  |  -9.9850     +9.9850    |ST-L    |2020AJ....160...83S
1061|BD-12 6573                                                            |Star                               |23 50 56.9089877976 -11 51 58.507353036|077.0748812465385 -69.1590013543001|-14.178 -12.349   |10.925   |~              |    ~     ~    |    1|  396.820   pc  | -16.2700    +16.2700    |ST-L    |2020AJ....160...83S
1062|BD-12 6570                                                            |Star                               |23 49 45.7079556504 -11 34 41.837739780|076.9855175704321 -68.7512343441402|  12.314 -3.867   |10.955   |~              |    ~     ~    |    1|  216.486   pc  |  -4.3470     +4.3470    |ST-L    |2020AJ....160...83S
1063|HD 223728                                                             |Eruptive Variable                  |23 52 10.2451480920 -11 43 14.626321572|077.9821915825976 -69.2417401915706| 55.539 -35.683   |8.64     |G1V            |    ~     ~    |    1|   83.556   pc  |  -1.4243     +1.4243    |paral   |2020yCat.1350....0G
1064|HD 223946                                                             |Star                               |23 53 51.6297710232 -11 34 14.895690600|079.1564020412925 -69.3888420300605|-22.977 -15.003   |9.583    |F8V            |    ~     ~    |    1|  166.387   pc  |  -2.7200     +2.7200    |ST-L    |2020AJ....160...83S
1065|HD 224468                                                             |High Proper Motion Star            |23 58 16.1032152216 -11 27 30.931218540|081.8108895190104 -69.9622155798722|-64.229 -48.976   |8.00     |K0III          |    ~     ~    |    1|  265.894   pc  |  -2.5593     +2.5593    |paral   |2020yCat.1350....0G
1066|HD 224525                                                             |High Proper Motion Star            |23 58 40.4221721472 -11 41 19.677338448|081.6399052522164 -70.2060544529164|   65.220 5.189   |8.67     |G0V            |    ~     ~    |    1|  145.115   pc  |  -0.3411     +0.3411    |paral   |2020yCat.1350....0G
1067|V* LW Aqr                                                             |Long-Period Variable               |23 52 47.5593324360 -12 01 00.897040632|077.7712305428137 -69.5663469210725|-11.113 -25.704   |7.48     |M4III          |    ~     ~    |    1|  411.252   pc  | -10.0124    +10.0124    |paral   |2020yCat.1350....0G
1068|HD 223895                                                             |Star                               |23 53 30.0527420256 -11 56 58.773749424|078.2759046670311 -69.6260445150599|  11.990 -7.838   |9.44     |G8III/IV       |    ~     ~    |    1|  501.630   pc  |  -7.2974     +7.2974    |paral   |2020yCat.1350....0G
1069|HD 224132                                                             |High Proper Motion Star            |23 55 27.8336838312 -11 57 14.193133056|079.3430745952894 -69.9334413387052|  82.661 -1.247   |9.09     |G1V            |    ~     ~    |    1|  102.485   pc  |  -0.3224     +0.3224    |paral   |2020yCat.1350....0G
