C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
101 |HD 107321                                                                                                                                                                      |Star                              |12 19 35.9638399608 +74 02 48.977413980|125.9099601652876 +42.8967238539702|  -0.853 -8.322   |10.42    |F2             |    ~     ~    
102 |HD 107360                                                                                                                                                                      |High Proper Motion Star           |12 19 52.4418199248 +74 10 00.491211624|125.8573240378785 +42.7816958766945|-55.265 -26.359   |9.89     |K0             |    ~     ~    
103 |HD 107530                                                                                                                                                                      |Star                              |12 20 59.6347546872 +73 51 08.291562516|125.8238347413798 +43.1045843521079|  31.622 -3.768   |9.61     |G5             |    ~     ~    
104 |HD 108420                                                                                                                                                                      |Star                              |12 26 32.4532038528 +73 43 48.384052824|125.3232962164734 +43.2823530676364| 18.872 -36.502   |9.76     |G0             |    ~     ~    
105 |HD 107948                                                                                                                                                                      |Star                              |12 23 41.7192023736 +73 34 12.882140220|125.6267836977273 +43.4125460590879| -1.542 -25.310   |10.16    |G0             |    ~     ~    
106 |HD 108315                                                                                                                                                                      |High Proper Motion Star           |12 25 52.8287520312 +73 14 17.865563388|125.4788936424477 +43.7633429702038|-103.439 20.589   |9.43     |G0             |    ~     ~    
107 |BD+74 498                                                                                                                                                                      |Star                              |12 29 57.0338234208 +73 24 06.184006524|125.0496401511320 +43.6380717171819|   5.909 -1.136   |10.74    |~              |    ~     ~    
108 |BD+74 497                                                                                                                                                                      |High Proper Motion Star           |12 28 06.6038356896 +73 57 45.660954564|125.1340000010148 +43.0656837085709| 17.673 -51.555   |10.67    |~              |    ~     ~    
109 |TYC 4400-87-1                                                                                                                                                                  |Star                              |12 16 12.4185103008 +74 43 12.238551372|126.0541244746637 +42.1939288652218| -24.991 -2.328   |10.77    |~              |    ~     ~    
110 |TYC 4400-375-1                                                                                                                                                                 |Star                              |12 16 25.9394708016 +74 50 06.423042264|126.0060899793593 +42.0835345208036|  0.500 -11.402   |10.85    |~              |    ~     ~    
111 |TYC 4400-547-1                                                                                                                                                                 |Star                              |12 23 30.9067569096 +73 21 13.522150800|125.6886605279863 +43.6247218780043|  -24.866 3.547   |10.81    |~              |    ~     ~    
112 |TYC 4400-701-1                                                                                                                                                                 |High Proper Motion Star           |12 19 44.4489158952 +73 56 38.529013308|125.9204499857298 +42.9998012603639| -54.794 -9.595   |10.94    |~              |    ~     ~    
113 |TYC 4400-719-1                                                                                                                                                                 |Spectroscopic Binary              |12 18 05.5299720504 +73 44 39.925786740|126.1222455768664 +43.1766584086349|  -0.395 -0.042   |10.66    |~              |    ~     ~    
114 |TYC 4550-613-1                                                                                                                                                                 |High Proper Motion Star           |12 23 40.3282111152 +75 43 45.787303416|125.2037235973323 +41.2761576798090| 32.690 -90.122   |10.84    |~              |    ~     ~    
115 |TYC 4550-1469-1                                                                                                                                                                |Star                              |12 19 42.6374847912 +75 47 45.663423648|125.5101748561930 +41.1730117603833| -0.707 -13.199   |10.66    |~              |    ~     ~    
116 |TYC 4550-1449-1                                                                                                                                                                |Star                              |12 20 40.2152219352 +75 22 29.554281264|125.5221149374683 +41.5982714009784|   -9.339 2.437   |10.18    |~              |    ~     ~    
117 |HD 107361                                                                                                                                                                      |High Proper Motion Star           |12 20 05.8632898488 +73 00 30.840826824|126.1026490189916 +43.9262237988206| 70.693 -68.390   |9.27     |G5             |    ~     ~    
118 |HD 108185                                                                                                                                                                      |Star                              |12 24 56.1094716432 +72 53 05.968244976|125.6422801721677 +44.1035198258116|-22.033 -22.145   |9.53     |G5             |    ~     ~    
119 |HD 107807                                                                                                                                                                      |Star                              |12 22 36.2723044032 +72 47 23.813363904|125.8989411425808 +44.1718173183962|  -9.537 -1.376   |10.89    |G0             |    ~     ~    
120 |BD+73 551                                                                                                                                                                      |Star                              |12 23 33.7238514768 +72 19 33.391899984|125.8995461867876 +44.6413371496329|  -4.710 -5.109   |8.49     |K5             |    ~     ~    
121 |HD 108173                                                                                                                                                                      |Star                              |12 24 55.1175467472 +72 22 53.657628420|125.7451280222005 +44.6015405087611|  -10.388 1.771   |8.40     |K0             |    ~     ~    
122 |BD+72 560                                                                                                                                                                      |Star                              |12 19 45.0007806216 +71 53 59.872529364|126.4044486032980 +45.0140228730373|  -6.582 -1.397   |9.70     |G0             |    ~     ~    
123 |BD+72 564                                                                                                                                                                      |Star                              |12 22 00.8173043352 +71 52 46.773854508|126.1638340339197 +45.0634924020849| -41.718 -2.899   |9.51     |G5             |    ~     ~    
124 |HD 108055                                                                                                                                                                      |Star                              |12 24 08.3138826648 +72 37 25.658814792|125.7768195085706 +44.3533507442345| -5.208 -16.391   |10.64    |G5             |    ~     ~    
125 |BD+72 561                                                                                                                                                                      |Star                              |12 21 06.6188574336 +71 26 22.709138964|126.3662414929833 +45.4858392586452|  -20.448 4.947   |9.79     |K2             |    ~     ~    
126 |HD 107669                                                                                                                                                                      |Star                              |12 21 48.4687820064 +71 15 09.423814536|126.3319768322364 +45.6795230495468|  -48.469 7.778   |9.25     |F8             |    ~     ~    
127 |BD+72 566                                                                                                                                                                      |Star                              |12 27 13.9165590552 +71 15 12.830104548|125.7146540096070 +45.7436773024843|  -19.002 6.310   |10.33    |F2             |    ~     ~    
