C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
148 |BD+70 759                                                                                                |High Proper Motion Star        |13 49 02.0488034832 +69 52 54.327979380|115.8017923253989 +46.4409814826152| -37.947 38.647    |10.00    |G0               |    ~     ~    
149 |HD 121920                                                                                                |Star                           |13 55 27.6909100080 +69 56 06.427455360|115.0756547197699 +46.2042349514478|    7.320 2.114    |7.270    |K0               |    ~     ~    
150 |HD 120965                                                                                                |Star                           |13 49 59.1476147496 +69 39 13.765096404|115.5811880785252 +46.6299090975124|  -14.339 6.061    |8.39     |A0               |    ~     ~    
151 |HD 121779                                                                                                |Star                           |13 54 46.4421980880 +69 32 51.426153708|114.9574791181506 +46.5877128630929| 15.388 -24.740    |8.00     |K0               |    ~     ~    
152 |HD 120162                                                                                                |High Proper Motion Star        |13 45 19.2483197304 +68 59 58.010093772|115.8498038347777 +47.3809977519457| 115.222 50.282    |7.96     |F8               |    ~     ~    
153 |BD+69 718                                                                                                |Star                           |13 45 56.0108579664 +69 06 56.887967808|115.8257368886806 +47.2534446101705|  -14.097 0.585    |9.18     |K5               |    ~     ~    
154 |BD+69 719                                                                                                |Spectroscopic Binary           |13 46 47.8209962592 +69 13 15.845131308|115.7665207585101 +47.1295284001832|   0.949 -1.160    |9.53     |A2               |    ~     ~    
155 |BD+69 720                                                                                                |Star                           |13 49 00.2277634752 +68 21 32.024906676|115.0765405228621 +47.8818157678689| -10.125 41.434    |9.74     |F8               |    ~     ~    
156 |BD+69 721                                                                                                |Star                           |13 49 01.5093874752 +68 38 46.712034348|115.2144284008577 +47.6097616780598|  -19.757 3.961    |9.59     |K0               |    ~     ~    
157 |HD 121129                                                                                                |High Proper Motion Star        |13 50 53.1573603336 +69 09 12.068308296|115.2294825779593 +47.0758780303243| 42.021 -30.943    |7.62     |K0               |    ~     ~    
158 |HD 121163                                                                                                |High Proper Motion Star        |13 51 12.9010401072 +68 19 34.606096968|114.7737899561615 +47.8440071885530| -114.722 8.579    |8.26     |G5               |    ~     ~    
