C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
85  |HD 21839                                                                                                 |Star                               |03 30 53.3532055656 -08 49 14.739563460|194.6381793544427 -48.1574546345896|   9.416 -2.391   |9.794    |F3IV/V             |    ~     ~          |    1|  382.702   pc  |  -8.4190     +8.4190  |ST-L    |2020AJ....160...83S
86  |HD 21949                                                                                                 |Star                               |03 32 02.4368924544 -08 48 39.643765596|194.8458812973908 -47.9090287974056|   -0.432 9.389   |9.21     |F3V                |    ~     ~          |    1|  152.700   pc  |  -0.4407     +0.4407  |paral   |2020yCat.1350....0G
87  |BD-09 685                                                                                                |Star                               |03 30 45.3854469120 -08 52 56.227921428|194.6916192374895 -48.2173877699900|   4.009 -9.166   |9.93     |~                  |    ~     ~          |    1| 1360.359   pc  | -29.6092    +29.6092  |paral   |2020yCat.1350....0G
88  |HD 21734                                                                                                 |Star                               |03 30 04.2823022760 -07 25 12.382169160|192.7063564093521 -47.5884215230824| -5.563 -14.642   |10.02    |A9V                |    ~     ~          |    1|  339.662   pc  |  -2.1690     +2.1690  |paral   |2020yCat.1350....0G
89  |BD-07 611                                                                                                |Star                               |03 30 26.6550997200 -07 16 39.521000460|192.6027172235798 -47.4336873754134|  14.055 22.968   |10.189   |~                  |    ~     ~          |    1|  403.193   pc  |  -4.0966     +4.0966  |paral   |2020yCat.1350....0G
90  |HD 21936                                                                                                 |Star                               |03 32 01.5600283440 -06 49 19.750720944|192.3528805046859 -46.8569605548577|    4.971 6.440   |8.97     |K2/3III            |    ~     ~          |    1|  881.290   pc  | -15.8441    +15.8441  |paral   |2020yCat.1350....0G
91  |HD 21978                                                                                                 |High Proper Motion Star            |03 32 15.3806288040 -07 05 24.456714036|192.7278579671745 -46.9541539921287|-35.986 -45.701   |7.30     |F5IV/V             |    ~     ~          |    1|  107.968   pc  |  -0.2401     +0.2401  |paral   |2020yCat.1350....0G
92  |BD-07 619                                                                                                |High Proper Motion Star            |03 32 16.6411422816 -07 05 23.859599676|192.7317764542215 -46.9496776493587|-36.557 -45.353   |9.41     |F8                 |    ~     ~          |    1|  107.866   pc  |  -0.1897     +0.1897  |paral   |2020yCat.1350....0G
93  |HD 22036                                                                                                 |Star                               |03 32 52.6928320344 -07 20 39.473021760|193.1633380815548 -46.9608183833067|   0.294 36.340   |8.77     |F3V                |    ~     ~          |    1|  120.055   pc  |  -0.3084     +0.3084  |paral   |2020yCat.1350....0G
94  |BD-07 623                                                                                                |Star                               |03 33 17.0795056032 -07 15 51.111875988|193.1433925995358 -46.8328018175214|   0.987 -0.675   |10.044   |~                  |    ~     ~          |    1|  305.591   pc  |  -5.8880     +5.8880  |ST-L    |2020AJ....160...83S
