C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1847|HD 221554                                                             |Star                              |23 33 33.9241544880 -63 33 32.860630116|316.7039491208614 -51.4364222461502|  -1.492 14.032   |9.09     |G8IV/V               |    ~     ~    |    1|  252.985   pc  |  -0.9408     +0.9408  |paral   |2020yCat.1350....0G
1848|CPD-64 4361                                                           |High Proper Motion Star           |23 35 52.6550608056 -63 43 08.255357400|316.2201740175343 -51.4156115456457| 65.816 -11.979   |10.19    |~                    |    ~     ~    |    1|  266.804   pc  |  -7.8120     +7.8120  |ST-L    |2020AJ....160...83S
1849|CPD-64 4351                                                           |High Proper Motion Star           |23 31 23.2612214136 -64 09 47.776440096|316.5785752408594 -50.7911985490420| 95.347 -27.996   |10.347   |~                    |    ~     ~    |    1|  159.609   pc  |  -1.3820     +1.3820  |ST-L    |2020AJ....160...83S
1850|HD 221897                                                             |Star                              |23 36 28.8947130312 -64 05 13.748206056|315.8558868773994 -51.1189196990229|  18.692 -0.112   |9.59     |K1/2(III)            |    ~     ~    |    1|  386.309   pc  |  -2.3878     +2.3878  |paral   |2020yCat.1350....0G
1851|CPD-64 4363B                                                          |Star                              |23 36 29.1944902248 -64 05 04.364584656|315.8570041682656 -51.1214888048569|    3.158 4.167   |10.71    |~                    |    ~     ~    |    1|  634.343   pc  | -20.2300    +20.2300  |ST-L    |2020AJ....160...83S
1852|CD-63 4894                                                            |Star                              |23 31 33.0 -62 55 24                   |317.5202 -51.8829                  |            ~ ~   |9.34     |~                    |    ~     ~    |    0|                |                       |        |                   
1853|CPD-63 4893                                                           |Star                              |23 30 08.5659387312 -62 49 35.168218968|317.8236749070185 -51.8873373764759|  -1.952 -0.695   |10.493   |~                    |    ~     ~    |    1|  740.440   pc  | -26.4300    +26.4300  |ST-L    |2020AJ....160...83S
1854|CPD-64 4353                                                           |High Proper Motion Star           |23 31 57.4972242696 -63 51 48.782247588|316.7207488603126 -51.0839650191238|  72.936 27.880   |10.464   |K2V(e)               |    ~     ~    |    1|  115.267   pc  |  -2.1350     +2.1350  |ST-L    |2020AJ....160...83S
1855|CPD-64 4355                                                           |Star                              |23 33 23.7951959520 -64 04 58.645586820|316.3339374803225 -50.9663223620239| 39.527 -10.831   |10.30    |~                    |    ~     ~    |    1|  695.507   pc  |  -6.0466     +6.0466  |paral   |2020yCat.1350....0G
1856|CPD-63 4903                                                           |Star                              |23 35 00.6629900400 -62 39 06.418152468|317.1708811412642 -52.3121507611592|  27.602 -2.375   |10.699   |~                    |    ~     ~    |    1|  972.806   pc  | -34.4500    +34.4500  |ST-L    |2020AJ....160...83S
1857|CD-64 1432                                                            |Star                              |23 35 32.3901136776 -63 46 27.370907076|316.2322266942105 -51.3492969342975| -32.423 -4.925   |10.147   |~                    |    ~     ~    |    1|  231.809   pc  |  -2.9430     +2.9430  |ST-L    |2020AJ....160...83S
1858|CPD-62 6429                                                           |Star                              |23 35 55.9655581128 -62 03 36.499176648|317.4806184291066 -52.8831834339992|-19.311 -29.950   |10.869   |~                    |    ~     ~    |    1|  257.128   pc  |  -3.8330     +3.8330  |ST-L    |2020AJ....160...83S
1859|CPD-63 4905                                                           |Star                              |23 35 57.6632376672 -63 11 18.019718880|316.6038570649757 -51.8899335264440|   7.978 -5.292   |9.57     |~                    |    ~     ~    |    1|  515.119   pc  |  -3.4495     +3.4495  |paral   |2020yCat.1350....0G
1860|CPD-64 4362                                                           |Star                              |23 36 26.4825870408 -64 13 25.565655972|315.7631977143365 -50.9952711259810| 15.170 -12.962   |9.68     |~                    |    ~     ~    |    1| 1007.252   pc  | -14.4067    +14.4067  |paral   |2020yCat.1350....0G
1861|CPD-64 4364                                                           |Star                              |23 36 28.9695836304 -63 20 21.232955364|316.4063654532006 -51.7835339980676|   16.744 0.580   |10.49    |~                    |    ~     ~    |    1|  204.038   pc  |  -2.1580     +2.1580  |ST-L    |2020AJ....160...83S
1862|CPD-63 4911                                                           |Star                              |23 37 26.0558352720 -62 42 43.046419212|316.7227767978928 -52.3895972772678|    2.726 1.320   |10.592   |~                    |    ~     ~    |    1|  175.539   pc  |  -2.4610     +2.4610  |ST-L    |2020AJ....160...83S
1863|TYC 9129-802-1                                                        |Star                              |23 31 32.0335867128 -62 58 59.598602904|317.4750070185817 -51.8298668628404|   5.951 -3.456   |10.65    |~                    |    ~     ~    |    1| 1399.770   pc  |-103.2000   +103.2000  |ST-L    |2020AJ....160...83S
1864|CPD-63 4897                                                           |Star                              |23 31 45.3435235104 -63 02 02.002639056|317.3992882443275 -51.7980938592455|  -1.540 -6.368   |10.788   |~                    |    ~     ~    |    1|  236.487   pc  |  -3.0860     +3.0860  |ST-L    |2020AJ....160...83S
1865|TYC 9129-204-1                                                        |Star                              |23 32 47.7750154416 -62 33 07.679572668|317.6143624010140 -52.2763511151577| 31.261 -29.482   |10.813   |~                    |    ~     ~    |    1|  339.728   pc  |  -5.9470     +5.9470  |ST-L    |2020AJ....160...83S
1866|CPD-64 4358                                                           |Star                              |23 33 34.0963846608 -63 18 58.774334040|316.8896910037409 -51.6499839911586|   -0.327 5.197   |10.580   |~                    |    ~     ~    |    1|  435.579   pc  | -10.7600    +10.7600  |ST-L    |2020AJ....160...83S
1867|CPD-62 6432                                                           |Star                              |23 37 10.6257783216 -62 06 35.663750244|317.2289197926514 -52.9083078205113|   11.741 0.470   |10.42    |~                    |    ~     ~    |    1|  728.332   pc  |  -7.2674     +7.2674  |paral   |2020yCat.1350....0G
1868|CPD-64 4356                                                           |High Proper Motion Star           |23 33 33.9966769992 -64 13 47.297768484|316.1983640957234 -50.8454970926864| 50.510 -28.481   |10.57    |G5V                  |    ~     ~    |    1|  163.819   pc  |  -0.8883     +0.8883  |paral   |2020yCat.1350....0G
1869|CD-64 1431                                                            |High Proper Motion Star           |23 33 41.3115611760 -64 13 51.955387320|316.1788714072448 -50.8505750203612| 50.227 -29.621   |9.85     |F7V                  |    ~     ~    |    1|  161.878   pc  |  -0.4717     +0.4717  |paral   |2020yCat.1350....0G
1870|TYC 9126-95-1                                                         |Star                              |23 30 26.7133125360 -61 43 52.818882852|318.6804892435467 -52.8500566675680| 10.706 -15.958   |10.99    |~                    |    ~     ~    |    1|  297.071   pc  | -18.1200    +18.1200  |ST-L    |2020AJ....160...83S
1871|TYC 9126-171-1                                                        |Star                              |23 31 32.7313581264 -62 18 44.248949316|318.0142333123449 -52.4134274904425|   3.233 -0.130   |10.717   |~                    |    ~     ~    |    1|  873.840   pc  | -30.7100    +30.7100  |ST-L    |2020AJ....160...83S
1872|CPD-62 6426                                                           |Double or Multiple Star           |23 33 53.8447620024 -61 41 20.475718008|318.1278864643811 -53.0915998914558| 92.103 -11.053   |10.292   |~                    |    ~     ~    |    1|  139.888   pc  | -21.6300    +21.6300  |ST-L    |2020AJ....160...83S
1873|HD 221594                                                             |High Proper Motion Star           |23 33 54.1254800221 -61 39 14.358792513|318.1557960917865 -53.1223709808476|-20.159 -60.411   |8.53     |F8V                  |    ~     ~    |    1|  114.726   pc  |  -0.2816     +0.2816  |paral   |2020yCat.1350....0G
1874|HD 221739                                                             |High Proper Motion Star           |23 35 09.7073011056 -61 27 46.152729252|318.0937214136528 -53.3624983386862|  67.062 14.295   |9.40     |K2.5Vk:              |    ~     ~    |    1|   39.025   pc  |  -0.0180     +0.0180  |paral   |2020yCat.1350....0G
1875|HD 222045                                                             |Star                              |23 37 42.1785466152 -61 43 48.988186788|317.4352201405821 -53.2724511502278|   44.333 1.025   |8.96     |K2IIICNIV/V          |    ~     ~    |    1|  648.803   pc  |  -6.7772     +6.7772  |paral   |2020yCat.1350....0G
1876|HD 221360                                                             |Star                              |23 32 04.9423632120 -59 00 13.534664328|320.8039287080227 -55.2851093109967| -5.494 -15.444   |7.80     |K0III                |    ~     ~    |    1|  282.725   pc  |  -1.4948     +1.4948  |paral   |2020yCat.1350....0G
1877|CD-59 8153                                                            |Star                              |23 33 28.3432588368 -58 59 49.935043140|320.5424893372327 -55.3849250255521| 22.881 -11.925   |10.70    |~                    |    ~     ~    |    1|  320.935   pc  |  -1.7716     +1.7716  |paral   |2020yCat.1350....0G
1878|HD 221582                                                             |Star                              |23 33 40.3633310760 -59 05 11.789865456|320.4217851489639 -55.3220925392871|  5.918 -13.169   |10.26    |F7/8IV/V             |    ~     ~    |    1|  192.508   pc  |  -0.5003     +0.5003  |paral   |2020yCat.1350....0G
