C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
73  |CD-45 15103                                                           |Star                              |23 41 23.0849145552 -44 42 05.032055556|336.9456688918861 -67.5195494702516|    8.627 2.649   |10.131   |~                    |    ~     ~    |    1| 1099.810   pc  | -67.7400    +67.7400  |ST-L    |2020AJ....160...83S
74  |TYC 8020-483-1                                                        |Star                              |23 42 06.6015473592 -43 31 30.529154928|338.9322265763329 -68.4393345669966|   7.497 -8.014   |10.728   |~                    |    ~     ~    |    1|  899.365   pc  | -37.8600    +37.8600  |ST-L    |2020AJ....160...83S
75  |TYC 8020-889-1                                                        |Star                              |23 40 39.0205137600 -42 56 00.954091032|340.6115401211754 -68.6474376241469| -10.115 36.165   |10.86    |~                    |    ~     ~    |    1|   52.193   pc  |  -0.1402     +0.1402  |ST-L    |2020AJ....160...83S
76  |HD 221175                                                             |Star                              |23 30 00.6127205496 -41 47 17.145365568|346.3284760040853 -67.8196584445357| -9.159 -28.899   |9.66     |F7/8V                |    ~     ~    |    1|  143.163   pc  |  -1.6110     +1.6110  |ST-L    |2020AJ....160...83S
77  |HD 221370                                                             |Star                              |23 31 51.6564729144 -41 45 08.584521732|345.8749368270629 -68.1220114885087|   -2.783 6.385   |6.57     |K2III                |    ~     ~    |    1|  225.182   pc  |  -3.3280     +3.3280  |ST-L    |2020AJ....160...83S
78  |CD-42 16397                                                           |Star                              |23 36 25.7348746656 -41 43 49.670281668|344.5372067251692 -68.8188763719146|  44.106 12.364   |10.04    |G5                   |    ~     ~    |    1|  154.994   pc  |  -2.0830     +2.0830  |ST-L    |2020AJ....160...83S
79  |HD 221929                                                             |Star                              |23 36 27.9116362824 -42 01 18.897515652|343.8921176292420 -68.6449859776363|   5.902 12.159   |9.79     |A9V                  |    ~     ~    |    1|  385.045   pc  |  -2.8614     +2.8614  |paral   |2020yCat.1350....0G
80  |HD 221983                                                             |Star                              |23 36 56.3753618160 -39 21 52.704127980|349.9120737082837 -70.2622381581903|  28.080 36.324   |8.97     |F0V                  |    ~     ~    |    1|  147.141   pc  |  -2.0157     +2.0157  |paral   |2020yCat.1350....0G
81  |HD 221201                                                             |High Proper Motion Star           |23 30 09.9901255416 -40 18 08.731365408|349.6314276311490 -68.6621387627555| 196.841 42.421   |9.575    |G2V                  |    ~     ~    |    1|  113.225   pc  |  -0.7376     +0.7376  |ST-L    |2020AJ....160...83S
82  |CD-40 15185                                                           |Star                              |23 32 52.421 -39 44 51.16              |350.185112 -69.395096              |     -3.5 -14.1   |10.33    |~                    |    ~     ~    |    0|                |                       |        |                   
83  |CD-40 15192                                                           |Star                              |23 35 41.3026249920 -39 52 13.638781596|349.0542726779974 -69.7847023759447| 11.616 -11.774   |9.94     |F2                   |    ~     ~    |    1|  276.358   pc  |  -1.3060     +1.3060  |paral   |2020yCat.1350....0G
84  |HD 221927                                                             |Star                              |23 36 27.4537347984 -40 09 47.368406808|348.1141689950035 -69.7442698720306|-25.491 -11.856   |9.19     |K2III                |    ~     ~    |    1|  398.105   pc  |  -2.8686     +2.8686  |paral   |2020yCat.1350....0G
85  |V* CG Phe                                                             |SX Phe Variable                   |23 31 30.2123646312 -40 58 44.339022516|347.6980407944464 -68.5079090652887| -8.758 -29.020   |10.28    |F8                   |    ~     ~    |    1|  191.715   pc  |  -2.1480     +2.1480  |ST-L    |2020AJ....160...83S
86  |HD 221549                                                             |Star                              |23 33 11.9025357048 -40 50 43.421346168|347.5083880989087 -68.8479388305088|   3.996 -7.690   |8.72     |G8III                |    ~     ~    |    1|  409.668   pc  |  -4.4139     +4.4139  |paral   |2020yCat.1350....0G
87  |HD 221793                                                             |Star                              |23 35 24.0728268048 -41 17 37.663026972|345.8262606323086 -68.9276586621612| 15.751 -14.732   |10.22    |A0V                  |    ~     ~    |    1|  404.809   pc  |  -5.8174     +5.8174  |paral   |2020yCat.1350....0G
88  |HD 221883                                                             |Star                              |23 36 06.0793474920 -40 54 47.932367328|346.4712105360579 -69.2581019793386|-10.808 -21.353   |9.08     |K4/5III              |    ~     ~    |    1|  834.237   pc  | -12.7359    +12.7359  |paral   |2020yCat.1350....0G
89  |CD-41 15282                                                           |High Proper Motion Star           |23 36 16.2675820512 -40 30 57.069076680|347.3386514532791 -69.5145191699336|  95.263 -8.555   |10.142   |G0                   |    ~     ~    |    1|  176.830   pc  |  -1.7910     +1.7910  |ST-L    |2020AJ....160...83S
90  |HD 221928                                                             |Star                              |23 36 29.2188617184 -40 44 20.712265620|346.7516941187368 -69.4189857859553| 25.504 -17.379   |9.92     |F3V                  |    ~     ~    |    1|  257.327   pc  |  -1.0793     +1.0793  |paral   |2020yCat.1350....0G
91  |CD-41 15284                                                           |High Proper Motion Star           |23 37 06.4935244392 -40 44 59.626932792|346.5307783974095 -69.5081862566208|  58.781 -5.873   |10.13    |~                    |    ~     ~    |    1|  152.553   pc  |  -0.5073     +0.5073  |paral   |2020yCat.1350....0G
