C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
85   |TYC 4816-180-1                                                                                           |Star                          |07 16 38.8110994680 -00 37 46.634442816|216.3769154741997 +05.3178131489280|  -1.973 -0.559   |10.9     |~               |    ~     ~    
86   |TYC 4816-341-1                                                                                           |Star                          |07 17 52.6515882888 -01 36 03.339300600|217.3851024933836 +05.1444113334193|  -5.908 -4.268   |10.46    |~               |    ~     ~    
87   |TYC 4816-453-1                                                                                           |Star                          |07 17 48.4249705800 -00 50 38.566640724|216.7020341936739 +05.4769702486570|  -5.369 -2.837   |10.4     |~               |    ~     ~    
88   |TYC 4816-787-1                                                                                           |Composite Object, Blend       |07 16 38.90160 -00 06 15.8220          |215.90825768 +05.55905014          |            ~ ~   |10.76    |~               |    ~     ~    
89   |TYC 4816-798-1                                                                                           |Star                          |07 17 20.0947054464 -00 28 37.515983484|216.3200902955354 +05.5406415347771| 18.867 -16.383   |10.7     |~               |    ~     ~    
90   |TYC 4816-805-1                                                                                           |Star                          |07 16 30.3338697240 -00 03 31.957337484|215.8511730204905 +05.5481802697097|  -0.274 -5.227   |10.9     |~               |    ~     ~    
91   |TYC 4816-1303-1                                                                                          |Star                          |07 17 52.5023385840 -00 23 47.590342944|216.3104626481797 +05.6975701579079|   1.128 -5.553   |10.9     |~               |    ~     ~    
92   |TYC 4816-1573-1                                                                                          |Star                          |07 16 33.0764713416 -00 20 49.061401944|216.1136445500678 +05.4262708632015|   16.723 6.699   |9.93     |~               |    ~     ~    
93   |TYC 4816-1617-1                                                                                          |Star                          |07 17 48.3750795456 -00 29 06.987855516|216.3817414311127 +05.6415688392878|   0.228 -2.285   |10.20    |~               |    ~     ~    
94   |TYC 4816-1664-1                                                                                          |Star                          |07 18 14.0314338384 -01 49 51.822603300|217.6313678482003 +05.1174149935157|  -1.719 -2.166   |10.96    |~               |    ~     ~    
95   |TYC 4816-1792-1                                                                                          |Star                          |07 17 13.2632059944 -00 26 02.178237588|216.2684495402517 +05.5351535737013|  -0.701 -1.362   |10.6     |~               |    ~     ~    
96   |TYC 4816-1839-1                                                                                          |Star                          |07 18 36.9474433464 -00 29 44.432200932|216.4844156796602 +05.8165770345006|   -3.328 4.023   |10.5     |~               |    ~     ~    
97   |TYC 4816-2590-1                                                                                          |Star                          |07 18 08.5605286776 -01 27 29.938160772|217.2886240689716 +05.2689001182908|   -1.311 2.232   |10.54    |~               |    ~     ~    
98   |TYC 4816-2658-1                                                                                          |Star                          |07 18 24.8474603544 -01 27 38.340109800|217.3220759066771 +05.3280461811321|     -10.2 -0.1   |10.65    |~               |    ~     ~    
99   |TYC 4816-2705-1                                                                                          |Star                          |07 16 26.2932484416 -01 27 37.879178724|217.0937850492926 +04.8896964773238|  -2.656 -0.261   |10.83    |~               |    ~     ~    
100  |TYC 4816-3005-1                                                                                          |Star                          |07 17 43.4193629904 -01 10 41.737174716|216.9905219841386 +05.3047978283037|   2.332 -2.144   |10.75    |~               |    ~     ~    
101  |HD 293728                                                                                                |Star                          |07 15 56.9524630896 -02 10 17.817487392|217.6707316770282 +04.4538895316042|  -5.122 -3.592   |10.33    |A0              |    ~     ~    
102  |TYC 4820-384-1                                                                                           |Star                          |07 16 43.3713445272 -02 01 34.444270092|217.6306090189145 +04.6924145394434|   -2.459 0.194   |10.90    |~               |    ~     ~    
103  |TYC 4820-524-1                                                                                           |Star                          |07 16 44.9931049416 -02 25 53.382446184|217.9945363448733 +04.5116070030921|  -2.010 -0.419   |10.32    |~               |    ~     ~    
104  |TYC 4820-584-1                                                                                           |Star                          |07 16 14.1782503608 -01 54 23.071120668|217.4677190188698 +04.6396980750815|    0.477 0.156   |10.27    |~               |    ~     ~    
105  |TYC 4820-666-1                                                                                           |Star                          |07 17 03.0151461072 -01 57 37.693787688|217.6098556777314 +04.7953141625635|  -1.704 -1.055   |10.81    |~               |    ~     ~    
106  |TYC 4820-840-1                                                                                           |Star                          |07 18 02.0277943224 -01 54 27.496502928|217.6764605447603 +05.0377574300205|  -2.438 -4.514   |9.99     |~               |    ~     ~    
107  |TYC 4820-1272-1                                                                                          |Star                          |07 18 03.9099371592 -02 09 17.206147800|217.9002216968681 +04.9307560941665|    1.698 0.513   |10.29    |~               |    ~     ~    
108  |TYC 4820-1422-1                                                                                          |Star                          |07 17 26.2945242408 -02 17 27.565296324|217.9490170373173 +04.7289717969379|  -4.141 -6.483   |10.07    |~               |    ~     ~    
109  |TYC 4820-1652-1                                                                                          |Star                          |07 16 30.6479979504 -02 29 48.350525316|218.0250043711830 +04.4285204780653|  -1.070 -3.297   |10.72    |~               |    ~     ~    
110  |TYC 4820-1794-1                                                                                          |Star                          |07 16 55.9097129928 -01 52 56.470624500|217.5265977666559 +04.8050373125426|   2.044 -3.076   |10.66    |~               |    ~     ~    
111  |TYC 4820-1895-1                                                                                          |Spectroscopic Binary          |07 17 32.8588053168 -02 27 59.443831296|218.1179199743771 +04.6722435789174|   0.476 -1.358   |10.65    |~               |    ~     ~    
112  |TYC 4820-2177-1                                                                                          |Star                          |07 16 57.2419841928 -02 09 53.414558280|217.7807349935071 +04.6798015659516|   -3.055 0.445   |10.20    |~               |    ~     ~    
113  |TYC 4820-2190-1                                                                                          |Star                          |07 17 38.2666009872 -02 20 46.226886324|218.0212173181417 +04.7477400048932|  -3.895 13.690   |10.86    |~               |    ~     ~    
114  |TYC 4820-2192-1                                                                                          |Star                          |07 16 06.2882361336 -02 35 16.187635356|218.0591484077331 +04.2965519241567|   -1.957 1.021   |10.78    |~               |    ~     ~    
115  |TYC 4820-2238-1                                                                                          |Star                          |07 16 13.7184943464 -02 02 26.285682516|217.5863673466896 +04.5761859632823|   -2.003 0.701   |10.62    |~               |    ~     ~    
116  |TYC 4820-2438-1                                                                                          |Spectroscopic Binary          |07 18 04.3140026160 -02 28 29.718871896|218.1860464828873 +04.7845232006643|   0.508 -2.967   |10.35    |~               |    ~     ~    
117  |TYC 4820-2515-1                                                                                          |Star                          |07 16 09.8301461184 -02 36 58.439655972|218.0912401251052 +04.2965351012205|    0.800 2.010   |10.59    |~               |    ~     ~    
118  |HD 55951                                                                                                 |Star                          |07 15 00.6355999856 -02 49 24.596027019|218.1424980432057 +03.9454211626709|   1.316 -2.463   |7.89     |A1/2III/IV      |    ~     ~    
119  |BD-02 2021                                                                                               |Star                          |07 16 23.1523358712 -02 58 57.016798608|218.4427349332660 +04.1767252840542|  -1.167 -4.053   |8.90     |K2              |    ~     ~    
120  |BD-02 2022                                                                                               |Star                          |07 16 27.1615758408 -03 14 26.076416820|218.6799626993836 +04.0723529230713|  -9.131 -3.613   |9.21     |K2              |    ~     ~    
121  |BD-02 2031                                                                                               |Star                          |07 17 31.4370147168 -02 53 14.000577180|218.4895609900204 +04.4727617976285|  -5.408 -0.799   |9.18     |B8              |    ~     ~    
122  |HD 56719                                                                                                 |Star                          |07 18 03.0558121296 -03 06 52.798935924|218.7528646385873 +04.4843303258344|  -3.845 -2.203   |7.91     |A0V             |    ~     ~    
123  |HD 56108                                                                                                 |Star                          |07 15 37.0994991984 -03 41 06.873454500|218.9788347451549 +03.6822713315529|  -1.706 -2.228   |9.54     |B9V             |    ~     ~    
124  |HD 56129                                                                                                 |Star                          |07 15 41.1985277088 -03 22 35.467865184|218.7123163092073 +03.8399881074338|  -3.729 -0.908   |8.10     |G8II/III        |    ~     ~    
125  |HD 56180                                                                                                 |Double or Multiple Star       |07 15 54.2728137504 -03 55 22.400608476|219.2230730048719 +03.6357514893124|  -4.018 -1.933   |9.44     |B9V             |    ~     ~    
