C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
140  |HD 296710                                                                                                |Star                          |07 15 58.4786973120 -03 51 11.667533688|219.1692885590263 +03.6834544248833|  -7.621 -5.606   |10.60    |A3              |    ~     ~    
141  |HD 296711                                                                                                |Star                          |07 15 27.3758095992 -03 51 59.931756324|219.1213172538326 +03.5625969320485|  4.771 -12.751   |9.89     |G5              |    ~     ~    
142  |HD 56004                                                                                                 |Star                          |07 15 13.4127144576 -04 35 35.040671520|219.7396658882929 +03.1752753330025|   0.949 -1.352   |9.61     |A1III           |    ~     ~    
143  |HD 56059                                                                                                 |Star                          |07 15 22.3155158712 -05 03 50.091263964|220.1747868804256 +02.9901241049666|  -5.563 -4.147   |7.78     |K0IIICNIb       |    ~     ~    
144  |HD 56181                                                                                                 |Star                          |07 15 54.1493179944 -04 26 04.143531876|219.6772679487692 +03.3986573528356|   2.269 -4.427   |9.62     |A0III           |    ~     ~    
145  |HD 56363                                                                                                 |Star                          |07 16 33.8008888944 -05 02 06.927213012|220.2870111665424 +03.2663398916909| -13.704 -6.935   |7.59     |K1III           |    ~     ~    
146  |HD 56491                                                                                                 |Star                          |07 17 06.2542312800 -04 22 51.823317288|219.7687782798766 +03.6889005882170|   0.455 -1.487   |7.99     |G8III           |    ~     ~    
147  |HD 56520                                                                                                 |Variable Star                 |07 17 13.0664758224 -04 48 02.445885900|220.1544930888674 +03.5195152549464|  -2.803 -2.080   |8.27     |F0V             |    ~     ~    
148  |HD 56611                                                                                                 |Star                          |07 17 32.3444106528 -05 09 45.116322264|220.5128397811315 +03.4225652917436|   -2.797 0.755   |9.29     |B9II/III        |    ~     ~    
149  |HD 56767                                                                                                 |Star                          |07 18 12.9528808704 -05 10 58.114058808|220.6092065579296 +03.5624068676722|   -3.361 0.472   |9.33     |B9IV            |    ~     ~    
150  |HD 56766                                                                                                 |Star                          |07 18 18.1638292152 -05 03 45.665237880|220.5126698956032 +03.6373402781996|  -2.978 -1.691   |9.89     |A2III/IV        |    ~     ~    
151  |HD 56796                                                                                                 |Star                          |07 18 22.8497611032 -04 18 34.313817744|219.8530638141829 +04.0040438531744| -3.673 -18.930   |8.65     |F2V             |    ~     ~    
152  |HD 296728                                                                                                |Star                          |07 15 41.7686123016 -04 23 28.130021736|219.6149418228015 +03.3731133460273|  -2.105 -0.165   |10.68    |A2              |    ~     ~    
153  |HD 296734                                                                                                |Star                          |07 15 04.1235217104 -04 36 53.023538124|219.7410260559785 +03.1310507163082|  -2.806 -2.633   |10.13    |K0              |    ~     ~    
154  |V* V864 Mon                                                                                              |Eclipsing Binary              |07 15 08.4551774664 -04 44 20.938870608|219.8598287356638 +03.0894379125049| -22.082 19.019   |9.91     |G0              |    ~     ~    
155  |HD 296763                                                                                                |Star                          |07 15 51.5474891496 -04 57 45.489833640|220.1411636111748 +03.1445647193363|  -1.368 -0.885   |10.93    |A0              |    ~     ~    
156  |HD 296765                                                                                                |Star                          |07 15 38.8546196280 -05 05 05.067316788|220.2251033518526 +03.0413183576849| -19.823 -5.903   |10.25    |F0              |    ~     ~    
157  |HD 296684                                                                                                |Star                          |07 15 12.3269518248 -03 16 37.054479252|218.5682415326567 +03.7794152149088|  -42.452 4.996   |9.65     |F8              |    ~     ~    
158  |HD 296688                                                                                                |Star                          |07 15 12.7701115392 -03 20 23.495541684|218.6250150540126 +03.7520196693349|  2.220 -27.299   |9.32     |G0              |    ~     ~    
159  |BD-05 2046                                                                                               |Star                          |07 16 33.0265476624 -05 17 01.919466096|220.5061411301815 +03.1482334827138|  -1.175 -1.823   |9.42     |M2              |    ~     ~    
