C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
146 |HD 11116                                                              |Star                           |01 48 39.4503976632 -34 14 11.078629872|246.4765099132538 -75.8130914373912|-26.943 -26.810   |9.59     |F6V             |    ~     ~    
147 |HD 11175                                                              |Star                           |01 49 09.3817799208 -34 17 41.334383760|246.5046987033185 -75.6948289561047|  5.084 -14.514   |9.63     |A9V             |    ~     ~    
148 |HD 11209                                                              |Star                           |01 49 28.2523198704 -34 01 05.384459100|245.3787794670115 -75.7556549345024|  0.130 -41.893   |9.970    |F3V             |    ~     ~    
149 |CD-35 636                                                             |Star                           |01 49 10.8834000264 -34 43 32.634959052|248.0400784166852 -75.4952400071471|   12.015 3.328   |10.032   |K2              |    ~     ~    
150 |HD 11231                                                              |Star                           |01 49 37.8896690400 -34 27 32.872733928|246.9224545791961 -75.5340837594622|  -27.305 7.613   |8.57     |F5V             |    ~     ~    
151 |CD-36 666                                                             |Star                           |01 45 56.2242558264 -35 38 14.851963752|252.5352430504340 -75.6125306300795|-23.278 -12.557   |10.259   |G5              |    ~     ~    
152 |HD 11136                                                              |Star                           |01 48 49.3555570008 -35 32 12.036960096|250.9794096195263 -75.1649574395512| -21.897 -7.218   |9.78     |F5/7(+G)        |    ~     ~    
153 |HD 11277                                                              |High Proper Motion Star        |01 49 57.8767911504 -35 32 24.628204104|250.5371531947132 -74.9624895619135|-89.943 -82.751   |8.45     |G1V             |    ~     ~    
154 |HD 11412                                                              |Star                           |01 51 30.9293986608 -35 40 34.042340964|250.3905430455075 -74.6213618837269| 12.198 -13.466   |9.75     |F5V             |    ~     ~    
155 |HD 10833                                                              |Star                           |01 45 26.8813507752 -36 06 23.469623316|254.3205665868533 -75.4372903546157|  15.151 15.003   |8.60     |G8III/IV        |    ~     ~    
156 |HD 11030                                                              |Star                           |01 47 36.6315375888 -35 53 16.642425516|252.6527219233877 -75.1916771205564| 21.109 -10.578   |9.78     |F2V             |    ~     ~    
157 |HD 11509                                                              |Star                           |01 52 21.8275399368 -35 46 35.138759484|250.3997219265660 -74.4221227911609|  30.842 11.066   |9.66     |F7V             |    ~     ~    
158 |CD-36 665                                                             |Star                           |01 45 41.8090932912 -36 08 13.215915924|254.3083895920260 -75.3786030028680|  17.235 15.661   |10.24    |~               |    ~     ~    
159 |CD-34 687                                                             |Spectroscopic Binary           |01 45 53.2519064328 -34 18 34.857499536|247.8269540058929 -76.2894364008047|  35.856 12.976   |10.54    |~               |    ~     ~    
160 |CD-35 630                                                             |Star                           |01 47 43.2323302752 -34 24 45.264175488|247.4768995180475 -75.9065348057761|   6.991 15.079   |10.861   |~               |    ~     ~    
161 |CD-35 633                                                             |High Proper Motion Star        |01 48 03.7214066616 -34 25 32.585321856|247.3927162702077 -75.8379037684695| 44.259 -40.313   |10.868   |~               |    ~     ~    
162 |CD-35 624                                                             |Star                           |01 46 41.6353964352 -34 51 21.329668332|249.4894102030591 -75.8818166945581|   2.654 -1.119   |10.41    |~               |    ~     ~    
163 |CD-34 693                                                             |Spectroscopic Binary           |01 46 43.8676184232 -33 44 47.541392628|245.3639564761645 -76.3858105029368|   4.445 -8.400   |10.12    |~               |    ~     ~    
164 |AKARI-IRC-V1 J0149435-353753                                          |Long-Period Variable Candidate |01 49 43.5325030584 -35 37 53.186734596|250.9353752833315 -74.9586705398244|  11.029 -3.708   |10.09    |~               |    ~     ~    
165 |TYC 7005-1541-1                                                       |Star                           |01 46 31.1758203336 -35 43 09.003330876|252.5573547161037 -75.4688642433078|  -0.892 -4.744   |10.843   |~               |    ~     ~    
166 |TYC 7005-1803-1                                                       |Spectroscopic Binary           |01 47 02.8520563272 -35 42 01.998549612|252.2676415136017 -75.3881241902814|65.933 -118.482   |10.69    |~               |    ~     ~    
167 |TYC 7006-1752-1                                                       |Star                           |01 50 58.5305439696 -33 20 03.642145692|242.3242219809143 -75.7404615917152|  2.725 -14.347   |10.943   |~               |    ~     ~    
168 |TYC 7008-481-1                                                        |High Proper Motion Star        |01 48 44.7300301368 -34 36 35.119421712|247.7939879100970 -75.6283508292943|  66.466 33.422   |10.785   |~               |    ~     ~    
169 |TYC 7008-544-1                                                        |Star                           |01 48 07.3277420016 -35 47 13.999481556|252.1040527129279 -75.1572014189326|  29.683 -0.019   |10.96    |~               |    ~     ~    
170 |TYC 7008-679-1                                                        |Star                           |01 49 40.0983573912 -35 16 11.639474904|249.7413015706866 -75.1484297585477|  26.208 17.909   |10.736   |~               |    ~     ~    
171 |CD-36 726                                                             |Star                           |01 54 31.6187405352 -35 45 26.888852772|249.5581069778633 -74.0471200195698| 22.476 -25.594   |10.704   |~               |    ~     ~    
172 |HD 12284                                                              |Pulsating Variable             |01 59 42.2882955744 -35 25 11.320775796|246.8086618863405 -73.2573921587770|  25.276 25.812   |9.108    |A9III           |    ~     ~    
173 |HD 11550                                                              |Star                           |01 52 43.1727990024 -33 14 24.776029752|241.4397725927677 -75.4350980570301|  32.546 -0.501   |8.92     |G0V             |    ~     ~    
174 |HD 11581                                                              |High Proper Motion Star        |01 53 02.8860253056 -33 18 48.552781392|241.6145145359375 -75.3448675772539|-54.602 -138.080  |8.21     |F7V             |    ~     ~    
175 |HD 11564                                                              |Star                           |01 52 51.0254253960 -33 25 59.340907452|242.1144150477482 -75.3402060951385|  1.460 -20.501   |9.51     |F3V             |    ~     ~    
176 |HD 11629                                                              |Spectroscopic Binary           |01 53 26.9794590000 -33 33 52.762314744|242.4153356152997 -75.1757781654189|  -5.647 -5.386   |7.36     |K0III           |    ~     ~    
177 |HD 11535                                                              |Star                           |01 52 34.5379412616 -34 11 39.118959960|244.9516052417663 -75.0980199461379|-12.437 -22.138   |7.90     |F3V             |    ~     ~    
178 |HD 11582                                                              |Chemically Peculiar Star       |01 53 00.2437340784 -34 17 36.393581688|245.1612441462245 -74.9765336993264|22.317 -212.037   |9.58     |G5/6(V)w        |    ~     ~    
179 |HD 11693                                                              |Star                           |01 54 03.9940930632 -33 46 47.957782944|243.0059727016226 -74.9765149877968| -4.465 -23.464   |9.12     |G8/K0IIICNIIp   |    ~     ~    
180 |HD 11536                                                              |Star                           |01 52 35.1208837944 -35 04 07.739623920|247.9770444270201 -74.7176850406212|  45.424 17.427   |9.80     |F8/G0V          |    ~     ~    
181 |HD 11565                                                              |High Proper Motion Star        |01 52 48.9686596056 -34 51 09.875018844|247.1625857418676 -74.7724764745792| 68.358 -10.806   |8.12     |K0III           |    ~     ~    
182 |HD 11583                                                              |Star                           |01 52 58.1882236248 -34 38 56.729444676|246.4111595476511 -74.8330520458364|    1.618 6.962   |9.69     |F5V             |    ~     ~    
