C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
121 |HD 12118                                                              |Star                           |01 58 04.8051756552 -36 54 20.564611812|251.8537776353841 -72.8623428040280|-20.715 -45.805   |9.53     |F6V             |    ~     ~    
122 |V* XY For                                                             |Long-Period Variable Candidate |01 58 27.0103893144 -36 48 53.993845836|251.4620004922249 -72.8431809109066|  10.851 -9.388   |9.68     |K2              |    ~     ~    
123 |HD 12198                                                              |Double or Multiple Star        |01 58 54.9307820160 -37 01 01.074590004|251.8976815258023 -72.6621965247393| -7.706 -45.704   |8.65     |F3/5V           |0.0067  0.0    
124 |HD 12309                                                              |Star                           |01 59 51.1472857464 -37 21 54.112905900|252.5859948692606 -72.3258872968064|    6.981 8.202   |8.93     |A2/3V           |    ~     ~    
125 |HD 11836                                                              |High Proper Motion Star        |01 55 26.2180199496 -37 25 54.496796772|254.3209976547182 -73.0378409146150| 45.973 -30.587   |10.22    |A1/3V+G/K       |    ~     ~    
126 |HD 12033                                                              |Star                           |01 57 16.1485255752 -37 29 47.120914644|253.8448546467935 -72.6962535182258|  14.939 13.077   |7.91     |K1III           |    ~     ~    
127 |CD-38 665                                                             |High Proper Motion Star        |01 57 58.0784630784 -37 37 37.386364080|253.9694504947480 -72.5095562931149|  -3.690 49.498   |10.11    |G5              |    ~     ~    
128 |HD 11841                                                              |Spectroscopic Binary           |01 55 25.8350730624 -38 09 02.659425084|256.3496268700152 -72.6395213330388| -7.023 -27.430   |9.810    |G5IV            |    ~     ~    
129 |HD 11899                                                              |Star                           |01 56 02.9667104088 -37 49 08.499097164|255.1972558013359 -72.7245878763025| 24.021 -12.696   |8.17     |K5/M0III        |    ~     ~    
130 |HD 11994                                                              |Star                           |01 56 51.6424288560 -37 55 55.752444444|255.2177057470104 -72.5286555968594|  -5.012 15.676   |9.88     |F3V             |    ~     ~    
131 |HD 12285                                                              |Double or Multiple Star        |01 59 41.3605 -37 57 23.246            |254.2932536 -72.0464751            |       36.9 4.5   |9.952    |F5V             |    ~     ~    
132 |CD-37 749                                                             |High Proper Motion Star        |01 57 42.9281832192 -36 49 54.078590784|251.7596604043280 -72.9625063267412|-27.701 -69.367   |10.50    |~               |    ~     ~    
133 |CD-37 754                                                             |Star                           |01 58 12.7159074960 -36 31 56.927784792|250.7014978990394 -73.0228544956054|    4.682 0.068   |10.91    |~               |    ~     ~    
134 |CD-37 766                                                             |Star                           |01 59 51.8111391960 -36 47 17.663277624|250.9182791649641 -72.6093104580042|   -2.760 2.990   |10.713   |~               |    ~     ~    
135 |CD-38 664                                                             |Star                           |01 57 54.3417011520 -37 38 54.372781572|254.0515249573980 -72.5086401983384|  5.467 -25.724   |10.05    |~               |    ~     ~    
136 |TYC 7008-20-1                                                         |Star                           |01 53 36.4616230032 -37 10 15.512725056|254.2459414265476 -73.4849404309510|  6.767 -17.182   |10.44    |~               |    ~     ~    
137 |TYC 7008-50-1                                                         |Star                           |01 55 33.9262298568 -37 19 56.241188400|253.9861898774261 -73.0699567554449|  12.706 -1.635   |10.93    |~               |    ~     ~    
138 |TYC 7008-75-1                                                         |Star                           |01 57 31.8834531216 -37 25 56.016190488|253.5692557355376 -72.6859754381156|   3.916 -8.060   |10.662   |~               |    ~     ~    
139 |GSC 07008-00084                                                       |Double or Multiple Star        |01 54 40.916400 -37 13 39.36324        |254.007469858 -73.274427980        |     66.6 -17.4   |10.968   |~               |    ~     ~    
140 |TYC 7008-281-1                                                        |Star                           |01 53 14.7087197280 -36 55 46.559822412|253.6658914135743 -73.6762860172790|  21.911 -1.041   |10.69    |~               |    ~     ~    
141 |TYC 7543-72-1                                                         |Star                           |01 54 14.6601331920 -37 38 41.082206244|255.3787383037060 -73.1181823192875|-12.728 -11.162   |10.976   |~               |    ~     ~    
142 |TYC 7543-653-1                                                        |Star                           |01 53 04.2980726880 -38 26 03.436760688|258.0364709126787 -72.8499872954247|    1.712 4.911   |10.99    |~               |    ~     ~    
143 |HD 11125                                                              |Star                           |01 48 44.7550570464 -33 36 55.451324412|244.1293445441977 -76.0595499118214|  6.408 -15.298   |8.98     |G8/K0(IVp)      |    ~     ~    
144 |HD 11371                                                              |Star                           |01 50 59.7086383488 -33 38 13.574108868|243.4497158428208 -75.6213012532654|  -5.698 -9.568   |9.06     |K1/2III         |    ~     ~    
145 |CD-34 699                                                             |Spectroscopic Binary           |01 47 48.2249947800 -33 49 06.844773576|245.2377646600839 -76.1535048101304|  29.549 -0.070   |9.83     |~               |    ~     ~    
