C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
135 |TYC 4407-591-1                                                                                           |Star                           |13 10 54.9558975888 +74 15 34.172267796|121.1333811821300 +42.8006727134141|  17.020 -3.958  |10.88    |~                 |    ~     ~    
136 |TYC 4407-633-1                                                                                           |High Proper Motion Star        |13 08 53.5305594696 +73 37 24.470681556|121.2387019029085 +43.4473581243853| -64.503 23.261  |10.74    |~                 |    ~     ~    
137 |TYC 4407-648-1                                                                                           |Star                           |13 06 08.5115611872 +73 38 12.480802152|121.5062184596379 +43.4507248369099|   0.922 -6.492  |10.65    |~                 |    ~     ~    
138 |TYC 4407-839-1                                                                                           |Star                           |13 07 50.8460439840 +73 59 44.973943836|121.3844394222201 +43.0830860006175|  -27.655 0.256  |10.91    |~                 |    ~     ~    
139 |2MASS J13064953+7259520                                                                                  |Red Giant Branch star          |13 06 49.5332940888 +72 59 51.912319164|121.3669395840032 +44.0837109316855|  -10.446 1.280  |10.79    |~                 |    ~     ~    
140 |TYC 4407-1013-1                                                                                          |Star                           |13 08 04.7722888752 +73 36 16.348904424|121.3149560621384 +43.4714244680423| -27.387 -1.308  |10.34    |~                 |    ~     ~    
141 |TYC 4407-1061-1                                                                                          |Star                           |13 01 32.4311806800 +72 59 57.679722420|121.9037415035880 +44.1087227070369|  -30.185 1.371  |10.68    |~                 |    ~     ~    
142 |2MASS J13095288+7314323                                                                                  |Red Giant Branch star          |13 09 52.8945487656 +73 14 32.434313712|121.0910424150392 +43.8199246112996|  -0.098 -2.677  |10.15    |~                 |    ~     ~    
143 |2MASS J13145850+7302218                                                                                  |Red Giant Branch star          |13 14 58.5279751320 +73 02 21.703620624|120.5499373685847 +43.9798646943618|  -3.546 -1.792  |10.62    |~                 |    ~     ~    
144 |TYC 4407-1191-1                                                                                          |Spectroscopic Binary           |13 08 14.5188500088 +73 55 30.298168236|121.3386950090036 +43.1511474575987|  -14.150 1.885  |10.83    |~                 |    ~     ~    
145 |TYC 4407-1204-1                                                                                          |Star                           |13 04 25.2140401032 +72 51 35.818020072|121.5975363976412 +44.2346512293641|-20.966 -30.795  |9.57     |~                 |    ~     ~    
146 |TYC 4407-1225-1                                                                                          |Star                           |13 13 25.2097492152 +73 10 35.777781336|120.7289428999366 +43.8574966648163|   0.376 23.466  |10.49    |~                 |    ~     ~    
147 |TYC 4407-1621-1                                                                                          |Star                           |13 10 00.3465427752 +74 32 09.611298276|121.2539257666253 +42.5316996398997|   41.775 9.996  |10.97    |~                 |    ~     ~    
148 |TYC 4551-384-1                                                                                           |Star                           |13 02 14.2393900296 +75 01 58.122179184|121.9928293171321 +42.0757432511243| -20.206 -7.788  |10.58    |~                 |    ~     ~    
149 |BD+72 601                                                                                                |Star                           |13 07 43.1415132816 +71 12 48.679645716|121.0511153816257 +45.8552274432920| 15.871 -18.435  |9.39     |K0                |    ~     ~    
150 |BD+72 602                                                                                                |Star                           |13 08 04.6090007040 +71 13 37.400001168|121.0117313496420 +45.8391109045976|   -4.293 3.133  |9.87     |F5                |    ~     ~    
151 |BD+72 603                                                                                                |Star                           |13 09 57.9070446288 +71 26 01.121880660|120.8252021918297 +45.6187459011072|  7.386 -14.557  |9.88     |K5                |    ~     ~    
152 |BD+72 604                                                                                                |Red Giant Branch star          |13 11 50.8761768792 +71 20 37.223695068|120.5976332266288 +45.6919607755360|  24.670 -8.923  |9.33     |G5                |    ~     ~    
153 |HD 115196                                                                                                |Star                           |13 13 29.1666932568 +71 32 40.539477264|120.4464706288166 +45.4771063842019|   7.810 -5.312  |8.93     |K0                |    ~     ~    
154 |BD+71 645                                                                                                |High Proper Motion Star        |13 12 08.9537532840 +70 31 12.577549188|120.4257953807210 +46.5071797988435|-19.907 -95.689  |9.79     |G0                |    ~     ~    
155 |BD+70 727                                                                                                |Star                           |13 07 11.9809443240 +70 06 23.978485476|120.9684964106366 +46.9614574359163|  -5.515 -8.467  |9.170    |F2                |    ~     ~    
156 |HD 114445                                                                                                |Star                           |13 08 51.9994125144 +69 58 08.876379828|120.7416673173560 +47.0849311439775|  -17.614 0.204  |8.59     |F8                |    ~     ~    
157 |HD 113846                                                                                                |Star                           |13 04 51.5781272064 +69 39 25.502360076|121.2084698367075 +47.4262293600110|  -35.328 1.978  |7.98     |K5                |    ~     ~    
158 |BD+70 729                                                                                                |Star                           |13 11 06.4274205864 +69 36 53.543548008|120.4029042053596 +47.4166771294573| -3.031 -21.347  |10.60    |K0                |    ~     ~    
159 |BD+70 730                                                                                                |Star                           |13 12 07.7460168528 +69 29 42.958238892|120.2512773939813 +47.5251461190367|  -34.135 7.600  |8.66     |K5                |    ~     ~    
