C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:22:32

dec< 0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5942

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
2449|TYC 9257-1670-1                                                                                          |Star                                  |14 42 49.1303088864 -68 57 15.269050692|312.6893599473859 -08.2195534387620|-26.231 -18.672    |10.75    |~              |    ~     ~    |    1|  485.956   pc  |  -3.3061     +3.3061    |paral   |2020yCat.1350....0G
2450|HD 126939                                                                                                |Red Giant Branch star                 |14 30 53.5766965776 -60 09 18.667799748|315.0102229742148 +00.3633957919517|  -3.332 -3.774    |10.33    |A0/2V          |    ~     ~    |    1|  588.998   pc  |  -6.2098     +6.2098    |paral   |2020yCat.1350....0G
2451|HD 127450                                                                                                |Star                                  |14 33 47.5356034464 -60 05 25.712361816|315.3688567681659 +00.2863122875550|  -8.512 -6.236    |9.65     |B8III/IV       |    ~     ~    |    1|  484.308   pc  |  -7.9279     +7.9279    |paral   |2020yCat.1350....0G
2452|HD 126824                                                                                                |Star                                  |14 30 13.4285889694 -60 24 37.909988528|314.8380296442484 +00.1574158313437|-20.267 -21.494    |8.89     |A3V            |    ~     ~    |    1|  158.9168  pc  |  -9.2432     +9.2432    |paral   |2018yCat.1345....0G
2453|CD-59 5281                                                                                               |Double or Multiple Star               |14 30 16.4472771192 -60 23 11.519272248|314.8527225233455 +00.1773807738167|  -4.868 -3.061    |10.424   |OB             |    ~     ~    |    1| 2203.614   pc  | -74.2955    +74.2955    |paral   |2020yCat.1350....0G
2454|HD 126890                                                                                                |Star                                  |14 30 38.5313654328 -60 32 04.202329704|314.8396772478267 +00.0231656077382| -3.842 -15.778    |8.70     |M0/1III        |    ~     ~    |    1|  503.804   pc  | -15.7113    +15.7113    |paral   |2020yCat.1350....0G
2455|HD 126940                                                                                                |Star                                  |14 30 53.0515709544 -60 18 22.323794508|314.9527053799237 +00.2237580727633|  -4.919 -3.009    |9.80     |B2Ib/II        |    ~     ~    |    1| 2208.968   pc  | -75.1449    +75.1449    |paral   |2020yCat.1350....0G
2456|HD 127182                                                                                                |Red Giant Branch star                 |14 32 17.8408411320 -60 28 43.193518464|315.0494341085864 -00.0017477551361| -12.771 -9.159    |10.30    |A2/3IV         |    ~     ~    |    1|  660.415   pc  | -29.1347    +29.1347    |paral   |2020yCat.1350....0G
2457|V* V841 Cen                                                                                              |RS CVn Variable                       |14 34 16.0459114320 -60 24 28.981545336|315.3009177418563 -00.0294611699284|-105.780 -36.196   |8.57     |K1IIIe         |    ~     ~    |    1|   95.000   pc  |  -0.2365     +0.2365    |paral   |2020yCat.1350....0G
2458|CD-59 5309                                                                                               |Star                                  |14 34 54.4331705640 -60 25 39.762974100|315.3661079806589 -00.0781608474362|  -5.666 -3.378    |9.89     |O9.2Ib         |    ~     ~    |    1| 2387.775   pc  |-121.4413   +121.4413    |paral   |2020yCat.1350....0G
2459|V* V1034 Cen                                                                                             |delta Sct Variable                    |14 35 01.3215970296 -60 23 32.364376296|315.3929155777825 -00.0510580178790|   -4.700 0.006    |8.66     |A9IV           |    ~     ~    |    1|  282.542   pc  |  -1.2613     +1.2613    |paral   |2020yCat.1350....0G
2460|NGC 5617 283                       HD 126808                                                             |Star                                  |14 30 03.6001596432 -60 50 58.664849136|314.6562315472313 -00.2427847852618|  -15.018 0.372    |8.81     |K1/2III        |    ~     ~    |    1|  326.947   pc  |  -1.9027     +1.9027    |paral   |2020yCat.1350....0G
2461|CPD-60 5398                                                                                              |Star                                  |14 30 10.8877176144 -61 01 21.173904948|314.6056882351847 -00.4088091362477|  -5.052 -2.358    |10.52    |OB:            |    ~     ~    |    1| 3342.246   pc  |-150.8032   +150.8032    |paral   |2020yCat.1350....0G
2462|NGC 5617 319                       HD 126842                                                             |Star                                  |14 30 15.0747124920 -60 48 59.318773092|314.6901835136833 -00.2206659160494|  22.881 -6.498    |9.00     |F3V            |    ~     ~    |    1|  119.217   pc  |  -0.1947     +0.1947    |paral   |2020yCat.1350....0G
2463|HD 126906                                                                                                |Eclipsing Binary                      |14 30 37.3963724904 -61 13 59.916573228|314.5766745373335 -00.6242695181465|  -9.969 -6.923    |9.95     |B9V            |    ~     ~    |    1|  554.539   pc  |  -5.4122     +5.4122    |paral   |2020yCat.1350....0G
2464|HD 126905                                                                                                |Star                                  |14 30 35.4206367864 -60 51 54.408340116|314.7103966271758 -00.2811889383240|  -7.809 -7.813    |9.22     |G5/8III        |    ~     ~    |    1|  638.407   pc  |  -6.6433     +6.6433    |paral   |2020yCat.1350....0G
2465|HD 127088                                                                                                |Star                                  |14 31 41.3000287680 -60 51 32.829524208|314.8365450739033 -00.3257641508357|  -1.456 -2.580    |9.20     |B8II           |    ~     ~    |    1| 1161.305   pc  | -22.5221    +22.5221    |paral   |2020yCat.1350....0G
2466|HD 127451                                                                                                |Star                                  |14 33 50.2821113400 -61 21 50.014537380|314.8843988850696 -00.8913711207743|  -2.582 -2.761    |9.84     |B8/9IV/V       |    ~     ~    |    1| 1021.450   pc  | -15.7548    +15.7548    |paral   |2020yCat.1350....0G
2467|HD 127470                                                                                                |Red Giant Branch star                 |14 33 53.2135999968 -60 48 06.116976792|315.1061195176449 -00.3747058445169|-30.264 -22.005    |7.76     |A2IV           |    ~     ~    |    1|  254.421   pc  |  -1.3464     +1.3464    |paral   |2020yCat.1350....0G
2468|HD 127685                                                                                                |Star                                  |14 35 01.1032541520 -61 11 00.578063040|315.0849688566271 -00.7798419288223|    3.054 4.244    |9.30     |A1V            |    ~     ~    |    1|  368.786   pc  |  -4.2569     +4.2569    |paral   |2020yCat.1350....0G
2469|HD 127696                                                                                                |Star                                  |14 35 08.2301780688 -61 01 28.355381400|315.1600131525920 -00.6389857407821|  -2.001 -2.886    |9.14     |B7III/IV       |    ~     ~    |    1|  911.494   pc  | -47.2737    +47.2737    |paral   |2020yCat.1350....0G
2470|HD 127756                                                                                                |Be Star                               |14 35 33.3090779496 -61 00 29.824895376|315.2129827705588 -00.6437533697100|  -4.641 -3.951    |7.60     |B1/2Vne        |    ~     ~    |    1| 1109.508   pc  | -28.0670    +28.0670    |paral   |2020yCat.1350....0G
2471|HD 127783                                                                                                |Star                                  |14 35 42.1135843080 -61 10 47.175451572|315.1622769554372 -00.8085299551580| -13.239 -9.489    |9.77     |A2V            |    ~     ~    |    1|  336.474   pc  | -14.4349    +14.4349    |paral   |2020yCat.1350....0G
2472|CD-60 5260                                                                                               |Emission-line Star                    |14 35 45.6014573352 -61 31 09.215706828|315.0358683314460 -01.1236555113760|  -4.359 -4.362    |9.95     |~              |    ~     ~    |    1| 1147.842   pc  | -29.3812    +29.3812    |paral   |2020yCat.1350....0G
2473|HD 127838                                                                                                |Star                                  |14 35 54.5701871064 -60 48 27.040065912|315.3311695469058 -00.4758292873061|  -4.587 -3.194    |9.17     |B1Ib/II        |    ~     ~    |    1| 2365.744   pc  | -78.9141    +78.9141    |paral   |2020yCat.1350....0G
2474|HD 127883                                                                                                |High Proper Motion Star               |14 36 14.2144086288 -61 11 56.677662672|315.2140114521279 -00.8515606817902|-169.850 18.811    |9.43     |G5V            |    ~     ~    |    1|   69.726   pc  |  -0.0598     +0.0598    |paral   |2020yCat.1350....0G
2475|HD 127902                                                                                                |Star                                  |14 36 20.3547134328 -61 07 24.232750248|315.2551158069455 -00.7868273724693|  -3.583 -4.477    |9.76     |B5/7(III)      |    ~     ~    |    1| 1100.352   pc  | -21.0675    +21.0675    |paral   |2020yCat.1350....0G
2476|HD 127926                                                                                                |Star                                  |14 36 26.0689986648 -61 03 15.268342968|315.2929136991675 -00.7277788556159|  -4.662 -3.255    |9.26     |B1/2II         |    ~     ~    |    1| 2315.351   pc  | -76.1241    +76.1241    |paral   |2020yCat.1350....0G
2477|HD 127958                                                                                                |Pulsating Variable                    |14 36 37.9004758416 -60 57 59.760017928|315.3494074079038 -00.6566399490151|  -4.465 -3.335    |9.55     |B1III(n)       |    ~     ~    |    1| 2603.489   pc  |-250.7917   +250.7917    |paral   |2020yCat.1350....0G
2478|HD 128016                                                                                                |Double or Multiple Star               |14 36 55.1256671688 -60 45 15.182241840|315.4653762431771 -00.4753105612424| -7.764 -12.028    |8.69     |ApSi           |    ~     ~    |    0|                |                         |        |                   
2479|CPD-60 5458                                                                                              |Star                                  |14 37 27.1953844440 -60 53 57.034781232|315.4677392028926 -00.6342134362351|  -5.339 -2.082    |10.53    |OB-            |    ~     ~    |    0|                |                         |        |                   
2480|HD 128249                                                                                                |Star                                  |14 38 21.4753643040 -61 28 06.343359852|315.3406805437366 -01.1997143717214|  -2.672 -2.452    |10.31    |ApSi           |    ~     ~    |    1|  917.684   pc  | -32.5910    +32.5910    |paral   |2020yCat.1350....0G
2481|CPD-60 5471                                                                                              |Emission-line Star                    |14 38 41.4559208592 -61 04 03.337621932|315.5380885992948 -00.8485550955802|  -3.054 -2.338    |10.23    |OB-e           |    ~     ~    |    1| 2071.680   pc  | -68.6697    +68.6697    |paral   |2020yCat.1350....0G
2482|HD 128346                                                                                                |Pulsating Variable                    |14 38 50.9770502328 -61 20 34.952645580|315.4448998341700 -01.1084694537141| -18.438 -5.210    |10.12    |B8/9IV/V       |    ~     ~    |    1|  747.105   pc  | -16.2984    +16.2984    |paral   |2020yCat.1350....0G
2483|HD 128439                                                                                                |Star                                  |14 39 17.4932459040 -61 10 53.757764328|315.5585745746487 -00.9821048734663|  -8.029 -2.085    |10.55    |A1/2V          |    ~     ~    |    1|  726.375   pc  |  -8.6530     +8.6530    |paral   |2020yCat.1350....0G
2484|HD 128491                                                                                                |Star                                  |14 39 38.3458038744 -61 09 03.832980768|315.6092507648922 -00.9711125785252|   -8.741 1.066    |9.45     |K0/2(III)      |    ~     ~    |    1|  586.476   pc  |  -4.6778     +4.6778    |paral   |2020yCat.1350....0G
2485|HD 126791                                                                                                |Star                                  |14 30 05.5482771888 -61 58 21.096228720|314.2427911384760 -01.2868232562720|   1.459 -5.206    |8.85     |A1V            |    ~     ~    |    1|  528.765   pc  |  -5.5359     +5.5359    |paral   |2020yCat.1350....0G
2486|HD 126843                                                                                                |Star                                  |14 30 22.4578392408 -62 10 50.956860324|314.1959200132438 -01.4924433764109|  -6.668 -5.103    |9.71     |B8IV           |    ~     ~    |    1|  584.795   pc  | -24.1784    +24.1784    |paral   |2020yCat.1350....0G
2487|HD 126907                                                                                                |Star                                  |14 30 50.9352986064 -62 09 36.834774120|314.2550152797916 -01.4940233768495| -7.315 -10.667    |10.20    |A1V            |    ~     ~    |    1|  436.777   pc  |  -3.4912     +3.4912    |paral   |2020yCat.1350....0G
2488|HD 127003                                                                                                |Star                                  |14 31 22.1869375800 -61 59 21.739104132|314.3756694517950 -01.3585114020344|   8.806 -6.142    |9.54     |G6/8III        |    ~     ~    |    1|  547.345   pc  |  -4.2242     +4.2242    |paral   |2020yCat.1350....0G
2489|HD 127059                                                                                                |Star                                  |14 31 35.4347007312 -61 36 49.402186380|314.5412482358163 -01.0202982527123| -18.638 -7.997    |9.46     |K2(III)        |    ~     ~    |    1|  479.203   pc  | -16.6945    +16.6945    |paral   |2020yCat.1350....0G
2490|HD 127113                                                                                                |Star                                  |14 32 01.7633381640 -61 58 43.692193596|314.4514139378612 -01.3779364992393|-10.897 -10.553    |9.04     |K1III          |    ~     ~    |    1|  500.726   pc  |  -3.7609     +3.7609    |paral   |2020yCat.1350....0G
2491|HD 127428                                                                                                |Star                                  |14 33 51.2627450208 -61 51 53.646122736|314.6934391110376 -01.3545796419509|  -1.730 -5.085    |8.87     |B7III          |    ~     ~    |    1|  914.495   pc  | -20.3221    +20.3221    |paral   |2020yCat.1350....0G
2492|HD 127571                                                                                                |Star                                  |14 34 38.7278879448 -61 44 26.568644820|314.8276252343146 -01.2761012545995|    4.073 3.127    |9.59     |A1/2V          |    ~     ~    |    1|  445.276   pc  |  -3.7077     +3.7077    |paral   |2020yCat.1350....0G
2493|HD 127596                                                                                                |Star                                  |14 34 39.8366529912 -61 44 54.318070032|314.8266542023620 -01.2840546634880| -2.876 -15.969    |7.97     |K2/3(III)      |    ~     ~    |    1|  566.316   pc  |  -7.1840     +7.1840    |paral   |2020yCat.1350....0G
2494|HD 127632                                                                                                |Star                                  |14 34 55.8042524246 -61 49 34.285127306|314.8254672598324 -01.3679344235994|  -2.903 -2.553    |8.93     |B2/3III        |    ~     ~    |    1| 1313.2     pc  | -50.1826    +50.1826    |paral   |2020yCat.1350....0G
2495|HD 127839                                                                                                |Star                                  |14 36 04.6971594264 -61 51 49.416882984|314.9355377411332 -01.4553827902102|-14.690 -19.730    |9.79     |F2             |    ~     ~    |    1|  377.501   pc  |  -2.6221     +2.6221    |paral   |2020yCat.1350....0G
2496|HD 127903                                                                                                |Star                                  |14 36 26.1420816288 -61 49 50.307608460|314.9873261142028 -01.4415348107141|  -4.765 -6.141    |9.84     |F0V            |    ~     ~    |    1|  505.433   pc  | -14.3059    +14.3059    |paral   |2020yCat.1350....0G
2497|HD 127980                                                                                                |Eclipsing Binary                      |14 36 53.2081806672 -61 49 39.468900072|315.0374526586458 -01.4597739867339|  -2.451 -1.568    |10.57    |B8/9           |    ~     ~    |    1| 1314.924   pc  | -34.4076    +34.4076    |paral   |2020yCat.1350....0G
2498|HD 128072                                                                                                |Star                                  |14 37 20.3503222416 -61 41 37.305661812|315.1396684871822 -01.3579901319830|  -2.490 -2.883    |9.08     |B2III          |    ~     ~    |    1| 1285.678   pc  | -32.2329    +32.2329    |paral   |2020yCat.1350....0G
2499|V* TX Cen                                                                                                |Classical Cepheid Variable            |14 35 11.8543629192 -60 59 52.691735364|315.1770984163568 -00.6173564852814|  -5.029 -3.038    |10.53    |~              |    ~     ~    |    1| 3294.893   pc  |-197.5850   +197.5850    |paral   |2020yCat.1350....0G
2500|TYC 9007-3412-1                                                                                          |High Proper Motion Star               |14 35 49.0403494608 -61 20 01.474875600|315.1147922106248 -00.9556549301564|-41.881 -27.267    |10.83    |~              |    ~     ~    |    1|  221.004   pc  |  -2.1833     +2.1833    |paral   |2020yCat.1350....0G
2501|V* V798 Cen                                                                                              |Long-Period Variable Candidate        |14 34 49.0218682776 -60 57 51.433805340|315.1476663959429 -00.5683851185971|   25.831 1.627    |7.81     |M6III          |    ~     ~    |    1|  326.573   pc  |  -6.7402     +6.7402    |paral   |2020yCat.1350....0G
2502|HD 126792                                                                                                |Star                                  |14 30 07.8247328040 -62 17 18.583462536|314.1294683860060 -01.5818179884774| -12.294 -7.223    |10.18    |A0V            |    ~     ~    |    1|  531.350   pc  |  -5.3078     +5.3078    |paral   |2020yCat.1350....0G
2503|IRAS 14279-6105                                                                                          |Star                                  |14 31 43.6337344872 -61 18 17.044003440|314.6728546620747 -00.7402552114390|  -3.746 -2.420    |10.84    |~              |    ~     ~    |    1| 1942.125   pc  | -84.8666    +84.8666    |paral   |2020yCat.1350....0G
2504|IRAS 14318-6037                                                                                          |Star                                  |14 35 41.4147052560 -60 50 20.843530944|315.2942043895133 -00.4944593718828|  -4.938 -4.303    |10.59    |~              |    ~     ~    |    1| 1500.375   pc  | -56.9535    +56.9535    |paral   |2020yCat.1350....0G
2505|IRAS 14326-6050                                                                                          |Long-Period Variable Candidate        |14 36 29.6523410592 -61 03 32.277342672|315.2976955741967 -00.7349670097440|  -7.719 -5.154    |10.04    |~              |    ~     ~    |    1| 1314.06    pc  | -61.6451    +61.6451    |paral   |2020yCat.1350....0G
2506|IRAS 14330-6137                                                                                          |Star                                  |14 36 56.3616787536 -61 50 48.751131012|315.0355383956650 -01.4799028259156|  -6.075 -3.975    |10.81    |~              |    ~     ~    |    1| 3424.658   pc  |-275.6146   +275.6146    |paral   |2020yCat.1350....0G
2507|Cl Hogg 17                                                                                               |Open Cluster                          |14 33 50.2 -61 19 34                   |314.8987 -00.8563                  |  -5.201 -2.433    |8.3      |~              | 4.00  4.00    |    1| 2277.0     pc  |                         |paral   |2021A&A...651A.104P
2508|CPD-61 4583                                                                                              |Star                                  |14 31 54.6219858384 -61 59 42.548681796|314.4322888037492 -01.3877876173390|  13.745 -8.399    |10.85    |OB             |    ~     ~    |    1|  356.125   pc  |  -1.6741     +1.6741    |paral   |2020yCat.1350....0G
2509|CPD-60 5415                                                                                              |Pulsating Variable                    |14 32 18.9400594704 -61 01 58.312360524|314.8413577089252 -00.5154088041677|  -5.045 -3.238    |10.96    |OB             |    ~     ~    |    1| 2217.295   pc  | -93.9032    +93.9032    |paral   |2020yCat.1350....0G
2510|CD-61 4454                                                                                               |Star                                  |14 35 36.5183262408 -61 34 12.778044384|314.9993233651169 -01.1635317054818|  -9.169 -5.016    |9.37     |K0V:           |    ~     ~    |    1|  635.970   pc  |  -6.3096     +6.3096    |paral   |2020yCat.1350....0G
2511|CPD-61 4629                                                                                              |Star                                  |14 36 28.9591728312 -61 41 07.792714860|315.0496096743527 -01.3103084996156|  -1.147 -3.455    |10.56    |OB-            |    ~     ~    |    1| 1691.475   pc  | -51.2135    +51.2135    |paral   |2020yCat.1350....0G
2512|TYC 9007-4146-1                                                                                          |Pulsating Variable                    |14 37 31.2655138152 -61 15 34.257294504|315.3320812744542 -00.9681482400556|  -4.282 -2.973    |10.96    |OB-            |    ~     ~    |    1| 1840.265   pc  | -53.8465    +53.8465    |paral   |2020yCat.1350....0G
2513|CPD-60 5479                                                                                              |Star                                  |14 39 24.8078178144 -60 59 14.927895384|315.6504528256862 -00.8104658274393|  -4.696 -1.970    |10.30    |OB             |    ~     ~    |    1| 2748.008   pc  |-178.9716   +178.9716    |paral   |2020yCat.1350....0G
2514|CD-59 5297                                                                                               |Star                                  |14 32 49.3469257800 -59 57 36.580165632|315.3068147951623 +00.4530638943803|    4.805 2.147    |9.97     |~              |    ~     ~    |    1| 1048.988   pc  | -18.4863    +18.4863    |paral   |2020yCat.1350....0G
2515|CD-61 4409                                                                                               |Star                                  |14 30 23.4369561312 -62 09 16.342254972|314.2074822994111 -01.4687628857970|  -4.970 -3.134    |8.85     |~              |    ~     ~    |    1| 1937.984   pc  | -72.8622    +72.8622    |paral   |2020yCat.1350....0G
2516|CD-60 5237                                                                                               |Star                                  |14 32 59.5980341832 -61 17 55.844252772|314.8157281399255 -00.7924722389523|  -1.788 -0.645    |9.48     |M2II:          |    ~     ~    |    1| 2275.313   pc  |-125.8023   +125.8023    |paral   |2020yCat.1350....0G
2517|CD-61 4458                                                                                               |Star                                  |14 36 10.0454427672 -61 55 04.232268084|314.9239407521927 -01.5092744659012|  -2.851 -1.132    |9.56     |~              |    ~     ~    |    1| 1808.645   pc  | -64.1155    +64.1155    |paral   |2020yCat.1350....0G
2518|CPD-60 5487                                                                                              |Star                                  |14 41 35.5610148624 -61 10 48.585411732|315.8124340401393 -01.0938205246484|   8.519 -1.744    |10.39    |~              |    ~     ~    |    1|  649.899   pc  |  -5.8287     +5.8287    |paral   |2020yCat.1350....0G
2519|CD-60 5277                                                                                               |Star                                  |14 37 50.1638843400 -61 03 06.248386440|315.4496404347605 -00.7926522536158|-23.578 -13.958    |10.03    |~              |    ~     ~    |    1|  522.794   pc  |  -3.4711     +3.4711    |paral   |2020yCat.1350....0G
2520|CD-60 5276                                                                                               |Star                                  |14 37 51.2420450376 -61 10 17.454781344|315.4038854662553 -00.9033716905508|  -8.363 -4.134    |9.56     |~              |    ~     ~    |    1|  951.656   pc  | -15.9394    +15.9394    |paral   |2020yCat.1350....0G
2521|HD 127755                                                                                                |Star                                  |14 35 29.8115866728 -60 38 30.968072052|315.3494946761313 -00.3037122421127|  -4.784 -4.414    |7.63     |K5III          |    ~     ~    |    1|  892.220   pc  | -13.5330    +13.5330    |paral   |2020yCat.1350....0G
2522|CD-61 4473                                                                                               |Star                                  |14 38 00.0292482024 -61 39 31.207516812|315.2255940509511 -01.3570787939749| -17.775 -8.951    |10.12    |~              |    ~     ~    |    1|  910.996   pc  | -10.9549    +10.9549    |paral   |2020yCat.1350....0G
2523|CPD-61 4596                                                                                              |Star                                  |14 33 29.2567020672 -62 02 07.987202412|314.5880523928107 -01.4955800011234|  -4.027 -0.635    |10.9     |~              |    ~     ~    |    1| 1943.257   pc  | -91.0076    +91.0076    |paral   |2020yCat.1350....0G
2524|CPD-61 4597                                                                                              |Star                                  |14 33 28.0742173296 -61 59 45.603431268|314.6010860456617 -01.4581652049452|  -8.036 -4.838    |10.9     |~              |    ~     ~    |    1| 1107.052   pc  | -18.5060    +18.5060    |paral   |2020yCat.1350....0G
2525|CPD-61 4600                                                                                              |Star                                  |14 33 35.0476426944 -61 59 46.474627524|314.6135963804743 -01.4636217927757|  -2.974 -4.172    |10.7     |~              |    ~     ~    |    1| 1821.825   pc  | -60.4067    +60.4067    |paral   |2020yCat.1350....0G
2526|NGC 5617 290                       NGC 5617 290                                                          |Star                                  |14 30 07.78 -60 44 31.9                |314.70402 -00.14619                |            ~ ~    |13.12    |~              |    ~     ~    |    0|                |                         |        |                   
2527|NGC 5617 291                       NGC 5617 291                                                          |Star                                  |14 30 08.0299822392 -60 44 13.521425244|314.7063916464824 -00.1416397050406|  -4.111 -3.362    |11.59    |~              |    ~     ~    |    1| 1815.211   pc  |-116.6427   +116.6427    |paral   |2020yCat.1350....0G
2528|NGC 5617 304                       NGC 5617 304                                                          |Star                                  |14 30 11.58 -60 44 54.5                |314.70887 -00.15489                |            ~ ~    |14.95    |~              |    ~     ~    |    0|                |                         |        |                   
2529|NGC 5617 344                       NGC 5617 344                                                          |Star                                  |14 30 24.21 -60 43 34.5                |314.74102 -00.14384                |            ~ ~    |14.06    |~              |    ~     ~    |    0|                |                         |        |                   
2530|NGC 5617 348                       NGC 5617 348                                                          |Star                                  |14 30 27.89 -60 41 32.1                |314.76065 -00.11508                |            ~ ~    |13.72    |~              |    ~     ~    |    0|                |                         |        |                   
2531|NGC 5617 362                       NGC 5617 362                                                          |Star                                  |14 30 34.28 -60 48 15.8                |314.73090 -00.22399                |            ~ ~    |12.68    |~              |    ~     ~    |    0|                |                         |        |                   
2532|TYC 8691-175-1                                                                                           |Star                                  |14 30 49.2292702440 -59 53 24.080723304|315.1010280574400 +00.6126916475490|  -12.977 3.106    |9.90     |~              |    ~     ~    |    1|  977.422   pc  | -27.5142    +27.5142    |paral   |2020yCat.1350....0G
2533|TYC 9006-59-1                                                                                            |Star                                  |14 30 00.6168705024 -61 29 53.277867708|314.4099300236946 -00.8427301276013|-10.282 -10.080    |10.91    |~              |    ~     ~    |    1|  292.577   pc  |  -1.9432     +1.9432    |paral   |2020yCat.1350....0G
2534|TYC 9006-161-1                                                                                           |Star                                  |14 33 34.0513672224 -61 27 54.431749044|314.8156301315503 -00.9724023037516|  -5.097 -2.784    |10.15    |~              |    ~     ~    |    1| 1804.728   pc  | -49.1814    +49.1814    |paral   |2020yCat.1350....0G
2535|TYC 9006-235-1                                                                                           |Star                                  |14 32 29.6627617104 -61 49 31.435091076|314.5602648764431 -01.2567411000764|  -3.692 -0.778    |10.82    |~              |    ~     ~    |    1|  955.384   pc  | -15.6994    +15.6994    |paral   |2020yCat.1350....0G
2536|TYC 9006-374-1                                                                                           |Star                                  |14 30 31.1322428280 -61 26 28.573015452|314.4874621335322 -00.8125420500311|-35.008 -14.115    |10.04    |~              |    ~     ~    |    1|  650.026   pc  |  -5.0282     +5.0282    |paral   |2020yCat.1350....0G
2537|TYC 9006-430-1                                                                                           |High Proper Motion Star               |14 30 12.8010121728 -61 46 13.049382864|314.3312032867512 -01.1043711502145|-47.863 -27.838    |10.94    |~              |    ~     ~    |    1|  194.145   pc  |  -0.4825     +0.4825    |paral   |2020yCat.1350....0G
2538|TYC 9006-509-1                                                                                           |Star                                  |14 33 01.1931456288 -61 24 45.576025128|314.7752280079637 -00.8988863415930| -8.388 -11.994    |10.74    |~              |    ~     ~    |    1|  607.091   pc  |  -6.8921     +6.8921    |paral   |2020yCat.1350....0G
2539|TYC 9006-935-1                                                                                           |Star                                  |14 32 48.4253891640 -61 14 13.271461188|314.8186145093609 -00.7267843743983|    8.327 3.734    |10.88    |~              |    ~     ~    |    1|  790.701   pc  |  -7.3775     +7.3775    |paral   |2020yCat.1350....0G
2540|TYC 9006-1118-1                                                                                          |Star                                  |14 31 10.0496727048 -61 05 51.194877972|314.6883335666034 -00.5229344537879|  -4.721 -4.277    |10.92    |~              |    ~     ~    |    1|  843.668   pc  | -10.8190    +10.8190    |paral   |2020yCat.1350....0G
2541|TYC 9006-1778-1                                                                                          |Star                                  |14 33 22.6271403168 -61 17 01.508671140|314.8640940941336 -00.7961466969652|  -5.059 -2.779    |10.48    |~              |    ~     ~    |    1| 1831.502   pc  | -48.6388    +48.6388    |paral   |2020yCat.1350....0G
2542|ISOGAL-P J143133.0-601614                                                                                |Red Giant Branch star                 |14 31 32.8311471000 -60 16 15.011153076|315.0421238191011 +00.2257022393549|-95.080 -30.606    |10.51    |~              |    ~     ~    |    1|  296.534   pc  |  -7.5973     +7.5973    |paral   |2020yCat.1350....0G
2543|TYC 9006-2362-1                                                                                          |Star                                  |14 32 05.7194422968 -61 39 32.478962472|314.5796577125932 -01.0848802895395|-15.359 -12.709    |10.81    |~              |    ~     ~    |    1|  679.717   pc  |  -8.2239     +8.2239    |paral   |2020yCat.1350....0G
2544|ISOGAL-P J143109.0-601609                                                                                |Red Giant Branch star                 |14 31 08.9314579608 -60 16 09.457265820|314.9969392988906 +00.2456909820774|  -7.590 -9.783    |10.89    |K2III-IV       |    ~     ~    |    1|  891.822   pc  | -10.4986    +10.4986    |paral   |2020yCat.1350....0G
2545|TYC 9006-3347-1                                                                                          |Star                                  |14 33 31.6233238752 -60 03 16.363080036|315.3521085101932 +00.3321886528316|  -5.748 -3.917    |10.83    |~              |    ~     ~    |    1| 1081.198   pc  | -18.2362    +18.2362    |paral   |2020yCat.1350....0G
2546|TYC 9006-3798-1                                                                                          |Star                                  |14 33 34.7052152928 -61 15 52.803128052|314.8937523294064 -00.7877912680759|  -5.582 -2.700    |10.79    |~              |    ~     ~    |    1|  838.926   pc  | -10.5570    +10.5570    |paral   |2020yCat.1350....0G
2547|TYC 9006-3860-1                                                                                          |Star                                  |14 32 10.6534850040 -60 52 59.737373076|314.8825450172602 -00.3706122108314| -9.163 -12.812    |10.67    |~              |    ~     ~    |    1|  714.286   pc  |  -8.2143     +8.2143    |paral   |2020yCat.1350....0G
2548|ISOGAL-P J143322.6-604556                                                                                |Red Giant Branch star                 |14 33 22.5542952768 -60 45 56.561844204|315.0623538529931 -00.3175411328259|  -5.931 -1.341    |10.76    |~              |    ~     ~    |    1|  757.404   pc  |  -8.2033     +8.2033    |paral   |2020yCat.1350....0G
2549|ISOGAL-P J143336.1-605146                                                                                |Red Giant Branch star                 |14 33 36.0982059672 -60 51 45.937893276|315.0505681878797 -00.4177254308867| -10.327 -5.958    |10.38    |~              |    ~     ~    |    1|  556.917   pc  |  -4.4973     +4.4973    |paral   |2020yCat.1350....0G
2550|TYC 9006-4521-1                                                                                          |Star                                  |14 31 36.6133149168 -60 43 02.873867628|314.8811035491178 -00.1909629412801|  -3.224 -2.731    |10.93    |~              |    ~     ~    |    1| 1642.8454  pc  |-153.8396   +153.8396    |paral   |2018yCat.1345....0G
