C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
54  |TYC 4543-513-1                                                                                           |High Proper Motion Star            |08 34 06.5085052272 +79 37 55.900992792|133.8625830080842 +31.1925399024054|-42.964 -90.949   |10.46    |~                    |    ~     ~      |    1|  138.070   pc  |  -0.2269     +0.2269  |paral   |2020yCat.1350....0G
55  |TYC 4543-783-1                                                                                           |Star                               |08 40 46.2954774960 +79 15 46.539057888|134.1377325294039 +31.6099519117057|   3.555 -2.010   |10.72    |~                    |    ~     ~      |    1|  483.980   pc  | -41.3428    +41.3428  |paral   |2020yCat.1350....0G
56  |TYC 4543-1690-1                                                                                          |Star                               |08 39 41.2362122736 +79 22 44.604270696|134.0329222412816 +31.5203180950604|  2.050 -16.124   |10.33    |~                    |    ~     ~      |    1|  322.924   pc  |  -7.7167     +7.7167  |paral   |2020yCat.1350....0G
57  |TYC 4546-32-1                                                                                            |Star                               |08 40 51.0817112208 +80 20 48.270781572|132.9599066630613 +31.2048018205461|  -4.293 -6.766   |9.93     |~                    |    ~     ~      |    1|  789.266   pc  |  -9.4687     +9.4687  |paral   |2020yCat.1350....0G
58  |TYC 4546-821-1                                                                                           |Star                               |08 30 10.2187397064 +80 27 44.915151240|133.0210776174443 +30.7479431100256|   -0.453 1.203   |10.67    |~                    |    ~     ~      |    1|  392.927   pc  |  -2.2232     +2.2232  |paral   |2020yCat.1350....0G
59  |TYC 4546-2007-1                                                                                          |Star                               |08 34 49.3363000392 +80 44 03.679304208|132.6472720173779 +30.8309110254544|  -5.525 -8.769   |10.66    |~                    |    ~     ~      |    1|  892.061   pc  | -10.1063    +10.1063  |paral   |2020yCat.1350....0G
60  |BD+79 273                                                                                                |Red Giant Branch star              |08 30 38.9590499232 +79 12 14.928336828|134.3962448769331 +31.1878146046178|  -0.796 -6.165   |9.79     |G5                   |    ~     ~      |    1|  503.728   pc  |  -2.9434     +2.9434  |paral   |2020yCat.1350....0G
61  |BD+79 274                                                                                                |Star                               |08 32 51.9567433680 +79 10 44.476334004|134.3834284353944 +31.2941640436477| -16.349 -4.482   |10.41    |F2                   |    ~     ~      |    1|  286.558   pc  |  -1.1086     +1.1086  |paral   |2020yCat.1350....0G
62  |BD+79 275                                                                                                |High Proper Motion Star            |08 34 05.2808681280 +78 33 13.858395516|135.0497448123330 +31.5607146744405|-64.369 -84.188   |10.37    |F5                   |    ~     ~      |    1|  157.783   pc  |  -0.3286     +0.3286  |paral   |2020yCat.1350....0G
63  |TYC 4543-554-1                                                                                           |Star                               |08 36 57.5272023216 +79 01 56.225102952|134.4663904480261 +31.5263569428293|    1.302 7.192   |10.33    |K0                   |    ~     ~      |    1|  839.419   pc  |  -9.0897     +9.0897  |paral   |2020yCat.1350....0G
