C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
100 |BD+77 238                                                             |High Proper Motion Star        |06 28 49.3379074176 +77 29 43.124037936|136.7110507558737 +25.2255336643634| 29.803 -57.075   |9.48     |F8             |    ~     ~    
101 |HD 44028                                                              |Star                           |06 29 05.4706095024 +76 59 46.166513964|137.2542552752313 +25.1376428059268|  3.790 -45.269   |8.620    |F8             |    ~     ~    
102 |HD 44060                                                              |Spectroscopic Binary           |06 29 29.7808811088 +77 16 24.189338676|136.9595104588892 +25.2164611572290|-99.952 -96.027   |8.41     |F8             |    ~     ~    
103 |BD+76 227                                                             |High Proper Motion Star        |06 17 07.8623415000 +76 12 38.809391040|137.9163582791401 +24.2806397622154|  59.643 55.668   |9.54     |G5             |    ~     ~    
104 |TYC 4525-736-1                                                        |Star                           |06 17 51.0854087760 +76 51 03.257215920|137.2489537295442 +24.4855946160640|   0.244 -2.724   |10.81    |F5             |    ~     ~    
105 |AG+76 268                                                             |Long-Period Variable Candidate |06 17 55.6015706976 +76 40 29.218271844|137.4373268409157 +24.4451080192108|   1.194 -1.532   |8.39     |M2             |    ~     ~    
106 |BD+76 230                                                             |Star                           |06 18 23.0838322440 +76 43 45.963871284|137.3865557407425 +24.4844133439597|  2.080 -30.142   |9.98     |K0             |    ~     ~    
107 |BD+76 231                                                             |Star                           |06 18 23.6073399864 +76 31 18.422602716|137.6074215861996 +24.4324562479646|  15.348 32.930   |10.29    |F8             |    ~     ~    
108 |BD+76 232                                                             |Star                           |06 18 35.5321870200 +76 36 00.003594348|137.5274925513856 +24.4633895808326|  11.369 13.377   |10.15    |F5             |    ~     ~    
109 |TYC 4529-1180-1                                                       |Star                           |06 19 04.1634977928 +76 55 43.138160256|137.1852206603219 +24.5719226158082|   7.844 24.073   |10.06    |F8             |    ~     ~    
110 |HD 42289                                                              |Star                           |06 19 21.4177653192 +76 46 36.733369656|137.3513551761708 +24.5501893876501|    0.949 3.782   |9.02     |A2             |    ~     ~    
111 |HD 42330                                                              |High Proper Motion Star        |06 19 35.9230221456 +76 49 39.620320968|137.3009733548781 +24.5761036155740|  2.293 -76.408   |7.85     |K5             |    ~     ~    
112 |BD+76 235                                                             |Star                           |06 23 17.5872174576 +76 45 10.269240012|137.4364452139254 +24.7631511293917|   -1.721 2.676   |10.26    |A0             |    ~     ~    
113 |BD+76 236                                                             |Star                           |06 23 24.0215879784 +76 08 15.455788548|138.0964065950253 +24.6252619170978|   5.506 -1.162   |9.87     |K0             |    ~     ~    
114 |HD 43474                                                              |Star                           |06 25 30.3895254936 +76 14 09.653812404|138.0230998272903 +24.7703416515865|    1.912 2.552   |9.04     |A0             |    ~     ~    
115 |BD+76 238                                                             |Star                           |06 27 16.2071645736 +76 43 39.229369068|137.5199168892974 +24.9797360678686|    0.611 2.814   |10.32    |F5             |    ~     ~    
116 |BD+76 239                                                             |High Proper Motion Star        |06 27 21.4398434184 +76 18 57.522023136|137.9641742929766 +24.8951810155428| 12.609 -75.446   |9.29     |F8             |    ~     ~    
117 |HD 43884                                                              |Star                           |06 27 32.6042327040 +76 01 13.285479936|138.2847417280509 +24.8410927552464|  -3.070 28.284   |7.74     |G5             |    ~     ~    
118 |BD+76 241                                                             |Star                           |06 29 32.7446938152 +76 02 21.312625344|138.2932238976525 +24.9631684520636| -4.762 -21.356   |9.59     |F8             |    ~     ~    
119 |IRAS 06206+7657                                                       |Long-Period Variable           |06 28 02.2264493232 +76 55 30.305482788|137.3172836002650 +25.0646462400894|   -7.350 0.457   |10.91    |M7/8           |    ~     ~    
120 |TYC 4525-249-1                                                        |Star                           |06 24 14.1697358088 +76 19 29.073994536|137.9089952689689 +24.7173604296318|    0.462 7.270   |10.94    |~              |    ~     ~    
121 |TYC 4525-554-1                                                        |Star                           |06 28 01.7693687784 +76 27 29.639309040|137.8205048169348 +24.9646572522961|   0.012 -0.310   |10.72    |~              |    ~     ~    
122 |TYC 4525-1051-1                                                       |Star                           |06 16 26.1018553848 +76 49 37.845682284|137.2514787437720 +24.4015841046500| -8.007 -11.016   |10.99    |~              |    ~     ~    
