C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
139 |BD+75 252                                                             |Star                           |06 22 34.0424872536 +75 48 52.449460812|138.4280427373616 +24.4990331128289|  0.921 -12.820   |9.90     |K0             |    ~     ~    
140 |HD 43243                                                              |Star                           |06 23 59.6669798208 +75 39 21.723968304|138.6203747381365 +24.5463817032228| 35.130 -11.642   |8.07     |G5             |    ~     ~    
141 |BD+74 278                                                             |Star                           |06 17 51.1863667608 +74 52 02.981611992|139.3489903985571 +23.9693388232113|  14.670 25.887   |10.49    |F8             |    ~     ~    
142 |BD+74 280                                                             |Star                           |06 22 33.9297351696 +74 44 53.962083888|139.5625948616252 +24.2367199252882|  22.477 -8.559   |9.78     |F5             |    ~     ~    
143 |HD 43167                                                              |High Proper Motion Star        |06 23 05.8886797200 +74 50 45.934941804|139.4682285595049 +24.2948356225510| 51.113 -20.462   |7.84     |F8             |    ~     ~    
144 |V* EL Cam                                                             |Long-Period Variable Candidate |06 28 04.9342953936 +74 44 35.109074688|139.6633984875992 +24.5878175699447|   1.815 -8.822   |9.46     |M2             |    ~     ~    
145 |BD+74 283                                                             |Star                           |06 24 19.2007898952 +73 58 08.950227528|140.4221640722863 +24.1570259183817|   10.917 3.598   |9.92     |F5             |    ~     ~    
146 |BD+74 286                                                             |Spectroscopic Binary           |06 27 50.4436077072 +73 56 14.457433740|140.5205644703242 +24.3854089353380|  -11.397 4.209   |9.34     |A0             |    ~     ~    
147 |HD 41926                                                              |Spectroscopic Binary           |06 15 30.0775868592 +73 33 32.098021956|140.6740110368783 +23.4534161181526|   1.718 11.996   |9.50     |A4.5V          |    ~     ~    
148 |BD+73 321                                                             |Star                           |06 17 47.1765695304 +73 43 20.575024608|140.5521941416431 +23.6537622257134| -16.346 -0.889   |9.32     |K0             |    ~     ~    
149 |HD 43494                                                              |Double or Multiple Star        |06 24 12.5509719744 +73 54 56.937042396|140.4766810768212 +24.1363178535553|  -11.505 3.297   |9.62     |F8             |    ~     ~    
150 |HD 43810                                                              |Star                           |06 25 48.3904747248 +73 26 06.115967160|141.0175418216313 +24.1257538342932| -6.031 -13.872   |7.68     |K2             |    ~     ~    
151 |HD 43959                                                              |Star                           |06 26 44.4535951896 +73 45 29.490991524|140.6915672782443 +24.2684972654895| -2.159 -27.630   |8.75     |A2             |    ~     ~    
152 |BD+73 330                                                             |Star                           |06 27 47.6329958592 +73 51 05.838278580|140.6111946615959 +24.3620672050721| -1.739 -22.302   |9.14     |F2             |    ~     ~    
153 |HD 44208                                                              |Double or Multiple Star        |06 28 11.4373103664 +73 33 25.128239364|140.9326478367138 +24.3195229655966|  -1.771 -8.291   |8.42     |K2             |    ~     ~    
154 |HD 44314                                                              |Spectroscopic Binary           |06 28 42.1810553160 +73 37 11.181955800|140.8750064558444 +24.3694717288585|  1.638 -17.427   |9.34     |A2             |    ~     ~    
155 |BD+73 333                                                             |Star                           |06 29 05.8514151840 +73 17 52.883981088|141.2255431507600 +24.3213409176048|   1.567 12.229   |9.42     |K2             |    ~     ~    
156 |HD 44534                                                              |Star                           |06 29 34.8814730136 +73 00 52.028064792|141.5370177792044 +24.2887815562054|  -4.531 -8.934   |8.61     |G5             |    ~     ~    
157 |GSC 04353-00300                                                       |Double or Multiple Star        |06 17 10.298904 +73 06 59.07924        |141.173545221 +23.442407996        |     -6.9 -40.0   |10.269   |~              |    ~     ~    
158 |TYC 4357-63-1                                                         |Star                           |06 18 50.9948260800 +74 31 39.504346068|139.7265989423612 +23.9420408809961|   2.977 -5.701   |9.43     |~              |    ~     ~    
159 |TYC 4357-98-1                                                         |Star                           |06 21 07.1463819288 +73 27 22.704301152|140.9015512356020 +23.8084260388814|  -2.788 -6.196   |10.75    |~              |    ~     ~    
160 |TYC 4357-112-1                                                        |Star                           |06 23 13.0801759008 +73 37 08.472389376|140.7720365340920 +23.9943451064555|    2.419 5.033   |10.70    |~              |    ~     ~    
161 |TYC 4357-151-1                                                        |Star                           |06 18 14.1709046280 +74 37 55.524096948|139.6045527867019 +23.9306037315361|  -1.897 -1.853   |10.77    |~              |    ~     ~    
162 |GSC 04357-00154                                                       |Double or Multiple Star        |06 20 09.104208 +73 36 35.91612        |140.719718420 +23.783262685        |    -13.4 -31.1   |10.505   |~              |    ~     ~    
163 |TYC 4357-209-1                                                        |High Proper Motion Star        |06 20 07.9215810672 +73 53 30.227079300|140.4224766518044 +23.8570538927903|-35.970 -35.809   |9.69     |G5V            |    ~     ~    
164 |TYC 4357-212-1                                                        |Star                           |06 19 42.1231733136 +74 17 33.122558292|139.9912326416241 +23.9348765853813|   0.233 -8.239   |10.68    |~              |    ~     ~    
165 |TYC 4357-403-1                                                        |Star                           |06 15 29.7239091072 +73 59 27.935377404|140.2220416928632 +23.5759703576629|  2.939 -26.984   |10.62    |~              |    ~     ~    
166 |TYC 4357-422-1                                                        |Star                           |06 20 37.7276438832 +73 17 52.700064720|141.0580996587472 +23.7324413071346|    2.238 5.073   |10.04    |~              |    ~     ~    
167 |TYC 4357-502-1                                                        |Star                           |06 16 45.0040974792 +73 13 03.117332460|141.0584177107598 +23.4417607354578|-13.518 -10.873   |9.71     |~              |    ~     ~    
168 |TYC 4357-606-1                                                        |Star                           |06 15 46.7591575968 +74 27 29.473101324|139.7385484476045 +23.7256487440260|  9.455 -14.855   |10.75    |~              |    ~     ~    
169 |TYC 4357-678-1                                                        |Star                           |06 22 58.9029118584 +74 46 14.412215496|139.5463249420307 +24.2687752185476|  -1.438 -1.079   |10.70    |~              |    ~     ~    
170 |BD+73 323                                                             |Star                           |06 19 10.3709236992 +73 49 39.587215008|140.4704402967403 +23.7756736199413|-16.628 -22.275   |10.25    |F5             |    ~     ~    
171 |TYC 4357-1286-1                                                       |Star                           |06 20 00.0048892032 +73 27 43.405577280|140.8722527557771 +23.7332088375493|  -4.641 -6.480   |10.13    |~              |    ~     ~    
172 |TYC 4357-1353-1                                                       |Star                           |06 16 29.9426101680 +73 39 32.273948484|140.5911714487237 +23.5492973930403|  3.706 -22.608   |10.64    |~              |    ~     ~    
173 |TYC 4366-473-1                                                        |Star                           |06 27 47.1163550184 +73 01 57.689233104|141.4833034919830 +24.1658116711753|-23.966 -14.804   |10.63    |~              |    ~     ~    
174 |TYC 4370-452-1                                                        |Star                           |06 25 13.1976612888 +73 21 11.200801284|141.0930790125470 +24.0648247284873| -20.239 18.885   |10.13    |~              |    ~     ~    
175 |TYC 4370-457-1                                                        |Star                           |06 29 06.3771005544 +73 58 53.570096796|140.4956607093416 +24.4807100256226|   4.699 -1.209   |10.31    |~              |    ~     ~    
176 |TYC 4370-645-1                                                        |Star                           |06 29 13.7939657424 +74 08 29.809045428|140.3265543404136 +24.5256023710784|   1.782 -2.846   |10.97    |~              |    ~     ~    
177 |TYC 4370-826-1                                                        |Spectroscopic Binary           |06 24 30.3432566400 +74 31 52.501173600|139.8281358383632 +24.3076500333981|   9.595 42.838   |10.72    |~              |    ~     ~    
178 |TYC 4370-893-1                                                        |Star                           |06 27 44.5469983920 +74 41 49.149694212|139.7071095653192 +24.5554744717108|-14.009 -19.467   |10.79    |~              |    ~     ~    
179 |TYC 4370-1068-1                                                       |Spectroscopic Binary           |06 27 06.4114104984 +74 57 56.062688472|139.4091930898934 +24.5767773409851|-45.798 -58.438   |10.64    |~              |    ~     ~    
180 |TYC 4370-1113-1                                                       |Star                           |06 28 22.6618601112 +74 49 13.180902672|139.5855059134116 +24.6242444853812| -17.951 -5.901   |10.89    |~              |    ~     ~    
181 |TYC 4525-191-1                                                        |Star                           |06 17 26.3902917768 +75 03 15.069254148|139.1442639334125 +23.9934850320669|   3.851 16.179   |10.49    |~              |    ~     ~    
182 |TYC 4525-1019-1                                                       |Pulsating Variable             |06 16 05.0890390680 +75 35 14.253797832|138.5568031608266 +24.0539771811844|  -3.329 -0.522   |10.73    |~              |    ~     ~    
