C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
64  |NGC 6806                           NGC 6806                                                              |Galaxy                            |19 37 05.0459344056 -42 17 47.121955404|356.6526162166460 -25.9196121450765|  -0.182 -0.154   |     ~   |~              |0.580 0.429          |    0|                |                         |        |                   
65  |CD-41 13594                                                                                              |Eclipsing Binary                  |19 36 23.9362329120 -40 53 17.510219124|358.1302529622503 -25.4440034459174|   3.833 -6.917   |10.29    |~              |    ~     ~          |    1|  289.990   pc  |  -1.3539     +1.3539    |paral   |2020yCat.1350....0G
66  |CD-42 14334                                                                                              |Star                              |19 36 28.8658619328 -41 49 54.641588988|357.1222697390372 -25.6969211657226| 10.965 -28.631   |10.90    |~              |    ~     ~          |    1|  353.070   pc  |  -2.4682     +2.4682    |paral   |2020yCat.1350....0G
67  |CD-41 13597                                                                                              |Star                              |19 36 53.8132774440 -41 31 03.899445924|357.4813089083089 -25.6938592502255|   -2.150 0.101   |10.04    |~              |    ~     ~          |    1|  583.669   pc  |  -5.6551     +5.6551    |paral   |2020yCat.1350....0G
68  |CD-41 13611                                                                                              |Star                              |19 38 43.9350263472 -41 25 29.882193708|357.6759365931262 -26.0039074834498|   -0.492 6.011   |10.30    |~              |    ~     ~          |    1|  713.165   pc  |  -6.7644     +6.7644    |paral   |2020yCat.1350....0G
69  |CD-40 13379                                                                                              |Star                              |19 36 06.4424028456 -39 44 20.139378504|359.3411245132231 -25.0906630710611| -6.370 -31.153   |10.7     |~              |    ~     ~          |    1|  227.366   pc  |  -0.8892     +0.8892    |paral   |2020yCat.1350....0G
70  |CD-39 13348                                                                                              |Star                              |19 36 25.7442489984 -39 43 09.467687496|359.3801459464447 -25.1450945069095|   2.473 -9.265   |10.05    |~              |    ~     ~          |    1| 1254.863   pc  | -25.5098    +25.5098    |paral   |2020yCat.1350....0G
71  |CD-40 13397                                                                                              |Star                              |19 38 08.4378662472 -39 57 41.603762160|359.2167152610323 -25.5256389909711|   1.711 -4.833   |10.21    |~              |    ~     ~          |    1|  726.480   pc  |  -7.0722     +7.0722    |paral   |2020yCat.1350....0G
72  |CD-40 13401                                                                                              |Star                              |19 38 17.0106361248 -39 47 12.460526124|359.4116111996145 -25.5067392778867|   12.415 2.530   |10.32    |~              |    ~     ~          |    1|  712.606   pc  |  -8.6835     +8.6835    |paral   |2020yCat.1350....0G
73  |CD-41 13573                                                                                              |Star                              |19 33 42.4767753552 -41 24 06.000394320|357.4374837241577 -25.0865127994496|   10.100 2.100   |10.30    |~              |    ~     ~          |    1|  618.162   pc  | -15.6671    +15.6671    |paral   |2020yCat.1350....0G
74  |CD-41 13574                                                                                              |Star                              |19 33 57.0766219176 -40 47 05.798645736|358.1077971987938 -24.9701040929348| -7.713 -18.312   |9.79     |~              |    ~     ~          |    1|  964.878   pc  | -14.4304    +14.4304    |paral   |2020yCat.1350....0G
75  |CD-42 14306                                                                                              |Star                              |19 34 12.3819109416 -41 49 16.236924780|357.0157657032943 -25.2840688128798|   4.814 -6.308   |10.31    |~              |    ~     ~          |    1|  853.825   pc  | -10.1333    +10.1333    |paral   |2020yCat.1350....0G
76  |CD-42 14309                                                                                              |Star                              |19 34 37.2502308960 -41 46 26.525030376|357.0878911746223 -25.3468275686777|  -1.510 -4.591   |9.83     |~              |    ~     ~          |    1|  861.178   pc  | -10.1603    +10.1603    |paral   |2020yCat.1350....0G
77  |CD-42 14316                                                                                              |Star                              |19 34 57.0489928944 -42 08 00.749069808|356.7197378630995 -25.4966568943155|  -17.167 1.862   |10.24    |~              |    ~     ~          |    1|  731.154   pc  |  -8.8741     +8.8741    |paral   |2020yCat.1350....0G
78  |CD-40 13368                                                                                              |Star                              |19 35 10.3545672408 -40 18 58.753047492|358.6740696955077 -25.0707286877488|  -1.009 -7.176   |10.32    |~              |    ~     ~          |    1| 1240.233   pc  | -23.5341    +23.5341    |paral   |2020yCat.1350....0G
79  |CD-42 14323                                                                                              |Star                              |19 35 26.8307241984 -42 18 09.102882672|356.5636102353309 -25.6276718821529|  4.071 -24.086   |10.13    |~              |    ~     ~          |    1|  717.721   pc  | -29.2590    +29.2590    |paral   |2020yCat.1350....0G
80  |CD-40 13375                                                                                              |Star                              |19 35 44.4106411896 -40 37 54.193768932|358.3688883487344 -25.2573643594609| -0.082 -11.526   |10.39    |~              |    ~     ~          |    1| 1185.396   pc  | -21.2180    +21.2180    |paral   |2020yCat.1350....0G
81  |CD-40 13376                                                                                              |Star                              |19 35 45.4981485072 -40 35 46.106781936|358.4078663905374 -25.2514481391537|  -3.974 -9.108   |9.76     |~              |    ~     ~          |    1|  673.310   pc  |  -7.2989     +7.2989    |paral   |2020yCat.1350....0G
82  |CD-40 13385                                                                                              |Star                              |19 36 36.6018812856 -40 06 27.108152136|358.9762583253918 -25.2807606029892| -5.579 -14.580   |10.83    |~              |    ~     ~          |    1| 1233.198   pc  | -30.5676    +30.5676    |paral   |2020yCat.1350....0G
83  |CD-41 13596                                                                                              |Star                              |19 36 36.6031513776 -40 57 46.098848232|358.0616369095986 -25.5016166993974|   9.065 -4.891   |10.50    |~              |    ~     ~          |    1|  891.027   pc  | -11.0356    +11.0356    |paral   |2020yCat.1350....0G
84  |2MASS J19365906-4019326                                                                                  |Long-Period Variable Candidate    |19 36 59.0536022976 -40 19 32.676387564|358.7636973254629 -25.4065234072620|    2.886 3.826   |10.65    |~              |    ~     ~          |    1| 3127.93    pc  |-172.198    +172.198     |paral   |2020yCat.1350....0G
85  |CD-40 13390                                                                                              |Star                              |19 37 30.4171423776 -40 05 48.835698432|359.0370666415763 -25.4435809648170|   -7.504 7.386   |10.46    |~              |    ~     ~          |    1|  695.410   pc  |  -7.4474     +7.4474    |paral   |2020yCat.1350....0G
86  |CD-41 13607                                                                                              |Star                              |19 37 57.1495560000 -41 21 17.988582348|357.7110881274662 -25.8448946215570|  -2.394 -3.591   |10.42    |~              |    ~     ~          |    1| 1550.147   pc  | -49.0203    +49.0203    |paral   |2020yCat.1350....0G
87  |CD-40 13399                                                                                              |Star                              |19 38 11.8919159980 -40 05 37.654264997|359.0782890048259 -25.5704719715341|  2.961 -14.013   |10.57    |~              |    ~     ~          |    0|                |                         |        |                   
88  |CD-42 14361                                                                                              |Star                              |19 38 36.1303596408 -42 01 27.140292336|357.0224110806810 -26.1265416655525| 36.194 -27.486   |10.65    |~              |    ~     ~          |    1|  149.575   pc  |  -0.4765     +0.4765    |paral   |2020yCat.1350....0G
89  |CD-40 13418                                                                                              |Star                              |19 40 27.1065971664 -40 27 52.251424308|358.8011498155824 -26.0803186429842|   0.809 -9.501   |10.79    |~              |    ~     ~          |    1|  918.105   pc  | -12.3909    +12.3909    |paral   |2020yCat.1350....0G
