C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |TYC 4534-803-1                                                                                                                              |High Proper Motion Star           |06 40 55.1943699960 +80 05 17.458796328|133.9844158966497 +26.2411094657953| 70.332 -41.480  |10.52    |~                  |    ~     ~    |    1|  170.940   pc  |  -0.3799     +0.3799  |paral   |2020yCat.1350....0G
82  |TYC 4534-811-1                                                                                                                              |Star                              |06 40 24.0414121392 +80 36 12.532573512|133.4115814239156 +26.2871702109779|-13.479 -27.979  |10.47    |~                  |    ~     ~    |    1|  200.783   pc  |  -0.5039     +0.5039  |paral   |2020yCat.1350....0G
83  |TYC 4534-997-1                                                                                                                              |Spectroscopic Binary              |06 40 55.7954311416 +79 59 47.939972208|134.0856223098246 +26.2293908124314|  -2.260 -4.388  |10.31    |~                  |    ~     ~    |    1| 1008.268   pc  | -19.0105    +19.0105  |paral   |2020yCat.1350....0G
84  |TYC 4534-1055-1                                                                                                                             |Spectroscopic Binary              |06 42 02.2484091576 +79 52 10.078386204|134.2332811207331 +26.2606737466598|    5.823 6.189  |10.89    |~                  |    ~     ~    |    1|  563.158   pc  |  -4.7572     +4.7572  |paral   |2020yCat.1350....0G
85  |TYC 4534-1560-1                                                                                                                             |Star                              |06 40 17.1844620984 +78 56 20.930962452|135.2476611441629 +26.0534012083071| -4.895 -24.392  |10.31    |~                  |    ~     ~    |    1|  236.911   pc  |  -0.6847     +0.6847  |paral   |2020yCat.1350....0G
86  |TYC 4537-293-1                                                                                                                              |Star                              |06 39 20.1195448416 +80 39 18.266239152|133.3481583805924 +26.2510057748806|   4.969 -4.164  |10.97    |~                  |    ~     ~    |    1|  383.465   pc  |  -1.8822     +1.8822  |paral   |2020yCat.1350....0G
87  |TYC 4537-304-1                                                                                                                              |Star                              |06 36 37.2313383048 +80 45 19.789728336|133.2202812094826 +26.1564728507231|  -1.902 -7.318  |10.69    |~                  |    ~     ~    |    1| 1331.735   pc  | -18.4446    +18.4446  |paral   |2020yCat.1350....0G
88  |TYC 4537-377-1                                                                                                                              |Star                              |06 36 33.6803948280 +80 39 52.371250092|133.3201378274672 +26.1408906857422|  4.256 -10.940  |9.74     |~                  |    ~     ~    |    1|  363.702   pc  |  -1.4022     +1.4022  |paral   |2020yCat.1350....0G
89  |TYC 4537-942-1                                                                                                                              |Star                              |06 38 22.1061982152 +81 23 11.737283280|132.5339714665086 +26.3110440067110|    0.659 5.110  |10.72    |~                  |    ~     ~    |    1|  463.499   pc  |  -2.7069     +2.7069  |paral   |2020yCat.1350....0G
90  |HD 44579                                                                                                                                    |Star                              |06 33 24.2025275664 +78 10 06.506016744|136.0308871352540 +25.5914907326879|  -3.700 -8.899  |7.11     |B9                 |    ~     ~    |    1|  268.204   pc  |  -1.9278     +1.9278  |paral   |2020yCat.1350....0G
