C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
90  |TYC 3527-1400-1                                                       |Star                           |18 40 57.8015110248 +46 39 14.938577676|075.6404943762448 +21.0702582598242|  -1.303 -1.876   |10.17    |~               |    ~     ~    
91  |TYC 3527-1543-1                                                       |Star                           |18 40 04.8968542704 +46 09 34.234457436|075.0859939095248 +21.0646631262341|  -6.208 12.063   |9.93     |~               |    ~     ~    
92  |TYC 3527-1561-1                                                       |Star                           |18 39 46.0330656936 +46 14 47.771200824|075.1572308464424 +21.1429428115005|  -6.331 -3.129   |10.40    |K0II            |    ~     ~    
93  |TYC 3527-1700-1                                                       |Star                           |18 40 52.6780918008 +46 23 27.491319420|075.3671119200148 +21.0041347174239|  -2.372 -4.125   |10.97    |~               |    ~     ~    
94  |TYC 3527-1861-1                                                       |Star                           |18 42 52.5456978672 +46 19 26.614934688|075.4125811123853 +20.6555851166813|-11.253 -18.705   |10.81    |~               |    ~     ~    
95  |TYC 3527-1992-1                                                       |Star                           |18 38 03.5708708424 +46 23 42.227165292|075.2141992209809 +21.4687580776019|  -0.299 -4.101   |10.81    |~               |    ~     ~    
96  |TYC 3527-2131-1                                                       |Star                           |18 35 48.3841700232 +45 58 51.081579912|074.6646039900290 +21.7187282006454|  -1.688 -3.590   |10.92    |~               |    ~     ~    
97  |TYC 3527-2168-1                                                       |Star                           |18 41 26.1275503032 +45 42 06.068187900|074.6972283454059 +20.6998559975777|    3.451 7.932   |10.57    |~               |    ~     ~    
98  |TYC 3527-2221-1                                                       |Star                           |18 35 39.9477500784 +45 40 14.852452224|074.3379934297259 +21.6506895341600|   7.786 -6.343   |9.88     |~               |    ~     ~    
99  |TYC 3527-2237-1                                                       |Star                           |18 42 21.3889727688 +45 50 32.693305776|074.8935974192834 +20.5910803832921|    5.240 4.178   |10.31    |~               |    ~     ~    
100 |TYC 3527-2245-1                                                       |Star                           |18 39 58.8802247472 +45 39 41.166298620|074.5723331393239 +20.9289763989559|   3.685 10.873   |10.73    |~               |    ~     ~    
101 |TYC 3527-2249-1                                                       |Star                           |18 40 39.6592715520 +45 41 36.243175776|074.6440093803999 +20.8258714211044|   3.279 -5.642   |10.85    |~               |    ~     ~    
102 |TYC 3527-2403-1                                                       |Spectroscopic Binary           |18 36 01.0399334400 +45 57 51.457600188|074.6591835892476 +21.6788270677064|   -3.891 3.172   |10.90    |~               |    ~     ~    
103 |TYC 3527-2432-1                                                       |High Proper Motion Star        |18 41 33.0075680400 +46 10 06.962386656|075.1786562762800 +20.8253989521870| -7.643 -83.406   |10.15    |F9IV-V          |    ~     ~    
104 |TYC 3527-2476-1                                                       |Star                           |18 40 24.1374949608 +45 36 01.097314740|074.5343329491016 +20.8401391870818|  1.308 -15.563   |10.58    |~               |    ~     ~    
105 |TYC 3531-454-1                                                        |Star                           |18 41 50.7720755496 +47 01 35.993484156|076.0699389204279 +21.0395817612584|  -4.767 -2.584   |10.44    |~               |    ~     ~    
106 |TYC 3531-536-1                                                        |Red Giant Branch star          |18 43 22.0230050400 +47 17 23.723030616|076.4228693931588 +20.8736943122629| -1.609 -12.956   |10.67    |K2IIIb          |    ~     ~    
107 |TYC 3531-842-1                                                        |Star                           |18 39 03.4171134168 +46 59 46.192833024|075.8855883014150 +21.4839680028586| 16.699 -12.888   |9.95     |~               |    ~     ~    
108 |TYC 3531-1400-1                                                       |Star                           |18 37 15.8828116416 +46 53 11.301567864|075.6759668386390 +21.7440347834813|  -0.368 -3.698   |10.53    |~               |    ~     ~    
109 |TYC 3531-1528-1                                                       |Star                           |18 39 55.2370910712 +46 52 58.233046044|075.8165873519278 +21.3094758865613|   -1.166 0.606   |9.87     |~               |    ~     ~    
110 |BD+46 2522                                                            |Double or Multiple Star        |18 38 50.546832 +46 58 48.52524        |075.857498128 +21.514162337        |       -0.6 2.0   |10.75    |F7IV            |    ~     ~    
111 |ROTSE1 J183707.28+450740.9                                            |BY Dra Variable                |18 37 07.2853906800 +45 07 41.101911228|073.8638168065471 +21.2444375845072|    1.305 1.864   |10.63    |~               |    ~     ~    
112 |BD+49 2846                                                            |Star                           |18 42 15.2582044944 +50 08 09.359196396|079.2839961685844 +21.8915438227019| 12.621 -37.967   |9.86     |F8              |    ~     ~    
113 |BD+49 2840                                                            |Star                           |18 41 12.2756398944 +49 14 20.423951916|078.3058292103145 +21.7968935106166|   -9.517 1.692   |9.13     |A2              |    ~     ~    
114 |HD 173326                                                             |High Proper Motion Star        |18 42 08.3922571464 +49 23 06.810809460|078.5039724465467 +21.6932384480916|-41.554 -41.590   |7.82     |K5              |    ~     ~    
115 |BD+49 2845                                                            |Star                           |18 42 11.3829644184 +49 54 11.582720388|079.0405314675043 +21.8348939999894|   7.891 12.435   |10.21    |A0              |    ~     ~    
116 |HD 173448                                                             |Star                           |18 42 46.8686048160 +49 26 43.886633424|078.5986675222328 +21.6109725102377|  -19.195 5.542   |7.74     |K2              |    ~     ~    
117 |HD 173512                                                             |Star                           |18 43 13.7351881656 +49 42 59.087522916|078.9001544892786 +21.6204196254033|  0.633 -33.618   |7.89     |K5              |    ~     ~    
118 |BD+49 2850                                                            |High Proper Motion Star        |18 43 38.6013161328 +49 41 54.467657664|078.9027041765864 +21.5510945403059|  54.490 79.609   |9.47     |F8              |    ~     ~    
119 |BD+49 2853                                                            |Star                           |18 44 01.4768406288 +49 52 00.618041892|079.0951638613446 +21.5414559138138| -19.992 33.860   |9.13     |F8              |    ~     ~    
120 |BD+49 2855                                                            |Star                           |18 44 40.5182292288 +49 41 28.649116788|078.9480218499214 +21.3894711207132|   1.690 -1.060   |9.13     |K0              |    ~     ~    
121 |BD+48 2742                                                            |Star                           |18 40 24.7557483432 +48 34 17.797983096|077.5773995594075 +21.7284385542404|  -7.506 -0.583   |10.88    |~               |    ~     ~    
122 |BD+48 2745                                                            |Star                           |18 40 55.7577706824 +48 16 26.780595132|077.2981914714674 +21.5596011664625|  10.476 -6.622   |9.81     |F0III-IV        |    ~     ~    
123 |BD+48 2749                                                            |Star                           |18 41 53.7441149040 +48 06 39.663954144|077.1819079802749 +21.3575441553428|  1.769 -37.173   |10.21    |F5              |    ~     ~    
124 |HD 173547                                                             |Star                           |18 43 24.2822841648 +48 57 39.719708676|078.1331233744582 +21.3712563866954|  -1.552 30.002   |8.82     |K0              |    ~     ~    
