C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
142 |TYC 3531-211-1                                                        |Star                           |18 42 26.1363350880 +48 27 51.524265780|077.5728025270496 +21.3766985327530|  -2.794 -3.077   |10.87    |~               |    ~     ~    
143 |TYC 3531-309-1                                                        |Star                           |18 44 06.0289905840 +48 11 47.864269140|077.3878522005368 +21.0324687382295|  -5.438 18.467   |9.45     |~               |    ~     ~    
144 |TYC 3531-369-1                                                        |Star                           |18 43 16.7817841224 +48 40 40.020408912|077.8361813312478 +21.3067987667373|    0.039 0.011   |10.36    |~               |    ~     ~    
145 |TYC 3531-388-1                                                        |Star                           |18 39 10.3532438928 +47 31 48.573970320|076.4404096241124 +21.6227222282126| -2.802 -26.389   |10.06    |F6V             |    ~     ~    
146 |TYC 3531-531-1                                                        |Star                           |18 41 04.5838881840 +47 54 12.874603572|076.9254728507719 +21.4268407643968|  -1.115 11.105   |10.67    |~               |    ~     ~    
147 |TYC 3531-800-1                                                        |Eruptive Variable              |18 42 44.4226007088 +47 34 46.206405372|076.6836702297687 +21.0628491399223|   4.075 10.322   |10.6981  |~               |    ~     ~    
148 |TYC 3531-833-1                                                        |Spectroscopic Binary           |18 39 35.2937472384 +48 37 02.881115004|077.5822631186866 +21.8721800617329|  -0.422 -8.401   |10.73    |~               |    ~     ~    
149 |TYC 3531-839-1                                                        |Star                           |18 42 45.4746018240 +48 13 20.729535456|077.3420549239612 +21.2535379152731|  -0.604 35.250   |10.69    |~               |    ~     ~    
150 |TYC 3531-843-1                                                        |Star                           |18 39 18.2374059312 +48 40 21.756095040|077.6247701389516 +21.9330180206669|   2.471 20.271   |10.81    |~               |    ~     ~    
151 |TYC 3531-858-1                                                        |Red Giant Branch star          |18 43 28.8409730976 +47 26 01.070609496|076.5756059807827 +20.8993630532226|   -1.497 2.473   |10.64    |~               |    ~     ~    
152 |TYC 3531-987-1                                                        |Spectroscopic Binary           |18 42 31.2954975000 +48 05 02.419920456|077.1876858458064 +21.2497467747479|  2.831 -12.211   |10.21    |G0V             |    ~     ~    
153 |TYC 3531-1007-1                                                       |Star                           |18 40 42.4884396120 +47 58 38.880114492|076.9817356025376 +21.5075993656769| -14.817 -4.111   |10.51    |~               |    ~     ~    
154 |TYC 3531-1015-1                                                       |High Proper Motion Star        |18 43 50.0260930920 +48 19 33.781742904|077.5056953291982 +21.1138860855264| -6.265 -64.717   |9.80     |G8V             |    ~     ~    
155 |TYC 3531-1171-1                                                       |Star                           |18 40 08.4878597112 +48 29 10.576365900|077.4754581123994 +21.7466357973968| -9.143 -11.223   |10.27    |~               |    ~     ~    
156 |TYC 3531-1243-1                                                       |Spectroscopic Binary           |18 44 51.2528953176 +48 06 24.994285200|077.3373167633647 +20.8854288662257|   -1.505 2.723   |10.45    |F5V             |    ~     ~    
157 |TYC 3531-1279-1                                                       |Star                           |18 41 17.6281121256 +47 50 52.975729320|076.8801411850825 +21.3755480089759|  -2.349 -5.694   |10.09    |F6III           |    ~     ~    
158 |TYC 3531-1409-1                                                       |Star                           |18 42 00.3383692728 +47 49 49.985110992|076.9004622194845 +21.2563182803263|  18.206 36.824   |10.53    |F9V             |    ~     ~    
159 |TYC 3531-1429-1                                                       |Star                           |18 42 21.0871253928 +47 55 24.720274812|077.0142768233660 +21.2288451562914|-20.473 -12.895   |10.98    |~               |    ~     ~    
160 |TYC 3531-1691-1                                                       |Star                           |18 42 15.0571362408 +47 48 03.763069344|076.8835074305679 +21.2081843250799|   1.367 12.525   |10.74    |~               |    ~     ~    
161 |TYC 3531-1839-1                                                       |Star                           |18 39 39.8971660056 +47 42 09.214344288|076.6438718931801 +21.5940046037358|   1.483 -7.175   |10.54    |~               |    ~     ~    
162 |TYC 3531-1843-1                                                       |Star                           |18 43 42.4196588808 +48 26 23.114410116|077.6151674314921 +21.1681659574084|  -4.268 -5.331   |10.12    |~               |    ~     ~    
163 |TYC 3531-2073-1                                                       |Star                           |18 38 00.4257822240 +47 46 05.769852492|076.6241666593605 +21.8798088752352| -18.782 10.801   |10.43    |~               |    ~     ~    
164 |TYC 3531-2148-1                                                       |Star                           |18 39 15.0697736400 +48 01 28.346721168|076.9534265175591 +21.7544270944559|   6.519 -0.096   |10.53    |~               |    ~     ~    
165 |TYC 3535-22-1                                                         |Star                           |18 40 57.1668423744 +49 36 16.882526124|078.6706760980076 +21.9409648666274|   1.804 15.568   |9.79     |~               |    ~     ~    
166 |TYC 3535-40-1                                                         |Star                           |18 40 06.1072808064 +49 15 29.764005300|078.2701301748342 +21.9748358193595| -1.079 -13.690   |10.26    |~               |    ~     ~    
167 |TYC 3535-66-1                                                         |Star                           |18 41 20.4048645960 +49 23 10.082561892|078.4644337418364 +21.8181125334807|-11.330 -35.329   |10.78    |~               |    ~     ~    
168 |TYC 3535-122-1                                                        |Star                           |18 42 16.2444033672 +49 31 15.566022516|078.6504607079950 +21.7122163233053|  -1.366 -0.600   |10.51    |~               |    ~     ~    
169 |GSC 03535-00474                                                       |Spectroscopic Binary           |18 43 38.0757539544 +49 25 03.095128848|078.6135549889126 +21.4700931142826|   -8.395 1.551   |10.781   |~               |    ~     ~    
170 |TYC 3535-498-1                                                        |Star                           |18 42 50.4181431984 +49 20 42.932375700|078.4985502712102 +21.5725066469087|   2.693 15.083   |10.73    |~               |    ~     ~    
171 |TYC 3535-888-1                                                        |Spectroscopic Binary           |18 41 21.5416770552 +49 14 17.751333444|078.3128942170259 +21.7725429841808| -4.326 -17.282   |10.71    |~               |    ~     ~    
172 |TYC 3535-975-1                                                        |Star                           |18 44 29.1424677144 +49 55 47.943919848|079.1834337126165 +21.4889456019530|-12.923 -20.198   |10.38    |~               |    ~     ~    
173 |TYC 3535-1040-1                                                       |Star                           |18 39 52.9930550544 +48 53 06.347642532|077.8735811406695 +21.9024661666487|  0.956 -10.859   |10.91    |~               |    ~     ~    
174 |TYC 3535-1152-1                                                       |Star                           |18 39 03.0661452816 +48 45 59.342552388|077.7088133732981 +21.9997855713652|  -2.760 -6.607   |10.51    |~               |    ~     ~    
175 |TYC 3535-1245-1                                                       |Star                           |18 43 42.8736288480 +49 49 45.932046096|079.0409972483219 +21.5783351824142| -11.016 -1.673   |10.14    |~               |    ~     ~    
176 |TYC 3535-1420-1                                                       |Star                           |18 39 38.8368687888 +49 10 31.751135832|078.1617597514372 +22.0224296635368|  0.570 -21.155   |10.19    |~               |    ~     ~    
177 |TYC 3535-1525-1                                                       |Star                           |18 43 22.8268070688 +49 53 50.819612856|079.0941486887989 +21.6496419614206|   -1.130 1.253   |10.99    |~               |    ~     ~    
178 |TYC 3535-1620-1                                                       |Star                           |18 44 23.8202960712 +49 06 22.576152600|078.3338654738851 +21.2591247692894|   3.527 -4.700   |10.32    |~               |    ~     ~    
179 |TYC 3535-1944-1                                                       |Star                           |18 43 47.9412775536 +49 14 55.903910244|078.4488963724344 +21.3947752517160|   0.941 -7.844   |10.10    |~               |    ~     ~    
180 |TYC 3535-2022-1                                                       |Spectroscopic Binary           |18 41 41.0196514944 +48 45 55.305536328|077.8426194220562 +21.5841540195820|-15.174 -16.033   |10.10    |~               |    ~     ~    
181 |HD 234700                                                             |Star                           |18 44 31.0986897792 +51 32 55.303073160|080.8535478498814 +21.9504673157174|  2.933 -17.395   |9.29     |K2              |    ~     ~    
182 |HD 234702                                                             |High Proper Motion Star        |18 44 56.7801098712 +51 18 51.302998836|080.6317786333085 +21.8198283443599| 23.572 -50.252   |9.90     |G5              |    ~     ~    
