C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |HD 42001                                                              |Star                              |06 08 13.6253920656 -01 24 50.378761656|209.2334031783350 -10.2538480499199|   -4.195 1.278   |8.04     |F7II             |    ~     ~    |    1|  536.538   pc  |  -5.6999     +5.6999  |paral   |2020yCat.1350....0G
71  |HD 42016                                                              |Star                              |06 08 18.0791743896 -01 56 09.405894984|209.7136269542180 -10.4766235068429|  -3.093 -7.509   |8.20     |A0IV             |    ~     ~    |    1|  340.565   pc  |  -3.2708     +3.2708  |paral   |2020yCat.1350....0G
72  |HD 291240                                                             |Star                              |06 08 24.4564636128 -01 17 46.526606700|209.1481812927861 -10.1597058894406|  -6.241 -3.148   |10.52    |A2               |    ~     ~    |    1|  408.981   pc  |  -2.8268     +2.8268  |paral   |2020yCat.1350....0G
73  |HD 42113                                                              |Star                              |06 08 52.6393420464 -01 22 41.354251428|209.2768422468872 -10.0930192894250|   1.798 -5.590   |9.54     |A0V              |    ~     ~    |    1|  359.699   pc  |  -9.3544     +9.3544  |paral   |2020yCat.1350....0G
74  |HD 42383                                                              |Star                              |06 10 17.4685450080 -01 45 26.218415268|209.7834851865704 -09.9527925278292|  -4.305 -1.041   |9.30     |A0V              |    ~     ~    |    1|  288.334   pc  |  -1.6710     +1.6710  |paral   |2020yCat.1350....0G
75  |HD 42409                                                              |Star                              |06 10 21.8084045112 -02 00 26.296981956|210.0176368933005 -10.0511002782928| 15.550 -14.198   |7.90     |G8/K0III+(F)     |    ~     ~    |    1|  286.328   pc  |  -4.0500     +4.0500  |paral   |2020yCat.1350....0G
76  |HD 291337                                                             |Double or Multiple Star           |06 10 26.9478686400 -01 58 12.975773448|209.9941257484650 -10.0151347111061|  9.332 -13.106   |10.076   |G0               |    ~     ~    |    1|  428.137   pc  |  -2.9512     +2.9512  |paral   |2020yCat.1350....0G
77  |BD-01 1136                                                            |Star                              |06 11 06.0391199952 -01 49 10.201411164|209.9335999380800 -09.8014109859085|   6.217 -4.887   |8.91     |~                |    ~     ~    |    1|  602.119   pc  |  -8.2298     +8.2298  |paral   |2020yCat.1350....0G
78  |HD 42533                                                              |Star                              |06 11 06.9806964 -01 53 01.672957      |209.9934465741 -09.8273341342      |     3.72 -1.20   |7.80     |A0IV/V           |    ~     ~    |    0|                |                       |        |                   
79  |HD 291165                                                             |Star                              |06 05 00.8634801456 -01 13 01.252761168|208.6799688234372 -10.8763915345853|   0.867 -1.982   |10.98    |F5               |    ~     ~    |    1|  563.539   pc  |  -6.9232     +6.9232  |paral   |2020yCat.1350....0G
80  |HD 291177                                                             |Star                              |06 06 02.1540991536 -01 55 59.474573364|209.4472981818248 -10.9785463654598|   0.744 -4.153   |10.52    |G5               |    ~     ~    |    1|  890.472   pc  | -10.5461    +10.5461  |paral   |2020yCat.1350....0G
81  |HD 291179                                                             |Star                              |06 06 23.0407117968 -01 59 44.989543104|209.5445973247473 -10.9299276922794|  -2.052 -2.046   |10.48    |K0               |    ~     ~    |    1| 1292.157   pc  | -25.7129    +25.7129  |paral   |2020yCat.1350....0G
82  |HD 291217                                                             |Star                              |06 08 31.4446962936 -00 32 44.646254232|208.4852378256634 -09.7884599489717|  -3.207 -3.825   |10.7     |A7               |    ~     ~    |    1|  615.347   pc  |  -9.2391     +9.2391  |paral   |2020yCat.1350....0G
83  |HD 291229                                                             |Star                              |06 07 15.3411215952 -00 47 12.788624256|208.5541153082247 -10.1810025733714|    0.382 1.320   |10.4     |F0               |    ~     ~    |    1|  533.760   pc  |  -5.3846     +5.3846  |paral   |2020yCat.1350....0G
84  |HD 291235                                                             |Star                              |06 09 34.9209861624 -01 08 14.642350080|209.1418223772615 -09.8260001005787|    4.559 1.607   |10.89    |F0               |    ~     ~    |    1|  547.076   pc  |  -5.5668     +5.5668  |paral   |2020yCat.1350....0G
