C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
97  |HD 41504                                                              |Star                              |06 05 26.8720605576 -02 39 50.295520080|210.0413753976999 -11.4433432719462|  -2.842 -2.729   |8.99     |A3V              |    ~     ~    |    1|  341.0409  pc  | -19.4817    +19.4817  |paral   |2018yCat.1345....0G
98  |HD 291175                                                             |Star                              |06 05 34.3998644976 -02 05 36.981186720|209.5386631311649 -11.1547587979869|  -0.701 -0.199   |9.62     |F0               |    ~     ~    |    1|  594.919   pc  |  -5.0258     +5.0258  |paral   |2020yCat.1350....0G
99  |HD 291182                                                             |Star                              |06 05 40.7735428152 -02 10 32.783828268|209.6255074333296 -11.1687753545570|  -6.977 -9.972   |8.93     |M0               |    ~     ~    |    1|  351.210   pc  |  -2.1709     +2.1709  |paral   |2020yCat.1350....0G
100 |HD 42002                                                              |Star                              |06 08 15.6319276824 -02 02 24.349136856|209.8030694782810 -10.5333440772568|   0.153 -3.075   |9.62     |A0/1V            |    ~     ~    |    1|  479.570   pc  |  -4.8297     +4.8297  |paral   |2020yCat.1350....0G
101 |HD 42017                                                              |Star                              |06 08 13.4151444984 -02 35 40.417702692|210.3006954905879 -10.7948084525547|   0.098 -2.404   |9.00     |A0V              |    ~     ~    |    1|  487.401   pc  |  -4.9175     +4.9175  |paral   |2020yCat.1350....0G
102 |HD 42094                                                              |High Proper Motion Star           |06 08 43.0466718312 -02 30 00.993402324|210.2725577844535 -10.6420385513339| 8.372 -165.185   |8.74     |G3V              |    ~     ~    |    1|   59.176   pc  |  -0.0602     +0.0602  |paral   |2020yCat.1350....0G
103 |HD 42131                                                              |Star                              |06 08 56.6995118856 -02 02 13.325136684|209.8798413489363 -10.3798746333873| 21.953 -14.968   |7.05     |K0III            |    ~     ~    |    1|  172.870   pc  |  -0.6664     +0.6664  |paral   |2020yCat.1350....0G
104 |HD 42482                                                              |Star                              |06 10 47.4713295792 -02 46 32.198603124|210.7617919844329 -10.3065146068898|  -1.554 -2.952   |8.62     |A0/1V            |    ~     ~    |    1|  529.689   pc  | -12.2609    +12.2609  |paral   |2020yCat.1350....0G
105 |HD 294581                                                             |Star                              |06 05 33.5081 -02 23 43.986            |209.8106687 -11.2961870            |  -5.435 -6.355   |10.67    |F5               |    ~     ~    |    0|                |                       |        |                   
106 |HD 294583                                                             |Star                              |06 05 10.9263518424 -02 35 05.006670396|209.9385218969030 -11.4662241598842|  -2.242 -3.677   |10.92    |F0               |    ~     ~    |    1|  407.764   pc  |  -3.1758     +3.1758  |paral   |2020yCat.1350....0G
107 |HD 294586                                                             |Star                              |06 05 05.0803747872 -02 43 07.147013916|210.0487984031360 -11.5489998894885|   1.164 -7.947   |10.85    |G0               |    ~     ~    |    1|  384.719   pc  |  -2.2793     +2.2793  |paral   |2020yCat.1350....0G
108 |HD 294587                                                             |Star                              |06 03 29.2672702632 -02 39 00.670177584|209.8006838481887 -11.8725598802994|  0.416 -12.840   |10.82    |K7               |    ~     ~    |    1|  442.929   pc  |  -2.8251     +2.8251  |paral   |2020yCat.1350....0G
109 |HD 294588                                                             |Star                              |06 03 31.5210191016 -02 42 05.254126884|209.8516748715743 -11.8876281298404|   1.570 -9.330   |10.67    |F5               |    ~     ~    |    1|  406.471   pc  |  -8.1618     +8.1618  |paral   |2020yCat.1350....0G
110 |HD 294638                                                             |Chemically Peculiar Star          |06 08 28.6565406288 -02 45 21.842458992|210.4764798271606 -10.8119598049247|   0.033 -2.293   |10.87    |A3mF3            |    ~     ~    |    1|  655.480   pc  |  -9.3235     +9.3235  |paral   |2020yCat.1350....0G
111 |HD 294644                                                             |Star                              |06 06 27.2046882408 -02 39 12.284520372|210.1486396122869 -11.2150697044470| 15.221 -19.501   |10.73    |G5               |    ~     ~    |    1|  192.064   pc  |  -0.5017     +0.5017  |paral   |2020yCat.1350....0G
112 |HD 291181                                                             |Star                              |06 06 05.5373293831 -02 08 37.606811813|209.6446036922032 -11.0624552065882|  -0.615 -0.266   |10.82    |A0               |    ~     ~    |    1|  568.408   pc  |  -6.3971     +6.3971  |paral   |2020yCat.1350....0G
113 |HD 291259                                                             |Star                              |06 07 10.3086064584 -02 01 56.642318328|209.6694560817949 -10.7716830092892|   -2.212 0.556   |10.88    |F5               |    ~     ~    |    1|  292.586   pc  |  -5.0080     +5.0080  |paral   |2020yCat.1350....0G
114 |HD 291262                                                             |Chemically Peculiar Star          |06 08 11.2176411288 -02 15 03.120019704|209.9852187401860 -10.6460555678847|   -3.553 2.591   |10.97    |A3mF3            |    ~     ~    |    1|  489.476   pc  |  -4.4324     +4.4324  |paral   |2020yCat.1350....0G
115 |HD 291266                                                             |Star                              |06 09 36.7496328816 -02 01 12.131068008|209.9419921412890 -10.2237903518775|   -0.712 5.375   |10.643   |G5               |    ~     ~    |    1|  754.242   pc  | -35.4400    +35.4400  |ST-L    |2020AJ....160...83S
116 |HD 291267                                                             |Star                              |06 09 34.5765865392 -02 08 24.390978432|210.0463153225886 -10.2867255529584|   0.392 -7.666   |10.86    |A7               |    ~     ~    |    1|  472.612   pc  |  -5.0927     +5.0927  |paral   |2020yCat.1350....0G
117 |HD 291336                                                             |Star                              |06 10 59.2525267632 -02 00 45.201204972|210.0947467137534 -09.9148220419532|  -0.494 -2.782   |10.93    |K2               |    ~     ~    |    1| 1136.105   pc  | -18.4575    +18.4575  |paral   |2020yCat.1350....0G
118 |HD 291339                                                             |Star                              |06 09 41.7095348856 -02 15 55.431703080|210.1733833270143 -10.3175395198438|  -0.067 -0.765   |10.95    |A0               |    ~     ~    |    1|  665.425   pc  |  -9.8742     +9.8742  |paral   |2020yCat.1350....0G
119 |IRAS 06029-0151                                                       |Star                              |06 05 30.5134326888 -01 51 28.481622660|209.3176089436988 -11.0611504661011|   2.478 -5.572   |10.51    |~                |    ~     ~    |    1| 1300.221   pc  | -35.8402    +35.8402  |paral   |2020yCat.1350....0G
120 |IRAS 06058-0202                                                       |Long-Period Variable Candidate    |06 08 20.2858125264 -02 02 53.598191676|209.8194345909493 -10.5198284238787|   0.747 -3.310   |10.48    |~                |    ~     ~    |    1| 1283.7     pc  | -54.38      +54.38    |paral   |2020yCat.1350....0G
121 |BD-02 1484                                                            |Star                              |06 07 32.39 -02 01 46.8                |209.70981 -10.68868                |            ~ ~   |10.3     |~                |    ~     ~    |    0|                |                       |        |                   
122 |HD 294641                                                             |Star                              |06 07 03.9521520288 -02 36 59.383896840|210.1862686006225 -11.0621179600924|  -0.053 -6.271   |9.75     |A3               |    ~     ~    |    1|  631.473   pc  |  -6.7789     +6.7789  |paral   |2020yCat.1350....0G
123 |HD 291183                                                             |Star                              |06 04 40.6708707648 -02 15 25.964318880|209.5825742999684 -11.4285446454886|   8.127 -8.826   |9.83     |G0               |    ~     ~    |    1|  278.288   pc  |  -1.2314     +1.2314  |paral   |2020yCat.1350....0G
124 |HD 294633                                                             |Star                              |06 06 34.5486311712 -02 26 41.096539968|209.9736285584687 -11.0926271760718|  14.273 -5.431   |10.04    |K0               |    ~     ~    |    1|  622.123   pc  |  -4.9154     +4.9154  |paral   |2020yCat.1350....0G
125 |HD 294634                                                             |Star                              |06 06 38.090 -02 32 26.73              |210.067536 -11.123348              |       -2.5 4.4   |10.87    |G0               |    ~     ~    |    0|                |                       |        |                   
126 |HD 291260                                                             |Star                              |06 07 36.1644072864 -02 05 37.893007176|209.7752192984831 -10.7040749814352|  -1.138 -2.280   |9.95     |B9               |    ~     ~    |    1|  790.139   pc  | -10.8632    +10.8632  |paral   |2020yCat.1350....0G
127 |HD 294636                                                             |Star                              |06 08 33.3754736832 -02 23 06.520129980|210.1496303298057 -10.6253198270435|  1.776 -11.415   |9.46     |K2               |    ~     ~    |    1|  631.393   pc  |  -8.3319     +8.3319  |paral   |2020yCat.1350....0G
128 |HD 291338                                                             |Star                              |06 10 09.2312424984 -02 03 17.933789628|210.0363902219696 -10.1194742539783|  -1.374 -4.634   |9.81     |K0               |    ~     ~    |    1|  568.376   pc  |  -6.2995     +6.2995  |paral   |2020yCat.1350....0G
129 |HD 291340                                                             |Star                              |06 10 39.3344662128 -02 08 25.152218664|210.1716631244419 -10.0469730338359|   9.447 -5.704   |10.30    |K0               |    ~     ~    |    1|  457.080   pc  |  -3.1129     +3.1129  |paral   |2020yCat.1350....0G
130 |HD 294692                                                             |Star                              |06 10 44.5247217840 -02 36 32.244512652|210.6053286045550 -10.2415384360144|    6.659 0.540   |10.66    |K0               |    ~     ~    |    1|  520.996   pc  |  -5.2659     +5.2659  |paral   |2020yCat.1350....0G
131 |HD 291086                                                             |Star                              |06 03 45.8470105776 -00 00 54.067495068|207.4480064160023 -10.5981249498670|  -3.240 -7.064   |10.29    |B9               |    ~     ~    |    1|  469.219   pc  |  -4.4033     +4.4033  |paral   |2020yCat.1350....0G
132 |HD 291099                                                             |Star                              |06 03 47.9709654192 -00 58 47.695206540|208.3231047642458 -11.0366282760883| -1.425 -11.499   |9.82     |F0               |    ~     ~    |    1|  438.231   pc  |  -6.4144     +6.4144  |paral   |2020yCat.1350....0G
133 |HD 291100                                                             |Star                              |06 03 42.6038806320 -01 03 01.522302084|208.3763414431687 -11.0889872333240|   1.773 -4.580   |10.58    |A3               |    ~     ~    |    0|                |                       |        |                   
134 |HD 291102                                                             |Star                              |06 03 39.8693368080 -01 12 22.476362328|208.5119206418735 -11.1709204699553| 31.478 -19.235   |10.24    |G5               |    ~     ~    |    1|  245.881   pc  |  -1.0701     +1.0701  |paral   |2020yCat.1350....0G
135 |HD 291106                                                             |Star                              |06 02 32.6542103784 -01 30 02.573368740|208.6470352945028 -11.5550526585342|  -7.773 -7.468   |10.19    |K7               |    ~     ~    |    1|  485.201   pc  | -23.8716    +23.8716  |paral   |2020yCat.1350....0G
136 |HD 291107                                                             |Star                              |06 02 51.6182283432 -01 27 52.512411564|208.6514022799174 -11.4682978905650|  -0.250 -5.597   |10.77    |F2               |    ~     ~    |    1|  382.673   pc  |  -2.4602     +2.4602  |paral   |2020yCat.1350....0G
137 |HD 291118                                                             |Star                              |06 03 29.7485674584 -02 01 56.765598348|209.2406272505552 -11.5880906421829|    0.961 2.574   |10.53    |A2               |    ~     ~    |    1|  440.315   pc  |  -3.3735     +3.3735  |paral   |2020yCat.1350....0G
