C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
99  |HD 208465                                                                                                |High Proper Motion Star               |21 57 16.9583890440 -39 17 23.669589948|002.9360756447215 -52.0056508133412| 54.992 -38.093   |9.08     |F0V              |    ~     ~    |    1|  190.996   pc  |  -0.6056     +0.6056  |paral   |2020yCat.1350....0G
100 |HD 208591                                                                                                |Star                                  |21 58 10.5406661592 -39 05 26.411922888|003.2338903110215 -52.1958374149504| -10.043 -8.698   |9.431    |F3V              |    ~     ~    |    1|  293.636   pc  |  -5.2250     +5.2250  |ST-L    |2020AJ....160...83S
101 |HD 208602                                                                                                |Star                                  |21 58 14.9029735200 -39 03 53.512584372|003.2737926843900 -52.2121776057059|   -2.212 3.890   |9.44     |G8(IV)           |    ~     ~    |    1|  594.337   pc  | -23.6300    +23.6300  |ST-L    |2020AJ....160...83S
102 |HD 208359                                                                                                |Star                                  |21 56 41.6892935376 -39 25 03.092395368|002.7466584956780 -51.8808930142246|  4.621 -12.727   |8.74     |K1III            |    ~     ~    |    1|  213.950   pc  |  -0.8102     +0.8102  |paral   |2020yCat.1350....0G
103 |HD 208677                                                                                                |Star                                  |21 58 56.7763369176 -39 31 21.287793828|002.5085075471641 -52.3032937238234| 19.219 -16.099   |8.37     |M1III            |    ~     ~    |    1|  646.580   pc  |  -7.4416     +7.4416  |paral   |2020yCat.1350....0G
104 |HD 208592                                                                                                |Star                                  |21 58 13.7647103016 -40 09 36.739975284|001.4980672845677 -52.0983930153589|  41.790 -7.732   |7.95     |K0III            |    ~     ~    |    1|  282.374   pc  |  -1.7781     +1.7781  |paral   |2020yCat.1350....0G
105 |CD-39 14493                                                                                              |Double or Multiple Star               |21 57 07.8111110256 -38 47 15.536717460|003.7532495414250 -52.0186288308426| 96.427 -62.006   |10.118   |~                |    ~     ~    |    1|  128.808   pc  |  -7.7820     +7.7820  |ST-L    |2020AJ....160...83S
106 |CD-38 14806                                                                                              |Star                                  |21 57 35.9299815888 -38 07 59.706638364|004.8047165909219 -52.1573676514538|   11.514 8.790   |9.94     |~                |    ~     ~    |    1| 1192.179   pc  | -22.3143    +22.3143  |paral   |2020yCat.1350....0G
107 |CPD-39 9053                                                                                              |Star                                  |21 57 52.7414189400 -38 42 16.550587116|003.8692406244711 -52.1707421019885| 16.967 -14.057   |10.46    |~                |    ~     ~    |    1|  267.423   pc  |  -1.8451     +1.8451  |paral   |2020yCat.1350....0G
108 |CD-39 14503                                                                                              |Spectroscopic Binary                  |21 58 11.5429081440 -39 15 20.203452504|002.9654647290625 -52.1841161353099|   6.672 -0.113   |10.485   |~                |    ~     ~    |    1|  519.288   pc  | -15.9700    +15.9700  |ST-L    |2020AJ....160...83S
109 |CD-40 14574                                                                                              |Star                                  |21 58 43.1354179224 -39 54 08.692295328|001.8988082150579 -52.2200419456365| 15.028 -39.220   |10.088   |~                |    ~     ~    |    1|  649.665   pc  | -33.0900    +33.0900  |ST-L    |2020AJ....160...83S
110 |CD-40 14564                                                                                              |Star                                  |21 57 12.9469940664 -40 12 38.715503832|001.4515658297480 -51.9003685785765| 14.351 -18.739   |10.64    |~                |    ~     ~    |    1|  945.421   pc  | -47.5700    +47.5700  |ST-L    |2020AJ....160...83S
111 |CD-39 14506                                                                                              |Star                                  |21 58 15.8248170600 -38 25 21.185255604|004.3188545978406 -52.2673415344458|  39.004 12.478   |10.688   |~                |    ~     ~    |    1|  278.454   pc  |  -7.1760     +7.1760  |ST-L    |2020AJ....160...83S
112 |CD-38 14818                                                                                              |Star                                  |21 58 48.3958893912 -38 17 37.900902408|004.5160588993504 -52.3829238481446| 25.708 -13.992   |10.385   |~                |    ~     ~    |    1|  304.369   pc  |  -5.7850     +5.7850  |ST-L    |2020AJ....160...83S
113 |HD 208737                                                                                                |Red Giant Branch star                 |21 59 17.9119588992 -38 23 42.342854172|004.3386862045475 -52.4715476647451|  42.798 -0.607   |5.495    |K1II/III         |    ~     ~    |    1|  149.781   pc  |  -1.7544     +1.7544  |paral   |2020yCat.1350....0G
114 |CD-40 14582                                                                                              |Star                                  |21 59 32.5869962472 -39 24 55.602853128|002.6640973836684 -52.4286718405841|   -3.667 1.925   |10.328   |~                |    ~     ~    |    1|  344.076   pc  | -13.0000    +13.0000  |ST-L    |2020AJ....160...83S
115 |CD-40 14586                                                                                              |High Proper Motion Star               |21 59 50.2782398904 -39 47 23.938719504|002.0433401301571 -52.4458207426588| 56.688 -25.282   |10.87    |~                |    ~     ~    |    1|  339.812   pc  |  -2.7829     +2.7829  |paral   |2020yCat.1350....0G
116 |CD-41 14700                                                                                              |High Proper Motion Star               |21 57 49.4169163392 -40 24 05.749745796|001.1226000193839 -51.9938240139379|-54.096 -24.412   |10.607   |~                |    ~     ~    |    1|  432.867   pc  | -11.4800    +11.4800  |ST-L    |2020AJ....160...83S
117 |HD 208829                                                                                                |Double or Multiple Star               |21 59 58.4131764384 -40 32 19.856016780|000.8191650412955 -52.3829532954838|  52.869 17.152   |8.09     |K0III            |0.0033  0.0    |    1|  176.629   pc  |  -6.7075     +6.7075  |paral   |2020yCat.1350....0G
118 |CD-39 14511                                                                                              |Star                                  |21 59 01.5604783248 -38 37 16.964907168|003.9755497784071 -52.4005850985678|  0.054 -20.762   |10.29    |~                |    ~     ~    |    1| 1387.240   pc  |-114.7000   +114.7000  |ST-L    |2020AJ....160...83S
119 |TYC 7982-491-1                                                                                           |Star                                  |21 59 17.6527048800 -39 05 51.679858560|003.1903116969607 -52.4113360135794| -6.537 -18.788   |10.921   |~                |    ~     ~    |    1|  221.779   pc  |  -3.1310     +3.1310  |ST-L    |2020AJ....160...83S
120 |TYC 7986-80-1                                                                                            |Star                                  |21 59 24.1506440616 -39 37 51.189000420|002.3173842968533 -52.3796112845698|  3.455 -11.256   |10.957   |~                |    ~     ~    |    1|  879.680   pc  | -41.7900    +41.7900  |ST-L    |2020AJ....160...83S
121 |TYC 7986-320-1                                                                                           |Star                                  |21 56 53.6769240072 -39 47 41.388024588|002.1322621149998 -51.8830432287296|   -1.181 1.018   |10.72    |~                |    ~     ~    |    1|  553.350   pc  | -16.7300    +16.7300  |ST-L    |2020AJ....160...83S
122 |TYC 7986-405-1                                                                                           |Star                                  |21 58 21.0069865632 -40 09 29.678639148|001.4970023191086 -52.1215293154724| 24.893 -12.702   |10.67    |~                |    ~     ~    |    1|  876.245   pc  | -34.5500    +34.5500  |ST-L    |2020AJ....160...83S
