C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
140 |BD+68 922                                                             |Star                           |17 13 11.1710191032 +68 39 54.873250956|099.4053352999827 +34.0097205162794|  13.772 -9.072    |9.95     |A2                   |    ~     ~    
141 |BD+67 989                                                             |Spectroscopic Binary           |17 07 15.4564591056 +67 38 23.186443380|098.3423037201421 +34.7753483239645| -20.537 23.745    |10.14    |G5                   |    ~     ~    
142 |BD+67 990                                                             |Star                           |17 07 38.6103125160 +67 15 52.493384556|097.8870227239319 +34.8240364729070|  15.104 10.187    |9.51     |G                    |    ~     ~    
143 |BD+67 992                                                             |Star                           |17 08 54.2894902848 +67 31 39.476112672|098.1664479176587 +34.6475273105386|    3.084 2.367    |9.39     |F5                   |    ~     ~    
144 |BD+67 994                                                             |Star                           |17 12 28.3412162784 +67 43 42.294636732|098.3160671645780 +34.2729227401362| -16.192 39.588    |9.01     |G5                   |    ~     ~    
145 |HD 156514                                                             |Star                           |17 12 38.4494707104 +67 37 19.710568164|098.1862369013017 +34.2792729248900| -12.037 26.248    |8.29     |A3                   |    ~     ~    
146 |BD+67 996                                                             |Star                           |17 13 59.1243162120 +67 26 53.637590724|097.9488055329173 +34.1886603598749|   5.463 12.752    |8.75     |K2                   |    ~     ~    
147 |TYC 4197-75-1                                                         |Star                           |17 06 44.9947340496 +67 23 39.632622000|098.0647301289377 +34.8786670469313| -13.716 -7.157    |10.52    |~                    |    ~     ~    
148 |TYC 4197-677-1                                                        |High Proper Motion Star        |17 07 34.2289688160 +67 29 58.810780500|098.1679378390206 +34.7781339457712| -43.784 35.089    |10.57    |~                    |    ~     ~    
149 |TYC 4197-1093-1                                                       |Star                           |17 06 49.5808608648 +67 03 40.146540264|097.6668862592552 +34.9467631337896|   5.343 -4.153    |10.26    |~                    |    ~     ~    
150 |TYC 4420-1712-1                                                       |Star                           |17 03 20.0055202536 +68 06 38.339488008|099.0076597527279 +35.0211845696854|   2.267 -1.299    |10.67    |~                    |    ~     ~    
151 |TYC 4421-40-1                                                         |High Proper Motion Star        |17 14 38.8909582752 +69 13 25.441050036|100.0281486635225 +33.7610579160677|   5.782 53.829    |10.33    |~                    |    ~     ~    
152 |TYC 4421-373-1                                                        |Spectroscopic Binary           |17 10 34.3385671128 +69 49 59.403140868|100.8405090709678 +33.9693304071759| 17.810 -32.280    |10.38    |~                    |    ~     ~    
153 |TYC 4421-780-1                                                        |Star                           |17 05 15.2841070728 +69 40 28.924938408|100.7940216057940 +34.4543655779118|  -28.115 9.352    |10.92    |~                    |    ~     ~    
154 |TYC 4421-846-1                                                        |Star                           |17 09 23.3394449496 +69 41 02.227342092|100.6955649030126 +34.1046590860902| 10.707 -16.695    |10.65    |~                    |    ~     ~    
155 |TYC 4421-863-1                                                        |Star                           |17 09 10.7973430128 +69 20 19.369535604|100.2960496303426 +34.2057700082048| -27.657 31.103    |10.50    |~                    |    ~     ~    
156 |TYC 4421-1002-1                                                       |Star                           |17 11 18.8746502208 +68 49 56.502747372|099.6472663731017 +34.1382991291612|  5.245 -16.307    |10.66    |~                    |    ~     ~    
157 |TYC 4421-1317-1                                                       |Star                           |17 06 34.5354883152 +69 18 09.438670332|100.3219612234529 +34.4375230021323|   8.693 -3.126    |10.63    |~                    |    ~     ~    
158 |TYC 4421-1320-1                                                       |Star                           |17 07 49.0660367040 +69 17 59.627098572|100.2857906412467 +34.3318617566354|   -3.102 0.702    |10.71    |~                    |    ~     ~    
159 |TYC 4421-1348-1                                                       |Star                           |17 06 31.8303367440 +68 48 39.927164688|099.7453527502970 +34.5632552216850|  0.986 -27.918    |10.41    |~                    |    ~     ~    
160 |TYC 4421-1420-1                                                       |Star                           |17 10 02.8985476080 +68 53 01.495681764|099.7392563796248 +34.2377335308470| -19.462 20.380    |10.37    |~                    |    ~     ~    
161 |TYC 4421-1570-1                                                       |Star                           |17 14 46.0908416856 +69 27 16.005154968|100.2962103367126 +33.7007230454488|  -11.905 8.702    |10.06    |~                    |    ~     ~    
162 |TYC 4421-1656-1                                                       |Star                           |17 09 59.7021985800 +69 12 26.595143748|100.1211285653087 +34.1669095073241| 10.468 -13.082    |10.40    |~                    |    ~     ~    
163 |TYC 4421-1662-1                                                       |Star                           |17 04 03.6647767176 +69 13 28.413452424|100.2993390181490 +34.6726547110208|  -4.494 -3.532    |10.68    |~                    |    ~     ~    
164 |TYC 4421-1666-1                                                       |Star                           |17 07 04.7003253755 +68 37 27.930550907|099.5108089752938 +34.5603891921714|    -0.30 14.80    |10.83    |~                    |    ~     ~    
165 |TYC 4421-2047-1                                                       |Star                           |17 04 47.6512649016 +68 16 24.671314056|099.1589733221741 +34.8493001877901|  -1.597 -5.027    |10.58    |~                    |    ~     ~    
166 |TYC 4421-2219-1                                                       |Star                           |17 13 55.6383280152 +68 02 00.411567612|098.6425846692263 +34.0758763304042|    8.403 0.485    |10.62    |~                    |    ~     ~    
167 |TYC 4421-2567-1                                                       |Star                           |17 14 03.8338848744 +68 05 49.409623068|098.7145686669868 +34.0503240619795| -0.551 -23.245    |10.12    |~                    |    ~     ~    
168 |TYC 4421-2658-1                                                       |Star                           |17 10 04.3296844200 +68 02 47.837779764|098.7512535812697 +34.4251647230036|-12.199 -21.885    |10.90    |~                    |    ~     ~    
169 |TYC 4421-2699-1                                                       |Star                           |17 12 34.6698253728 +68 02 01.750337628|098.6747670783666 +34.1992303918609| -15.674 17.143    |10.63    |~                    |    ~     ~    
170 |BD+72 764                                                             |Star                           |17 01 29.3424876360 +72 34 12.877181472|104.2549399815070 +33.9237555245286|   0.026 -7.502    |10.41    |A2                   |    ~     ~    
171 |HD 156945                                                             |Star                           |17 13 27.8386119768 +72 45 12.982386600|104.1625362083228 +33.0163171615881| -4.802 -21.212    |8.77     |F5                   |    ~     ~    
172 |BD+72 762                                                             |Star                           |17 00 37.3364608800 +72 01 48.993379572|103.6591040153639 +34.1520467847682|   -0.874 4.941    |10.33    |K0                   |    ~     ~    
173 |BD+72 765                                                             |High Proper Motion Star        |17 05 40.7763493944 +72 00 33.407268372|103.4961719538705 +33.7853061065359| -27.160 43.636    |9.14     |F8                   |    ~     ~    
174 |HD 156011                                                             |High Proper Motion Star        |17 08 29.6559854928 +72 08 00.973838508|103.5670782885832 +33.5426285408109|  -1.932 51.795    |7.45     |K2                   |    ~     ~    
175 |BD+72 769                                                             |Star                           |17 08 41.4335789568 +72 21 56.430926100|103.8297961677430 +33.4645875276482|   1.213 10.847    |9.91     |F5                   |    ~     ~    
176 |BD+72 777                                                             |Star                           |17 13 40.8548368968 +72 30 15.881087484|103.8703042538804 +33.0647751889142|  -8.052 -8.439    |9.94     |K0                   |    ~     ~    
177 |HD 156141                                                             |High Proper Motion Star        |17 09 18.8472981696 +71 52 35.040508680|103.2494232854433 +33.5512006984659|  24.385 63.236    |8.86     |K0                   |    ~     ~    
