C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
61  |TYC 4878-931-1                                                        |Star                              |09 06 39.4093272552 -01 03 59.690895084|230.9490191694397 +29.1162964153284|    4.291 1.339   |10.62    |~              |    ~     ~    |    1| 1178.134   pc  | -22.0692    +22.0692    |paral   |2020yCat.1350....0G
62  |TYC 4882-255-1                                                        |Star                              |09 07 29.7554799552 -01 56 41.769652236|231.9250993624137 +28.8226009418953|  0.487 -27.777   |10.932   |~              |    ~     ~    |    1| 1065.640   pc  |-278.6000   +278.6000    |ST-L    |2020AJ....160...83S
63  |GSC 04879-01042                                                       |Double or Multiple Star           |09 07 57.2761969896 -00 23 15.142908192|230.4859253444909 +29.7516551814645|  0.700 -12.275   |10.513   |~              |    ~     ~    |    1|  679.856   pc  |  -9.3827     +9.3827    |paral   |2020yCat.1350....0G
64  |TYC 4879-1195-1                                                       |Spectroscopic Binary              |09 08 08.7624873000 -01 43 40.780182504|231.8163702513535 +29.0763725506817|   21.030 3.085   |10.641   |~              |    ~     ~    |    1|  307.500   pc  | -10.1900    +10.1900    |ST-L    |2020AJ....160...83S
65  |TYC 4879-1203-1                                                       |Star                              |09 08 43.8611578104 -00 58 58.229984280|231.1849983846554 +29.5995339645535|  -12.241 0.256   |10.41    |~              |    ~     ~    |    1|  355.051   pc  |  -3.4793     +3.4793    |paral   |2020yCat.1350....0G
66  |TYC 4879-1107-1                                                       |Star                              |09 08 59.0766402960 -01 08 40.502108688|231.3811271142193 +29.5665611229132|   9.063 -7.527   |10.65    |~              |    ~     ~    |    1|  510.553   pc  | -16.3400    +16.3400    |ST-L    |2020AJ....160...83S
67  |BD-00 2135                                                            |Star                              |09 09 11.3776542312 -01 23 47.135221548|231.6569320267366 +29.4746337941033|   25.628 6.509   |10.22    |~              |    ~     ~    |    1|  186.863   pc  |  -4.3787     +4.3787    |paral   |2020yCat.1350....0G
68  |BD-00 2137                                                            |Star                              |09 09 27.2375667288 -00 55 51.941775576|231.2458376188118 +29.7799235556625|   -4.945 4.292   |10.267   |~              |    ~     ~    |    1| 2681.090   pc  |-347.3000   +347.3000    |ST-L    |2020AJ....160...83S
69  |TYC 4879-1093-1                                                       |Star                              |09 09 29.5353851952 -00 55 16.890295872|231.2422556118793 +29.7932193319981|  11.209 -8.865   |10.6     |~              |    ~     ~    |    1|  412.422   pc  |  -4.2353     +4.2353    |paral   |2020yCat.1350....0G
70  |TYC 4879-1404-1                                                       |Star                              |09 09 38.9012931792 -01 36 55.800871740|231.9398484365439 +29.4531891298712|  -9.908 10.047   |10.51    |~              |    ~     ~    |    1|  897.666   pc  | -16.1967    +16.1967    |paral   |2020yCat.1350....0G
71  |BD-00 2139                                                            |Star                              |09 09 43.5472774128 -01 10 54.347109204|231.5315276154135 +29.7029887663653|  -14.127 2.347   |9.932    |~              |    ~     ~    |    1|  874.819   pc  | -52.5700    +52.5700    |ST-L    |2020AJ....160...83S
72  |TYC 4879-606-1                                                        |Star                              |09 10 12.0204447984 -00 32 15.232710912|230.9766663311115 +30.1477536490586|  -19.065 3.693   |10.57    |~              |    ~     ~    |    1|  377.273   pc  |  -2.4766     +2.4766    |paral   |2020yCat.1350....0G
73  |TYC 4879-303-1                                                        |Star                              |09 10 12.4249416984 -01 22 23.058726420|231.7916910831538 +29.7015169801132|   4.689 -9.545   |10.36    |~              |    ~     ~    |    1| 1270.325   pc  | -27.5947    +27.5947    |paral   |2020yCat.1350....0G
74  |TYC 4879-513-1                                                        |High Proper Motion Star           |09 10 14.1304449288 -01 49 10.172215740|232.2280489212706 +29.4662648080598|-50.978 -43.044   |10.986   |~              |    ~     ~    |    1|  193.003   pc  |  -2.6370     +2.6370    |ST-L    |2020AJ....160...83S
75  |BD-00 2142                                                            |Star                              |09 10 52.0900825896 -00 54 52.675816788|231.4482439971187 +30.0872841402159| -0.891 -17.103   |10.859   |~              |    ~     ~    |    1|  234.578   pc  |  -3.3130     +3.3130    |ST-L    |2020AJ....160...83S
76  |BD-01 2215                                                            |High Proper Motion Star           |09 10 59.1995868456 -01 49 45.275480724|232.3544922759322 +29.6186548549716|83.818 -126.411   |10.367   |~              |    ~     ~    |    1|   93.220   pc  |  -0.5296     +0.5296    |ST-L    |2020AJ....160...83S
77  |TYC 4878-139-1                                                        |Star                              |09 03 57.6284356488 -00 01 16.176808488|229.5255715728016 +29.0946922768760| -23.806 -5.003   |10.8     |~              |    ~     ~    |    1|  236.591   pc  |  -0.8564     +0.8564    |paral   |2020yCat.1350....0G
78  |TYC 4878-509-1                                                        |Star                              |09 03 28.4256235704 -00 17 15.451125720|229.7125331743212 +28.8516769229513| -27.385 -1.383   |10.8     |~              |    ~     ~    |    1|  238.334   pc  |  -2.4255     +2.4255    |paral   |2020yCat.1350....0G
79  |TYC 4878-716-1                                                        |Star                              |09 05 03.0073407144 -00 50 55.452263856|230.4941992142558 +28.8915173694748| -39.990 14.866   |10.8     |~              |    ~     ~    |    1|  256.674   pc  |  -1.1134     +1.1134    |paral   |2020yCat.1350....0G
80  |TYC 4878-1052-1                                                       |High Proper Motion Star           |09 06 48.6013264056 -00 44 22.406079840|230.6549024972973 +29.3225005477008|-50.318 -18.403   |10.9     |~              |    ~     ~    |    1|  240.304   pc  |  -1.1203     +1.1203    |paral   |2020yCat.1350....0G
81  |TYC 4878-1194-1                                                       |Star                              |09 00 57.9079250352 -01 26 51.047256012|230.4582221364818 +27.7082810703469|  -43.523 7.913   |10.61    |~              |    ~     ~    |    1|  192.745   pc  |  -0.6204     +0.6204    |paral   |2020yCat.1350....0G
82  |TYC 4878-1318-1                                                       |High Proper Motion Star           |09 01 20.8660066488 -01 28 08.049997596|230.5358676804405 +27.7781365391982| 11.548 -76.368   |10.91    |~              |    ~     ~    |    1|  131.273   pc  |  -0.3895     +0.3895    |paral   |2020yCat.1350....0G
83  |TYC 4878-1363-1                                                       |Star                              |09 02 22.6008811776 -01 33 21.014940960|230.7733958996891 +27.9501333130832|  -16.949 1.687   |10.49    |~              |    ~     ~    |    1|  195.687   pc  |  -0.6357     +0.6357    |paral   |2020yCat.1350....0G
84  |TYC 4879-989-1                                                        |Star                              |09 07 42.6565132128 -00 44 55.629211164|230.8011248040778 +29.5084620261144|  -35.728 2.379   |10.787   |~              |    ~     ~    |    1|  189.946   pc  |  -2.6690     +2.6690    |ST-L    |2020AJ....160...83S
85  |TYC 4879-1302-1                                                       |Star                              |09 07 56.1759698616 -01 33 51.782004396|231.6262611336441 +29.1202176068440| -16.869 12.660   |10.91    |~              |    ~     ~    |    1|  440.797   pc  | -11.3700    +11.3700    |ST-L    |2020AJ....160...83S
86  |TYC 4882-485-1                                                        |Star                              |09 00 49.4197506312 -01 57 28.749807504|230.9253363914574 +27.4077141120048|   -5.749 0.212   |10.42    |~              |    ~     ~    |    1|  456.642   pc  |  -4.3373     +4.3373    |paral   |2020yCat.1350....0G
87  |HD 77236                                                              |High Proper Motion Star           |09 01 14.7953520192 -02 33 41.695966296|231.5631179711611 +27.1748138327203|-128.202 -57.812  |7.51     |K0III          |    ~     ~    |    1|  329.045   pc  |  -2.9341     +2.9341    |paral   |2020yCat.1350....0G
88  |BD-01 2182                                                            |Star                              |09 01 19.9505124912 -02 15 03.326365260|231.2807880149782 +27.3591759746737|   -4.467 1.544   |9.80     |K0             |    ~     ~    |    1|  705.368   pc  |  -8.2095     +8.2095    |paral   |2020yCat.1350....0G
89  |BD-01 2183                                                            |Star                              |09 01 22.9563031344 -02 32 19.003706124|231.5617898301880 +27.2158041878532|   1.345 -4.924   |8.99     |M0             |    ~     ~    |    1|  771.486   pc  | -16.6653    +16.6653    |paral   |2020yCat.1350....0G
90  |BD-01 2184                                                            |Star                              |09 01 28.8205216152 -02 27 51.723969912|231.5059963843343 +27.2761999927237|  0.718 -11.480   |9.98     |G5             |    ~     ~    |    1|  765.287   pc  | -10.1320    +10.1320    |paral   |2020yCat.1350....0G
91  |BD-01 2186                                                            |Star                              |09 01 41.4594440568 -02 15 10.903949640|231.3366898955999 +27.4337448901969|  -8.207 -5.778   |9.31     |K0             |    ~     ~    |    1| 1130.966   pc  | -23.0235    +23.0235    |paral   |2020yCat.1350....0G
92  |HD 77447                                                              |Spectroscopic Binary              |09 02 24.1671034728 -02 21 57.075944220|231.5513970917398 +27.5235197497820|-26.039 -21.581   |7.44     |F5V            |    ~     ~    |    1|   56.836   pc  |  -0.2487     +0.2487    |paral   |2020yCat.1350....0G
93  |HD 77252                                                              |Star                              |09 01 23.0697371952 -02 48 54.562420440|231.8242433095720 +27.0677154378061|   -8.722 0.842   |9.04     |F5/6V          |    ~     ~    |    1|  201.739   pc  |  -0.7570     +0.7570    |paral   |2020yCat.1350....0G
94  |HD 77266                                                              |Pulsating Variable                |09 01 23.0621418816 -03 22 05.333917296|232.3463915683325 +26.7693161712599|-13.726 -11.542   |7.82     |F0IV/V         |    ~     ~    |    1|  253.936   pc  |  -1.7604     +1.7604    |paral   |2020yCat.1350....0G
95  |HD 77329                                                              |Star                              |09 01 48.4110617376 -02 48 20.033626176|231.8789092904206 +27.1617718177386|   -7.530 5.273   |8.78     |K0III          |    ~     ~    |    1|  716.498   pc  | -31.1200    +31.1200    |ST-L    |2020AJ....160...83S
96  |HD 77394                                                              |Star                              |09 02 04.6629944664 -02 37 46.784617104|231.7530420447044 +27.3134059649810|  -8.165 -3.922   |8.90     |B3IV           |    ~     ~    |    1|  313.383   pc  |  -5.8390     +5.8390    |ST-L    |2020AJ....160...83S
