C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |V* PV And                                                                                                |alpha2 CVn Variable                   |23 55 37.9421129112 +46 21 29.856689100|112.9918555806411 -15.4335928141791|  9.076 -13.057  |6.931    |~                |    ~     ~    |    1|  342.021   pc  |  -4.7259     +4.7259  |paral   |2020yCat.1350....0G
71  |BD+45 4365                                                                                               |Star                                  |23 56 03.1258 +46 47 59.076            |113.1661148 -15.0190951            |  3.108 -17.703  |9.13     |K0               |    ~     ~    |    0|                |                       |        |                   
72  |HD 224312                                                                                                |Star                                  |23 56 44.2520948064 +46 40 30.093633228|113.2564678518663 -15.1665277767024|    6.850 2.118  |9.93     |K2               |    ~     ~    |    1|  247.439   pc  |  -1.0959     +1.0959  |paral   |2020yCat.1350....0G
73  |HD 224341                                                                                                |Double or Multiple Star               |23 56 59.0022919752 +46 37 03.856821348|113.2862267055052 -15.2316225696483|   54.542 9.605  |7.50     |A2               |0.0033  0.0    |    1|  354.685   pc  |  -2.1638     +2.1638  |paral   |2020yCat.1350....0G
74  |BD+45 4372                                                                                               |Star                                  |23 57 18.4062998784 +46 30 54.950057532|113.3194812622924 -15.3437014990654|-14.687 -11.421  |9.07     |A2               |    ~     ~    |    1|  284.487   pc  |  -1.3273     +1.3273  |paral   |2020yCat.1350....0G
75  |BD+45 4373                                                                                               |Star                                  |23 57 20.9924235912 +46 21 02.687231808|113.2901473673938 -15.5059406433852|  9.063 -11.019  |9.51     |K0               |    ~     ~    |    1|  542.829   pc  |  -8.4568     +8.4568  |paral   |2020yCat.1350....0G
76  |HD 224507                                                                                                |Star                                  |23 58 26.5388429688 +46 18 29.271443256|113.4719065190532 -15.5879005749926|  -6.710 -5.915  |8.03     |K0               |    ~     ~    |    1|  582.004   pc  |  -6.7407     +6.7407  |paral   |2020yCat.1350....0G
77  |HD 224506                                                                                                |Star                                  |23 58 28.1573403768 +46 46 52.990590684|113.5803928983616 -15.1263289617036|  -4.131 -2.371  |9.48     |A0               |    ~     ~    |    1|  726.744   pc  | -10.4575    +10.4575  |paral   |2020yCat.1350....0G
78  |BD+45 4378                                                                                               |Spectroscopic Binary                  |23 58 43.4881610546 +46 43 44.737257440|113.6133003656408 -15.1866691700906| 652.815 13.347  |9.78     |K7V              |    ~     ~    |    1|   17.1213  pc  |  -0.2634     +0.2634  |paral   |2018yCat.1345....0G
79  |HD 224559                                                                                                |Be Star                               |23 58 46.4393230728 +46 24 47.443832676|113.5529770733457 -15.4972967378093|   15.266 0.490  |6.538    |B4Vne            |    ~     ~    |    1|  388.908   pc  |  -5.8836     +5.8836  |paral   |2020yCat.1350....0G
80  |V* TZ And                                                                                                |Long-Period Variable Candidate        |23 50 51.7940929008 +47 30 28.463243040|112.4475143193404 -14.1269424432152|    3.679 4.185  |8.86     |M5-6III          |    ~     ~    |    1|  747.217   pc  | -21.4958    +21.4958  |paral   |2020yCat.1350....0G
81  |BD+45 4346                                                                                               |Spectroscopic Binary                  |23 51 48.6411999648 +46 01 42.106676160|112.2450891591386 -15.6024381440033|  19.025 13.871  |9.96     |F8               |    ~     ~    |    1|  254.117   pc  |  -1.2334     +1.2334  |paral   |2020yCat.1350....0G
82  |BD+45 4358                                                                                               |Star                                  |23 54 34.1362655760 +45 56 59.110995264|112.7101424661867 -15.7902544224209|  -0.755 -5.383  |9.58     |K0               |    ~     ~    |    1|  586.579   pc  |  -5.0235     +5.0235  |paral   |2020yCat.1350....0G
83  |HD 224258                                                                                                |Star                                  |23 56 20.3972002968 +46 03 51.026484096|113.0481892147494 -15.7475143074584| -13.939 -6.837  |8.47     |A3               |    ~     ~    |    1|  244.343   pc  |  -2.3881     +2.3881  |paral   |2020yCat.1350....0G
84  |HD 224276                                                                                                |Spectroscopic Binary                  |23 56 25.1572603344 +46 00 15.045161004|113.0484279903259 -15.8090684412479|   6.137 -1.023  |8.43     |K2               |    ~     ~    |    1|  493.681   pc  | -13.4290    +13.4290  |paral   |2020yCat.1350....0G
85  |BD+45 4370                                                                                               |Star                                  |23 57 10.7699193552 +45 56 41.916817392|113.1689689980701 -15.8956981577699|  36.128 -4.564  |9.77     |K0               |    ~     ~    |    1|  541.976   pc  |  -5.4048     +5.4048  |paral   |2020yCat.1350....0G
86  |BD+45 4379                                                                                               |High Proper Motion Star               |23 58 39.3742501944 +46 08 31.117473204|113.4729803805892 -15.7581210327365|-68.398 -20.348  |9.44     |F5               |    ~     ~    |    1|  155.012   pc  |  -0.3364     +0.3364  |paral   |2020yCat.1350....0G
87  |BD+44 4507                                                                                               |Star                                  |23 51 38.0429440296 +45 40 47.889334776|112.1278018089606 -15.9334723739078| -3.395 -10.232  |10.26    |K2               |    ~     ~    |    1| 1311.303   pc  | -24.9330    +24.9330  |paral   |2020yCat.1350....0G
88  |HD 223892                                                                                                |Star                                  |23 53 21.9119335008 +45 17 16.995754968|112.3386543759179 -16.3858561485241|   5.192 -7.079  |8.40     |A0               |    ~     ~    |    1|  494.340   pc  |  -8.5041     +8.5041  |paral   |2020yCat.1350....0G
