C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
60  |BD+44 5                                                                                                  |Star                              |00 08 27.1408131696 +45 01 32.299400352|115.0028617675516 -17.1832944227787|   12.046 1.723   |9.35     |K0              |    ~     ~          |    1| 1067.920   pc  | -16.4225    +16.4225  |paral   |2020yCat.1350....0G
61  |HD 374                                                                                                   |Star                              |00 08 29.1067577736 +44 58 56.112216888|115.0009456595338 -17.2270263527064|   2.504 -0.187   |8.14     |K0              |    ~     ~          |    1|  648.172   pc  |  -9.9990     +9.9990  |paral   |2020yCat.1350....0G
62  |BD+44 7                                                                                                  |Pulsating Variable                |00 08 29.7057723480 +45 05 01.980129984|115.0212247252474 -17.1272446394593|   -4.867 2.573   |9.89     |A0              |    ~     ~          |    1|  612.745   pc  | -12.7655    +12.7655  |paral   |2020yCat.1350....0G
63  |BD+44 10                                                                                                 |Star                              |00 08 53.8111449120 +45 14 50.211525588|115.1236860214620 -16.9785229624344| -5.056 -10.121   |9.26     |K2              |    ~     ~          |    1|  734.538   pc  |  -8.7946     +8.7946  |paral   |2020yCat.1350....0G
64  |BD+44 16                                                                                                 |Star                              |00 10 40.6420927752 +45 07 38.934756408|115.4260907361688 -17.1494004912336| -2.752 -11.988   |8.87     |F5              |    ~     ~          |    1|  148.304   pc  |  -0.3761     +0.3761  |paral   |2020yCat.1350....0G
65  |HD 225067                                                                                                |Star                              |00 03 09.9798833880 +45 07 33.350868948|114.0627699190099 -16.9129117924577|-10.372 -12.832   |10.05    |F               |    ~     ~          |    1|  315.129   pc  |  -1.9265     +1.9265  |paral   |2020yCat.1350....0G
66  |HD 225066                                                                                                |Star                              |00 03 09.0315277296 +45 07 30.389240388|114.0597442905870 -16.9131764514692|  43.597 -7.840   |9.06     |F               |    ~     ~          |    1|  125.638   pc  |  -0.2683     +0.2683  |paral   |2020yCat.1350....0G
67  |BD+44 4550C                                                                                              |Star                              |00 05 08.0847120336 +45 13 32.459807748|114.4385443174666 -16.8810923090296|-27.911 -19.280   |10.53    |~               |    ~     ~          |    1|  157.218   pc  |  -0.3658     +0.3658  |paral   |2020yCat.1350....0G
68  |TYC 2793-388-1                                                                                           |High Proper Motion Star           |00 02 02.8770020832 +44 59 57.262122636|113.8342843074258 -16.9982717356719| 41.838 -39.639   |10.71    |~               |    ~     ~          |    1|   98.654   pc  |  -0.1236     +0.1236  |paral   |2020yCat.1350....0G
69  |TYC 2793-706-1                                                                                           |Star                              |00 09 16.6063663368 +44 59 03.165443628|115.1456849194023 -17.2491800697593|   6.699 -0.559   |10.73    |~               |    ~     ~          |    1|  572.475   pc  |  -4.3260     +4.3260  |paral   |2020yCat.1350....0G
