C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
55  |TYC 3278-363-1                                                                                                                                                                                                                                       |Star                              |01 32 50.1116032752 +45 03 47.967124932|130.5648941409841 -17.1940052089032| 23.571 -20.058   |10.83    |~                 |    ~     ~    |    1|  220.682   pc  |  -0.7890     +0.7890  |paral   |2020yCat.1350....0G
56  |TYC 3278-962-1                                                                                                                                                                                                                                       |Star                              |01 33 18.5007797448 +45 21 11.624960412|130.5998242932025 -16.8942140770076|  -9.469 -4.882   |10.98    |~                 |    ~     ~    |    1|  422.690   pc  |  -4.1451     +4.1451  |paral   |2020yCat.1350....0G
57  |TYC 3278-2245-1                                                                                                                                                                                                                                      |Star                              |01 33 52.0270311072 +45 00 37.168694352|130.7623776029796 -17.2153493719905|   18.645 0.919   |10.682   |~                 |    ~     ~    |    1|  484.004   pc  |  -4.2401     +4.2401  |paral   |2020yCat.1350....0G
58  |BD+44 346                                                                                                                                                                                                                                            |Star                              |01 40 46.9353377280 +44 46 53.665139964|132.0666097803748 -17.2131907576915|   4.019 -3.471   |9.32     |M0                |    ~     ~    |    1| 1417.635   pc  | -51.6490    +51.6490  |paral   |2020yCat.1350....0G
59  |BD+44 348                                                                                                                                                                                                                                            |Star                              |01 41 05.0921270352 +44 51 04.484317392|132.1070931370154 -17.1342083630518|  -4.660 -8.649   |10.26    |F2III             |    ~     ~    |    1|  550.055   pc  |  -6.2327     +6.2327  |paral   |2020yCat.1350....0G
60  |* chi And                                                                                                                                                                                                                                            |Spectroscopic Binary              |01 39 20.9885732088 +44 23 10.229915472|131.8858981141649 -17.6509881617858|  -13.395 8.635   |5.008    |G8III             |    ~     ~    |    1|   80.911   pc  |  -0.6848     +0.6848  |paral   |2020yCat.1350....0G
61  |AG+44 184                                                                                                                                                                                                                                            |Star                              |01 41 21.6282839880 +44 34 36.928751880|132.2150208676549 -17.3931038100182| 22.557 -14.509   |10.8     |G                 |    ~     ~    |    1|  248.738   pc  |  -1.5096     +1.5096  |paral   |2020yCat.1350....0G
62  |AG+44 183                                                                                                                                                                                                                                            |High Proper Motion Star           |01 41 20.0866266552 +44 34 44.409018576|132.2098857656029 -17.3919905334873| 43.974 -32.987   |10.20    |F8                |    ~     ~    |    1|  178.164   pc  |  -0.7904     +0.7904  |paral   |2020yCat.1350....0G
63  |BD+43 348                                                                                                                                                                                                                                            |Star                              |01 41 40.2445132152 +44 24 06.236418456|132.3089818970887 -17.5534834421123|   13.328 0.275   |9.36     |A5V               |    ~     ~    |    1|  395.523   pc  |  -3.5668     +3.5668  |paral   |2020yCat.1350....0G
64  |BD+43 349                                                                                                                                                                                                                                            |High Proper Motion Star           |01 42 33.6623399832 +44 34 47.932173408|132.4336645311250 -17.3465182385050|-57.716 -24.624   |10.19    |G0                |    ~     ~    |    1|  164.829   pc  |  -3.5618     +3.5618  |paral   |2020yCat.1350....0G
