C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
7594|TYC 5429-1674-1                                                                                          |Star                              |08 37 36.4838753544 -08 34 53.832583596|233.6333641444342 +18.9781976019674|  -11.107 0.555   |10.54    |~              |    ~     ~    |    0|                |                         |        |                   
7595|TYC 5429-2000-1                                                                                          |Star                              |08 33 24.3902707464 -08 01 40.696041720|232.5519367526377 +18.3973261404977|   -6.240 1.750   |10.967   |~              |    ~     ~    |    1| 1684.930   pc  |-137.3000   +137.3000    |ST-L    |2020AJ....160...83S
7596|TYC 5432-283-1                                                                                           |Star                              |08 30 56.7912520128 -10 20 55.409959608|234.2666565214881 +16.6420778259220|  -18.691 0.353   |10.975   |~              |    ~     ~    |    1| 1055.580   pc  | -70.0300    +70.0300    |ST-L    |2020AJ....160...83S
7597|TYC 5433-437-1                                                                                           |Star                              |08 37 30.8646262464 -09 57 26.155041948|234.8395495964669 +18.2126757965258|  -6.508 -2.630   |10.88    |~              |    ~     ~    |    1| 1167.679   pc  | -18.5432    +18.5432    |paral   |2020yCat.1350....0G
7598|TYC 5433-1036-1                                                                                          |Star                              |08 39 52.1513931744 -10 36 51.720206184|235.7526734086301 +18.3371120339615|  -15.655 4.012   |10.999   |~              |    ~     ~    |    1|  754.575   pc  | -31.8500    +31.8500    |ST-L    |2020AJ....160...83S
7599|TYC 5433-1233-1                                                                                          |Star                              |08 35 35.4092558784 -10 12 47.362205448|234.7941306255623 +17.6760764922854|   -2.738 6.270   |10.527   |~              |    ~     ~    |    1|  874.841   pc  | -30.0900    +30.0900    |ST-L    |2020AJ....160...83S
7600|TYC 5433-1459-1                                                                                          |Star                              |08 39 46.5178626360 -09 55 16.906609884|235.1286181288391 +18.6985366484491|  -6.258 -2.048   |10.879   |~              |    ~     ~    |    1| 1590.030   pc  |-124.5000   +124.5000    |ST-L    |2020AJ....160...83S
7601|TYC 5433-1544-1                                                                                          |Star                              |08 38 27.9822264000 -10 53 58.600590828|235.8036665216015 +17.8924497392427|   -6.098 4.476   |10.08    |~              |    ~     ~    |    1| 1363.884   pc  | -34.0413    +34.0413    |paral   |2020yCat.1350....0G
7602|TYC 5433-1805-1                                                                                          |Star                              |08 36 07.7022430032 -10 20 18.315590784|234.9800765583202 +17.7189630953217|   3.730 -7.972   |10.70    |~              |    ~     ~    |    1|  243.416   pc  |  -0.8888     +0.8888    |paral   |2020yCat.1350....0G
7603|TYC 5433-1837-1                                                                                          |Star                              |08 38 35.9291835336 -10 04 49.425119760|235.1017332913895 +18.3690840981954|   -3.900 2.492   |10.835   |~              |    ~     ~    |    1| 2852.350   pc  |-340.8000   +340.8000    |ST-L    |2020AJ....160...83S
7604|TYC 5433-1869-1                                                                                          |Star                              |08 37 33.5462264400 -10 22 46.251343776|235.2180385510201 +17.9913359646386|   -7.954 8.428   |10.982   |~              |    ~     ~    |    1| 1111.700   pc  | -54.3400    +54.3400    |ST-L    |2020AJ....160...83S
7605|TYC 5433-1924-1                                                                                          |Star                              |08 39 05.9594810904 -10 25 22.863294264|235.4747165690484 +18.2843011825445|   -3.443 3.671   |10.96    |~              |    ~     ~    |    1| 1899.335   pc  | -58.4411    +58.4411    |paral   |2020yCat.1350....0G
7606|TYC 5433-1999-1                                                                                          |Star                              |08 37 18.6102011448 -10 25 04.946839644|235.2167629104134 +17.9190197105739|   -7.178 5.774   |10.871   |~              |    ~     ~    |    1| 1879.440   pc  |-185.6000   +185.6000    |ST-L    |2020AJ....160...83S
7607|TYC 5433-2248-1                                                                                          |Star                              |08 40 07.6146561696 -10 10 45.225456744|235.4062977401814 +18.6294188081347| -10.577 11.186   |10.97    |~              |    ~     ~    |    1|  737.463   pc  |  -7.7771     +7.7771    |paral   |2020yCat.1350....0G
7608|TYC 5433-2273-1                                                                                          |Star                              |08 35 27.6426442560 -10 10 13.213200072|234.7382388406230 +17.6726153685554|   -7.465 2.130   |10.696   |~              |    ~     ~    |    1| 1524.230   pc  |-119.5000   +119.5000    |ST-L    |2020AJ....160...83S
7609|TYC 5436-91-1                                                                                            |Star                              |08 31 58.8096120816 -12 31 25.934112048|236.3115790798501 +15.6737380424281| -12.630 10.699   |10.650   |~              |    ~     ~    |    1| 1140.000   pc  | -81.2200    +81.2200    |ST-L    |2020AJ....160...83S
7610|TYC 5436-189-1                                                                                           |Star                              |08 30 55.6955021472 -12 42 34.712200656|236.3272625168667 +15.3572901623901|   -4.420 3.151   |10.992   |~              |    ~     ~    |    1|  951.540   pc  | -38.1300    +38.1300    |ST-L    |2020AJ....160...83S
7611|TYC 5436-295-1                                                                                           |Star                              |08 32 41.3015531904 -12 53 40.187652648|236.7317714376193 +15.6148254342063|   -2.846 3.829   |10.766   |~              |    ~     ~    |    1| 2183.560   pc  |-251.6000   +251.6000    |ST-L    |2020AJ....160...83S
7612|TYC 5436-371-2                                                                                           |Star                              |08 33 03.835 -12 57 16.64              |236.836184 +15.658177              |       -4.5 6.4   |10.05    |~              |    ~     ~    |    0|                |                         |        |                   
7613|TYC 5436-655-1                                                                                           |Star                              |08 30 07.0507858032 -11 20 27.578609880|235.0225292890650 +15.9352250438595|  -7.122 -3.228   |10.91    |~              |    ~     ~    |    1| 1073.768   pc  | -23.2901    +23.2901    |paral   |2020yCat.1350....0G
7614|TYC 5436-677-1                                                                                           |Star                              |08 30 40.0510494312 -11 43 34.043722104|235.4349651021703 +15.8397303416310|   -9.695 4.948   |10.81    |~              |    ~     ~    |    1| 1247.972   pc  | -19.7794    +19.7794    |paral   |2020yCat.1350....0G
