C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
535 |TYC 7047-1723-1                                                                                                                             |Star                               |05 03 30.3913474032 -31 01 15.633060456|233.1566001259104 -35.5242638235266|  -1.376 -6.886    |10.79    |~              |    ~     ~    |    1|  367.485   pc  |  -1.4450     +1.4450    |paral   |2020yCat.1350....0G
536 |TYC 7047-1804-1                                                                                                                             |Star                               |05 02 44.8439215656 -30 52 44.590235412|232.9415374457599 -35.6509682767965|   1.859 -7.164    |10.72    |~              |    ~     ~    |    1|  427.040   pc  |  -7.9510     +7.9510    |paral   |2020yCat.1350....0G
537 |TYC 7047-1857-1                                                                                                                             |Star                               |05 03 08.5241182272 -31 06 03.016400940|233.2307938058476 -35.6181914325479|   -0.415 4.511    |10.94    |~              |    ~     ~    |    1|  911.162   pc  |  -8.5512     +8.5512    |paral   |2020yCat.1350....0G
538 |TYC 7050-1823-1                                                                                                                             |Star                               |05 03 42.1943469912 -32 36 40.527176904|235.0794824540481 -35.8255671909463|   -2.406 2.898    |10.909   |~              |    ~     ~    |    1|  733.925   pc  | -26.0400    +26.0400    |ST-L    |2020AJ....160...83S
539 |CD-30 2154                                                                                                                                  |Star                               |05 02 04.7052603552 -30 22 35.115698064|232.2988042711248 -35.6768298610559| -3.524 -26.860    |10.06    |G2             |    ~     ~    |    1|  107.491   pc  |  -0.1791     +0.1791    |paral   |2020yCat.1350....0G
540 |CD-35 2053                                                                                                                                  |Star                               |05 00 31.4266246008 -35 36 24.823956168|238.5882722370207 -37.0244828920256|    2.127 2.887    |10.368   |~              |    ~     ~    |    1|  848.257   pc  | -24.9800    +24.9800    |ST-L    |2020AJ....160...83S
541 |HD 32325                                                                                                                                    |Star                               |05 00 53.5647943728 -33 24 28.557673524|235.9022139952123 -36.5610974272581| -3.015 -11.278    |10.17    |A7III          |    ~     ~    |    1|  698.519   pc  | -17.6630    +17.6630    |paral   |2020yCat.1350....0G
542 |CD-33 2073                                                                                                                                  |Star                               |05 02 27.1262258160 -33 32 06.756632520|236.1348504425371 -36.2663134373287|  -3.431 10.521    |10.32    |G0             |    ~     ~    |    1|  208.978   pc  |  -0.4935     +0.4935    |paral   |2020yCat.1350....0G
543 |HD 32570                                                                                                                                    |Star                               |05 02 43.7833866600 -33 08 47.044303584|235.6762698640791 -36.1336748101679| -7.797 -11.802    |9.00     |F5             |    ~     ~    |    1|  255.291   pc  |  -0.8147     +0.8147    |paral   |2020yCat.1350....0G
544 |CD-33 2076                                                                                                                                  |Star                               |05 02 44.2497367920 -33 09 18.176710608|235.6871643567790 -36.1337876778116| -7.861 -12.008    |9.76     |~              |    ~     ~    |    1|  256.423   pc  |  -0.7890     +0.7890    |paral   |2020yCat.1350....0G
545 |CD-33 2077                                                                                                                                  |Star                               |05 02 46.3455011400 -33 06 47.496699900|235.6381578695098 -36.1183443177914|   13.300 0.977    |10.49    |~              |    ~     ~    |    1|  406.190   pc  |  -2.4089     +2.4089    |paral   |2020yCat.1350....0G
