C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
63  |NGC 1740                           NGC 1740                                                                                                 |Galaxy towards a Group of Galaxies |05 01 54.8245209576 -03 17 46.390981416|202.8143461925475 -25.7758722103358|            ~ ~    |     ~   |~              |1.037 0.643    |    1|   52.00    Mpc |                         |        |2016AJ....152...50T
64  |NGC 1729                           NGC 1729                                                                                                 |Galaxy towards a Group of Galaxies |05 00 15.6915679416 -03 21 09.265857552|202.6492891983324 -26.1647118411155|   0.057 -0.104    |     ~   |~              |0.887 0.816    |    1|   37.67    Mpc |                         |        |2016AJ....152...50T
65  |NGC 1741                           NGC 1741A                          NGC 1741                                                              |Interacting Galaxies               |05 01 38.3 -04 15 25                   |203.7181 -26.2939                  |            ~ ~    |     ~   |~              | 1.26  0.65    |    0|                |                         |        |                   
66  |NGC 1741B                          2MFGC 4113                                                                                               |Galaxy                             |05 01 35.550 -04 15 47.42              |203.718150 -26.306917              |            ~ ~    |     ~   |~              |0.523 0.126    |    0|                |                         |        |                   
67  |IRAS 04590-0456                                                                                                                             |Long-Period Variable               |05 01 32.6559757200 -04 51 47.052709020|204.3028263157596 -26.6002008892239|   2.258 -3.433    |10.91    |M4/6           |    ~     ~    |    1| 1834.862   pc  | -90.5648    +90.5648    |paral   |2020yCat.1350....0G
68  |BD-05 1129                                                                                                                                  |Star                               |05 02 02.3412152760 -05 01 47.242711020|204.5320879257215 -26.5694391930386|   7.282 -4.735    |9.71     |~              |    ~     ~    |    1| 1027.116   pc  | -21.3103    +21.3103    |paral   |2020yCat.1350....0G
69  |BD-04 1000                                                                                                                                  |Double or Multiple Star            |05 00 29.0836224936 -03 55 40.083547692|203.2424214213741 -26.3908490259543|  12.665 -1.320    |10.074   |~              |    ~     ~    |    1|  909.753   pc  | -14.4839    +14.4839    |paral   |2020yCat.1350....0G
70  |BD-04 1001                                                                                                                                  |Star                               |05 00 36.8350071768 -04 38 51.070414776|203.9680308070666 -26.7034128832342|   0.658 -3.804    |9.70     |~              |    ~     ~    |    1|  481.024   pc  |  -3.2856     +3.2856    |paral   |2020yCat.1350....0G
71  |V* MR Eri                                                                                                                                   |RS CVn Variable                    |05 00 40.8795641323 -04 56 16.204804083|204.2638383049554 -26.8250981701982|  -3.501 -4.066    |10.01    |F9V            |    ~     ~    |    1|  272.6207  pc  | -18.1049    +18.1049    |paral   |2018yCat.1345....0G
72  |BD-04 1003                                                                                                                                  |Star                               |05 00 56.9401587240 -03 58 22.232087904|203.3481205484172 -26.3104402439785|  11.130 11.816    |9.91     |~              |    ~     ~    |    1|  612.482   pc  |  -5.6645     +5.6645    |paral   |2020yCat.1350....0G
73  |BD-03 975                                                                                                                                   |Spectroscopic Binary               |05 00 57.0701252808 -03 38 08.807145072|203.0180914528271 -26.1492921958447| 13.294 -21.615    |10.05    |~              |    ~     ~    |    1|  385.594   pc  |  -7.0476     +7.0476    |paral   |2020yCat.1350....0G
74  |BD-04 1005                                                                                                                                  |Star                               |05 01 06.2991357312 -04 07 54.733864548|203.5248801167169 -26.3517459735514|   -0.594 4.363    |9.42     |~              |    ~     ~    |    1|  179.173   pc  |  -1.7303     +1.7303    |paral   |2020yCat.1350....0G
75  |BD-03 977                                                                                                                                   |Star                               |05 01 25.7652416616 -03 11 58.900583400|202.6558449585026 -25.8356108158718|  -0.547 -3.601    |10.47    |~              |    ~     ~    |    0|                |                         |        |                   
76  |BD-05 1128                                                                                                                                  |Spectroscopic Binary               |05 01 44.1862497048 -05 11 21.767906940|204.6505449086237 -26.7106306356305| 15.461 -16.116    |9.753    |~              |    ~     ~    |    1|  430.091   pc  | -11.6100    +11.6100    |ST-L    |2020AJ....160...83S
77  |BD-04 1011                                                                                                                                  |Star                               |05 01 48.9074926776 -04 37 37.309256832|204.1054198273054 -26.4297132042578| -13.903 46.726    |10.180   |~              |    ~     ~    |    1|  226.628   pc  |  -3.5140     +3.5140    |ST-L    |2020AJ....160...83S
78  |BD-04 1020                                                                                                                                  |Star                               |05 02 47.0077719888 -03 49 00.121936404|203.4374168711203 -25.8336762118360| 14.801 -39.781    |10.17    |~              |    ~     ~    |    1|  272.799   pc  |  -1.3172     +1.3172    |paral   |2020yCat.1350....0G
