C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
58  |HD 106694                                                                                                |High Proper Motion Star             |12 16 16.6796288112 -03 14 07.982332080|285.9674786781629 +58.4733506529946| 13.554 -69.212   |7.46     |F3IV/V         |    ~     ~    |    1|   69.302   pc  |  -0.1210     +0.1210  |paral   |2020yCat.1350....0G
59  |HD 106716                                                                                                |Star                                |12 16 19.5713952216 -03 44 03.910498332|286.2341976144620 +57.9944983112814|-13.212 -13.026   |10.249   |F0V            |    ~     ~    |    1|  262.295   pc  |  -4.0520     +4.0520  |ST-L    |2020AJ....160...83S
60  |HD 106861                                                                                                |Star                                |12 17 25.3351691040 -03 18 05.072997960|286.5277878691566 +58.4827790043434| -25.778 -3.519   |8.83     |F3/5V          |    ~     ~    |    1|  100.547   pc  |  -0.2881     +0.2881  |paral   |2020yCat.1350....0G
61  |HD 107071                                                                                                |Star                                |12 18 42.3574273368 -03 35 59.397969516|287.2601381318236 +58.2724568387297| -25.533 11.718   |9.572    |G8/K0(III)     |    ~     ~    |    1|  597.694   pc  | -17.3900    +17.3900  |ST-L    |2020AJ....160...83S
62  |HD 107148                                                                                                |High Proper Motion Star             |12 19 13.4910214488 -03 19 11.239255452|287.3718353981495 +58.5753936731295|-54.565 -47.376   |8.02     |G5V            |    ~     ~    |    1|   49.388   pc  |  -0.0690     +0.0690  |paral   |2020yCat.1350....0G
63  |HD 107308                                                                                                |Star                                |12 20 14.0608543176 -03 27 51.492678372|287.9060525746858 +58.4941724459198| -39.084 -3.996   |9.996    |F3V            |    ~     ~    |    1|  286.157   pc  |  -4.9150     +4.9150  |ST-L    |2020AJ....160...83S
64  |HD 106833                                                                                                |Spectroscopic Binary                |12 17 02.9299083360 -04 15 03.050024364|286.8052600821466 +57.5401720740780|-229.448 -96.420  |10.09    |K1             |    ~     ~    |    1|   75.736   pc  |  -0.7423     +0.7423  |ST-L    |2020AJ....160...83S
65  |HD 106974                                                                                                |Star                                |12 18 05.2515023856 -03 49 41.255898672|287.0813164228925 +58.0135871127337| -8.641 -16.214   |10.323   |F0V            |    ~     ~    |    1|  308.079   pc  |  -9.3610     +9.3610  |ST-L    |2020AJ....160...83S
66  |HD 106975                                                                                                |Star                                |12 18 09.2125604472 -03 57 14.891408532|287.1691267882688 +57.8953548838637|  -8.774 21.087   |6.85     |F3V            |    ~     ~    |    1|   57.087   pc  |  -0.0815     +0.0815  |paral   |2020yCat.1350....0G
67  |HD 106976                                                                                                |Star                                |12 18 09.5724683616 -03 56 55.610599452|287.1694156586189 +57.9009135695099| -11.234 21.268   |5.99     |F1VkF2mF3      |    ~     ~    |    1|   57.190   pc  |  -0.0873     +0.0873  |paral   |2020yCat.1350....0G
68  |HD 107037                                                                                                |Star                                |12 18 33.5753192760 -04 04 05.560767732|287.4054219964821 +57.8089938307771|  -38.590 7.472   |8.90     |F0V            |    ~     ~    |    1|  271.167   pc  |  -4.6270     +4.6270  |ST-L    |2020AJ....160...83S
