C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
99  |TYC 4848-1062-1                                                       |Star                                  |08 19 45.9119204952 -00 48 28.473705504|224.1609074963115 +19.1541450763845|   -0.681 7.585   |10.6     |~              |    ~     ~    |    1|  352.199   pc  |  -1.9847     +1.9847    |paral   |2020yCat.1350....0G
100 |TYC 4848-1204-1                                                       |Star                                  |08 16 25.4831993688 -01 01 03.089309592|223.9248454967244 +18.3227531374128|  -0.335 -4.319   |10.99    |~              |    ~     ~    |    1|  862.664   pc  | -17.1908    +17.1908    |paral   |2020yCat.1350....0G
101 |TYC 4848-1331-1                                                       |Star                                  |08 20 17.3128376376 -00 46 19.858042668|224.1954546433085 +19.2857783895543| 28.293 -25.651   |10.8     |~              |    ~     ~    |    1|  150.528   pc  |  -0.3603     +0.3603    |paral   |2020yCat.1350....0G
102 |TYC 4848-1518-1                                                       |High Proper Motion Star               |08 20 28.6694183808 -00 38 06.818838288|224.0931834546814 +19.3938674738598|-59.778 -44.147   |9.95     |~              |    ~     ~    |    1|  114.028   pc  |  -0.9739     +0.9739    |paral   |2020yCat.1350....0G
103 |TYC 4848-1547-1                                                       |Star                                  |08 16 42.6572252544 -00 24 03.516263964|223.3928740597202 +18.6843634380855|  -1.222 -4.399   |10.70    |~              |    ~     ~    |    1|  660.895   pc  | -18.0391    +18.0391    |paral   |2020yCat.1350....0G
104 |TYC 4848-1568-1                                                       |Star                                  |08 18 21.1110764232 -00 37 32.861535996|223.8106819809257 +18.9341573362873|  -0.246 11.111   |10.8     |~              |    ~     ~    |    1|  453.104   pc  |  -3.6339     +3.6339    |paral   |2020yCat.1350....0G
105 |TYC 4848-1627-1                                                       |Star                                  |08 15 38.3784794544 -00 36 38.630884572|223.4498032703532 +18.3484930311280|  -3.747 -2.224   |10.9     |~              |    ~     ~    |    1|  684.369   pc  |  -8.6178     +8.6178    |paral   |2020yCat.1350....0G
106 |TYC 4848-1654-1                                                       |Star                                  |08 16 47.5241208864 -00 36 21.114374256|223.5924311375556 +18.6028946064893|   1.693 -5.080   |10.9     |~              |    ~     ~    |    1|  999.001   pc  | -17.0659    +17.0659    |paral   |2020yCat.1350....0G
107 |TYC 4848-1735-1                                                       |Star                                  |08 18 31.4995147104 -00 35 14.690505336|223.7974436715426 +18.9906350864964|  4.227 -44.569   |10.6     |~              |    ~     ~    |    1|  164.387   pc  |  -0.4243     +0.4243    |paral   |2020yCat.1350....0G
108 |TYC 4848-1736-1                                                       |Star                                  |08 19 03.8201799000 -00 16 07.390506036|223.5716608656590 +19.2630249657357|-18.058 -14.759   |10.12    |~              |    ~     ~    |    1|  300.879   pc  |  -1.3670     +1.3670    |paral   |2020yCat.1350....0G
109 |TYC 4848-1819-1                                                       |Star                                  |08 16 22.2262631736 -00 33 48.889860228|223.4995409697341 +18.5311738378045|  9.367 -15.663   |10.81    |~              |    ~     ~    |    1|  346.957   pc  |  -2.4437     +2.4437    |paral   |2020yCat.1350....0G
110 |TYC 4848-1830-1                                                       |Star                                  |08 19 17.8294236816 -00 21 24.384742056|223.6832233968312 +19.2713705634109|  -4.019 -1.515   |10.68    |~              |    ~     ~    |    1|  940.911   pc  | -21.1590    +21.1590    |paral   |2020yCat.1350....0G
111 |TYC 4848-1911-1                                                       |Star                                  |08 17 37.0792489296 -00 18 04.123119456|223.4164670675655 +18.9311122640512|   -8.454 0.818   |10.17    |~              |    ~     ~    |    1| 1562.988   pc  | -50.3244    +50.3244    |paral   |2020yCat.1350....0G
112 |TYC 4848-1971-1                                                       |Star                                  |08 21 22.3402773648 -00 29 16.364428728|224.0722837729542 +19.6609413994751|-24.937 -27.707   |10.9     |~              |    ~     ~    |    1|  252.761   pc  |  -1.1819     +1.1819    |paral   |2020yCat.1350....0G
113 |TYC 4848-1984-1                                                       |Star                                  |08 22 28.2919883784 -00 18 33.324723216|224.0487918397363 +19.9879400792422|   20.247 7.264   |10.6     |~              |    ~     ~    |    1|  221.985   pc  |  -0.8426     +0.8426    |paral   |2020yCat.1350....0G
114 |TYC 4848-2031-1                                                       |Star                                  |08 16 57.5403553704 -00 31 09.932641644|223.5339730695057 +18.6812858503568|   -1.652 1.298   |10.8     |~              |    ~     ~    |    1| 1956.564   pc  | -81.9223    +81.9223    |paral   |2020yCat.1350....0G
115 |TYC 4848-2052-1                                                       |Star                                  |08 17 59.2803269616 -00 19 20.783949816|223.4835161033531 +19.0017493961324| -33.371 18.568   |10.7     |~              |    ~     ~    |    1|  421.514   pc  |  -2.5585     +2.5585    |paral   |2020yCat.1350....0G
116 |TYC 4848-2152-1                                                       |Red Giant Branch star Candidate       |08 18 33.5695577328 -00 10 14.899258092|223.4162835917585 +19.2001652480153|  -7.706 -2.661   |10.7     |~              |    ~     ~    |    1|  865.951   pc  | -13.9476    +13.9476    |paral   |2020yCat.1350....0G
117 |TYC 4848-2184-1                                                       |Star                                  |08 16 22.0994109216 -00 01 25.687916436|223.0004098701367 +18.7914363002584|-27.844 -11.550   |10.49    |~              |    ~     ~    |    1|  259.437   pc  |  -1.7231     +1.7231    |paral   |2020yCat.1350....0G
118 |TYC 4848-2241-1                                                       |Star                                  |08 16 36.2873134872 -00 02 55.306768668|223.0535507351353 +18.8312373045169|  -5.835 -0.946   |10.8     |~              |    ~     ~    |    1|  347.838   pc  |  -2.3714     +2.3714    |paral   |2020yCat.1350....0G
119 |TYC 4848-2301-1                                                       |Star                                  |08 18 24.9755567304 -00 04 01.225462764|223.3017351680319 +19.2190187168371| -13.042 11.590   |10.65    |~              |    ~     ~    |    1|  368.216   pc  |  -2.3998     +2.3998    |paral   |2020yCat.1350....0G
120 |TYC 4848-2313-1                                                       |Star                                  |08 17 32.9210594232 -00 04 06.784057704|223.1922808765844 +19.0283598803314|  -1.238 -1.620   |10.9     |~              |    ~     ~    |    1| 1540.832   pc  | -32.0512    +32.0512    |paral   |2020yCat.1350....0G
121 |TYC 4848-2317-1                                                       |Star                                  |08 21 51.2987086704 -00 05 29.554101960|223.7666207486828 +19.9591730808277|  -23.860 1.878   |10.9     |~              |    ~     ~    |    1|  495.000   pc  |  -3.8469     +3.8469    |paral   |2020yCat.1350....0G
122 |TYC 4849-51-1                                                         |Star                                  |08 22 48.8021896656 -00 01 50.461543092|223.8339357553985 +20.1981576879690|  -11.492 5.304   |10.7     |~              |    ~     ~    |    1|  863.483   pc  | -12.1533    +12.1533    |paral   |2020yCat.1350....0G
123 |TYC 4849-198-1                                                        |High Proper Motion Star               |08 23 21.1915691448 -00 18 17.184645432|224.1590274543046 +20.1825748946803|-59.999 -35.579   |10.49    |~              |    ~     ~    |    1|  145.726   pc  |  -0.3546     +0.3546    |paral   |2020yCat.1350....0G
124 |TYC 4849-241-1                                                        |Star                                  |08 23 38.6907448680 -00 07 53.684756436|224.0357178967925 +20.3306627452568| -10.858 22.192   |10.55    |~              |    ~     ~    |    1|  330.295   pc  |  -1.9201     +1.9201    |paral   |2020yCat.1350....0G
125 |TYC 4849-475-1                                                        |Star                                  |08 25 27.2378535624 -00 25 06.910524048|224.5388109770834 +20.5851086975772|-14.589 -14.959   |10.8     |~              |    ~     ~    |    1|  186.327   pc  |  -0.6076     +0.6076    |paral   |2020yCat.1350....0G
126 |TYC 4849-537-1                                                        |Star                                  |08 22 56.5303234416 -00 24 08.608830336|224.1963881530664 +20.0452551499821| -21.805 -7.395   |10.16    |~              |    ~     ~    |    1|  415.576   pc  |  -2.6596     +2.6596    |paral   |2020yCat.1350....0G
127 |TYC 4849-959-1                                                        |Star                                  |08 22 51.9617399760 -00 48 04.034430180|224.5564978387930 +19.8337125556620|   -9.890 0.898   |10.6     |~              |    ~     ~    |    1|  589.206   pc  |  -6.0059     +6.0059    |paral   |2020yCat.1350....0G
128 |TYC 4849-963-1                                                        |Spectroscopic Binary                  |08 24 05.0661843936 -00 50 38.815039140|224.7552568648742 +20.0780654077656| -8.880 -26.552   |10.46    |~              |    ~     ~    |    1|  238.886   pc  |  -3.5495     +3.5495    |paral   |2020yCat.1350....0G
129 |TYC 4849-991-1                                                        |Star                                  |08 23 26.1993245688 -00 48 19.734448896|224.6348788026380 +19.9559164055150|    0.867 2.300   |10.8     |~              |    ~     ~    |    1|  889.284   pc  | -14.2349    +14.2349    |paral   |2020yCat.1350....0G
130 |TYC 4849-1028-1                                                       |Star                                  |08 23 10.0086976320 -00 49 46.443163692|224.6220357659395 +19.8853162588766|    0.992 2.015   |10.8     |~              |    ~     ~    |    1|  630.716   pc  |  -8.3539     +8.3539    |paral   |2020yCat.1350....0G
131 |TYC 4849-1227-1                                                       |Star                                  |08 24 12.7879018248 -01 19 55.426592676|225.2240452187382 +19.8659241124032|  -4.355 -3.092   |10.25    |~              |    ~     ~    |    1|  790.326   pc  | -14.7409    +14.7409    |paral   |2020yCat.1350....0G
132 |TYC 4849-1300-1                                                       |Star                                  |08 22 44.6690900016 -00 59 54.292691760|224.7233996773084 +19.7105076013257|  -8.706 -1.874   |10.05    |~              |    ~     ~    |    1|  992.063   pc  | -20.0775    +20.0775    |paral   |2020yCat.1350....0G
133 |TYC 4849-1362-1                                                       |Star                                  |08 24 24.0859200576 -01 18 00.991407348|225.2193335975902 +19.9225431298962|  -11.925 8.958   |9.64     |~              |    ~     ~    |    1|  282.056   pc  |  -1.6945     +1.6945    |paral   |2020yCat.1350....0G
134 |TYC 4849-1476-1                                                       |Star                                  |08 23 20.6836558848 -01 05 11.888108808|224.8833456165295 +19.7978770089074| 11.361 -12.532   |10.04    |~              |    ~     ~    |    1|  525.403   pc  |  -4.5548     +4.5548    |paral   |2020yCat.1350....0G
135 |TYC 4849-1789-1                                                       |Star                                  |08 22 53.9715440304 -01 31 51.383902260|225.2357572548324 +19.4822438107613|-27.101 -21.192   |10.38    |~              |    ~     ~    |    1|  209.850   pc  |  -0.8543     +0.8543    |paral   |2020yCat.1350....0G
