C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1107|BD+00 3509                                                                                                                                  |Star                                |16 22 19.9891120728 +00 13 21.926257032|014.0143746077681 +32.7379046702757|  -7.785 -4.401   |9.44     |K0             |    ~     ~    |    1|  466.070   pc  |  -4.0838     +4.0838  |paral   |2020yCat.1350....0G
1108|BD+00 3513                                                                                                                                  |Star                                |16 23 21.8160729912 +00 27 31.383140328|014.4154021573058 +32.6477081482242|  1.145 -11.694   |9.10     |K5             |    ~     ~    |    1|  748.559   pc  | -10.7025    +10.7025  |paral   |2020yCat.1350....0G
1109|HD 147720                                                                                                                                   |Star                                |16 23 34.5663809016 +00 05 57.241228056|014.0898017147048 +32.4096126861325| -37.721 23.620   |9.486    |F2V            |    ~     ~    |    1|  120.050   pc  |  -1.1160     +1.1160  |ST-L    |2020AJ....160...83S
1110|TYC 369-452-1                                                                                                                               |Star                                |16 24 23.1317720880 +00 32 32.411996844|014.6615075054738 +32.4767241524345|  -6.952 -3.011   |10.08    |K2             |    ~     ~    |    1|  932.401   pc  | -15.3879    +15.3879  |paral   |2020yCat.1350....0G
1111|BD+00 3518                                                                                                                                  |Star                                |16 25 10.4319396168 +00 15 49.469733252|014.5078128937440 +32.1611527565422|  -6.884 -6.295   |9.12     |K0             |    ~     ~    |    1|  416.771   pc  |  -3.1266     +3.1266  |paral   |2020yCat.1350....0G
1112|BD+00 3522                                                                                                                                  |Star                                |16 26 58.2256021560 +00 16 00.879308688|014.7940374658992 +31.7832922294735|  -17.292 8.407   |9.50     |K0             |    ~     ~    |    1|  527.232   pc  |  -4.6144     +4.6144  |paral   |2020yCat.1350....0G
1113|HD 148366                                                                                                                                   |Star                                |16 27 31.2711269159 +00 28 42.964557320|015.0910725285142 +31.7794430968679|-16.891 -30.148   |8.97     |F0V            |    ~     ~    |    1|  150.9730  pc  |  -4.1232     +4.1232  |paral   |2018yCat.1345....0G
1114|HD 148391                                                                                                                                   |High Proper Motion Star             |16 27 40.4254016208 +00 14 07.212225336|014.8728447020975 +31.6177091829194| -47.213 16.194   |8.68     |G8V            |    ~     ~    |    1|   88.048   pc  |  -0.3117     +0.3117  |paral   |2020yCat.1350....0G
1115|HD 148513                                                                                                                                   |High Proper Motion Star             |16 28 33.9807973104 +00 39 54.001143144|015.4396657962979 +31.6566389188044|  4.525 -68.002   |5.39     |K3V            |    ~     ~    |    1|  134.122   pc  |  -1.6298     +1.6298  |paral   |2020yCat.1350....0G
1116|HD 148531                                                                                                                                   |High Proper Motion Star             |16 28 42.3153019656 +00 03 17.486191404|014.8549623038549 +31.3033225108429|-62.634 -97.298   |6.45     |K3V            |    ~     ~    |    1|  110.179   pc  |  -0.3520     +0.3520  |paral   |2020yCat.1350....0G
1117|HD 148603                                                                                                                                   |Star                                |16 29 09.9119709288 +00 15 03.950649612|015.1210413515813 +31.3103775090239|-14.732 -11.200   |8.21     |G5V            |    ~     ~    |    1|   51.953   pc  |  -0.0691     +0.0691  |paral   |2020yCat.1350....0G
1118|BD+00 3532                                                                                                                                  |Star                                |16 29 14.2761185856 +00 15 27.648080208|015.1388701524614 +31.2984641513759| -4.463 -15.835   |9.92     |K2             |    ~     ~    |    1|   52.586   pc  |  -0.1408     +0.1408  |paral   |2020yCat.1350....0G
