C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
147 |TYC 2835-252-1                                                                                           |Star                          |02 25 00.1020683400 +41 08 36.930321924|141.2938324289170 -18.3682447621741|  -3.101 -3.736   |10.48    |~                 |    ~     ~    
148 |TYC 2835-260-1                                                                                           |Star                          |02 22 22.3528107264 +40 49 45.184479996|140.9290373991586 -18.8430907113248| 24.407 -18.974   |10.25    |~                 |    ~     ~    
149 |TYC 2835-267-1                                                                                           |Star                          |02 25 46.0154692824 +40 44 03.772187988|141.5966345530133 -18.6936825937795|   0.236 -6.187   |10.37    |~                 |    ~     ~    
150 |TYC 2835-278-1                                                                                           |Star                          |02 22 48.5283653736 +40 49 14.729942892|141.0135018640669 -18.8209107177938| -7.109 -20.701   |10.77    |~                 |    ~     ~    
151 |TYC 2835-317-1                                                                                           |Star                          |02 22 13.3589960448 +40 52 55.614456192|140.8808439793018 -18.8040946790976| -8.409 -10.496   |10.03    |~                 |    ~     ~    
152 |TYC 2835-341-1                                                                                           |Star                          |02 24 15.1476970464 +40 52 22.582409880|141.2613749258090 -18.6720279315806|   0.742 -1.398   |10.92    |~                 |    ~     ~    
153 |TYC 2835-405-1                                                                                           |Star                          |02 22 39.0125385048 +40 09 45.174694140|141.2383648202741 -19.4446240931591|      -19.8 0.8   |10.70    |~                 |    ~     ~    
154 |TYC 2835-413-1                                                                                           |Star                          |02 24 41.3278415184 +40 53 14.016370416|141.3366199567622 -18.6281685018731|   2.312 -7.726   |10.50    |~                 |    ~     ~    
155 |TYC 2835-421-1                                                                                           |High Proper Motion Star       |02 23 01.4973937272 +40 41 27.096307512|141.1039481913380 -18.9268569179643|11.635 -103.793   |10.69    |~                 |    ~     ~    
156 |TYC 2835-438-1                                                                                           |Star                          |02 20 58.3311873864 +40 46 04.875435912|140.6911126304297 -18.9958150233229|   4.619 -4.257   |10.77    |~                 |    ~     ~    
157 |TYC 2835-467-1                                                                                           |Star                          |02 24 41.8327080120 +40 58 17.725260036|141.3051004352862 -18.5492558094293|   0.188 -4.812   |10.92    |~                 |    ~     ~    
158 |TYC 2835-483-1                                                                                           |Star                          |02 24 26.8175420424 +40 35 00.178630080|141.4109387307344 -18.9272819450457| -10.060 -5.910   |9.98     |~                 |    ~     ~    
159 |TYC 2835-487-1                                                                                           |Star                          |02 20 52.1276545656 +40 12 53.796700872|140.8818861202518 -19.5191177309624|  -1.080 -3.819   |10.97    |~                 |    ~     ~    
