C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
77  |HD 147823                                                                                                |Star                                  |16 25 50.5455566184 -40 37 13.918864728|340.8318982951840 +05.9694306568637|  -0.001 -2.375   |10.38    |B9             |    ~     ~    |    1|  623.636   pc  |  -6.8839     +6.8839    |paral   |2020yCat.1350....0G
78  |HD 325539                                                                                                |Star                                  |16 25 53.2588973928 -40 44 22.248702204|340.7517211643107 +05.8807176355197|    1.497 0.090   |10.02    |B9III/IV       |    ~     ~    |    1|  773.994   pc  | -24.9811    +24.9811    |paral   |2020yCat.1350....0G
79  |NGC 6124 36                        HD 147840                                                             |Star                                  |16 26 00.4289832696 -40 51 02.542615992|340.6869784511216 +05.7872989315984|   0.149 -2.683   |9.16     |G2/3(III)      |    ~     ~    |    1|  623.519   pc  |  -9.4084     +9.4084    |paral   |2020yCat.1350....0G
80  |NGC 6124 35                        HD 147839                                                             |Star                                  |16 25 59.7989615160 -40 33 30.607680204|340.8972494156846 +05.9913550246100|  -0.260 -2.391   |9.03     |G5/6           |    ~     ~    |    1|  633.754   pc  | -12.2501    +12.2501    |paral   |2020yCat.1350....0G
81  |HD 147875                                                                                                |Star                                  |16 26 09.8819600640 -41 13 33.856065984|340.4359467436503 +05.5055639275522|-11.106 -22.530   |9.34     |A8V            |    ~     ~    |    1|  167.375   pc  |  -0.8096     +0.8096    |paral   |2020yCat.1350....0G
82  |NGC 6124 39                        HD 325537                                                             |Star                                  |16 26 08.5383709968 -40 36 03.588637032|340.8857279609612 +05.9419649422364|   0.164 -2.081   |10.25    |A0             |    ~     ~    |    1|  632.911   pc  |  -6.4493     +6.4493    |paral   |2020yCat.1350....0G
83  |NGC 6124 41                        HD 147893                                                             |Star                                  |16 26 15.7448626968 -40 41 35.585289024|340.8347523241724 +05.8616357964536|  -0.092 -1.842   |8.89     |G8(III)        |    ~     ~    |    1|  622.200   pc  |  -9.4460     +9.4460    |paral   |2020yCat.1350....0G
84  |HD 148000                                                                                                |Star                                  |16 26 53.8875364776 -41 03 07.012535760|340.6582137396723 +05.5265683792561|  -0.233 -1.883   |9.89     |B8III          |    ~     ~    |    1|  607.607   pc  |  -7.7529     +7.7529    |paral   |2020yCat.1350....0G
85  |NGC 6124 43                        HD 148023                                                             |Star                                  |16 27 04.4252074152 -40 33 17.048565108|341.0423365044426 +05.8462921179559|  -0.233 -1.580   |9.53     |B3III/IV       |    ~     ~    |    1|  605.510   pc  |  -5.9396     +5.9396    |paral   |2020yCat.1350....0G
86  |NGC 6124 44                        HD 148057                                                             |Star                                  |16 27 16.4360632560 -40 45 01.954744524|340.9263951491273 +05.6835798224892|  -0.152 -1.545   |10.15    |B8/9II         |    ~     ~    |    1|  697.837   pc  | -14.6093    +14.6093    |paral   |2020yCat.1350....0G
87  |NGC 6124 45                        HD 148056                                                             |Star                                  |16 27 16.2599023176 -40 37 25.412668428|341.0181894295615 +05.7715608291597|  -0.282 -2.711   |9.78     |A0             |    ~     ~    |    1|  564.876   pc  | -26.2607    +26.2607    |paral   |2020yCat.1350....0G
88  |HD 148171                                                                                                |Star                                  |16 27 57.4137640272 -41 11 11.795617860|340.6987190266963 +05.2893561343776|   -9.514 7.743   |8.96     |K(2)           |    ~     ~    |    1|  347.391   pc  |  -3.0653     +3.0653    |paral   |2020yCat.1350....0G
89  |HD 148170                                                                                                |Star                                  |16 27 59.3069684280 -40 57 20.103025860|340.8709310182855 +05.4443101419795|  2.348 -11.709   |9.66     |F3IV/V         |    ~     ~    |    1|  174.171   pc  |  -0.5005     +0.5005    |paral   |2020yCat.1350....0G
90  |HD 148258                                                                                                |Star                                  |16 28 36.2912670552 -40 54 26.676979632|340.9865438493083 +05.3930482539991|   6.862 -9.731   |9.46     |K5             |    ~     ~    |    1|  452.530   pc  |  -4.4847     +4.4847    |paral   |2020yCat.1350....0G
91  |HD 148305                                                                                                |Blue Straggler                        |16 28 50.8445489664 -40 34 15.705797988|341.2637052705829 +05.5909075468287|   0.116 -2.315   |9.27     |B9IV           |    ~     ~    |    1|  653.851   pc  |  -8.3794     +8.3794    |paral   |2020yCat.1350....0G
92  |HD 148324                                                                                                |Star                                  |16 29 02.6985076032 -40 30 48.388713588|341.3316663732104 +05.6031715570616| -3.666 -11.999   |10.48    |F5V            |    ~     ~    |    1|  315.050   pc  |  -1.5385     +1.5385    |paral   |2020yCat.1350....0G
93  |HD 148410                                                                                                |Star                                  |16 29 33.0598215960 -40 43 37.014807036|341.2417832164380 +05.3868365684656|  -4.816 10.259   |8.82     |K2(III)        |    ~     ~    |    1|  451.284   pc  |  -4.6027     +4.6027    |paral   |2020yCat.1350....0G
94  |HD 148418                                                                                                |Star                                  |16 29 40.1360554944 -41 06 38.817177732|340.9765176201528 +05.1074663631256| -4.803 -16.127   |7.01     |A0V            |    ~     ~    |    1|  139.099   pc  |  -0.7430     +0.7430    |paral   |2020yCat.1350....0G
