C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
756 |TYC 3032-1077-1                                                                                          |Star                                |13 33 31.7448321264 +44 48 32.425428348|100.1933642931737 +70.4149065264296|  13.005 -5.561   |10.91    |~               |    ~     ~    |    1|  199.924   pc  |  -0.5476     +0.5476  |paral   |2020yCat.1350....0G
757 |TYC 3463-621-1                                                                                           |High Proper Motion Star             |13 30 46.3937486760 +45 04 34.739689764|101.8519931512029 +70.4076364912838|-101.157 61.216   |10.96    |~               |    ~     ~    |    1|  106.729   pc  |  -0.1321     +0.1321  |paral   |2020yCat.1350....0G
758 |V* CR CVn                                                                                                |Long-Period Variable                |13 37 38.7083391960 +42 12 03.182731056|093.8646623977605 +72.2211624733672|  4.712 -14.510   |7.594    |~               |    ~     ~    |    1|  511.771   pc  |  -5.4215     +5.4215  |paral   |2020yCat.1350....0G
759 |HD 117710                                                                                                |High Proper Motion Star             |13 31 15.7663471680 +42 06 22.152472848|096.9786150063961 +72.9563598454639| -96.127 27.590   |6.065    |K2III           |    ~     ~    |    1|   76.310   pc  |  -0.1520     +0.1520  |paral   |2020yCat.1350....0G
760 |BD+42 2407                                                                                               |Star                                |13 31 51.6943266768 +41 33 19.124356428|095.6356989621669 +73.3619785881790|  -6.406 -2.738   |9.84     |K0              |    ~     ~    |    1|  710.177   pc  |  -6.1026     +6.1026  |paral   |2020yCat.1350....0G
761 |BD+41 2405                                                                                               |Star                                |13 30 40.0064608416 +40 23 47.610584880|093.9900730187394 +74.4508804449715| 18.496 -32.045   |10.24    |G5              |    ~     ~    |    1|  279.002   pc  |  -1.0976     +1.0976  |paral   |2020yCat.1350....0G
762 |BD+41 2406                                                                                               |Star                                |13 30 56.5056005976 +40 16 54.543159732|093.5850571656233 +74.5154680742752| 34.288 -23.705   |10.71    |F8              |    ~     ~    |    1|  212.576   pc  |  -3.1948     +3.1948  |paral   |2020yCat.1350....0G
763 |BD+40 2661                                                                                               |Star                                |13 31 04.4703797016 +39 55 27.782057964|092.7263558621104 +74.7925316258891|   -0.444 5.137   |10.77    |A5              |    ~     ~    |    1|  490.340   pc  | -10.7955    +10.7955  |paral   |2020yCat.1350....0G
764 |BD+43 2338                                                                                               |Star                                |13 32 22.0678838136 +42 17 47.149733292|096.7304690573420 +72.6867029151102| -24.382 -0.933   |10.93    |K2V             |    ~     ~    |    1|  822.436   pc  |  -7.7110     +7.7110  |paral   |2020yCat.1350....0G
765 |BD+42 2410                                                                                               |Star                                |13 33 13.1772542520 +41 54 20.673508536|095.5662415811069 +72.9300147655301|-22.953 -31.778   |9.91     |F8              |    ~     ~    |    1|  194.837   pc  |  -9.5511     +9.5511  |paral   |2020yCat.1350....0G
766 |BD+42 2415                                                                                               |High Proper Motion Star             |13 34 57.3720895608 +41 48 27.997667496|094.4695418142192 +72.8303275944189|-39.436 -69.291   |10.95    |K0III           |    ~     ~    |    1|  149.640   pc  |  -0.2821     +0.2821  |paral   |2020yCat.1350....0G
767 |BD+42 2416                                                                                               |Star                                |13 34 57.0885237552 +41 54 43.468760664|094.6720607071550 +72.7449614078510|    6.556 7.842   |9.82     |K2III           |    ~     ~    |    1|  796.115   pc  |  -7.5422     +7.5422  |paral   |2020yCat.1350....0G
768 |BD+42 2417                                                                                               |Star                                |13 35 07.8605719848 +42 12 19.141670988|095.1327306895040 +72.4838949705493|-12.573 -11.919   |10.45    |F5              |    ~     ~    |    1|  248.004   pc  |  -1.2363     +1.2363  |paral   |2020yCat.1350....0G
769 |BD+42 2421                                                                                               |Red Giant Branch star               |13 37 24.4860621672 +41 56 56.479881156|093.4958265532678 +72.4510415392293|   3.871 -4.796   |10.38    |K2III           |    ~     ~    |    1| 1188.919   pc  | -22.3338    +22.3338  |paral   |2020yCat.1350....0G
770 |BD+42 2409                                                                                               |Star                                |13 32 38.7510943608 +41 43 09.317978976|095.5213431659795 +73.1445752303685|   8.766 -4.167   |9.52     |F8              |    ~     ~    |    1|  336.995   pc  |  -1.4196     +1.4196  |paral   |2020yCat.1350....0G
771 |BD+42 2411                                                                                               |Star                                |13 33 27.4190597232 +41 18 46.310936832|094.2953472213852 +73.3969225449479| 13.522 -11.806   |10.40    |K2III           |    ~     ~    |    1|  509.424   pc  |  -3.5553     +3.5553  |paral   |2020yCat.1350....0G
772 |HD 118143                                                                                                |Star                                |13 34 09.8867279040 +41 16 11.865499320|093.8283489353143 +73.3560786557962| -26.800 -5.118   |9.09     |K0              |    ~     ~    |    1| 1376.273   pc  | -37.1249    +37.1249  |paral   |2020yCat.1350....0G
773 |BD+42 2420                                                                                               |Star                                |13 37 20.0761013904 +41 31 47.083749744|092.6997443737391 +72.7966781389640|-35.946 -16.286   |9.52     |F8              |    ~     ~    |    1|  299.455   pc  |  -1.2016     +1.2016  |paral   |2020yCat.1350....0G
774 |BD+42 2422                                                                                               |Star                                |13 37 39.1650872280 +41 41 36.715605936|092.8688383065745 +72.6298317879130|   9.498 -8.588   |10.30    |G8III           |    ~     ~    |    1|  311.886   pc  |  -1.5369     +1.5369  |paral   |2020yCat.1350....0G
775 |HD 118687                                                                                                |Spectroscopic Binary                |13 37 34.8373884216 +41 26 05.476774704|092.3819762535762 +72.8448275076866|-71.196 -124.938  |8.40     |F8              |    ~     ~    |    1|   72.845   pc  |  -0.2038     +0.2038  |paral   |2020yCat.1350....0G
776 |BD+42 2425                                                                                               |High Proper Motion Star             |13 38 33.0783551136 +41 28 27.506884512|091.9749010185408 +72.7030418260726|108.783 -53.721   |9.58     |G0              |    ~     ~    |    1|   97.655   pc  |  -0.2708     +0.2708  |paral   |2020yCat.1350....0G
777 |BD+42 2427                                                                                               |Star                                |13 39 58.4854127664 +41 24 53.845515396|091.1489590197852 +72.5848250193749|    7.657 2.106   |10.48    |F5              |    ~     ~    |    1|  414.628   pc  |  -2.4756     +2.4756  |paral   |2020yCat.1350....0G
