C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
72  |BD+45 1143                                                                                                                                                                     |Double or Multiple Star         |05 35 32.382648 +45 13 53.98932        |165.062157502 +06.888534606        |      -0.3 -6.5   |9.370    |F0                |    ~     ~          |    0|                |                       |        |                   
73  |HD 36662                                                                                                                                                                       |Star                            |05 35 44.3515144824 +45 29 35.662307280|164.8573890511521 +07.0568721751864|   1.956 -2.576   |8.54     |~                 |    ~     ~          |    1|  795.672   pc  | -19.1194    +19.1194  |paral   |2020yCat.1350....0G
74  |HD 36772                                                                                                                                                                       |Star                            |05 36 24.0765982704 +45 40 12.228074940|164.7678163156141 +07.2486748417776|  -2.717 -0.263   |8.44     |B9                |    ~     ~          |    1|  488.257   pc  |  -5.9360     +5.9360  |paral   |2020yCat.1350....0G
75  |HD 36640                                                                                                                                                                       |Star                            |05 35 25.1943 +44 56 19.498            |165.3008637 +06.7151431            |      9.2 -18.3   |8.82     |A3                |    ~     ~          |    0|                |                       |        |                   
76  |TYC 2922-42-1                                                                                                                                                                  |Star                            |05 34 50.4699553440 +44 58 35.978867832|165.2137176234985 +06.6486002882463|  -9.041 -0.727   |10.99    |~                 |    ~     ~          |    1|  408.213   pc  |  -2.7495     +2.7495  |paral   |2020yCat.1350....0G
77  |TYC 2922-93-1                                                                                                                                                                  |Star                            |05 34 25.3026060960 +44 52 10.007124240|165.2651865832052 +06.5286264178418| -0.792 -20.683   |9.59     |~                 |    ~     ~          |    1|  510.204   pc  |  -5.1801     +5.1801  |paral   |2020yCat.1350....0G
78  |TYC 2922-155-1                                                                                                                                                                 |Star                            |05 34 27.5625089208 +44 52 19.230868308|165.2665898667518 +06.5356374050086|   2.404 -9.890   |10.50    |~                 |    ~     ~          |    1|  938.791   pc  | -16.8334    +16.8334  |paral   |2020yCat.1350....0G
79  |TYC 2922-173-1                                                                                                                                                                 |Star                            |05 36 14.3987081016 +44 58 54.000883416|165.3416594132783 +06.8609042102633| -4.578 -21.789   |9.88     |~                 |    ~     ~          |    1|  161.765   pc  |  -0.7510     +0.7510  |paral   |2020yCat.1350....0G
80  |TYC 2922-377-1                                                                                                                                                                 |Star                            |05 30 06.5810252568 +44 53 24.953899200|164.8334513796118 +05.8964079188146|  2.091 -15.876   |10.91    |~                 |    ~     ~          |    1|  207.327   pc  |  -0.7436     +0.7436  |paral   |2020yCat.1350....0G
81  |TYC 3359-89-1                                                                                                                                                                  |Star                            |05 32 14.6142459504 +45 29 54.750415308|164.5235567992337 +06.5417129967507|   0.565 -7.744   |9.92     |~                 |    ~     ~          |    1| 1403.706   pc  | -81.3771    +81.3771  |paral   |2020yCat.1350....0G
82  |TYC 3359-122-1                                                                                                                                                                 |Star                            |05 34 01.1504773272 +46 46 55.005880512|163.5968283432423 +07.4881365142418|  -14.132 0.489   |10.70    |~                 |    ~     ~          |    1|  213.388   pc  |  -0.8378     +0.8378  |paral   |2020yCat.1350....0G
83  |TYC 3359-273-1                                                                                                                                                                 |Star                            |05 32 32.5252061952 +45 25 17.407265376|164.6172686039088 +06.5444110247844|   -3.325 7.252   |10.35    |~                 |    ~     ~          |    1|  852.588   pc  | -13.0843    +13.0843  |paral   |2020yCat.1350....0G
84  |TYC 3359-336-1                                                                                                                                                                 |Star                            |05 32 39.2888362152 +46 48 24.693801372|163.4499696131542 +07.3039070521609|  -2.356 -8.246   |10.80    |~                 |    ~     ~          |    1|  737.681   pc  | -10.2849    +10.2849  |paral   |2020yCat.1350....0G
85  |TYC 3359-340-1                                                                                                                                                                 |Star                            |05 32 05.1123172560 +46 50 56.528662092|163.3614422110967 +07.2442408782941|   2.501 -6.033   |10.71    |~                 |    ~     ~          |    1|  968.054   pc  | -23.7094    +23.7094  |paral   |2020yCat.1350....0G
86  |TYC 3359-506-1                                                                                                                                                                 |Star                            |05 34 44.3193047496 +46 51 05.437005876|163.6032603394448 +07.6293808825412|  -1.078 -2.470   |10.73    |~                 |    ~     ~          |    1|  724.061   pc  |  -8.4406     +8.4406  |paral   |2020yCat.1350....0G
87  |TYC 3359-601-1                                                                                                                                                                 |Star                            |05 33 58.9550190816 +45 28 35.998599468|164.7066268354679 +06.7872977088770|   5.314 -1.778   |10.94    |~                 |    ~     ~          |    1| 1148.765   pc  | -39.7218    +39.7218  |paral   |2020yCat.1350....0G
88  |TYC 3359-686-1                                                                                                                                                                 |High Proper Motion Star         |05 34 28.9298056992 +46 04 59.632494276|164.2362366692202 +07.1841790792588| 43.290 -47.089   |10.30    |~                 |    ~     ~          |    1|  144.078   pc  |  -0.4318     +0.4318  |paral   |2020yCat.1350....0G
89  |TYC 3359-714-1                                                                                                                                                                 |Star                            |05 31 32.2148926344 +46 23 25.419340104|163.7001659187093 +06.9183181980297|   1.223 -5.671   |10.34    |~                 |    ~     ~          |    1|  826.241   pc  | -15.7015    +15.7015  |paral   |2020yCat.1350....0G
90  |TYC 3359-789-1                                                                                                                                                                 |Star                            |05 31 18.5810319912 +45 05 05.001703476|164.7849604468399 +06.1801470395458|  -0.922 -6.631   |10.43    |~                 |    ~     ~          |    1|  683.387   pc  |  -9.2002     +9.2002  |paral   |2020yCat.1350....0G
