C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
96  |HD 228821                                                                                                |Star                              |20 18 04.9292429256 +40 06 06.810272820|077.5726397692574 +02.4326815713941|  -1.094 -0.970  |9.133    |B8                    |    ~     ~    |    1|  763.534   pc  |  -9.6775     +9.6775  |paral   |2020yCat.1350....0G
97  |HD 193323                                                                                                |Star                              |20 18 12.9957573504 +40 07 18.530567004|077.6035805016964 +02.4225806602179| -2.569 -13.159  |8.36     |A0                    |    ~     ~    |    1|  368.161   pc  |  -2.6431     +2.6431  |paral   |2020yCat.1350....0G
98  |HD 228834                                                                                                |Star                              |20 18 15.6504973704 +39 53 05.720106552|077.4121201717245 +02.2826012195448|  -1.253 -7.407  |8.74     |B3                    |    ~     ~    |    1| 1241.773   pc  | -51.0402    +51.0402  |paral   |2020yCat.1350....0G
99  |[NH52] 8                                                                                                 |Star                              |20 18 19.9153141896 +39 53 48.560244000|077.4296366657444 +02.2780005902498|  -4.068 -5.115  |9.88     |OB                    |    ~     ~    |    1| 2082.032   pc  |-130.0457   +130.0457  |paral   |2020yCat.1350....0G
100 |HD 193367                                                                                                |Star                              |20 18 22.4837 +39 49 59.261            |077.3815124 +02.2354321            |   2.320 -4.155  |8.70     |A0IV                  |    ~     ~    |    0|                |                       |        |                   
101 |HD 228875                                                                                                |Star                              |20 18 53.2329 +39 45 09.634            |077.3703283 +02.1087877            |  -0.233 -4.709  |9.46     |B1III                 |    ~     ~    |    0|                |                       |        |                   
102 |HD 228874                                                                                                |Star                              |20 18 55.4619815976 +39 58 38.887320216|077.5602786418861 +02.2294238484020| -7.847 -16.718  |9.821    |~                     |    ~     ~    |    1|  768.226   pc  |  -6.4329     +6.4329  |paral   |2020yCat.1350....0G
103 |[NH52] 10                                                                                                |Star                              |20 19 14.9081237880 +39 48 19.885270140|077.4531452705029 +02.0812058148244|  -3.085 -4.931  |10.66    |OB                    |    ~     ~    |    1| 1799.208   pc  | -53.4130    +53.4130  |paral   |2020yCat.1350....0G
104 |HD 228929                                                                                                |Star                              |20 19 36.5432146536 +39 54 41.807762748|077.5798630286911 +02.0839052328902|  -3.259 -5.184  |9.69     |B0.5Ib                |    ~     ~    |    1| 1751.313   pc  | -37.7253    +37.7253  |paral   |2020yCat.1350....0G
105 |EM* AS 404                                                                                               |Emission-line Star                |20 19 55.6086155448 +39 47 02.992377732|077.5090940082640 +01.9615906773712|  -3.530 -6.523  |10.78    |B                     |    ~     ~    |    1| 1159.824   pc  | -16.2768    +16.2768  |paral   |2020yCat.1350....0G
106 |HD 228967                                                                                                |Star                              |20 20 04.0614938928 +39 43 23.066906412|077.4739932976794 +01.9047174175854|   5.339 -4.420  |9.663    |~                     |    ~     ~    |    1|  719.580   pc  | -32.0515    +32.0515  |paral   |2020yCat.1350....0G
107 |HD 228976                                                                                                |Star                              |20 20 09.5768762712 +40 09 07.277323572|077.8379411984588 +02.1327804826456| -11.122 -9.513  |10.41    |~                     |    ~     ~    |    1|  794.723   pc  |  -6.5685     +6.5685  |paral   |2020yCat.1350....0G
108 |HD 228997                                                                                                |Star                              |20 20 24.4214607120 +39 37 43.015115676|077.4330481545716 +01.7974283284912|   1.468 -5.616  |9.027    |B9III                 |    ~     ~    |    1|  640.000   pc  |  -7.9053     +7.9053  |paral   |2020yCat.1350....0G
109 |LS II +39 31                                                                                             |Star                              |20 20 30.4077678576 +40 01 37.846021116|077.7725600063974 +02.0073787156640|  -2.391 -3.142  |10.58    |B                     |    ~     ~    |    1| 1264.542   pc  | -20.1482    +20.1482  |paral   |2020yCat.1350....0G
110 |HD 229007                                                                                                |Star                              |20 20 33.0808249656 +39 51 05.716232388|077.6326172813050 +01.9008698064541|  -2.166 -3.500  |10.34    |B3                    |    ~     ~    |    1| 1297.017   pc  | -20.3553    +20.3553  |paral   |2020yCat.1350....0G
111 |HD 229011                                                                                                |Star                              |20 20 32.5806781296 +40 07 44.321188584|077.8604327581717 +02.0593311960746|    3.515 6.677  |10.49    |~                     |    ~     ~    |    1|  684.322   pc  |  -8.1952     +8.1952  |paral   |2020yCat.1350....0G
112 |HD 229027                                                                                                |Star                              |20 20 49.2836100888 +39 36 51.591303756|077.4665239777577 +01.7235931822254|    3.360 0.519  |9.49     |B9V                   |    ~     ~    |    1|  427.022   pc  | -10.1385    +10.1385  |paral   |2020yCat.1350....0G
113 |HD 229048                                                                                                |Star                              |20 21 02.1661727856 +39 55 49.268840520|077.7502870792724 +01.8689524586175|   13.742 7.552  |10.85    |~                     |    ~     ~    |    1|  403.616   pc  |  -1.5802     +1.5802  |paral   |2020yCat.1350....0G
114 |HD 229058                                                                                                |Star                              |20 21 04.7834445840 +39 47 28.915990116|077.6405663985627 +01.7831560123762|  -0.250 -1.523  |10.80    |~                     |    ~     ~    |    1|  719.632   pc  |  -7.3020     +7.3020  |paral   |2020yCat.1350....0G
115 |HD 229057                                                                                                |Star                              |20 21 07.0418632824 +39 53 38.218389072|077.7291556999232 +01.8354574367784|   17.433 5.232  |10.23    |~                     |    ~     ~    |    1|  141.433   pc  |  -0.2180     +0.2180  |paral   |2020yCat.1350....0G
116 |HD 193889                                                                                                |Star                              |20 21 15.8133716904 +39 36 36.345030516|077.5114076272386 +01.6510878022303|    2.938 4.038  |8.62     |F6IV                  |    ~     ~    |    1|  127.251   pc  |  -1.7132     +1.7132  |paral   |2020yCat.1350....0G
117 |HD 229072                                                                                                |Star                              |20 21 24.3726178848 +39 52 47.940231000|077.7491541078914 +01.7819258060657|  -3.079 -7.628  |9.568    |~                     |    ~     ~    |    1|  766.166   pc  |  -6.6332     +6.6332  |paral   |2020yCat.1350....0G
118 |HD 229073                                                                                                |Star                              |20 21 25.5976597392 +39 48 34.529676084|077.6934472323141 +01.7386818512851|  -0.813 -7.813  |10.17    |A                     |    ~     ~    |    1|  482.579   pc  |  -3.0740     +3.0740  |paral   |2020yCat.1350....0G
119 |HD 193946                                                                                                |Star                              |20 21 32.7228780120 +39 49 45.577972344|077.7226619170797 +01.7311491755392|  -3.588 -6.144  |9.04     |B1Ib                  |    ~     ~    |    1| 1759.324   pc  | -38.6903    +38.6903  |paral   |2020yCat.1350....0G
120 |TYC 3156-2146-1                                                                                          |Star                              |20 21 31.7148262344 +39 49 33.141120456|077.7179836260391 +01.7318371330250|  -3.556 -6.195  |10.76    |~                     |    ~     ~    |    1| 1705.321   pc  | -56.4175    +56.4175  |paral   |2020yCat.1350....0G
121 |NAME [MMJ54] 5                     LS II +39 35                                                          |Star                              |20 21 51.1498816224 +39 37 51.481162056|077.5931279488455 +01.5696923038533|  -3.379 -6.391  |10.66    |B3V                   |    ~     ~    |    1| 1687.479   pc  | -28.4759    +28.4759  |paral   |2020yCat.1350....0G
122 |HD 229107                                                                                                |Star                              |20 21 51.8793429144 +40 07 19.271333424|077.9982732090218 +01.8474365696363|   1.276 -7.354  |10.39    |~                     |    ~     ~    |    1|  646.454   pc  | -21.1459    +21.1459  |paral   |2020yCat.1350....0G
