C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
79  |TYC 4551-979-1                                                                                                                                                                 |Star                                |12 55 51.3826662720 +77 03 29.487812148|122.6086782408615 +40.0672880514257|   -7.978 0.136   |10.66    |~                |    ~     ~    |    1|  918.695   pc  |  -8.1868     +8.1868  |paral   |2020yCat.1350....0G
80  |TYC 4551-1023-1                                                                                                                                                                |Star                                |12 53 57.6047005176 +77 02 58.513312860|122.7472520629718 +40.0777609938999| -25.584 -0.353   |10.80    |~                |    ~     ~    |    1|  286.870   pc  |  -0.7571     +0.7571  |paral   |2020yCat.1350....0G
81  |TYC 4551-1050-1                                                                                                                                                                |Star                                |12 58 37.1956792800 +76 59 45.865331592|122.4036259828104 +40.1248106902862|  -3.782 -2.283   |10.31    |~                |    ~     ~    |    1|  852.006   pc  |  -8.3480     +8.3480  |paral   |2020yCat.1350....0G
82  |TYC 4551-1133-1                                                                                                                                                                |Star                                |12 56 37.1743989984 +76 57 51.457041684|122.5496279345346 +40.1601122595608|  37.494 -8.346   |10.60    |~                |    ~     ~    |    1|  288.018   pc  |  -0.7798     +0.7798  |paral   |2020yCat.1350....0G
83  |TYC 4551-1289-1                                                                                                                                                                |Star                                |12 55 57.7451227104 +76 24 10.414177632|122.5810726621089 +40.7222771882037|    7.026 0.298   |10.64    |~                |    ~     ~    |    1|  183.631   pc  |  -5.0952     +5.0952  |paral   |2020yCat.1350....0G
84  |TYC 4551-1464-1                                                                                                                                                                |Star                                |12 53 21.4871406840 +76 32 34.386473436|122.7848237932480 +40.5848188292807|    3.419 2.614   |10.13    |~                |    ~     ~    |    1|  614.666   pc  |  -4.6093     +4.6093  |paral   |2020yCat.1350....0G
85  |TYC 4551-1515-1                                                                                                                                                                |Star                                |12 58 25.1138742648 +76 41 22.288950852|122.4041554008877 +40.4315734793379|-34.394 -33.883   |10.23    |~                |    ~     ~    |    1|  222.544   pc  |  -0.5695     +0.5695  |paral   |2020yCat.1350....0G
86  |TYC 4551-1605-1                                                                                                                                                                |Star                                |12 47 19.5083561784 +76 20 06.454938948|123.2527418655396 +40.7905640331608| -26.017 -3.859   |10.97    |~                |    ~     ~    |    1|  233.236   pc  |  -0.7725     +0.7725  |paral   |2020yCat.1350....0G
87  |TYC 4551-1764-1                                                                                                                                                                |Star                                |12 53 23.5337537472 +77 19 52.729860936|122.7924649746408 +39.7964093633809|   8.220 -1.994   |10.93    |~                |    ~     ~    |    1|  615.195   pc  | -12.5650    +12.5650  |paral   |2020yCat.1350....0G
88  |TYC 4551-1818-1                                                                                                                                                                |Star                                |12 53 20.2972619064 +77 15 06.659552844|122.7953195715624 +39.8758984778744|  -9.604 -6.430   |10.74    |~                |    ~     ~    |    1|  987.557   pc  | -11.6057    +11.6057  |paral   |2020yCat.1350....0G
89  |TYC 4551-1837-1                                                                                                                                                                |Star                                |12 51 34.1766608688 +77 14 34.678543740|122.9224503557375 +39.8852837301959|  19.763 -3.068   |10.71    |~                |    ~     ~    |    1|  307.977   pc  |  -2.7032     +2.7032  |paral   |2020yCat.1350....0G
90  |TYC 4554-105-1                                                                                                                                                                 |Star                                |12 56 02.1889387824 +77 33 10.794729132|122.6104825721072 +39.5723836323954|   -3.559 2.959   |10.98    |~                |    ~     ~    |    1|  202.004   pc  |  -0.4366     +0.4366  |paral   |2020yCat.1350....0G
91  |TYC 4554-149-1                                                                                                                                                                 |Star                                |12 54 16.4663452008 +77 36 46.732790160|122.7347487796011 +39.5141851048194|  -3.937 -2.853   |10.14    |~                |    ~     ~    |    1|  926.956   pc  |  -9.0221     +9.0221  |paral   |2020yCat.1350....0G
